Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Lis.1	2	6	5e-04	0	0.5
emp	Lis.1	2	6	0.0011	0	0.5
CG2678	Lis.1	2	6	0.0159	0	0.5
crc	Lis.1	2	6	5e-04	0	0.5
pros	Lis.1	2	6	4e-04	0	0.5
neur	Lis.1	2	6	0.0012	0	0.5
Rab5	Lis.1	2	6	5e-04	0	0.5
Rab7	Lis.1	2	6	0.0077	0	0.5
Mmp2	Lis.1	2	6	0.0019	0	0.5
W	Lis.1	2	6	0.0025	0	0.5
bowl	Lis.1	2	6	4e-04	0	0.5
fd59A	Lis.1	2	6	0	0	0.5
e	Lis.1	2	6	3e-04	0	0.5
ben	Lis.1	2	6	0.0013	0	0.5
rdo	Lis.1	2	6	0.0057	0	0.5
lin	Lis.1	2	6	4e-04	0	0.5
tra	Lis.1	2	6	0.0023	0	0.5
tra2	Lis.1	2	6	7e-04	0	0.5
cathD	Lis.1	2	6	0.0023	0	0.5
d	Lis.1	2	6	0.0046	0	0.5
lva	Lis.1	2	6	0.0017	0	0.5
pbl	Lis.1	2	6	0.0035	0	0.5
CG33205	Lis.1	2	6	0.0012	0	0.5
da	Lis.1	2	6	0.0028	0	0.5
cactin	Lis.1	2	6	0.001	0	0.5
hpo	Lis.1	2	6	4e-04	0	0.5
Sema.2a	Lis.1	2	6	4e-04	0	0.5
Eip74EF	Lis.1	2	6	5e-04	0	0.5
eg	Lis.1	2	6	7e-04	0	0.5
Arc42	Lis.1	2	6	0.0012	0	0.5
toy	Lis.1	2	6	0.0023	0	0.5
Galpha73B	Lis.1	2	6	3e-04	0	0.5
RhoGAPp190	Lis.1	2	6	8e-04	0	0.5
MED11	Lis.1	2	6	0.0011	0	0.5
cher	Lis.1	2	6	6e-04	0	0.5
BicD	Lis.1	2	6	0.0013	0	0.5
MYPT.75D	Lis.1	2	6	0.0011	0	0.5
mus304	Lis.1	2	6	0	0	0.5
CdsA	Lis.1	2	6	3e-04	0	0.5
btl	Lis.1	2	6	0.0021	0	0.5
Cyt.c.d	Lis.1	2	6	6e-04	0	0.5
tok	Lis.1	2	6	0.0018	0	0.5
ttk	Lis.1	2	6	0.0013	0	0.5
tamo	Lis.1	2	6	3e-04	0	0.5
CG6416	Lis.1	2	6	7e-04	0	0.5
flfl	Lis.1	2	6	0.001	0	0.5
Pvr	Lis.1	2	6	9e-04	0	0.5
kay	Lis.1	2	6	1e-04	0	0.5
Jra	Lis.1	2	6	3e-04	0	0.5
msk	Lis.1	2	6	0.0411	0	0.5
tll	Lis.1	2	6	1e-04	0	0.5
Tm1	Lis.1	2	6	6e-04	0	0.5
srp	Lis.1	2	6	3e-04	0	0.5
Btk29A	Lis.1	2	6	4e-04	0	0.5
fred	Lis.1	2	6	3e-04	0	0.5
Src64B	Lis.1	2	6	0.002	0	0.5
Mmp1	Lis.1	2	6	9e-04	0	0.5
sll	Lis.1	2	6	0.0013	0	0.5
Hmgs	Lis.1	2	6	6e-04	0	0.5
caps	Lis.1	2	6	1e-04	0	0.5
Su.var.2.10	Lis.1	2	6	0.0016	0	0.5
CycB	Lis.1	2	6	0.0027	0	0.5
spir	Lis.1	2	6	9e-04	0	0.5
spn.A	Lis.1	2	6	0.0014	0	0.5
Ptpmeg	Lis.1	2	6	8e-04	0	0.5
qua	Lis.1	2	6	8e-04	0	0.5
msn	Lis.1	2	6	1e-04	0	0.5
ena	Lis.1	2	6	0.0016	0	0.5
spen	Lis.1	2	6	9e-04	0	0.5
emc	Lis.1	2	6	0.0067	0	0.5
tsh	Lis.1	2	6	0.0099	0	0.5
Dat	Lis.1	2	6	0.0018	0	0.5
Lac	Lis.1	2	6	6e-04	0	0.5
dup	Lis.1	2	6	0	0	0.5
CG3075	Lis.1	2	6	3e-04	0	0.5
Akap200	Lis.1	2	6	0.001	0	0.5
CG18369	Lis.1	2	6	0.0013	0	0.5
bnl	Lis.1	2	6	6e-04	0	0.5
sec23	Lis.1	2	6	0.0013	0	0.5
Pde8	Lis.1	2	6	8e-04	0	0.5
Arp66B	Lis.1	2	6	2e-04	0	0.5
cos	Lis.1	2	6	5e-04	0	0.5
Borr	Lis.1	2	6	0.0051	0	0.5
X140up	Lis.1	2	6	8e-04	0	0.5
Dhc64C	Lis.1	2	6	7e-04	0	0.5
Not1	Lis.1	2	6	9e-04	0	0.5
CG9520	Lis.1	2	6	0.0013	0	0.5
bib	Lis.1	2	6	0.0018	0	0.5
mib1	Lis.1	2	6	0.0016	0	0.5
cas	Lis.1	2	6	7e-04	0	0.5
Abi	Lis.1	2	6	4e-04	0	0.5
betaTub56D	Lis.1	2	6	3e-04	0	0.5
nej	Lis.1	2	6	1e-04	0	0.5
dlg1	Lis.1	2	6	3e-04	0	0.5
Lcp65Ag1	Lis.1	2	6	6e-04	0	0.5
Es2	Lis.1	2	6	0.0202	0	0.5
MED24	Lis.1	2	6	0.0046	0	0.5
Vhl	Lis.1	2	6	0	0	0.5
tral	Lis.1	2	6	0.0012	0	0.5
sns	Lis.1	2	6	0.0014	0	0.5
mbl	Lis.1	2	6	0.0126	0	0.5
sav	Lis.1	2	6	0.0017	0	0.5
lola	Lis.1	2	6	0.0037	0	0.5
robo	Lis.1	2	6	3e-04	0	0.5
CG32486	Lis.1	2	6	0.0014	0	0.5
santa.maria	Lis.1	2	6	0	0	0.5
stumps	Lis.1	2	6	0.001	0	0.5
abd.A	Lis.1	2	6	0.0102	0	0.5
dock	Lis.1	2	6	3e-04	0	0.5
Lar	Lis.1	2	6	2e-04	0	0.5
l.1.G0289	Lis.1	2	6	0	0	0.5
Abl	Lis.1	2	6	1e-04	0	0.5
Syb	Lis.1	2	6	3e-04	0	0.5
dome	Lis.1	2	6	0.0012	0	0.5
ofs	Lis.1	2	6	3e-04	0	0.5
MED4	Lis.1	2	6	5e-04	0	0.5
scrib	Lis.1	2	6	0.0025	0	0.5
siz	Lis.1	2	6	0.0026	0	0.5
cbx	Lis.1	2	6	0.0441	0	0.5
dsx	Lis.1	2	6	5e-04	0	0.5
Sb	Lis.1	2	6	5e-04	0	0.5
sax	Lis.1	2	6	5e-04	0	0.5
foxo	Lis.1	2	6	4e-04	0	0.5
Cyp1	Lis.1	2	6	3e-04	0	0.5
brm	Lis.1	2	6	8e-04	0	0.5
rad50	Lis.1	2	6	6e-04	0	0.5
chico	Lis.1	2	6	1e-04	0	0.5
cp309	Lis.1	2	6	0.0013	0	0.5
hdc	Lis.1	2	6	5e-04	0	0.5
Axn	Lis.1	2	6	3e-04	0	0.5
Apc2	Lis.1	2	6	0.0012	0	0.5
PhKgamma	Lis.1	2	6	3e-04	0	0.5
eya	Lis.1	2	6	8e-04	0	0.5
sktl	Lis.1	2	6	1e-04	0	0.5
sqd	Lis.1	2	6	8e-04	0	0.5
Akt1	Lis.1	2	6	0.0012	0	0.5
scyl	Lis.1	2	6	0.0012	0	0.5
cnk	Lis.1	2	6	5e-04	0	0.5
CG8149	Lis.1	2	6	5e-04	0	0.5
CG34379	Lis.1	2	6	0.0049	0	0.5
Yp1	Lis.1	2	6	0.0019	0	0.5
yrt	Lis.1	2	6	5e-04	0	0.5
bap	Lis.1	2	6	0.0015	0	0.5
tud	Lis.1	2	6	8e-04	0	0.5
ct	Lis.1	2	6	0	0	0.5
tup	Lis.1	2	6	0.0135	0	0.5
G.ialpha65A	Lis.1	2	6	2e-04	0	0.5
knrl	Lis.1	2	6	8e-04	0	0.5
Pkn	Lis.1	2	6	8e-04	0	0.5
Sry.delta	Lis.1	2	6	9e-04	0	0.5
Alh	Lis.1	2	6	6e-04	0	0.5
pnut	Lis.1	2	6	9e-04	0	0.5
phyl	Lis.1	2	6	0.001	0	0.5
CG17739	Lis.1	2	6	6e-04	0	0.5
B4	Lis.1	2	6	0.0023	0	0.5
CG2681	Lis.1	2	6	1e-04	0	0.5
tow	Lis.1	2	6	0.0026	0	0.5
hkl	Lis.1	2	6	1e-04	0	0.5
sina	Lis.1	2	6	7e-04	0	0.5
ry	Lis.1	2	6	0.0096	0	0.5
rux	Lis.1	2	6	1e-04	0	0.5
boss	Lis.1	2	6	4e-04	0	0.5
Mkp3	Lis.1	2	6	0.0013	0	0.5
inaC	Lis.1	2	6	5e-04	0	0.5
sno	Lis.1	2	6	8e-04	0	0.5
jagn	Lis.1	2	6	4e-04	0	0.5
dpn	Lis.1	2	6	2e-04	0	0.5
wrapper	Lis.1	2	6	0.002	0	0.5
Ca.alpha1D	Lis.1	2	6	5e-04	0	0.5
E2f	Lis.1	2	6	7e-04	0	0.5
Dp	Lis.1	2	6	0.0012	0	0.5
l.2.efl	Lis.1	2	6	1e-04	0	0.5
cnc	Lis.1	2	6	8e-04	0	0.5
Atg5	Lis.1	2	6	3e-04	0	0.5
acj6	Lis.1	2	6	3e-04	0	0.5
Trl	Lis.1	2	6	0	0	0.5
d4	Lis.1	2	6	6e-04	0	0.5
CG16719	Lis.1	2	6	3e-04	0	0.5
CadN	Lis.1	2	6	3e-04	0	0.5
gro	Lis.1	2	6	0.0033	0	0.5
sec13	Lis.1	2	6	0.002	0	0.5
klar	Lis.1	2	6	6e-04	0	0.5
Rack1	Lis.1	2	6	8e-04	0	0.5
Sobp	Lis.1	2	6	0.0015	0	0.5
ash1	Lis.1	2	6	0.001	0	0.5
inv	Lis.1	2	6	6e-04	0	0.5
shot	Lis.1	2	6	3e-04	0	0.5
Oseg1	Lis.1	2	6	0.0021	0	0.5
Spred	Lis.1	2	6	0.0033	0	0.5
puc	Lis.1	2	6	1e-04	0	0.5
Atg6	Lis.1	2	6	2e-04	0	0.5
CG3829	Lis.1	2	6	1e-04	0	0.5
sle	Lis.1	2	6	3e-04	0	0.5
Cka	Lis.1	2	6	0.0016	0	0.5
form3	Lis.1	2	6	7e-04	0	0.5
Pk61C	Lis.1	2	6	9e-04	0	0.5
Pcaf	Lis.1	2	6	0.0014	0	0.5
sbb	Lis.1	2	6	3e-04	0	0.5
Ef1gamma	Lis.1	2	6	0.0014	0	0.5
FKBP59	Lis.1	2	6	0.0048	0	0.5
Eip71CD	Lis.1	2	6	0.0039	0	0.5
xmas.2	Lis.1	2	6	0.0032	0	0.5
ppan	Lis.1	2	6	1e-04	0	0.5
Iswi	Lis.1	2	6	7e-04	0	0.5
ine	Lis.1	2	6	0.0013	0	0.5
Tina.1	Lis.1	2	6	0.0023	0	0.5
bon	Lis.1	2	6	0.0013	0	0.5
pot	Lis.1	2	6	0.0027	0	0.5
chic	Lis.1	2	6	0.0013	0	0.5
Hem	Lis.1	2	6	5e-04	0	0.5
chif	Lis.1	2	6	2e-04	0	0.5
S6kII	Lis.1	2	6	3e-04	0	0.5
wal	Lis.1	2	6	2e-04	0	0.5
wls	Lis.1	2	6	2e-04	0	0.5
Ddx1	Lis.1	2	6	0.0039	0	0.5
Sulf1	Lis.1	2	6	6e-04	0	0.5
CG3987	Lis.1	2	6	0	0	0.5
