Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	MED11	2	6	9e-04	0	0.5
emp	MED11	2	6	0.0067	0	0.5
CG2678	MED11	2	6	0.0061	0	0.5
crc	MED11	2	6	2e-04	0	0.5
pros	MED11	2	6	0.0013	0	0.5
neur	MED11	2	6	0.0019	0	0.5
Rab5	MED11	2	6	0.0013	0	0.5
Rab7	MED11	2	6	0	0	0.5
Mmp2	MED11	2	6	3e-04	0	0.5
W	MED11	2	6	0	0	0.5
bowl	MED11	2	6	7e-04	0	0.5
fd59A	MED11	2	6	0	0	0.5
e	MED11	2	6	2e-04	0	0.5
ben	MED11	2	6	4e-04	0	0.5
rdo	MED11	2	6	0.0018	0	0.5
lin	MED11	2	6	5e-04	0	0.5
tra	MED11	2	6	0.002	0	0.5
tra2	MED11	2	6	7e-04	0	0.5
cathD	MED11	2	6	0.0023	0	0.5
d	MED11	2	6	9e-04	0	0.5
lva	MED11	2	6	6e-04	0	0.5
pbl	MED11	2	6	0.0017	0	0.5
CG33205	MED11	2	6	7e-04	0	0.5
da	MED11	2	6	0.001	0	0.5
cactin	MED11	2	6	0.0035	0	0.5
hpo	MED11	2	6	0.0034	0	0.5
Sema.2a	MED11	2	6	1e-04	0	0.5
Eip74EF	MED11	2	6	0.0022	0	0.5
eg	MED11	2	6	5e-04	0	0.5
Arc42	MED11	2	6	0.0019	0	0.5
toy	MED11	2	6	5e-04	0	0.5
Galpha73B	MED11	2	6	0.0014	0	0.5
RhoGAPp190	MED11	2	6	0	0	0.5
MED11	MED11	2	6	4e-04	0	0.5
cher	MED11	2	6	6e-04	0	0.5
BicD	MED11	2	6	0.0011	0	0.5
MYPT.75D	MED11	2	6	0.0023	0	0.5
mus304	MED11	2	6	0.0019	0	0.5
CdsA	MED11	2	6	4e-04	0	0.5
btl	MED11	2	6	5e-04	0	0.5
Cyt.c.d	MED11	2	6	8e-04	0	0.5
tok	MED11	2	6	0.0018	0	0.5
ttk	MED11	2	6	4e-04	0	0.5
tamo	MED11	2	6	1e-04	0	0.5
CG6416	MED11	2	6	0.0023	0	0.5
flfl	MED11	2	6	0.0015	0	0.5
Pvr	MED11	2	6	0.0012	0	0.5
kay	MED11	2	6	2e-04	0	0.5
Jra	MED11	2	6	1e-04	0	0.5
msk	MED11	2	6	0.001	0	0.5
tll	MED11	2	6	0.001	0	0.5
Tm1	MED11	2	6	1e-04	0	0.5
srp	MED11	2	6	0	0	0.5
Btk29A	MED11	2	6	6e-04	0	0.5
fred	MED11	2	6	0.0046	0	0.5
Src64B	MED11	2	6	0.0011	0	0.5
Mmp1	MED11	2	6	5e-04	0	0.5
sll	MED11	2	6	3e-04	0	0.5
Hmgs	MED11	2	6	0.0016	0	0.5
caps	MED11	2	6	0.0011	0	0.5
Su.var.2.10	MED11	2	6	0.0022	0	0.5
CycB	MED11	2	6	0.0015	0	0.5
spir	MED11	2	6	0.0017	0	0.5
spn.A	MED11	2	6	0.0025	0	0.5
Ptpmeg	MED11	2	6	3e-04	0	0.5
qua	MED11	2	6	4e-04	0	0.5
msn	MED11	2	6	0.0012	0	0.5
ena	MED11	2	6	0.0011	0	0.5
spen	MED11	2	6	3e-04	0	0.5
emc	MED11	2	6	2e-04	0	0.5
tsh	MED11	2	6	5e-04	0	0.5
Dat	MED11	2	6	8e-04	0	0.5
Lac	MED11	2	6	8e-04	0	0.5
dup	MED11	2	6	0.0011	0	0.5
CG3075	MED11	2	6	5e-04	0	0.5
Akap200	MED11	2	6	0.0024	0	0.5
CG18369	MED11	2	6	0.051	0	0.5
bnl	MED11	2	6	0.0013	0	0.5
sec23	MED11	2	6	0.0019	0	0.5
Pde8	MED11	2	6	8e-04	0	0.5
Arp66B	MED11	2	6	0.0016	0	0.5
cos	MED11	2	6	0.0074	0	0.5
Borr	MED11	2	6	0.002	0	0.5
X140up	MED11	2	6	0.003	0	0.5
Dhc64C	MED11	2	6	0.0022	0	0.5
Not1	MED11	2	6	0.002	0	0.5
CG9520	MED11	2	6	0.0023	0	0.5
bib	MED11	2	6	5e-04	0	0.5
mib1	MED11	2	6	0.0013	0	0.5
cas	MED11	2	6	2e-04	0	0.5
Abi	MED11	2	6	0.0022	0	0.5
betaTub56D	MED11	2	6	0.0049	0	0.5
nej	MED11	2	6	6e-04	0	0.5
dlg1	MED11	2	6	4e-04	0	0.5
Lcp65Ag1	MED11	2	6	5e-04	0	0.5
Es2	MED11	2	6	0.0134	0	0.5
MED24	MED11	2	6	0	0	0.5
Vhl	MED11	2	6	1e-04	0	0.5
tral	MED11	2	6	4e-04	0	0.5
sns	MED11	2	6	4e-04	0	0.5
mbl	MED11	2	6	0.0053	0	0.5
sav	MED11	2	6	0.0017	0	0.5
lola	MED11	2	6	0.002	0	0.5
robo	MED11	2	6	0.0017	0	0.5
CG32486	MED11	2	6	0.0014	0	0.5
santa.maria	MED11	2	6	1e-04	0	0.5
stumps	MED11	2	6	4e-04	0	0.5
abd.A	MED11	2	6	6e-04	0	0.5
dock	MED11	2	6	0.0012	0	0.5
Lar	MED11	2	6	0.0032	0	0.5
l.1.G0289	MED11	2	6	0	0	0.5
Abl	MED11	2	6	0.001	0	0.5
Syb	MED11	2	6	6e-04	0	0.5
dome	MED11	2	6	2e-04	0	0.5
ofs	MED11	2	6	0.001	0	0.5
MED4	MED11	2	6	0	0	0.5
scrib	MED11	2	6	0.0345	0	0.5
siz	MED11	2	6	0	0	0.5
cbx	MED11	2	6	0.0015	0	0.5
dsx	MED11	2	6	3e-04	0	0.5
Sb	MED11	2	6	4e-04	0	0.5
sax	MED11	2	6	0.0014	0	0.5
foxo	MED11	2	6	1e-04	0	0.5
Cyp1	MED11	2	6	2e-04	0	0.5
brm	MED11	2	6	2e-04	0	0.5
rad50	MED11	2	6	0.0019	0	0.5
chico	MED11	2	6	2e-04	0	0.5
cp309	MED11	2	6	4e-04	0	0.5
hdc	MED11	2	6	6e-04	0	0.5
Axn	MED11	2	6	0.001	0	0.5
Apc2	MED11	2	6	0.0127	0	0.5
PhKgamma	MED11	2	6	3e-04	0	0.5
eya	MED11	2	6	6e-04	0	0.5
sktl	MED11	2	6	0.0016	0	0.5
sqd	MED11	2	6	8e-04	0	0.5
Akt1	MED11	2	6	0.001	0	0.5
scyl	MED11	2	6	3e-04	0	0.5
cnk	MED11	2	6	9e-04	0	0.5
CG8149	MED11	2	6	4e-04	0	0.5
CG34379	MED11	2	6	4e-04	0	0.5
Yp1	MED11	2	6	0.0077	0	0.5
yrt	MED11	2	6	3e-04	0	0.5
bap	MED11	2	6	0.0014	0	0.5
tud	MED11	2	6	4e-04	0	0.5
ct	MED11	2	6	0.0027	0	0.5
