Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	MYPT.75D	2	6	0	0	0.5
emp	MYPT.75D	2	6	2e-04	0	0.5
CG2678	MYPT.75D	2	6	0	0	0.5
crc	MYPT.75D	2	6	0	0	0.5
pros	MYPT.75D	2	6	0	0	0.5
neur	MYPT.75D	2	6	0	0	0.5
Rab5	MYPT.75D	2	6	0	0	0.5
Rab7	MYPT.75D	2	6	0	0	0.5
Mmp2	MYPT.75D	2	6	0	0	0.5
W	MYPT.75D	2	6	7e-04	0	0.5
bowl	MYPT.75D	2	6	3e-04	0	0.5
fd59A	MYPT.75D	2	6	0	0	0.5
e	MYPT.75D	2	6	0	0	0.5
ben	MYPT.75D	2	6	0	0	0.5
rdo	MYPT.75D	2	6	0	0	0.5
lin	MYPT.75D	2	6	0	0	0.5
tra	MYPT.75D	2	6	3e-04	0	0.5
tra2	MYPT.75D	2	6	0	0	0.5
cathD	MYPT.75D	2	6	5e-04	0	0.5
d	MYPT.75D	2	6	1e-04	0	0.5
lva	MYPT.75D	2	6	0	0	0.5
pbl	MYPT.75D	2	6	0.3406	0	0.5
CG33205	MYPT.75D	2	6	0	0	0.5
da	MYPT.75D	2	6	0	0	0.5
cactin	MYPT.75D	2	6	0	0	0.5
hpo	MYPT.75D	2	6	0	0	0.5
Sema.2a	MYPT.75D	2	6	0	0	0.5
Eip74EF	MYPT.75D	2	6	0	0	0.5
eg	MYPT.75D	2	6	0	0	0.5
Arc42	MYPT.75D	2	6	0	0	0.5
toy	MYPT.75D	2	6	0	0	0.5
Galpha73B	MYPT.75D	2	6	0	0	0.5
RhoGAPp190	MYPT.75D	2	6	1e-04	0	0.5
MED11	MYPT.75D	2	6	0	0	0.5
cher	MYPT.75D	2	6	1e-04	0	0.5
BicD	MYPT.75D	2	6	0	0	0.5
MYPT.75D	MYPT.75D	2	6	7e-04	0	0.5
mus304	MYPT.75D	2	6	3e-04	0	0.5
CdsA	MYPT.75D	2	6	0	0	0.5
btl	MYPT.75D	2	6	0.001	0	0.5
Cyt.c.d	MYPT.75D	2	6	0	0	0.5
tok	MYPT.75D	2	6	0.3402	0	0.5
ttk	MYPT.75D	2	6	0	0	0.5
tamo	MYPT.75D	2	6	0.0014	0	0.5
CG6416	MYPT.75D	2	6	0	0	0.5
flfl	MYPT.75D	2	6	1e-04	0	0.5
Pvr	MYPT.75D	2	6	0	0	0.5
kay	MYPT.75D	2	6	0	0	0.5
Jra	MYPT.75D	2	6	0	0	0.5
msk	MYPT.75D	2	6	0	0	0.5
tll	MYPT.75D	2	6	9e-04	0	0.5
Tm1	MYPT.75D	2	6	1e-04	0	0.5
srp	MYPT.75D	2	6	0	0	0.5
Btk29A	MYPT.75D	2	6	0	0	0.5
fred	MYPT.75D	2	6	0	0	0.5
Src64B	MYPT.75D	2	6	0	0	0.5
Mmp1	MYPT.75D	2	6	0	0	0.5
sll	MYPT.75D	2	6	0	0	0.5
Hmgs	MYPT.75D	2	6	0	0	0.5
caps	MYPT.75D	2	6	0	0	0.5
Su.var.2.10	MYPT.75D	2	6	0	0	0.5
CycB	MYPT.75D	2	6	0	0	0.5
spir	MYPT.75D	2	6	0	0	0.5
spn.A	MYPT.75D	2	6	0	0	0.5
Ptpmeg	MYPT.75D	2	6	3e-04	0	0.5
qua	MYPT.75D	2	6	0	0	0.5
msn	MYPT.75D	2	6	1e-04	0	0.5
ena	MYPT.75D	2	6	1e-04	0	0.5
spen	MYPT.75D	2	6	0	0	0.5
emc	MYPT.75D	2	6	0	0	0.5
tsh	MYPT.75D	2	6	0	0	0.5
Dat	MYPT.75D	2	6	0	0	0.5
Lac	MYPT.75D	2	6	0	0	0.5
dup	MYPT.75D	2	6	0	0	0.5
CG3075	MYPT.75D	2	6	0	0	0.5
Akap200	MYPT.75D	2	6	0	0	0.5
CG18369	MYPT.75D	2	6	1e-04	0	0.5
bnl	MYPT.75D	2	6	0	0	0.5
sec23	MYPT.75D	2	6	0	0	0.5
Pde8	MYPT.75D	2	6	0	0	0.5
Arp66B	MYPT.75D	2	6	0	0	0.5
cos	MYPT.75D	2	6	0	0	0.5
Borr	MYPT.75D	2	6	0	0	0.5
X140up	MYPT.75D	2	6	7e-04	0	0.5
Dhc64C	MYPT.75D	2	6	0	0	0.5
Not1	MYPT.75D	2	6	0	0	0.5
CG9520	MYPT.75D	2	6	0	0	0.5
bib	MYPT.75D	2	6	0	0	0.5
mib1	MYPT.75D	2	6	9e-04	0	0.5
cas	MYPT.75D	2	6	0	0	0.5
Abi	MYPT.75D	2	6	0.0029	0	0.5
betaTub56D	MYPT.75D	2	6	0	0	0.5
nej	MYPT.75D	2	6	0	0	0.5
dlg1	MYPT.75D	2	6	0	0	0.5
Lcp65Ag1	MYPT.75D	2	6	0	0	0.5
Es2	MYPT.75D	2	6	0	0	0.5
MED24	MYPT.75D	2	6	0	0	0.5
Vhl	MYPT.75D	2	6	0.0021	0	0.5
tral	MYPT.75D	2	6	0	0	0.5
sns	MYPT.75D	2	6	0	0	0.5
mbl	MYPT.75D	2	6	0.3401	0	0.5
sav	MYPT.75D	2	6	0	0	0.5
lola	MYPT.75D	2	6	0	0	0.5
robo	MYPT.75D	2	6	0	0	0.5
CG32486	MYPT.75D	2	6	0	0	0.5
santa.maria	MYPT.75D	2	6	0	0	0.5
stumps	MYPT.75D	2	6	2e-04	0	0.5
abd.A	MYPT.75D	2	6	0	0	0.5
dock	MYPT.75D	2	6	0	0	0.5
Lar	MYPT.75D	2	6	4e-04	0	0.5
l.1.G0289	MYPT.75D	2	6	7e-04	0	0.5
Abl	MYPT.75D	2	6	0	0	0.5
Syb	MYPT.75D	2	6	0	0	0.5
dome	MYPT.75D	2	6	0	0	0.5
ofs	MYPT.75D	2	6	2e-04	0	0.5
MED4	MYPT.75D	2	6	0	0	0.5
scrib	MYPT.75D	2	6	0	0	0.5
siz	MYPT.75D	2	6	0	0	0.5
cbx	MYPT.75D	2	6	0	0	0.5
dsx	MYPT.75D	2	6	5e-04	0	0.5
Sb	MYPT.75D	2	6	0	0	0.5
sax	MYPT.75D	2	6	0	0	0.5
foxo	MYPT.75D	2	6	0	0	0.5
Cyp1	MYPT.75D	2	6	0	0	0.5
brm	MYPT.75D	2	6	0	0	0.5
rad50	MYPT.75D	2	6	2e-04	0	0.5
chico	MYPT.75D	2	6	0	0	0.5
cp309	MYPT.75D	2	6	0	0	0.5
hdc	MYPT.75D	2	6	0	0	0.5
Axn	MYPT.75D	2	6	3e-04	0	0.5
Apc2	MYPT.75D	2	6	0	0	0.5
PhKgamma	MYPT.75D	2	6	0	0	0.5
eya	MYPT.75D	2	6	3e-04	0	0.5
sktl	MYPT.75D	2	6	0	0	0.5
sqd	MYPT.75D	2	6	6e-04	0	0.5
Akt1	MYPT.75D	2	6	2e-04	0	0.5
scyl	MYPT.75D	2	6	0	0	0.5
cnk	MYPT.75D	2	6	0	0	0.5
CG8149	MYPT.75D	2	6	0	0	0.5
CG34379	MYPT.75D	2	6	1e-04	0	0.5
Yp1	MYPT.75D	2	6	0	0	0.5
yrt	MYPT.75D	2	6	5e-04	0	0.5
bap	MYPT.75D	2	6	1e-04	0	0.5
tud	MYPT.75D	2	6	0	0	0.5
ct	MYPT.75D	2	6	0	0	0.5
tup	MYPT.75D	2	6	2e-04	0	0.5
G.ialpha65A	MYPT.75D	2	6	6e-04	0	0.5
knrl	MYPT.75D	2	6	3e-04	0	0.5
Pkn	MYPT.75D	2	6	4e-04	0	0.5
Sry.delta	MYPT.75D	2	6	1e-04	0	0.5
Alh	MYPT.75D	2	6	0	0	0.5
pnut	MYPT.75D	2	6	2e-04	0	0.5
phyl	MYPT.75D	2	6	0	0	0.5
CG17739	MYPT.75D	2	6	2e-04	0	0.5
B4	MYPT.75D	2	6	1e-04	0	0.5
CG2681	MYPT.75D	2	6	0	0	0.5
tow	MYPT.75D	2	6	0	0	0.5
hkl	MYPT.75D	2	6	0	0	0.5
sina	MYPT.75D	2	6	0	0	0.5
ry	MYPT.75D	2	6	0	0	0.5
rux	MYPT.75D	2	6	0	0	0.5
boss	MYPT.75D	2	6	0	0	0.5
Mkp3	MYPT.75D	2	6	0	0	0.5
inaC	MYPT.75D	2	6	2e-04	0	0.5
sno	MYPT.75D	2	6	0	0	0.5
jagn	MYPT.75D	2	6	0	0	0.5
dpn	MYPT.75D	2	6	0	0	0.5
wrapper	MYPT.75D	2	6	2e-04	0	0.5
Ca.alpha1D	MYPT.75D	2	6	0	0	0.5
E2f	MYPT.75D	2	6	0	0	0.5
Dp	MYPT.75D	2	6	0	0	0.5
l.2.efl	MYPT.75D	2	6	0	0	0.5
cnc	MYPT.75D	2	6	1e-04	0	0.5
Atg5	MYPT.75D	2	6	0	0	0.5
acj6	MYPT.75D	2	6	0	0	0.5
Trl	MYPT.75D	2	6	0	0	0.5
d4	MYPT.75D	2	6	0	0	0.5
CG16719	MYPT.75D	2	6	0	0	0.5
CadN	MYPT.75D	2	6	0	0	0.5
gro	MYPT.75D	2	6	0	0	0.5
sec13	MYPT.75D	2	6	0	0	0.5
klar	MYPT.75D	2	6	0	0	0.5
Rack1	MYPT.75D	2	6	0	0	0.5
Sobp	MYPT.75D	2	6	0	0	0.5
ash1	MYPT.75D	2	6	0	0	0.5
