Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Mbs	2	6	4e-04	0	0.5
emp	Mbs	2	6	9e-04	0	0.5
CG2678	Mbs	2	6	3e-04	0	0.5
crc	Mbs	2	6	0	0	0.5
pros	Mbs	2	6	0	0	0.5
neur	Mbs	2	6	0	0	0.5
Rab5	Mbs	2	6	0	0	0.5
Rab7	Mbs	2	6	2e-04	0	0.5
Mmp2	Mbs	2	6	0	0	0.5
W	Mbs	2	6	5e-04	0	0.5
bowl	Mbs	2	6	0	0	0.5
fd59A	Mbs	2	6	0	0	0.5
e	Mbs	2	6	1e-04	0	0.5
ben	Mbs	2	6	0	0	0.5
rdo	Mbs	2	6	0	0	0.5
lin	Mbs	2	6	0	0	0.5
tra	Mbs	2	6	0	0	0.5
tra2	Mbs	2	6	0.0012	0	0.5
cathD	Mbs	2	6	0	0	0.5
d	Mbs	2	6	0	0	0.5
lva	Mbs	2	6	0	0	0.5
pbl	Mbs	2	6	5e-04	0	0.5
CG33205	Mbs	2	6	0	0	0.5
da	Mbs	2	6	0	0	0.5
cactin	Mbs	2	6	1e-04	0	0.5
hpo	Mbs	2	6	0	0	0.5
Sema.2a	Mbs	2	6	0	0	0.5
Eip74EF	Mbs	2	6	0	0	0.5
eg	Mbs	2	6	1e-04	0	0.5
Arc42	Mbs	2	6	0	0	0.5
toy	Mbs	2	6	0	0	0.5
Galpha73B	Mbs	2	6	0	0	0.5
RhoGAPp190	Mbs	2	6	0	0	0.5
MED11	Mbs	2	6	0	0	0.5
cher	Mbs	2	6	4e-04	0	0.5
BicD	Mbs	2	6	0	0	0.5
MYPT.75D	Mbs	2	6	2e-04	0	0.5
mus304	Mbs	2	6	0	0	0.5
CdsA	Mbs	2	6	0	0	0.5
btl	Mbs	2	6	0	0	0.5
Cyt.c.d	Mbs	2	6	0	0	0.5
tok	Mbs	2	6	0	0	0.5
ttk	Mbs	2	6	4e-04	0	0.5
tamo	Mbs	2	6	0	0	0.5
CG6416	Mbs	2	6	2e-04	0	0.5
flfl	Mbs	2	6	0	0	0.5
Pvr	Mbs	2	6	7e-04	0	0.5
kay	Mbs	2	6	0	0	0.5
Jra	Mbs	2	6	8e-04	0	0.5
msk	Mbs	2	6	0	0	0.5
tll	Mbs	2	6	7e-04	0	0.5
Tm1	Mbs	2	6	0	0	0.5
srp	Mbs	2	6	0	0	0.5
Btk29A	Mbs	2	6	9e-04	0	0.5
fred	Mbs	2	6	0	0	0.5
Src64B	Mbs	2	6	4e-04	0	0.5
Mmp1	Mbs	2	6	0	0	0.5
sll	Mbs	2	6	0	0	0.5
Hmgs	Mbs	2	6	4e-04	0	0.5
caps	Mbs	2	6	0	0	0.5
Su.var.2.10	Mbs	2	6	0	0	0.5
CycB	Mbs	2	6	9e-04	0	0.5
spir	Mbs	2	6	3e-04	0	0.5
spn.A	Mbs	2	6	0	0	0.5
Ptpmeg	Mbs	2	6	3e-04	0	0.5
qua	Mbs	2	6	0	0	0.5
msn	Mbs	2	6	0	0	0.5
ena	Mbs	2	6	0	0	0.5
spen	Mbs	2	6	0	0	0.5
emc	Mbs	2	6	0	0	0.5
tsh	Mbs	2	6	0	0	0.5
Dat	Mbs	2	6	0	0	0.5
