Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Mer	2	6	0	0	0.5
emp	Mer	2	6	0	0	0.5
CG2678	Mer	2	6	0	0	0.5
crc	Mer	2	6	2e-04	0	0.5
pros	Mer	2	6	0	0	0.5
neur	Mer	2	6	3e-04	0	0.5
Rab5	Mer	2	6	6e-04	0	0.5
Rab7	Mer	2	6	0	0	0.5
Mmp2	Mer	2	6	0	0	0.5
W	Mer	2	6	0	0	0.5
bowl	Mer	2	6	9e-04	0	0.5
fd59A	Mer	2	6	0	0	0.5
e	Mer	2	6	0.0012	0	0.5
ben	Mer	2	6	2e-04	0	0.5
rdo	Mer	2	6	0	0	0.5
lin	Mer	2	6	0	0	0.5
tra	Mer	2	6	0	0	0.5
tra2	Mer	2	6	0	0	0.5
cathD	Mer	2	6	3e-04	0	0.5
d	Mer	2	6	0	0	0.5
lva	Mer	2	6	0	0	0.5
pbl	Mer	2	6	4e-04	0	0.5
CG33205	Mer	2	6	2e-04	0	0.5
da	Mer	2	6	3e-04	0	0.5
cactin	Mer	2	6	0	0	0.5
hpo	Mer	2	6	0	0	0.5
Sema.2a	Mer	2	6	2e-04	0	0.5
Eip74EF	Mer	2	6	0	0	0.5
eg	Mer	2	6	0	0	0.5
Arc42	Mer	2	6	4e-04	0	0.5
toy	Mer	2	6	0	0	0.5
Galpha73B	Mer	2	6	0	0	0.5
RhoGAPp190	Mer	2	6	0	0	0.5
MED11	Mer	2	6	0	0	0.5
cher	Mer	2	6	3e-04	0	0.5
BicD	Mer	2	6	0	0	0.5
MYPT.75D	Mer	2	6	0	0	0.5
mus304	Mer	2	6	0	0	0.5
CdsA	Mer	2	6	0.0014	0	0.5
btl	Mer	2	6	0	0	0.5
Cyt.c.d	Mer	2	6	0	0	0.5
tok	Mer	2	6	1e-04	0	0.5
ttk	Mer	2	6	1e-04	0	0.5
tamo	Mer	2	6	1e-04	0	0.5
CG6416	Mer	2	6	0	0	0.5
flfl	Mer	2	6	0	0	0.5
Pvr	Mer	2	6	0	0	0.5
kay	Mer	2	6	2e-04	0	0.5
Jra	Mer	2	6	0	0	0.5
msk	Mer	2	6	0	0	0.5
tll	Mer	2	6	1e-04	0	0.5
Tm1	Mer	2	6	0	0	0.5
srp	Mer	2	6	0	0	0.5
Btk29A	Mer	2	6	0	0	0.5
fred	Mer	2	6	0	0	0.5
Src64B	Mer	2	6	4e-04	0	0.5
Mmp1	Mer	2	6	0	0	0.5
sll	Mer	2	6	0	0	0.5
Hmgs	Mer	2	6	0	0	0.5
caps	Mer	2	6	0	0	0.5
