Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Mhc	2	6	3e-04	0	0.5
emp	Mhc	2	6	0	0	0.5
CG2678	Mhc	2	6	2e-04	0	0.5
crc	Mhc	2	6	0	0	0.5
pros	Mhc	2	6	0	0	0.5
neur	Mhc	2	6	0.0016	0	0.5
Rab5	Mhc	2	6	3e-04	0	0.5
Rab7	Mhc	2	6	0	0	0.5
Mmp2	Mhc	2	6	0	0	0.5
W	Mhc	2	6	8e-04	0	0.5
bowl	Mhc	2	6	0	0	0.5
fd59A	Mhc	2	6	2e-04	0	0.5
e	Mhc	2	6	0	0	0.5
ben	Mhc	2	6	0	0	0.5
rdo	Mhc	2	6	1e-04	0	0.5
lin	Mhc	2	6	0	0	0.5
tra	Mhc	2	6	0	0	0.5
tra2	Mhc	2	6	2e-04	0	0.5
cathD	Mhc	2	6	0	0	0.5
d	Mhc	2	6	0	0	0.5
lva	Mhc	2	6	4e-04	0	0.5
pbl	Mhc	2	6	1e-04	0	0.5
CG33205	Mhc	2	6	0	0	0.5
da	Mhc	2	6	0	0	0.5
cactin	Mhc	2	6	1e-04	0	0.5
hpo	Mhc	2	6	0	0	0.5
Sema.2a	Mhc	2	6	0	0	0.5
Eip74EF	Mhc	2	6	6e-04	0	0.5
eg	Mhc	2	6	0	0	0.5
Arc42	Mhc	2	6	0	0	0.5
toy	Mhc	2	6	0	0	0.5
Galpha73B	Mhc	2	6	0	0	0.5
RhoGAPp190	Mhc	2	6	0	0	0.5
MED11	Mhc	2	6	0	0	0.5
cher	Mhc	2	6	0	0	0.5
BicD	Mhc	2	6	0	0	0.5
MYPT.75D	Mhc	2	6	0	0	0.5
mus304	Mhc	2	6	6e-04	0	0.5
CdsA	Mhc	2	6	4e-04	0	0.5
btl	Mhc	2	6	0	0	0.5
Cyt.c.d	Mhc	2	6	5e-04	0	0.5
tok	Mhc	2	6	0	0	0.5
ttk	Mhc	2	6	0	0	0.5
tamo	Mhc	2	6	2e-04	0	0.5
CG6416	Mhc	2	6	0	0	0.5
flfl	Mhc	2	6	2e-04	0	0.5
Pvr	Mhc	2	6	0	0	0.5
kay	Mhc	2	6	0	0	0.5
Jra	Mhc	2	6	0	0	0.5
msk	Mhc	2	6	2e-04	0	0.5
tll	Mhc	2	6	0	0	0.5
Tm1	Mhc	2	6	1e-04	0	0.5
srp	Mhc	2	6	0	0	0.5
Btk29A	Mhc	2	6	0	0	0.5
