Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Mkp3	2	6	0	0	0.5
emp	Mkp3	2	6	6e-04	0	0.5
CG2678	Mkp3	2	6	0	0	0.5
crc	Mkp3	2	6	0	0	0.5
pros	Mkp3	2	6	0	0	0.5
neur	Mkp3	2	6	0	0	0.5
Rab5	Mkp3	2	6	7e-04	0	0.5
Rab7	Mkp3	2	6	0	0	0.5
Mmp2	Mkp3	2	6	0	0	0.5
W	Mkp3	2	6	0	0	0.5
bowl	Mkp3	2	6	2e-04	0	0.5
fd59A	Mkp3	2	6	1e-04	0	0.5
e	Mkp3	2	6	0	0	0.5
ben	Mkp3	2	6	0	0	0.5
rdo	Mkp3	2	6	2e-04	0	0.5
lin	Mkp3	2	6	0	0	0.5
tra	Mkp3	2	6	0	0	0.5
tra2	Mkp3	2	6	0	0	0.5
cathD	Mkp3	2	6	0	0	0.5
d	Mkp3	2	6	0	0	0.5
lva	Mkp3	2	6	0	0	0.5
pbl	Mkp3	2	6	2e-04	0	0.5
CG33205	Mkp3	2	6	0	0	0.5
da	Mkp3	2	6	0	0	0.5
cactin	Mkp3	2	6	0	0	0.5
hpo	Mkp3	2	6	5e-04	0	0.5
Sema.2a	Mkp3	2	6	0.001	0	0.5
Eip74EF	Mkp3	2	6	0	0	0.5
eg	Mkp3	2	6	0	0	0.5
Arc42	Mkp3	2	6	0	0	0.5
toy	Mkp3	2	6	0	0	0.5
Galpha73B	Mkp3	2	6	0	0	0.5
RhoGAPp190	Mkp3	2	6	2e-04	0	0.5
MED11	Mkp3	2	6	0	0	0.5
cher	Mkp3	2	6	0	0	0.5
BicD	Mkp3	2	6	2e-04	0	0.5
MYPT.75D	Mkp3	2	6	0	0	0.5
mus304	Mkp3	2	6	0	0	0.5
CdsA	Mkp3	2	6	0	0	0.5
btl	Mkp3	2	6	0	0	0.5
Cyt.c.d	Mkp3	2	6	0	0	0.5
tok	Mkp3	2	6	0	0	0.5
ttk	Mkp3	2	6	9e-04	0	0.5
tamo	Mkp3	2	6	5e-04	0	0.5
CG6416	Mkp3	2	6	0	0	0.5
flfl	Mkp3	2	6	0.0018	0	0.5
Pvr	Mkp3	2	6	0	0	0.5
kay	Mkp3	2	6	2e-04	0	0.5
Jra	Mkp3	2	6	6e-04	0	0.5
msk	Mkp3	2	6	2e-04	0	0.5
tll	Mkp3	2	6	1e-04	0	0.5
Tm1	Mkp3	2	6	0	0	0.5
srp	Mkp3	2	6	0	0	0.5
Btk29A	Mkp3	2	6	2e-04	0	0.5
fred	Mkp3	2	6	4e-04	0	0.5
Src64B	Mkp3	2	6	2e-04	0	0.5
Mmp1	Mkp3	2	6	0	0	0.5
sll	Mkp3	2	6	0	0	0.5
Hmgs	Mkp3	2	6	0	0	0.5
caps	Mkp3	2	6	0	0	0.5
Su.var.2.10	Mkp3	2	6	0	0	0.5
CycB	Mkp3	2	6	0	0	0.5
spir	Mkp3	2	6	2e-04	0	0.5
spn.A	Mkp3	2	6	0	0	0.5
Ptpmeg	Mkp3	2	6	0	0	0.5
qua	Mkp3	2	6	0	0	0.5
msn	Mkp3	2	6	0	0	0.5
ena	Mkp3	2	6	0	0	0.5
spen	Mkp3	2	6	0	0	0.5
emc	Mkp3	2	6	0	0	0.5
tsh	Mkp3	2	6	0	0	0.5
Dat	Mkp3	2	6	0	0	0.5
Lac	Mkp3	2	6	3e-04	0	0.5
dup	Mkp3	2	6	0	0	0.5
CG3075	Mkp3	2	6	0	0	0.5
Akap200	Mkp3	2	6	0	0	0.5
CG18369	Mkp3	2	6	8e-04	0	0.5
bnl	Mkp3	2	6	0	0	0.5
sec23	Mkp3	2	6	7e-04	0	0.5
Pde8	Mkp3	2	6	2e-04	0	0.5
Arp66B	Mkp3	2	6	0	0	0.5
cos	Mkp3	2	6	1e-04	0	0.5
Borr	Mkp3	2	6	2e-04	0	0.5
X140up	Mkp3	2	6	0	0	0.5
Dhc64C	Mkp3	2	6	0	0	0.5
Not1	Mkp3	2	6	0	0	0.5
CG9520	Mkp3	2	6	0	0	0.5
bib	Mkp3	2	6	0	0	0.5
mib1	Mkp3	2	6	0	0	0.5
cas	Mkp3	2	6	0	0	0.5
Abi	Mkp3	2	6	0	0	0.5
betaTub56D	Mkp3	2	6	1e-04	0	0.5
nej	Mkp3	2	6	0	0	0.5
dlg1	Mkp3	2	6	0	0	0.5
Lcp65Ag1	Mkp3	2	6	0	0	0.5
Es2	Mkp3	2	6	0	0	0.5
MED24	Mkp3	2	6	0	0	0.5
Vhl	Mkp3	2	6	2e-04	0	0.5
tral	Mkp3	2	6	0	0	0.5
sns	Mkp3	2	6	0	0	0.5
mbl	Mkp3	2	6	1e-04	0	0.5
sav	Mkp3	2	6	0	0	0.5
lola	Mkp3	2	6	2e-04	0	0.5
robo	Mkp3	2	6	0	0	0.5
CG32486	Mkp3	2	6	0	0	0.5
santa.maria	Mkp3	2	6	0	0	0.5
stumps	Mkp3	2	6	2e-04	0	0.5
abd.A	Mkp3	2	6	0	0	0.5
dock	Mkp3	2	6	1e-04	0	0.5
Lar	Mkp3	2	6	4e-04	0	0.5
l.1.G0289	Mkp3	2	6	0	0	0.5
Abl	Mkp3	2	6	0	0	0.5
Syb	Mkp3	2	6	0	0	0.5
dome	Mkp3	2	6	0	0	0.5
ofs	Mkp3	2	6	0	0	0.5
MED4	Mkp3	2	6	0	0	0.5
scrib	Mkp3	2	6	0	0	0.5
siz	Mkp3	2	6	0	0	0.5
cbx	Mkp3	2	6	0	0	0.5
dsx	Mkp3	2	6	0	0	0.5
Sb	Mkp3	2	6	0	0	0.5
sax	Mkp3	2	6	0	0	0.5
foxo	Mkp3	2	6	4e-04	0	0.5
Cyp1	Mkp3	2	6	2e-04	0	0.5
brm	Mkp3	2	6	4e-04	0	0.5
rad50	Mkp3	2	6	0	0	0.5
chico	Mkp3	2	6	1e-04	0	0.5
cp309	Mkp3	2	6	0	0	0.5
hdc	Mkp3	2	6	0	0	0.5
Axn	Mkp3	2	6	0	0	0.5
Apc2	Mkp3	2	6	0	0	0.5
PhKgamma	Mkp3	2	6	6e-04	0	0.5
eya	Mkp3	2	6	4e-04	0	0.5
sktl	Mkp3	2	6	5e-04	0	0.5
sqd	Mkp3	2	6	0.0011	0	0.5
Akt1	Mkp3	2	6	0	0	0.5
scyl	Mkp3	2	6	0	0	0.5
cnk	Mkp3	2	6	0	0	0.5
CG8149	Mkp3	2	6	0	0	0.5
CG34379	Mkp3	2	6	0	0	0.5
Yp1	Mkp3	2	6	0	0	0.5
yrt	Mkp3	2	6	4e-04	0	0.5
bap	Mkp3	2	6	3e-04	0	0.5
tud	Mkp3	2	6	1e-04	0	0.5
ct	Mkp3	2	6	0	0	0.5
tup	Mkp3	2	6	5e-04	0	0.5
G.ialpha65A	Mkp3	2	6	0	0	0.5
knrl	Mkp3	2	6	0	0	0.5
Pkn	Mkp3	2	6	2e-04	0	0.5
Sry.delta	Mkp3	2	6	0.287	0	0.5
Alh	Mkp3	2	6	0	0	0.5
pnut	Mkp3	2	6	0	0	0.5
phyl	Mkp3	2	6	2e-04	0	0.5
CG17739	Mkp3	2	6	0	0	0.5
B4	Mkp3	2	6	1e-04	0	0.5
CG2681	Mkp3	2	6	0	0	0.5
tow	Mkp3	2	6	0	0	0.5
hkl	Mkp3	2	6	0	0	0.5
sina	Mkp3	2	6	2e-04	0	0.5
ry	Mkp3	2	6	1e-04	0	0.5
rux	Mkp3	2	6	0	0	0.5
boss	Mkp3	2	6	0	0	0.5
Mkp3	Mkp3	2	6	0	0	0.5
inaC	Mkp3	2	6	1e-04	0	0.5
sno	Mkp3	2	6	7e-04	0	0.5
jagn	Mkp3	2	6	0	0	0.5
dpn	Mkp3	2	6	0	0	0.5
wrapper	Mkp3	2	6	8e-04	0	0.5
Ca.alpha1D	Mkp3	2	6	3e-04	0	0.5
E2f	Mkp3	2	6	0	0	0.5
Dp	Mkp3	2	6	2e-04	0	0.5
l.2.efl	Mkp3	2	6	7e-04	0	0.5
cnc	Mkp3	2	6	3e-04	0	0.5
Atg5	Mkp3	2	6	0	0	0.5
acj6	Mkp3	2	6	0	0	0.5
Trl	Mkp3	2	6	0	0	0.5
d4	Mkp3	2	6	4e-04	0	0.5
CG16719	Mkp3	2	6	0	0	0.5
CadN	Mkp3	2	6	0	0	0.5
gro	Mkp3	2	6	0	0	0.5
sec13	Mkp3	2	6	0.001	0	0.5
klar	Mkp3	2	6	0	0	0.5
Rack1	Mkp3	2	6	0	0	0.5
Sobp	Mkp3	2	6	5e-04	0	0.5
ash1	Mkp3	2	6	0.001	0	0.5
inv	Mkp3	2	6	0	0	0.5
shot	Mkp3	2	6	5e-04	0	0.5
Oseg1	Mkp3	2	6	4e-04	0	0.5
Spred	Mkp3	2	6	0	0	0.5
puc	Mkp3	2	6	3e-04	0	0.5
Atg6	Mkp3	2	6	0	0	0.5
CG3829	Mkp3	2	6	0	0	0.5
sle	Mkp3	2	6	0	0	0.5
Cka	Mkp3	2	6	0	0	0.5
form3	Mkp3	2	6	0	0	0.5
Pk61C	Mkp3	2	6	1	0.99878	0.5
Pcaf	Mkp3	2	6	9e-04	0	0.5
sbb	Mkp3	2	6	0	0	0.5
Ef1gamma	Mkp3	2	6	0	0	0.5
FKBP59	Mkp3	2	6	0	0	0.5
Eip71CD	Mkp3	2	6	0	0	0.5
xmas.2	Mkp3	2	6	0	0	0.5
ppan	Mkp3	2	6	2e-04	0	0.5
Iswi	Mkp3	2	6	0	0	0.5
ine	Mkp3	2	6	0	0	0.5
Tina.1	Mkp3	2	6	2e-04	0	0.5
bon	Mkp3	2	6	0	0	0.5
pot	Mkp3	2	6	0	0	0.5
chic	Mkp3	2	6	3e-04	0	0.5
Hem	Mkp3	2	6	0	0	0.5
chif	Mkp3	2	6	0	0	0.5
S6kII	Mkp3	2	6	0	0	0.5
wal	Mkp3	2	6	0	0	0.5
wls	Mkp3	2	6	3e-04	0	0.5
Ddx1	Mkp3	2	6	3e-04	0	0.5
Sulf1	Mkp3	2	6	5e-04	0	0.5
CG3987	Mkp3	2	6	3e-04	0	0.5
Abd.B	Mkp3	2	6	0	0	0.5
