Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Mmp1	2	6	0	0	0.5
emp	Mmp1	2	6	2e-04	0	0.5
CG2678	Mmp1	2	6	0	0	0.5
crc	Mmp1	2	6	0	0	0.5
pros	Mmp1	2	6	0	0	0.5
neur	Mmp1	2	6	0	0	0.5
Rab5	Mmp1	2	6	3e-04	0	0.5
Rab7	Mmp1	2	6	2e-04	0	0.5
Mmp2	Mmp1	2	6	0	0	0.5
W	Mmp1	2	6	0	0	0.5
bowl	Mmp1	2	6	0	0	0.5
fd59A	Mmp1	2	6	0	0	0.5
e	Mmp1	2	6	0	0	0.5
ben	Mmp1	2	6	1e-04	0	0.5
rdo	Mmp1	2	6	0	0	0.5
lin	Mmp1	2	6	0	0	0.5
tra	Mmp1	2	6	0	0	0.5
tra2	Mmp1	2	6	0	0	0.5
cathD	Mmp1	2	6	0	0	0.5
d	Mmp1	2	6	0	0	0.5
lva	Mmp1	2	6	5e-04	0	0.5
pbl	Mmp1	2	6	1e-04	0	0.5
CG33205	Mmp1	2	6	0	0	0.5
da	Mmp1	2	6	1e-04	0	0.5
cactin	Mmp1	2	6	1e-04	0	0.5
hpo	Mmp1	2	6	0	0	0.5
Sema.2a	Mmp1	2	6	0	0	0.5
Eip74EF	Mmp1	2	6	0	0	0.5
eg	Mmp1	2	6	0	0	0.5
Arc42	Mmp1	2	6	1e-04	0	0.5
toy	Mmp1	2	6	1e-04	0	0.5
Galpha73B	Mmp1	2	6	1e-04	0	0.5
RhoGAPp190	Mmp1	2	6	0	0	0.5
MED11	Mmp1	2	6	0	0	0.5
cher	Mmp1	2	6	0	0	0.5
BicD	Mmp1	2	6	6e-04	0	0.5
MYPT.75D	Mmp1	2	6	0	0	0.5
mus304	Mmp1	2	6	1e-04	0	0.5
CdsA	Mmp1	2	6	0	0	0.5
btl	Mmp1	2	6	0	0	0.5
Cyt.c.d	Mmp1	2	6	0	0	0.5
tok	Mmp1	2	6	0	0	0.5
ttk	Mmp1	2	6	3e-04	0	0.5
tamo	Mmp1	2	6	0	0	0.5
CG6416	Mmp1	2	6	0	0	0.5
flfl	Mmp1	2	6	0	0	0.5
Pvr	Mmp1	2	6	0	0	0.5
kay	Mmp1	2	6	0	0	0.5
Jra	Mmp1	2	6	0	0	0.5
msk	Mmp1	2	6	0	0	0.5
tll	Mmp1	2	6	0.001	0	0.5
Tm1	Mmp1	2	6	3e-04	0	0.5
srp	Mmp1	2	6	0	0	0.5
Btk29A	Mmp1	2	6	0	0	0.5
fred	Mmp1	2	6	0	0	0.5
Src64B	Mmp1	2	6	0	0	0.5
Mmp1	Mmp1	2	6	0	0	0.5
sll	Mmp1	2	6	1e-04	0	0.5
Hmgs	Mmp1	2	6	1e-04	0	0.5
caps	Mmp1	2	6	2e-04	0	0.5
Su.var.2.10	Mmp1	2	6	0	0	0.5
CycB	Mmp1	2	6	0	0	0.5
spir	Mmp1	2	6	0	0	0.5
spn.A	Mmp1	2	6	3e-04	0	0.5
Ptpmeg	Mmp1	2	6	0	0	0.5
qua	Mmp1	2	6	0	0	0.5
msn	Mmp1	2	6	0	0	0.5
ena	Mmp1	2	6	0	0	0.5
spen	Mmp1	2	6	0	0	0.5
emc	Mmp1	2	6	0	0	0.5
tsh	Mmp1	2	6	0	0	0.5
Dat	Mmp1	2	6	0	0	0.5
Lac	Mmp1	2	6	0.0011	0	0.5
dup	Mmp1	2	6	3e-04	0	0.5
CG3075	Mmp1	2	6	1e-04	0	0.5
Akap200	Mmp1	2	6	0	0	0.5
CG18369	Mmp1	2	6	0	0	0.5
bnl	Mmp1	2	6	0	0	0.5
sec23	Mmp1	2	6	0	0	0.5
Pde8	Mmp1	2	6	0	0	0.5
Arp66B	Mmp1	2	6	0	0	0.5
cos	Mmp1	2	6	0	0	0.5
Borr	Mmp1	2	6	0	0	0.5
X140up	Mmp1	2	6	0	0	0.5
Dhc64C	Mmp1	2	6	0	0	0.5
Not1	Mmp1	2	6	2e-04	0	0.5
CG9520	Mmp1	2	6	3e-04	0	0.5
bib	Mmp1	2	6	0	0	0.5
mib1	Mmp1	2	6	7e-04	0	0.5
cas	Mmp1	2	6	0	0	0.5
Abi	Mmp1	2	6	0	0	0.5
betaTub56D	Mmp1	2	6	0	0	0.5
nej	Mmp1	2	6	0	0	0.5
dlg1	Mmp1	2	6	7e-04	0	0.5
Lcp65Ag1	Mmp1	2	6	2e-04	0	0.5
Es2	Mmp1	2	6	6e-04	0	0.5
MED24	Mmp1	2	6	0	0	0.5
Vhl	Mmp1	2	6	0	0	0.5
tral	Mmp1	2	6	0	0	0.5
sns	Mmp1	2	6	3e-04	0	0.5
mbl	Mmp1	2	6	0	0	0.5
sav	Mmp1	2	6	0	0	0.5
lola	Mmp1	2	6	1e-04	0	0.5
robo	Mmp1	2	6	1e-04	0	0.5
CG32486	Mmp1	2	6	0	0	0.5
santa.maria	Mmp1	2	6	0	0	0.5
stumps	Mmp1	2	6	2e-04	0	0.5
abd.A	Mmp1	2	6	0	0	0.5
dock	Mmp1	2	6	0	0	0.5
Lar	Mmp1	2	6	0	0	0.5
l.1.G0289	Mmp1	2	6	0.0016	0	0.5
Abl	Mmp1	2	6	0	0	0.5
Syb	Mmp1	2	6	0	0	0.5
dome	Mmp1	2	6	1e-04	0	0.5
ofs	Mmp1	2	6	0	0	0.5
MED4	Mmp1	2	6	1e-04	0	0.5
scrib	Mmp1	2	6	0	0	0.5
siz	Mmp1	2	6	0	0	0.5
cbx	Mmp1	2	6	2e-04	0	0.5
dsx	Mmp1	2	6	0	0	0.5
Sb	Mmp1	2	6	0	0	0.5
sax	Mmp1	2	6	0	0	0.5
foxo	Mmp1	2	6	0	0	0.5
Cyp1	Mmp1	2	6	0	0	0.5
brm	Mmp1	2	6	0	0	0.5
rad50	Mmp1	2	6	6e-04	0	0.5
chico	Mmp1	2	6	0	0	0.5
cp309	Mmp1	2	6	3e-04	0	0.5
hdc	Mmp1	2	6	0	0	0.5
Axn	Mmp1	2	6	0	0	0.5
Apc2	Mmp1	2	6	0	0	0.5
PhKgamma	Mmp1	2	6	1e-04	0	0.5
eya	Mmp1	2	6	0	0	0.5
sktl	Mmp1	2	6	0	0	0.5
sqd	Mmp1	2	6	0	0	0.5
Akt1	Mmp1	2	6	0	0	0.5
scyl	Mmp1	2	6	0	0	0.5
cnk	Mmp1	2	6	0	0	0.5
CG8149	Mmp1	2	6	6e-04	0	0.5
CG34379	Mmp1	2	6	1e-04	0	0.5
Yp1	Mmp1	2	6	1e-04	0	0.5
yrt	Mmp1	2	6	5e-04	0	0.5
bap	Mmp1	2	6	0	0	0.5
tud	Mmp1	2	6	0	0	0.5
ct	Mmp1	2	6	0	0	0.5
tup	Mmp1	2	6	0	0	0.5
G.ialpha65A	Mmp1	2	6	0	0	0.5
knrl	Mmp1	2	6	2e-04	0	0.5
Pkn	Mmp1	2	6	0	0	0.5
Sry.delta	Mmp1	2	6	0.0012	0	0.5
Alh	Mmp1	2	6	0	0	0.5
pnut	Mmp1	2	6	2e-04	0	0.5
phyl	Mmp1	2	6	0	0	0.5
CG17739	Mmp1	2	6	5e-04	0	0.5
B4	Mmp1	2	6	0	0	0.5
CG2681	Mmp1	2	6	0	0	0.5
tow	Mmp1	2	6	0	0	0.5
hkl	Mmp1	2	6	0	0	0.5
sina	Mmp1	2	6	1e-04	0	0.5
ry	Mmp1	2	6	0	0	0.5
rux	Mmp1	2	6	6e-04	0	0.5
boss	Mmp1	2	6	0	0	0.5
Mkp3	Mmp1	2	6	0	0	0.5
inaC	Mmp1	2	6	1e-04	0	0.5
sno	Mmp1	2	6	5e-04	0	0.5
jagn	Mmp1	2	6	0	0	0.5
dpn	Mmp1	2	6	0	0	0.5
wrapper	Mmp1	2	6	0	0	0.5
Ca.alpha1D	Mmp1	2	6	0	0	0.5
E2f	Mmp1	2	6	0	0	0.5
Dp	Mmp1	2	6	0	0	0.5
l.2.efl	Mmp1	2	6	1e-04	0	0.5
cnc	Mmp1	2	6	6e-04	0	0.5
Atg5	Mmp1	2	6	6e-04	0	0.5
acj6	Mmp1	2	6	0	0	0.5
Trl	Mmp1	2	6	0	0	0.5
d4	Mmp1	2	6	0	0	0.5
CG16719	Mmp1	2	6	4e-04	0	0.5
CadN	Mmp1	2	6	0	0	0.5
gro	Mmp1	2	6	0	0	0.5
sec13	Mmp1	2	6	0	0	0.5
klar	Mmp1	2	6	0	0	0.5
Rack1	Mmp1	2	6	0	0	0.5
Sobp	Mmp1	2	6	6e-04	0	0.5
ash1	Mmp1	2	6	0	0	0.5
inv	Mmp1	2	6	0	0	0.5
shot	Mmp1	2	6	0	0	0.5
Oseg1	Mmp1	2	6	0	0	0.5
Spred	Mmp1	2	6	0	0	0.5
puc	Mmp1	2	6	0	0	0.5
Atg6	Mmp1	2	6	0	0	0.5
CG3829	Mmp1	2	6	0	0	0.5
sle	Mmp1	2	6	0	0	0.5
Cka	Mmp1	2	6	0	0	0.5
form3	Mmp1	2	6	0	0	0.5
Pk61C	Mmp1	2	6	0	0	0.5
Pcaf	Mmp1	2	6	2e-04	0	0.5
sbb	Mmp1	2	6	1e-04	0	0.5
Ef1gamma	Mmp1	2	6	3e-04	0	0.5
FKBP59	Mmp1	2	6	0	0	0.5
Eip71CD	Mmp1	2	6	3e-04	0	0.5
xmas.2	Mmp1	2	6	0	0	0.5
ppan	Mmp1	2	6	0	0	0.5
Iswi	Mmp1	2	6	8e-04	0	0.5
ine	Mmp1	2	6	0	0	0.5
Tina.1	Mmp1	2	6	2e-04	0	0.5
bon	Mmp1	2	6	0	0	0.5
pot	Mmp1	2	6	0	0	0.5
chic	Mmp1	2	6	4e-04	0	0.5
Hem	Mmp1	2	6	0	0	0.5
chif	Mmp1	2	6	0	0	0.5
S6kII	Mmp1	2	6	0	0	0.5
wal	Mmp1	2	6	2e-04	0	0.5
wls	Mmp1	2	6	0	0	0.5
Ddx1	Mmp1	2	6	0	0	0.5
Sulf1	Mmp1	2	6	0	0	0.5
CG3987	Mmp1	2	6	2e-04	0	0.5
Abd.B	Mmp1	2	6	0	0	0.5
Uba1	Mmp1	2	6	0	0	0.5
bigmax	Mmp1	2	6	7e-04	0	0.5
NAT1	Mmp1	2	6	0.0018	0	0.5
