Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Msp.300	2	6	2e-04	0	0.5
emp	Msp.300	2	6	0.0016	0	0.5
CG2678	Msp.300	2	6	7e-04	0	0.5
crc	Msp.300	2	6	0.001	0	0.5
pros	Msp.300	2	6	0	0	0.5
neur	Msp.300	2	6	0	0	0.5
Rab5	Msp.300	2	6	6e-04	0	0.5
Rab7	Msp.300	2	6	0.0013	0	0.5
Mmp2	Msp.300	2	6	5e-04	0	0.5
W	Msp.300	2	6	0.004	0	0.5
bowl	Msp.300	2	6	1e-04	0	0.5
fd59A	Msp.300	2	6	2e-04	0	0.5
e	Msp.300	2	6	0	0	0.5
ben	Msp.300	2	6	0.0021	0	0.5
rdo	Msp.300	2	6	0.0011	0	0.5
lin	Msp.300	2	6	3e-04	0	0.5
tra	Msp.300	2	6	8e-04	0	0.5
tra2	Msp.300	2	6	4e-04	0	0.5
cathD	Msp.300	2	6	0	0	0.5
d	Msp.300	2	6	1e-04	0	0.5
lva	Msp.300	2	6	3e-04	0	0.5
pbl	Msp.300	2	6	0.0012	0	0.5
CG33205	Msp.300	2	6	2e-04	0	0.5
da	Msp.300	2	6	5e-04	0	0.5
cactin	Msp.300	2	6	0.0013	0	0.5
hpo	Msp.300	2	6	3e-04	0	0.5
Sema.2a	Msp.300	2	6	0	0	0.5
Eip74EF	Msp.300	2	6	9e-04	0	0.5
eg	Msp.300	2	6	0	0	0.5
Arc42	Msp.300	2	6	5e-04	0	0.5
toy	Msp.300	2	6	5e-04	0	0.5
Galpha73B	Msp.300	2	6	7e-04	0	0.5
RhoGAPp190	Msp.300	2	6	0	0	0.5
MED11	Msp.300	2	6	0	0	0.5
cher	Msp.300	2	6	0	0	0.5
BicD	Msp.300	2	6	6e-04	0	0.5
MYPT.75D	Msp.300	2	6	2e-04	0	0.5
mus304	Msp.300	2	6	9e-04	0	0.5
CdsA	Msp.300	2	6	1e-04	0	0.5
btl	Msp.300	2	6	3e-04	0	0.5
Cyt.c.d	Msp.300	2	6	7e-04	0	0.5
tok	Msp.300	2	6	2e-04	0	0.5
ttk	Msp.300	2	6	0	0	0.5
tamo	Msp.300	2	6	0.0033	0	0.5
CG6416	Msp.300	2	6	0.0012	0	0.5
flfl	Msp.300	2	6	2e-04	0	0.5
Pvr	Msp.300	2	6	2e-04	0	0.5
kay	Msp.300	2	6	3e-04	0	0.5
Jra	Msp.300	2	6	9e-04	0	0.5
msk	Msp.300	2	6	0.0059	0	0.5
tll	Msp.300	2	6	0	0	0.5
Tm1	Msp.300	2	6	0	0	0.5
srp	Msp.300	2	6	1e-04	0	0.5
Btk29A	Msp.300	2	6	1e-04	0	0.5
fred	Msp.300	2	6	1e-04	0	0.5
Src64B	Msp.300	2	6	0.0021	0	0.5
Mmp1	Msp.300	2	6	0	0	0.5
sll	Msp.300	2	6	6e-04	0	0.5
Hmgs	Msp.300	2	6	0.0021	0	0.5
caps	Msp.300	2	6	6e-04	0	0.5
Su.var.2.10	Msp.300	2	6	0.0013	0	0.5
CycB	Msp.300	2	6	2e-04	0	0.5
spir	Msp.300	2	6	0	0	0.5
spn.A	Msp.300	2	6	0.1938	0	0.5
Ptpmeg	Msp.300	2	6	9e-04	0	0.5
qua	Msp.300	2	6	0	0	0.5
msn	Msp.300	2	6	1e-04	0	0.5
ena	Msp.300	2	6	0	0	0.5
spen	Msp.300	2	6	0.001	0	0.5
emc	Msp.300	2	6	4e-04	0	0.5
tsh	Msp.300	2	6	4e-04	0	0.5
Dat	Msp.300	2	6	2e-04	0	0.5
Lac	Msp.300	2	6	0.0016	0	0.5
dup	Msp.300	2	6	9e-04	0	0.5
CG3075	Msp.300	2	6	0.0011	0	0.5
Akap200	Msp.300	2	6	0.001	0	0.5
CG18369	Msp.300	2	6	6e-04	0	0.5
bnl	Msp.300	2	6	1e-04	0	0.5
sec23	Msp.300	2	6	6e-04	0	0.5
Pde8	Msp.300	2	6	0	0	0.5
Arp66B	Msp.300	2	6	4e-04	0	0.5
cos	Msp.300	2	6	3e-04	0	0.5
Borr	Msp.300	2	6	0.0012	0	0.5
X140up	Msp.300	2	6	6e-04	0	0.5
Dhc64C	Msp.300	2	6	6e-04	0	0.5
Not1	Msp.300	2	6	7e-04	0	0.5
CG9520	Msp.300	2	6	0.0409	0	0.5
bib	Msp.300	2	6	6e-04	0	0.5
mib1	Msp.300	2	6	0	0	0.5
cas	Msp.300	2	6	1e-04	0	0.5
Abi	Msp.300	2	6	1e-04	0	0.5
betaTub56D	Msp.300	2	6	0.0042	0	0.5
nej	Msp.300	2	6	5e-04	0	0.5
dlg1	Msp.300	2	6	6e-04	0	0.5
Lcp65Ag1	Msp.300	2	6	5e-04	0	0.5
Es2	Msp.300	2	6	0.0017	0	0.5
MED24	Msp.300	2	6	8e-04	0	0.5
Vhl	Msp.300	2	6	1e-04	0	0.5
tral	Msp.300	2	6	4e-04	0	0.5
sns	Msp.300	2	6	1e-04	0	0.5
mbl	Msp.300	2	6	0.001	0	0.5
sav	Msp.300	2	6	0	0	0.5
lola	Msp.300	2	6	0.0142	0	0.5
robo	Msp.300	2	6	0.0016	0	0.5
CG32486	Msp.300	2	6	9e-04	0	0.5
santa.maria	Msp.300	2	6	4e-04	0	0.5
