Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Myo31DF	2	6	0	0	0.5
emp	Myo31DF	2	6	5e-04	0	0.5
CG2678	Myo31DF	2	6	5e-04	0	0.5
crc	Myo31DF	2	6	0	0	0.5
pros	Myo31DF	2	6	0	0	0.5
neur	Myo31DF	2	6	0	0	0.5
Rab5	Myo31DF	2	6	0	0	0.5
Rab7	Myo31DF	2	6	0	0	0.5
Mmp2	Myo31DF	2	6	0	0	0.5
W	Myo31DF	2	6	0	0	0.5
bowl	Myo31DF	2	6	0	0	0.5
fd59A	Myo31DF	2	6	0	0	0.5
e	Myo31DF	2	6	0	0	0.5
ben	Myo31DF	2	6	0	0	0.5
rdo	Myo31DF	2	6	0	0	0.5
lin	Myo31DF	2	6	0	0	0.5
tra	Myo31DF	2	6	1e-04	0	0.5
tra2	Myo31DF	2	6	0	0	0.5
cathD	Myo31DF	2	6	0	0	0.5
d	Myo31DF	2	6	3e-04	0	0.5
lva	Myo31DF	2	6	0	0	0.5
pbl	Myo31DF	2	6	0	0	0.5
CG33205	Myo31DF	2	6	0	0	0.5
da	Myo31DF	2	6	0	0	0.5
cactin	Myo31DF	2	6	4e-04	0	0.5
hpo	Myo31DF	2	6	0	0	0.5
Sema.2a	Myo31DF	2	6	3e-04	0	0.5
Eip74EF	Myo31DF	2	6	8e-04	0	0.5
eg	Myo31DF	2	6	0	0	0.5
Arc42	Myo31DF	2	6	7e-04	0	0.5
toy	Myo31DF	2	6	1e-04	0	0.5
Galpha73B	Myo31DF	2	6	2e-04	0	0.5
RhoGAPp190	Myo31DF	2	6	0	0	0.5
MED11	Myo31DF	2	6	9e-04	0	0.5
cher	Myo31DF	2	6	4e-04	0	0.5
BicD	Myo31DF	2	6	3e-04	0	0.5
MYPT.75D	Myo31DF	2	6	0	0	0.5
mus304	Myo31DF	2	6	0	0	0.5
CdsA	Myo31DF	2	6	0	0	0.5
btl	Myo31DF	2	6	0	0	0.5
Cyt.c.d	Myo31DF	2	6	0	0	0.5
tok	Myo31DF	2	6	0	0	0.5
ttk	Myo31DF	2	6	0	0	0.5
tamo	Myo31DF	2	6	6e-04	0	0.5
CG6416	Myo31DF	2	6	0	0	0.5
flfl	Myo31DF	2	6	0	0	0.5
