Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	N	2	6	4e-04	0	0.5
emp	N	2	6	1e-04	0	0.5
CG2678	N	2	6	0	0	0.5
crc	N	2	6	1e-04	0	0.5
pros	N	2	6	0	0	0.5
neur	N	2	6	0	0	0.5
Rab5	N	2	6	0	0	0.5
Rab7	N	2	6	2e-04	0	0.5
Mmp2	N	2	6	0	0	0.5
W	N	2	6	1e-04	0	0.5
bowl	N	2	6	0	0	0.5
fd59A	N	2	6	4e-04	0	0.5
e	N	2	6	0	0	0.5
ben	N	2	6	0	0	0.5
rdo	N	2	6	0	0	0.5
lin	N	2	6	2e-04	0	0.5
tra	N	2	6	0	0	0.5
tra2	N	2	6	0	0	0.5
cathD	N	2	6	0	0	0.5
d	N	2	6	0	0	0.5
lva	N	2	6	0	0	0.5
pbl	N	2	6	1e-04	0	0.5
CG33205	N	2	6	0	0	0.5
da	N	2	6	1e-04	0	0.5
cactin	N	2	6	0	0	0.5
hpo	N	2	6	0	0	0.5
Sema.2a	N	2	6	0	0	0.5
Eip74EF	N	2	6	0	0	0.5
eg	N	2	6	0	0	0.5
Arc42	N	2	6	0	0	0.5
toy	N	2	6	0	0	0.5
Galpha73B	N	2	6	1e-04	0	0.5
RhoGAPp190	N	2	6	3e-04	0	0.5
MED11	N	2	6	4e-04	0	0.5
cher	N	2	6	1	-0.99953	0.5
BicD	N	2	6	0	0	0.5
MYPT.75D	N	2	6	0	0	0.5
mus304	N	2	6	0	0	0.5
CdsA	N	2	6	0	0	0.5
btl	N	2	6	0	0	0.5
Cyt.c.d	N	2	6	1e-04	0	0.5
tok	N	2	6	0	0	0.5
ttk	N	2	6	0	0	0.5
tamo	N	2	6	0	0	0.5
CG6416	N	2	6	0	0	0.5
flfl	N	2	6	0	0	0.5
Pvr	N	2	6	3e-04	0	0.5
kay	N	2	6	2e-04	0	0.5
Jra	N	2	6	0	0	0.5
msk	N	2	6	1e-04	0	0.5
tll	N	2	6	0	0	0.5
Tm1	N	2	6	0	0	0.5
srp	N	2	6	1e-04	0	0.5
Btk29A	N	2	6	7e-04	0	0.5
fred	N	2	6	0	0	0.5
Src64B	N	2	6	1e-04	0	0.5
Mmp1	N	2	6	0	0	0.5
sll	N	2	6	0	0	0.5
Hmgs	N	2	6	2e-04	0	0.5
caps	N	2	6	0	0	0.5
Su.var.2.10	N	2	6	0	0	0.5
CycB	N	2	6	1e-04	0	0.5
spir	N	2	6	0	0	0.5
spn.A	N	2	6	1e-04	0	0.5
Ptpmeg	N	2	6	0	0	0.5
qua	N	2	6	0	0	0.5
msn	N	2	6	0	0	0.5
ena	N	2	6	0	0	0.5
spen	N	2	6	0	0	0.5
emc	N	2	6	0	0	0.5
tsh	N	2	6	0	0	0.5
Dat	N	2	6	3e-04	0	0.5
Lac	N	2	6	0	0	0.5
dup	N	2	6	0	0	0.5
CG3075	N	2	6	0	0	0.5
Akap200	N	2	6	0	0	0.5
CG18369	N	2	6	0	0	0.5
bnl	N	2	6	3e-04	0	0.5
sec23	N	2	6	0	0	0.5
Pde8	N	2	6	0	0	0.5
Arp66B	N	2	6	0	0	0.5
cos	N	2	6	0	0	0.5
Borr	N	2	6	2e-04	0	0.5
X140up	N	2	6	0	0	0.5
Dhc64C	N	2	6	3e-04	0	0.5
Not1	N	2	6	0	0	0.5
CG9520	N	2	6	0	0	0.5
bib	N	2	6	0	0	0.5
mib1	N	2	6	3e-04	0	0.5
cas	N	2	6	0	0	0.5
Abi	N	2	6	0	0	0.5
betaTub56D	N	2	6	0	0	0.5
nej	N	2	6	0	0	0.5
dlg1	N	2	6	0	0	0.5
Lcp65Ag1	N	2	6	3e-04	0	0.5
Es2	N	2	6	0	0	0.5
MED24	N	2	6	0	0	0.5
Vhl	N	2	6	0	0	0.5
tral	N	2	6	2e-04	0	0.5
sns	N	2	6	0	0	0.5
mbl	N	2	6	1e-04	0	0.5
sav	N	2	6	4e-04	0	0.5
lola	N	2	6	0	0	0.5
robo	N	2	6	0	0	0.5
CG32486	N	2	6	0	0	0.5
santa.maria	N	2	6	0	0	0.5
stumps	N	2	6	0	0	0.5
abd.A	N	2	6	0	0	0.5
dock	N	2	6	0	0	0.5
Lar	N	2	6	0	0	0.5
l.1.G0289	N	2	6	0	0	0.5
Abl	N	2	6	0	0	0.5
Syb	N	2	6	7e-04	0	0.5
dome	N	2	6	0	0	0.5
ofs	N	2	6	0	0	0.5
MED4	N	2	6	0	0	0.5
scrib	N	2	6	0	0	0.5
siz	N	2	6	0	0	0.5
cbx	N	2	6	0	0	0.5
dsx	N	2	6	0	0	0.5
Sb	N	2	6	0	0	0.5
sax	N	2	6	0	0	0.5
foxo	N	2	6	0	0	0.5
Cyp1	N	2	6	0	0	0.5
brm	N	2	6	0	0	0.5
rad50	N	2	6	6e-04	0	0.5
chico	N	2	6	0	0	0.5
cp309	N	2	6	0	0	0.5
hdc	N	2	6	0	0	0.5
Axn	N	2	6	0	0	0.5
Apc2	N	2	6	0	0	0.5
PhKgamma	N	2	6	0	0	0.5
eya	N	2	6	0	0	0.5
sktl	N	2	6	1e-04	0	0.5
sqd	N	2	6	8e-04	0	0.5
Akt1	N	2	6	1e-04	0	0.5
scyl	N	2	6	7e-04	0	0.5
cnk	N	2	6	0	0	0.5
CG8149	N	2	6	0	0	0.5
CG34379	N	2	6	0	0	0.5
Yp1	N	2	6	3e-04	0	0.5
yrt	N	2	6	0	0	0.5
bap	N	2	6	6e-04	0	0.5
tud	N	2	6	0	0	0.5
ct	N	2	6	0	0	0.5
tup	N	2	6	0	0	0.5
G.ialpha65A	N	2	6	0	0	0.5
knrl	N	2	6	0	0	0.5
Pkn	N	2	6	0	0	0.5
Sry.delta	N	2	6	0	0	0.5
Alh	N	2	6	0	0	0.5
pnut	N	2	6	1e-04	0	0.5
phyl	N	2	6	0	0	0.5
CG17739	N	2	6	0	0	0.5
B4	N	2	6	0	0	0.5
CG2681	N	2	6	0	0	0.5
tow	N	2	6	0	0	0.5
hkl	N	2	6	0	0	0.5
sina	N	2	6	1e-04	0	0.5
ry	N	2	6	0	0	0.5
rux	N	2	6	0	0	0.5
boss	N	2	6	0	0	0.5
Mkp3	N	2	6	0	0	0.5
inaC	N	2	6	0	0	0.5
sno	N	2	6	0	0	0.5
jagn	N	2	6	0	0	0.5
dpn	N	2	6	0	0	0.5
wrapper	N	2	6	3e-04	0	0.5
Ca.alpha1D	N	2	6	0	0	0.5
E2f	N	2	6	0	0	0.5
Dp	N	2	6	0	0	0.5
l.2.efl	N	2	6	0	0	0.5
cnc	N	2	6	0	0	0.5
Atg5	N	2	6	0	0	0.5
acj6	N	2	6	0	0	0.5
Trl	N	2	6	0	0	0.5
d4	N	2	6	0	0	0.5
CG16719	N	2	6	0	0	0.5
CadN	N	2	6	0	0	0.5
gro	N	2	6	0	0	0.5
sec13	N	2	6	0	0	0.5
klar	N	2	6	4e-04	0	0.5
Rack1	N	2	6	0	0	0.5
Sobp	N	2	6	0	0	0.5
ash1	N	2	6	0	0	0.5
inv	N	2	6	0	0	0.5
shot	N	2	6	0	0	0.5
Oseg1	N	2	6	0	0	0.5
Spred	N	2	6	1	0.99892	0.5
puc	N	2	6	0	0	0.5
Atg6	N	2	6	0	0	0.5
CG3829	N	2	6	0	0	0.5
sle	N	2	6	0	0	0.5
Cka	N	2	6	0	0	0.5
form3	N	2	6	0	0	0.5
Pk61C	N	2	6	0	0	0.5
Pcaf	N	2	6	0	0	0.5
sbb	N	2	6	0	0	0.5
Ef1gamma	N	2	6	0	0	0.5
FKBP59	N	2	6	0	0	0.5
Eip71CD	N	2	6	0	0	0.5
xmas.2	N	2	6	0	0	0.5
ppan	N	2	6	4e-04	0	0.5
Iswi	N	2	6	5e-04	0	0.5
ine	N	2	6	0	0	0.5
Tina.1	N	2	6	0	0	0.5
bon	N	2	6	0	0	0.5
pot	N	2	6	3e-04	0	0.5
chic	N	2	6	0	0	0.5
Hem	N	2	6	0	0	0.5
chif	N	2	6	0	0	0.5
S6kII	N	2	6	0	0	0.5
wal	N	2	6	3e-04	0	0.5
wls	N	2	6	3e-04	0	0.5
Ddx1	N	2	6	0	0	0.5
Sulf1	N	2	6	0	0	0.5
CG3987	N	2	6	0	0	0.5
Abd.B	N	2	6	0	0	0.5
Uba1	N	2	6	0	0	0.5
bigmax	N	2	6	0.0011	0	0.5
NAT1	N	2	6	1e-04	0	0.5
wupA	N	2	6	0	0	0.5
Vps28	N	2	6	0	0	0.5
G.oalpha47A	N	2	6	0	0	0.5
G.salpha60A	N	2	6	2e-04	0	0.5
dsf	N	2	6	2e-04	0	0.5
Khc	N	2	6	7e-04	0	0.5
CG10641	N	2	6	0	0	0.5
Alk	N	2	6	7e-04	0	0.5
ey	N	2	6	1e-04	0	0.5
noc	N	2	6	4e-04	0	0.5
ix	N	2	6	0	0	0.5
Optix	N	2	6	0	0	0.5
sdt	N	2	6	0	0	0.5
Sxl	N	2	6	1e-04	0	0.5
rib	N	2	6	0.0015	0	0.5
sas	N	2	6	0	0	0.5
Scgdelta	N	2	6	0	0	0.5
sw	N	2	6	2e-04	0	0.5
fal	N	2	6	1e-04	0	0.5
ea	N	2	6	0	0	0.5
Ice	N	2	6	0	0	0.5
cic	N	2	6	0	0	0.5
Dok	N	2	6	0	0	0.5
