Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Nf1	2	6	5e-04	0	0.5
emp	Nf1	2	6	2e-04	0	0.5
CG2678	Nf1	2	6	5e-04	0	0.5
crc	Nf1	2	6	0.022	0	0.5
pros	Nf1	2	6	4e-04	0	0.5
neur	Nf1	2	6	0.0012	0	0.5
Rab5	Nf1	2	6	3e-04	0	0.5
Rab7	Nf1	2	6	3e-04	0	0.5
Mmp2	Nf1	2	6	0	0	0.5
W	Nf1	2	6	9e-04	0	0.5
bowl	Nf1	2	6	0.0019	0	0.5
fd59A	Nf1	2	6	5e-04	0	0.5
e	Nf1	2	6	5e-04	0	0.5
ben	Nf1	2	6	0.001	0	0.5
rdo	Nf1	2	6	2e-04	0	0.5
lin	Nf1	2	6	0.0043	0	0.5
tra	Nf1	2	6	3e-04	0	0.5
tra2	Nf1	2	6	0.001	0	0.5
cathD	Nf1	2	6	5e-04	0	0.5
d	Nf1	2	6	0.0016	0	0.5
lva	Nf1	2	6	0.0043	0	0.5
pbl	Nf1	2	6	2e-04	0	0.5
CG33205	Nf1	2	6	1e-04	0	0.5
da	Nf1	2	6	1e-04	0	0.5
cactin	Nf1	2	6	1e-04	0	0.5
hpo	Nf1	2	6	8e-04	0	0.5
Sema.2a	Nf1	2	6	8e-04	0	0.5
Eip74EF	Nf1	2	6	7e-04	0	0.5
eg	Nf1	2	6	4e-04	0	0.5
Arc42	Nf1	2	6	1e-04	0	0.5
toy	Nf1	2	6	0.0011	0	0.5
Galpha73B	Nf1	2	6	0.0015	0	0.5
RhoGAPp190	Nf1	2	6	0.0012	0	0.5
MED11	Nf1	2	6	6e-04	0	0.5
cher	Nf1	2	6	1e-04	0	0.5
BicD	Nf1	2	6	1e-04	0	0.5
MYPT.75D	Nf1	2	6	1e-04	0	0.5
mus304	Nf1	2	6	0.0014	0	0.5
CdsA	Nf1	2	6	1e-04	0	0.5
btl	Nf1	2	6	0.0013	0	0.5
Cyt.c.d	Nf1	2	6	1e-04	0	0.5
tok	Nf1	2	6	0	0	0.5
ttk	Nf1	2	6	0.002	0	0.5
tamo	Nf1	2	6	8e-04	0	0.5
CG6416	Nf1	2	6	0	0	0.5
flfl	Nf1	2	6	3e-04	0	0.5
Pvr	Nf1	2	6	0.0028	0	0.5
kay	Nf1	2	6	3e-04	0	0.5
Jra	Nf1	2	6	0	0	0.5
msk	Nf1	2	6	0.0011	0	0.5
tll	Nf1	2	6	4e-04	0	0.5
Tm1	Nf1	2	6	3e-04	0	0.5
srp	Nf1	2	6	0.001	0	0.5
Btk29A	Nf1	2	6	0.0013	0	0.5
fred	Nf1	2	6	8e-04	0	0.5
Src64B	Nf1	2	6	0.0012	0	0.5
Mmp1	Nf1	2	6	4e-04	0	0.5
sll	Nf1	2	6	0.0016	0	0.5
Hmgs	Nf1	2	6	8e-04	0	0.5
caps	Nf1	2	6	3e-04	0	0.5
Su.var.2.10	Nf1	2	6	5e-04	0	0.5
CycB	Nf1	2	6	2e-04	0	0.5
spir	Nf1	2	6	0.0013	0	0.5
spn.A	Nf1	2	6	2e-04	0	0.5
Ptpmeg	Nf1	2	6	2e-04	0	0.5
qua	Nf1	2	6	0.001	0	0.5
msn	Nf1	2	6	2e-04	0	0.5
ena	Nf1	2	6	3e-04	0	0.5
spen	Nf1	2	6	3e-04	0	0.5
emc	Nf1	2	6	6e-04	0	0.5
tsh	Nf1	2	6	1e-04	0	0.5
Dat	Nf1	2	6	2e-04	0	0.5
Lac	Nf1	2	6	0.0011	0	0.5
dup	Nf1	2	6	0.0019	0	0.5
CG3075	Nf1	2	6	3e-04	0	0.5
Akap200	Nf1	2	6	4e-04	0	0.5
CG18369	Nf1	2	6	5e-04	0	0.5
bnl	Nf1	2	6	0.0016	0	0.5
sec23	Nf1	2	6	1e-04	0	0.5
Pde8	Nf1	2	6	3e-04	0	0.5
Arp66B	Nf1	2	6	4e-04	0	0.5
cos	Nf1	2	6	0.002	0	0.5
Borr	Nf1	2	6	2e-04	0	0.5
X140up	Nf1	2	6	0.0011	0	0.5
Dhc64C	Nf1	2	6	0	0	0.5
Not1	Nf1	2	6	0.001	0	0.5
CG9520	Nf1	2	6	4e-04	0	0.5
bib	Nf1	2	6	1e-04	0	0.5
mib1	Nf1	2	6	0.0018	0	0.5
cas	Nf1	2	6	8e-04	0	0.5
Abi	Nf1	2	6	3e-04	0	0.5
betaTub56D	Nf1	2	6	0	0	0.5
nej	Nf1	2	6	0.0104	0	0.5
dlg1	Nf1	2	6	6e-04	0	0.5
Lcp65Ag1	Nf1	2	6	6e-04	0	0.5
Es2	Nf1	2	6	3e-04	0	0.5
MED24	Nf1	2	6	7e-04	0	0.5
Vhl	Nf1	2	6	4e-04	0	0.5
tral	Nf1	2	6	7e-04	0	0.5
sns	Nf1	2	6	3e-04	0	0.5
mbl	Nf1	2	6	6e-04	0	0.5
sav	Nf1	2	6	6e-04	0	0.5
lola	Nf1	2	6	2e-04	0	0.5
robo	Nf1	2	6	0.0016	0	0.5
CG32486	Nf1	2	6	0.0017	0	0.5
santa.maria	Nf1	2	6	2e-04	0	0.5
stumps	Nf1	2	6	0.0021	0	0.5
abd.A	Nf1	2	6	0.0014	0	0.5
dock	Nf1	2	6	1e-04	0	0.5
Lar	Nf1	2	6	6e-04	0	0.5
l.1.G0289	Nf1	2	6	0	0	0.5
Abl	Nf1	2	6	0.0025	0	0.5
Syb	Nf1	2	6	3e-04	0	0.5
dome	Nf1	2	6	3e-04	0	0.5
ofs	Nf1	2	6	3e-04	0	0.5
MED4	Nf1	2	6	2e-04	0	0.5
scrib	Nf1	2	6	3e-04	0	0.5
siz	Nf1	2	6	1e-04	0	0.5
cbx	Nf1	2	6	0.0012	0	0.5
dsx	Nf1	2	6	0	0	0.5
Sb	Nf1	2	6	0.0019	0	0.5
sax	Nf1	2	6	0.001	0	0.5
foxo	Nf1	2	6	0.0011	0	0.5
Cyp1	Nf1	2	6	5e-04	0	0.5
brm	Nf1	2	6	0.0024	0	0.5
rad50	Nf1	2	6	3e-04	0	0.5
chico	Nf1	2	6	1e-04	0	0.5
cp309	Nf1	2	6	0.0023	0	0.5
hdc	Nf1	2	6	2e-04	0	0.5
Axn	Nf1	2	6	1e-04	0	0.5
Apc2	Nf1	2	6	2e-04	0	0.5
PhKgamma	Nf1	2	6	3e-04	0	0.5
eya	Nf1	2	6	0	0	0.5
sktl	Nf1	2	6	0	0	0.5
sqd	Nf1	2	6	3e-04	0	0.5
Akt1	Nf1	2	6	3e-04	0	0.5
scyl	Nf1	2	6	3e-04	0	0.5
cnk	Nf1	2	6	5e-04	0	0.5
CG8149	Nf1	2	6	1e-04	0	0.5
CG34379	Nf1	2	6	0.002	0	0.5
