Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Not1	2	6	1e-04	0	0.5
emp	Not1	2	6	7e-04	0	0.5
CG2678	Not1	2	6	1e-04	0	0.5
crc	Not1	2	6	0	0	0.5
pros	Not1	2	6	0	0	0.5
neur	Not1	2	6	0	0	0.5
Rab5	Not1	2	6	0	0	0.5
Rab7	Not1	2	6	0	0	0.5
Mmp2	Not1	2	6	0	0	0.5
W	Not1	2	6	2e-04	0	0.5
bowl	Not1	2	6	0	0	0.5
fd59A	Not1	2	6	1e-04	0	0.5
e	Not1	2	6	0	0	0.5
ben	Not1	2	6	4e-04	0	0.5
rdo	Not1	2	6	0	0	0.5
lin	Not1	2	6	0	0	0.5
tra	Not1	2	6	4e-04	0	0.5
tra2	Not1	2	6	0	0	0.5
cathD	Not1	2	6	0	0	0.5
d	Not1	2	6	0.0011	0	0.5
lva	Not1	2	6	0	0	0.5
pbl	Not1	2	6	0	0	0.5
CG33205	Not1	2	6	0	0	0.5
da	Not1	2	6	0	0	0.5
cactin	Not1	2	6	0	0	0.5
hpo	Not1	2	6	2e-04	0	0.5
Sema.2a	Not1	2	6	0	0	0.5
Eip74EF	Not1	2	6	0	0	0.5
eg	Not1	2	6	0	0	0.5
Arc42	Not1	2	6	0	0	0.5
toy	Not1	2	6	0	0	0.5
Galpha73B	Not1	2	6	2e-04	0	0.5
RhoGAPp190	Not1	2	6	3e-04	0	0.5
MED11	Not1	2	6	0	0	0.5
cher	Not1	2	6	4e-04	0	0.5
BicD	Not1	2	6	3e-04	0	0.5
MYPT.75D	Not1	2	6	2e-04	0	0.5
mus304	Not1	2	6	0	0	0.5
CdsA	Not1	2	6	0	0	0.5
btl	Not1	2	6	4e-04	0	0.5
Cyt.c.d	Not1	2	6	3e-04	0	0.5
tok	Not1	2	6	0	0	0.5
ttk	Not1	2	6	2e-04	0	0.5
tamo	Not1	2	6	3e-04	0	0.5
CG6416	Not1	2	6	0	0	0.5
flfl	Not1	2	6	0	0	0.5
Pvr	Not1	2	6	0	0	0.5
kay	Not1	2	6	0	0	0.5
Jra	Not1	2	6	0	0	0.5
msk	Not1	2	6	7e-04	0	0.5
tll	Not1	2	6	9e-04	0	0.5
Tm1	Not1	2	6	0	0	0.5
srp	Not1	2	6	0	0	0.5
Btk29A	Not1	2	6	5e-04	0	0.5
fred	Not1	2	6	4e-04	0	0.5
Src64B	Not1	2	6	0	0	0.5
Mmp1	Not1	2	6	0	0	0.5
sll	Not1	2	6	0	0	0.5
Hmgs	Not1	2	6	0	0	0.5
caps	Not1	2	6	0	0	0.5
