Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Optix	2	6	0.0015	0	0.5
emp	Optix	2	6	1e-04	0	0.5
CG2678	Optix	2	6	0.0013	0	0.5
crc	Optix	2	6	0.0014	0	0.5
pros	Optix	2	6	0.0022	0	0.5
neur	Optix	2	6	4e-04	0	0.5
Rab5	Optix	2	6	0.01	0	0.5
Rab7	Optix	2	6	3e-04	0	0.5
Mmp2	Optix	2	6	7e-04	0	0.5
W	Optix	2	6	1e-04	0	0.5
bowl	Optix	2	6	0.0031	0	0.5
fd59A	Optix	2	6	0.0011	0	0.5
e	Optix	2	6	0.0029	0	0.5
ben	Optix	2	6	5e-04	0	0.5
rdo	Optix	2	6	1e-04	0	0.5
lin	Optix	2	6	0.0026	0	0.5
tra	Optix	2	6	0.0016	0	0.5
tra2	Optix	2	6	0.0012	0	0.5
cathD	Optix	2	6	8e-04	0	0.5
d	Optix	2	6	6e-04	0	0.5
lva	Optix	2	6	0	0	0.5
pbl	Optix	2	6	8e-04	0	0.5
CG33205	Optix	2	6	9e-04	0	0.5
da	Optix	2	6	4e-04	0	0.5
cactin	Optix	2	6	0	0	0.5
hpo	Optix	2	6	1e-04	0	0.5
Sema.2a	Optix	2	6	0.001	0	0.5
Eip74EF	Optix	2	6	1e-04	0	0.5
eg	Optix	2	6	0.0037	0	0.5
Arc42	Optix	2	6	9e-04	0	0.5
toy	Optix	2	6	9e-04	0	0.5
Galpha73B	Optix	2	6	9e-04	0	0.5
RhoGAPp190	Optix	2	6	0.0012	0	0.5
MED11	Optix	2	6	0.0011	0	0.5
cher	Optix	2	6	8e-04	0	0.5
BicD	Optix	2	6	3e-04	0	0.5
MYPT.75D	Optix	2	6	4e-04	0	0.5
mus304	Optix	2	6	3e-04	0	0.5
CdsA	Optix	2	6	0	0	0.5
btl	Optix	2	6	6e-04	0	0.5
Cyt.c.d	Optix	2	6	1e-04	0	0.5
tok	Optix	2	6	4e-04	0	0.5
ttk	Optix	2	6	0.0084	0	0.5
tamo	Optix	2	6	0.0085	0	0.5
CG6416	Optix	2	6	9e-04	0	0.5
flfl	Optix	2	6	7e-04	0	0.5
Pvr	Optix	2	6	1e-04	0	0.5
kay	Optix	2	6	1e-04	0	0.5
Jra	Optix	2	6	0.0012	0	0.5
msk	Optix	2	6	2e-04	0	0.5
tll	Optix	2	6	0.0016	0	0.5
Tm1	Optix	2	6	7e-04	0	0.5
srp	Optix	2	6	0	0	0.5
Btk29A	Optix	2	6	0.0065	0	0.5
fred	Optix	2	6	8e-04	0	0.5
Src64B	Optix	2	6	0.0023	0	0.5
Mmp1	Optix	2	6	0.0018	0	0.5
sll	Optix	2	6	2e-04	0	0.5
Hmgs	Optix	2	6	3e-04	0	0.5
caps	Optix	2	6	0.002	0	0.5
Su.var.2.10	Optix	2	6	0.0013	0	0.5
CycB	Optix	2	6	4e-04	0	0.5
spir	Optix	2	6	0	0	0.5
spn.A	Optix	2	6	3e-04	0	0.5
Ptpmeg	Optix	2	6	6e-04	0	0.5
qua	Optix	2	6	4e-04	0	0.5
msn	Optix	2	6	0.0027	0	0.5
ena	Optix	2	6	9e-04	0	0.5
spen	Optix	2	6	8e-04	0	0.5
emc	Optix	2	6	4e-04	0	0.5
tsh	Optix	2	6	3e-04	0	0.5
Dat	Optix	2	6	3e-04	0	0.5
Lac	Optix	2	6	2e-04	0	0.5
dup	Optix	2	6	2e-04	0	0.5
CG3075	Optix	2	6	0.0076	0	0.5
Akap200	Optix	2	6	8e-04	0	0.5
CG18369	Optix	2	6	1e-04	0	0.5
bnl	Optix	2	6	3e-04	0	0.5
sec23	Optix	2	6	2e-04	0	0.5
Pde8	Optix	2	6	4e-04	0	0.5
Arp66B	Optix	2	6	7e-04	0	0.5
cos	Optix	2	6	4e-04	0	0.5
Borr	Optix	2	6	0.0017	0	0.5
X140up	Optix	2	6	7e-04	0	0.5
Dhc64C	Optix	2	6	2e-04	0	0.5
Not1	Optix	2	6	0.0022	0	0.5
CG9520	Optix	2	6	1e-04	0	0.5
bib	Optix	2	6	5e-04	0	0.5
mib1	Optix	2	6	6e-04	0	0.5
cas	Optix	2	6	0.0011	0	0.5
Abi	Optix	2	6	0.001	0	0.5
betaTub56D	Optix	2	6	1e-04	0	0.5
nej	Optix	2	6	1e-04	0	0.5
dlg1	Optix	2	6	2e-04	0	0.5
Lcp65Ag1	Optix	2	6	0.001	0	0.5
Es2	Optix	2	6	0.0018	0	0.5
MED24	Optix	2	6	0.001	0	0.5
Vhl	Optix	2	6	0.001	0	0.5
tral	Optix	2	6	0.0012	0	0.5
sns	Optix	2	6	0.0047	0	0.5
mbl	Optix	2	6	1e-04	0	0.5
sav	Optix	2	6	0.0111	0	0.5
lola	Optix	2	6	7e-04	0	0.5
robo	Optix	2	6	4e-04	0	0.5
CG32486	Optix	2	6	3e-04	0	0.5
santa.maria	Optix	2	6	0.0135	0	0.5
stumps	Optix	2	6	7e-04	0	0.5
abd.A	Optix	2	6	0	0	0.5
dock	Optix	2	6	3e-04	0	0.5
Lar	Optix	2	6	4e-04	0	0.5
l.1.G0289	Optix	2	6	0.0014	0	0.5
Abl	Optix	2	6	5e-04	0	0.5
Syb	Optix	2	6	0.0021	0	0.5
dome	Optix	2	6	4e-04	0	0.5
ofs	Optix	2	6	2e-04	0	0.5
MED4	Optix	2	6	2e-04	0	0.5
scrib	Optix	2	6	7e-04	0	0.5
siz	Optix	2	6	3e-04	0	0.5
cbx	Optix	2	6	0	0	0.5
dsx	Optix	2	6	0.0023	0	0.5
Sb	Optix	2	6	8e-04	0	0.5
sax	Optix	2	6	5e-04	0	0.5
foxo	Optix	2	6	4e-04	0	0.5
Cyp1	Optix	2	6	0.002	0	0.5
brm	Optix	2	6	0.0012	0	0.5
rad50	Optix	2	6	0.002	0	0.5
chico	Optix	2	6	3e-04	0	0.5
cp309	Optix	2	6	2e-04	0	0.5
hdc	Optix	2	6	0.001	0	0.5
