Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Pcaf	2	6	0	0	0.5
emp	Pcaf	2	6	0	0	0.5
CG2678	Pcaf	2	6	0	0	0.5
crc	Pcaf	2	6	0	0	0.5
pros	Pcaf	2	6	0	0	0.5
neur	Pcaf	2	6	0	0	0.5
Rab5	Pcaf	2	6	0	0	0.5
Rab7	Pcaf	2	6	0	0	0.5
Mmp2	Pcaf	2	6	0	0	0.5
W	Pcaf	2	6	1e-04	0	0.5
bowl	Pcaf	2	6	0	0	0.5
fd59A	Pcaf	2	6	0	0	0.5
e	Pcaf	2	6	0	0	0.5
ben	Pcaf	2	6	0	0	0.5
rdo	Pcaf	2	6	3e-04	0	0.5
lin	Pcaf	2	6	1e-04	0	0.5
tra	Pcaf	2	6	0	0	0.5
tra2	Pcaf	2	6	0	0	0.5
cathD	Pcaf	2	6	3e-04	0	0.5
d	Pcaf	2	6	0	0	0.5
lva	Pcaf	2	6	0	0	0.5
pbl	Pcaf	2	6	3e-04	0	0.5
CG33205	Pcaf	2	6	0	0	0.5
da	Pcaf	2	6	0	0	0.5
cactin	Pcaf	2	6	0	0	0.5
hpo	Pcaf	2	6	0	0	0.5
Sema.2a	Pcaf	2	6	0	0	0.5
Eip74EF	Pcaf	2	6	0	0	0.5
eg	Pcaf	2	6	0	0	0.5
Arc42	Pcaf	2	6	0	0	0.5
toy	Pcaf	2	6	0	0	0.5
Galpha73B	Pcaf	2	6	0	0	0.5
RhoGAPp190	Pcaf	2	6	0	0	0.5
MED11	Pcaf	2	6	0	0	0.5
cher	Pcaf	2	6	3e-04	0	0.5
BicD	Pcaf	2	6	2e-04	0	0.5
MYPT.75D	Pcaf	2	6	0	0	0.5
mus304	Pcaf	2	6	2e-04	0	0.5
CdsA	Pcaf	2	6	2e-04	0	0.5
btl	Pcaf	2	6	0	0	0.5
Cyt.c.d	Pcaf	2	6	0	0	0.5
tok	Pcaf	2	6	0	0	0.5
ttk	Pcaf	2	6	0	0	0.5
tamo	Pcaf	2	6	0	0	0.5
CG6416	Pcaf	2	6	2e-04	0	0.5
flfl	Pcaf	2	6	0	0	0.5
Pvr	Pcaf	2	6	0	0	0.5
kay	Pcaf	2	6	0	0	0.5
Jra	Pcaf	2	6	0	0	0.5
msk	Pcaf	2	6	2e-04	0	0.5
tll	Pcaf	2	6	0	0	0.5
Tm1	Pcaf	2	6	0	0	0.5
srp	Pcaf	2	6	2e-04	0	0.5
Btk29A	Pcaf	2	6	6e-04	0	0.5
fred	Pcaf	2	6	0	0	0.5
Src64B	Pcaf	2	6	0	0	0.5
Mmp1	Pcaf	2	6	0	0	0.5
sll	Pcaf	2	6	0	0	0.5
Hmgs	Pcaf	2	6	1e-04	0	0.5
caps	Pcaf	2	6	0	0	0.5
Su.var.2.10	Pcaf	2	6	1e-04	0	0.5
CycB	Pcaf	2	6	2e-04	0	0.5
spir	Pcaf	2	6	2e-04	0	0.5
spn.A	Pcaf	2	6	0	0	0.5
Ptpmeg	Pcaf	2	6	0	0	0.5
qua	Pcaf	2	6	0	0	0.5
msn	Pcaf	2	6	0	0	0.5
ena	Pcaf	2	6	0	0	0.5
spen	Pcaf	2	6	1e-04	0	0.5
emc	Pcaf	2	6	0	0	0.5
tsh	Pcaf	2	6	0	0	0.5
Dat	Pcaf	2	6	0	0	0.5
Lac	Pcaf	2	6	2e-04	0	0.5
dup	Pcaf	2	6	0	0	0.5
CG3075	Pcaf	2	6	1e-04	0	0.5
Akap200	Pcaf	2	6	0	0	0.5
CG18369	Pcaf	2	6	1e-04	0	0.5
bnl	Pcaf	2	6	0	0	0.5
sec23	Pcaf	2	6	4e-04	0	0.5
Pde8	Pcaf	2	6	0	0	0.5
Arp66B	Pcaf	2	6	0	0	0.5
cos	Pcaf	2	6	0	0	0.5
Borr	Pcaf	2	6	0	0	0.5
X140up	Pcaf	2	6	0	0	0.5
Dhc64C	Pcaf	2	6	0	0	0.5
Not1	Pcaf	2	6	0	0	0.5
CG9520	Pcaf	2	6	0	0	0.5
bib	Pcaf	2	6	0	0	0.5
mib1	Pcaf	2	6	0	0	0.5
cas	Pcaf	2	6	0	0	0.5
Abi	Pcaf	2	6	0	0	0.5
betaTub56D	Pcaf	2	6	0	0	0.5
nej	Pcaf	2	6	0	0	0.5
dlg1	Pcaf	2	6	0	0	0.5
Lcp65Ag1	Pcaf	2	6	0	0	0.5
Es2	Pcaf	2	6	0	0	0.5
MED24	Pcaf	2	6	0	0	0.5
Vhl	Pcaf	2	6	0	0	0.5
tral	Pcaf	2	6	3e-04	0	0.5
sns	Pcaf	2	6	0	0	0.5
mbl	Pcaf	2	6	0	0	0.5
sav	Pcaf	2	6	0	0	0.5
lola	Pcaf	2	6	2e-04	0	0.5
robo	Pcaf	2	6	0	0	0.5
CG32486	Pcaf	2	6	0	0	0.5
santa.maria	Pcaf	2	6	0	0	0.5
stumps	Pcaf	2	6	0	0	0.5
abd.A	Pcaf	2	6	0	0	0.5
dock	Pcaf	2	6	0	0	0.5
Lar	Pcaf	2	6	0.0013	0	0.5
l.1.G0289	Pcaf	2	6	0	0	0.5
Abl	Pcaf	2	6	1e-04	0	0.5
Syb	Pcaf	2	6	0	0	0.5
dome	Pcaf	2	6	1e-04	0	0.5
ofs	Pcaf	2	6	1e-04	0	0.5
MED4	Pcaf	2	6	2e-04	0	0.5
scrib	Pcaf	2	6	1e-04	0	0.5
siz	Pcaf	2	6	4e-04	0	0.5
cbx	Pcaf	2	6	0	0	0.5
dsx	Pcaf	2	6	0	0	0.5
Sb	Pcaf	2	6	0	0	0.5
sax	Pcaf	2	6	0	0	0.5
foxo	Pcaf	2	6	0	0	0.5
Cyp1	Pcaf	2	6	0	0	0.5
brm	Pcaf	2	6	0	0	0.5
rad50	Pcaf	2	6	0	0	0.5
chico	Pcaf	2	6	0	0	0.5
cp309	Pcaf	2	6	0	0	0.5
hdc	Pcaf	2	6	2e-04	0	0.5
Axn	Pcaf	2	6	0	0	0.5
Apc2	Pcaf	2	6	0	0	0.5
PhKgamma	Pcaf	2	6	0	0	0.5
eya	Pcaf	2	6	0	0	0.5
sktl	Pcaf	2	6	0	0	0.5
sqd	Pcaf	2	6	3e-04	0	0.5
Akt1	Pcaf	2	6	9e-04	0	0.5
scyl	Pcaf	2	6	0	0	0.5
cnk	Pcaf	2	6	0	0	0.5
CG8149	Pcaf	2	6	0	0	0.5
CG34379	Pcaf	2	6	5e-04	0	0.5
Yp1	Pcaf	2	6	1e-04	0	0.5
yrt	Pcaf	2	6	0	0	0.5
bap	Pcaf	2	6	0	0	0.5
tud	Pcaf	2	6	0	0	0.5
ct	Pcaf	2	6	0	0	0.5
tup	Pcaf	2	6	0	0	0.5
G.ialpha65A	Pcaf	2	6	0	0	0.5
knrl	Pcaf	2	6	0	0	0.5
Pkn	Pcaf	2	6	0	0	0.5
Sry.delta	Pcaf	2	6	0	0	0.5
Alh	Pcaf	2	6	0	0	0.5
pnut	Pcaf	2	6	4e-04	0	0.5
phyl	Pcaf	2	6	0	0	0.5
CG17739	Pcaf	2	6	0	0	0.5
B4	Pcaf	2	6	0	0	0.5
CG2681	Pcaf	2	6	0	0	0.5
tow	Pcaf	2	6	0	0	0.5
hkl	Pcaf	2	6	0	0	0.5
sina	Pcaf	2	6	0	0	0.5
ry	Pcaf	2	6	0	0	0.5
rux	Pcaf	2	6	0	0	0.5
boss	Pcaf	2	6	0	0	0.5
Mkp3	Pcaf	2	6	0	0	0.5
inaC	Pcaf	2	6	0	0	0.5
sno	Pcaf	2	6	0	0	0.5
jagn	Pcaf	2	6	3e-04	0	0.5
dpn	Pcaf	2	6	1e-04	0	0.5
wrapper	Pcaf	2	6	0	0	0.5
Ca.alpha1D	Pcaf	2	6	0	0	0.5
E2f	Pcaf	2	6	0	0	0.5
Dp	Pcaf	2	6	2e-04	0	0.5
l.2.efl	Pcaf	2	6	0	0	0.5
cnc	Pcaf	2	6	0	0	0.5
Atg5	Pcaf	2	6	0	0	0.5
acj6	Pcaf	2	6	2e-04	0	0.5
Trl	Pcaf	2	6	0	0	0.5
d4	Pcaf	2	6	0	0	0.5
CG16719	Pcaf	2	6	2e-04	0	0.5
CadN	Pcaf	2	6	0	0	0.5
gro	Pcaf	2	6	0	0	0.5
sec13	Pcaf	2	6	0	0	0.5
klar	Pcaf	2	6	0	0	0.5
Rack1	Pcaf	2	6	5e-04	0	0.5
Sobp	Pcaf	2	6	2e-04	0	0.5
ash1	Pcaf	2	6	0	0	0.5
inv	Pcaf	2	6	0	0	0.5
shot	Pcaf	2	6	0	0	0.5
Oseg1	Pcaf	2	6	0	0	0.5
Spred	Pcaf	2	6	0	0	0.5
puc	Pcaf	2	6	0	0	0.5
Atg6	Pcaf	2	6	0	0	0.5
CG3829	Pcaf	2	6	0	0	0.5
sle	Pcaf	2	6	0	0	0.5
Cka	Pcaf	2	6	0	0	0.5
form3	Pcaf	2	6	0	0	0.5
Pk61C	Pcaf	2	6	0	0	0.5
Pcaf	Pcaf	2	6	0	0	0.5
sbb	Pcaf	2	6	0	0	0.5
Ef1gamma	Pcaf	2	6	0	0	0.5
FKBP59	Pcaf	2	6	1e-04	0	0.5
Eip71CD	Pcaf	2	6	1e-04	0	0.5
xmas.2	Pcaf	2	6	0	0	0.5
ppan	Pcaf	2	6	3e-04	0	0.5
Iswi	Pcaf	2	6	0	0	0.5
ine	Pcaf	2	6	0	0	0.5
Tina.1	Pcaf	2	6	0	0	0.5
bon	Pcaf	2	6	0	0	0.5
pot	Pcaf	2	6	0	0	0.5
chic	Pcaf	2	6	0	0	0.5
Hem	Pcaf	2	6	0	0	0.5
chif	Pcaf	2	6	0	0	0.5
S6kII	Pcaf	2	6	3e-04	0	0.5
wal	Pcaf	2	6	0	0	0.5
wls	Pcaf	2	6	0	0	0.5
Ddx1	Pcaf	2	6	0	0	0.5
Sulf1	Pcaf	2	6	0	0	0.5
CG3987	Pcaf	2	6	0	0	0.5
Abd.B	Pcaf	2	6	0	0	0.5
Uba1	Pcaf	2	6	0	0	0.5
bigmax	Pcaf	2	6	0	0	0.5
NAT1	Pcaf	2	6	1e-04	0	0.5
wupA	Pcaf	2	6	0	0	0.5
Vps28	Pcaf	2	6	0	0	0.5
G.oalpha47A	Pcaf	2	6	0	0	0.5
G.salpha60A	Pcaf	2	6	1e-04	0	0.5
dsf	Pcaf	2	6	0	0	0.5
Khc	Pcaf	2	6	0	0	0.5
CG10641	Pcaf	2	6	2e-04	0	0.5
Alk	Pcaf	2	6	0	0	0.5
ey	Pcaf	2	6	0	0	0.5
noc	Pcaf	2	6	0	0	0.5
ix	Pcaf	2	6	0	0	0.5
Optix	Pcaf	2	6	0	0	0.5
sdt	Pcaf	2	6	0	0	0.5
Sxl	Pcaf	2	6	1e-04	0	0.5
rib	Pcaf	2	6	0	0	0.5
sas	Pcaf	2	6	0	0	0.5
Scgdelta	Pcaf	2	6	1e-04	0	0.5
sw	Pcaf	2	6	0	0	0.5
fal	Pcaf	2	6	0	0	0.5
ea	Pcaf	2	6	0	0	0.5
Ice	Pcaf	2	6	0	0	0.5
cic	Pcaf	2	6	0.001	0	0.5
Dok	Pcaf	2	6	0	0	0.5
rhea	Pcaf	2	6	3e-04	0	0.5
Glycogenin	Pcaf	2	6	0	0	0.5
cin	Pcaf	2	6	0	0	0.5
chp	Pcaf	2	6	0	0	0.5
Dlic2	Pcaf	2	6	0	0	0.5
Pk92B	Pcaf	2	6	0	0	0.5
Pak	Pcaf	2	6	1e-04	0	0.5
Lim1	Pcaf	2	6	1e-04	0	0.5
CG34450	Pcaf	2	6	0	0	0.5
Su.H.	Pcaf	2	6	0	0	0.5
CG12301	Pcaf	2	6	0	0	0.5
lilli	Pcaf	2	6	0	0	0.5
toe	Pcaf	2	6	2e-04	0	0.5
qkr58E.3	Pcaf	2	6	0	0	0.5
up	Pcaf	2	6	1e-04	0	0.5
hep	Pcaf	2	6	0	0	0.5
Dap160	Pcaf	2	6	0	0	0.5
l.2.gd1	Pcaf	2	6	0	0	0.5
hkb	Pcaf	2	6	0	0	0.5
beta4GalNAcTA	Pcaf	2	6	0	0	0.5
Mer	Pcaf	2	6	0	0	0.5
Mtl	Pcaf	2	6	0	0	0.5
spin	Pcaf	2	6	0	0	0.5
mfas	Pcaf	2	6	0	0	0.5
frc	Pcaf	2	6	0	0	0.5
Krn	Pcaf	2	6	2e-04	0	0.5
mam	Pcaf	2	6	0	0	0.5
brk	Pcaf	2	6	1e-04	0	0.5
Ark	Pcaf	2	6	1e-04	0	0.5
mmy	Pcaf	2	6	2e-04	0	0.5
mri	Pcaf	2	6	0	0	0.5
Crk	Pcaf	2	6	0	0	0.5
ssh	Pcaf	2	6	0	0	0.5
fs.1.K10	Pcaf	2	6	0	0	0.5
Psn	Pcaf	2	6	0	0	0.5
CG9509	Pcaf	2	6	1e-04	0	0.5
CkIIalpha	Pcaf	2	6	0	0	0.5
car	Pcaf	2	6	0	0	0.5
capu	Pcaf	2	6	0	0	0.5
cact	Pcaf	2	6	0	0	0.5
Patj	Pcaf	2	6	0	0	0.5
dpp	Pcaf	2	6	0	0	0.5
xl6	Pcaf	2	6	0	0	0.5
dally	Pcaf	2	6	0	0	0.5
Pi3K92E	Pcaf	2	6	2e-04	0	0.5
E.bx.	Pcaf	2	6	0	0	0.5
emb	Pcaf	2	6	0	0	0.5
CtBP	Pcaf	2	6	0	0	0.5
Dad	Pcaf	2	6	0	0	0.5
amx	Pcaf	2	6	1e-04	0	0.5
Ank2	Pcaf	2	6	0	0	0.5
CG34417	Pcaf	2	6	0	0	0.5
scra	Pcaf	2	6	0	0	0.5
dsd	Pcaf	2	6	2e-04	0	0.5
Ephrin	Pcaf	2	6	0	0	0.5
Appl	Pcaf	2	6	0	0	0.5
sty	Pcaf	2	6	0	0	0.5
RhoL	Pcaf	2	6	0	0	0.5
twi	Pcaf	2	6	0	0	0.5
tub	Pcaf	2	6	1e-04	0	0.5
ftz.f1	Pcaf	2	6	0	0	0.5
wg	Pcaf	2	6	0	0	0.5
LanB1	Pcaf	2	6	0	0	0.5
LanA	Pcaf	2	6	0	0	0.5
LanB2	Pcaf	2	6	3e-04	0	0.5
Chi	Pcaf	2	6	0	0	0.5
nmo	Pcaf	2	6	0	0	0.5
ics	Pcaf	2	6	0	0	0.5
oaf	Pcaf	2	6	2e-04	0	0.5
dco	Pcaf	2	6	0	0	0.5
Dys	Pcaf	2	6	0	0	0.5
drm	Pcaf	2	6	0	0	0.5
RpL30	Pcaf	2	6	0	0	0.5
how	Pcaf	2	6	0	0	0.5
dei	Pcaf	2	6	1e-04	0	0.5
CG1244	Pcaf	2	6	0	0	0.5
Chc	Pcaf	2	6	0	0	0.5
Orct	Pcaf	2	6	0	0	0.5
sgl	Pcaf	2	6	0	0	0.5
CG17221	Pcaf	2	6	0	0	0.5
gkt	Pcaf	2	6	1e-04	0	0.5
by	Pcaf	2	6	0	0	0.5
Pka.C3	Pcaf	2	6	2e-04	0	0.5
vlc	Pcaf	2	6	0	0	0.5
fl.2.d	Pcaf	2	6	1e-04	0	0.5
Nf1	Pcaf	2	6	0	0	0.5
CG6372	Pcaf	2	6	0	0	0.5
Rho1	Pcaf	2	6	1e-04	0	0.5
