Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	PebIII	2	6	0	0	0.5
emp	PebIII	2	6	0	0	0.5
CG2678	PebIII	2	6	0	0	0.5
crc	PebIII	2	6	0	0	0.5
pros	PebIII	2	6	0	0	0.5
neur	PebIII	2	6	0	0	0.5
Rab5	PebIII	2	6	0	0	0.5
Rab7	PebIII	2	6	0	0	0.5
Mmp2	PebIII	2	6	0	0	0.5
W	PebIII	2	6	0	0	0.5
bowl	PebIII	2	6	3e-04	0	0.5
fd59A	PebIII	2	6	0	0	0.5
e	PebIII	2	6	0	0	0.5
ben	PebIII	2	6	0	0	0.5
rdo	PebIII	2	6	0	0	0.5
lin	PebIII	2	6	0	0	0.5
tra	PebIII	2	6	0	0	0.5
tra2	PebIII	2	6	0	0	0.5
cathD	PebIII	2	6	1e-04	0	0.5
d	PebIII	2	6	0	0	0.5
lva	PebIII	2	6	0	0	0.5
pbl	PebIII	2	6	0	0	0.5
CG33205	PebIII	2	6	3e-04	0	0.5
da	PebIII	2	6	0	0	0.5
cactin	PebIII	2	6	0	0	0.5
hpo	PebIII	2	6	0	0	0.5
Sema.2a	PebIII	2	6	0	0	0.5
Eip74EF	PebIII	2	6	0	0	0.5
eg	PebIII	2	6	4e-04	0	0.5
Arc42	PebIII	2	6	0	0	0.5
toy	PebIII	2	6	0	0	0.5
Galpha73B	PebIII	2	6	0	0	0.5
RhoGAPp190	PebIII	2	6	0	0	0.5
MED11	PebIII	2	6	0	0	0.5
cher	PebIII	2	6	0	0	0.5
BicD	PebIII	2	6	0	0	0.5
MYPT.75D	PebIII	2	6	3e-04	0	0.5
mus304	PebIII	2	6	0	0	0.5
CdsA	PebIII	2	6	0	0	0.5
btl	PebIII	2	6	0	0	0.5
Cyt.c.d	PebIII	2	6	3e-04	0	0.5
tok	PebIII	2	6	0	0	0.5
ttk	PebIII	2	6	0	0	0.5
tamo	PebIII	2	6	0	0	0.5
CG6416	PebIII	2	6	0	0	0.5
flfl	PebIII	2	6	1	-0.9996	0.5
Pvr	PebIII	2	6	0	0	0.5
kay	PebIII	2	6	0	0	0.5
Jra	PebIII	2	6	0	0	0.5
msk	PebIII	2	6	0	0	0.5
tll	PebIII	2	6	0	0	0.5
Tm1	PebIII	2	6	1e-04	0	0.5
srp	PebIII	2	6	1e-04	0	0.5
Btk29A	PebIII	2	6	0	0	0.5
fred	PebIII	2	6	0	0	0.5
Src64B	PebIII	2	6	3e-04	0	0.5
Mmp1	PebIII	2	6	0	0	0.5
sll	PebIII	2	6	0	0	0.5
Hmgs	PebIII	2	6	0	0	0.5
caps	PebIII	2	6	1e-04	0	0.5
Su.var.2.10	PebIII	2	6	0	0	0.5
CycB	PebIII	2	6	0	0	0.5
spir	PebIII	2	6	0	0	0.5
spn.A	PebIII	2	6	0	0	0.5
Ptpmeg	PebIII	2	6	0	0	0.5
qua	PebIII	2	6	0	0	0.5
msn	PebIII	2	6	1e-04	0	0.5
ena	PebIII	2	6	0	0	0.5
spen	PebIII	2	6	5e-04	0	0.5
emc	PebIII	2	6	0	0	0.5
tsh	PebIII	2	6	0	0	0.5
Dat	PebIII	2	6	0	0	0.5
Lac	PebIII	2	6	0	0	0.5
dup	PebIII	2	6	0	0	0.5
CG3075	PebIII	2	6	0	0	0.5
Akap200	PebIII	2	6	0	0	0.5
CG18369	PebIII	2	6	1e-04	0	0.5
bnl	PebIII	2	6	0	0	0.5
sec23	PebIII	2	6	0	0	0.5
Pde8	PebIII	2	6	0	0	0.5
Arp66B	PebIII	2	6	0	0	0.5
cos	PebIII	2	6	0	0	0.5
Borr	PebIII	2	6	0	0	0.5
X140up	PebIII	2	6	2e-04	0	0.5
Dhc64C	PebIII	2	6	0	0	0.5
Not1	PebIII	2	6	0	0	0.5
CG9520	PebIII	2	6	2e-04	0	0.5
bib	PebIII	2	6	0	0	0.5
mib1	PebIII	2	6	0	0	0.5
cas	PebIII	2	6	0	0	0.5
Abi	PebIII	2	6	0	0	0.5
betaTub56D	PebIII	2	6	2e-04	0	0.5
nej	PebIII	2	6	0	0	0.5
dlg1	PebIII	2	6	0	0	0.5
Lcp65Ag1	PebIII	2	6	0	0	0.5
Es2	PebIII	2	6	0	0	0.5
MED24	PebIII	2	6	0	0	0.5
Vhl	PebIII	2	6	0	0	0.5
tral	PebIII	2	6	0	0	0.5
sns	PebIII	2	6	0	0	0.5
mbl	PebIII	2	6	0	0	0.5
sav	PebIII	2	6	0	0	0.5
lola	PebIII	2	6	0	0	0.5
robo	PebIII	2	6	0	0	0.5
CG32486	PebIII	2	6	0	0	0.5
santa.maria	PebIII	2	6	0	0	0.5
stumps	PebIII	2	6	0	0	0.5
abd.A	PebIII	2	6	0	0	0.5
dock	PebIII	2	6	0	0	0.5
Lar	PebIII	2	6	0	0	0.5
l.1.G0289	PebIII	2	6	0	0	0.5
Abl	PebIII	2	6	0	0	0.5
Syb	PebIII	2	6	0	0	0.5
dome	PebIII	2	6	0	0	0.5
ofs	PebIII	2	6	2e-04	0	0.5
MED4	PebIII	2	6	0	0	0.5
scrib	PebIII	2	6	0	0	0.5
siz	PebIII	2	6	0	0	0.5
cbx	PebIII	2	6	0	0	0.5
dsx	PebIII	2	6	0	0	0.5
Sb	PebIII	2	6	0	0	0.5
sax	PebIII	2	6	0	0	0.5
foxo	PebIII	2	6	2e-04	0	0.5
Cyp1	PebIII	2	6	0	0	0.5
brm	PebIII	2	6	0	0	0.5
