Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Pen	2	6	0	0	0.5
emp	Pen	2	6	2e-04	0	0.5
CG2678	Pen	2	6	6e-04	0	0.5
crc	Pen	2	6	0	0	0.5
pros	Pen	2	6	5e-04	0	0.5
neur	Pen	2	6	0	0	0.5
Rab5	Pen	2	6	8e-04	0	0.5
Rab7	Pen	2	6	6e-04	0	0.5
Mmp2	Pen	2	6	0	0	0.5
W	Pen	2	6	0.0015	0	0.5
bowl	Pen	2	6	0	0	0.5
fd59A	Pen	2	6	2e-04	0	0.5
e	Pen	2	6	0	0	0.5
ben	Pen	2	6	0	0	0.5
rdo	Pen	2	6	0	0	0.5
lin	Pen	2	6	0	0	0.5
tra	Pen	2	6	0	0	0.5
tra2	Pen	2	6	4e-04	0	0.5
cathD	Pen	2	6	0	0	0.5
d	Pen	2	6	8e-04	0	0.5
lva	Pen	2	6	6e-04	0	0.5
pbl	Pen	2	6	1e-04	0	0.5
CG33205	Pen	2	6	0	0	0.5
da	Pen	2	6	0	0	0.5
cactin	Pen	2	6	4e-04	0	0.5
hpo	Pen	2	6	0	0	0.5
Sema.2a	Pen	2	6	0.0016	0	0.5
Eip74EF	Pen	2	6	4e-04	0	0.5
eg	Pen	2	6	0	0	0.5
Arc42	Pen	2	6	5e-04	0	0.5
toy	Pen	2	6	5e-04	0	0.5
Galpha73B	Pen	2	6	0	0	0.5
RhoGAPp190	Pen	2	6	0	0	0.5
MED11	Pen	2	6	4e-04	0	0.5
cher	Pen	2	6	0	0	0.5
BicD	Pen	2	6	0	0	0.5
MYPT.75D	Pen	2	6	0	0	0.5
mus304	Pen	2	6	3e-04	0	0.5
CdsA	Pen	2	6	0	0	0.5
btl	Pen	2	6	5e-04	0	0.5
Cyt.c.d	Pen	2	6	0	0	0.5
tok	Pen	2	6	0	0	0.5
ttk	Pen	2	6	0	0	0.5
tamo	Pen	2	6	0.0073	0	0.5
CG6416	Pen	2	6	0	0	0.5
flfl	Pen	2	6	0	0	0.5
Pvr	Pen	2	6	3e-04	0	0.5
kay	Pen	2	6	0	0	0.5
Jra	Pen	2	6	0	0	0.5
msk	Pen	2	6	2e-04	0	0.5
tll	Pen	2	6	0	0	0.5
