Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Pgant35A	2	6	2e-04	0	0.5
emp	Pgant35A	2	6	0.0013	0	0.5
CG2678	Pgant35A	2	6	0.0029	0	0.5
crc	Pgant35A	2	6	0.002	0	0.5
pros	Pgant35A	2	6	0.0013	0	0.5
neur	Pgant35A	2	6	0	0	0.5
Rab5	Pgant35A	2	6	7e-04	0	0.5
Rab7	Pgant35A	2	6	0.0014	0	0.5
Mmp2	Pgant35A	2	6	9e-04	0	0.5
W	Pgant35A	2	6	0	0	0.5
bowl	Pgant35A	2	6	2e-04	0	0.5
fd59A	Pgant35A	2	6	0	0	0.5
e	Pgant35A	2	6	0	0	0.5
ben	Pgant35A	2	6	4e-04	0	0.5
rdo	Pgant35A	2	6	1e-04	0	0.5
lin	Pgant35A	2	6	2e-04	0	0.5
tra	Pgant35A	2	6	5e-04	0	0.5
tra2	Pgant35A	2	6	0	0	0.5
cathD	Pgant35A	2	6	3e-04	0	0.5
d	Pgant35A	2	6	1e-04	0	0.5
lva	Pgant35A	2	6	0.0011	0	0.5
pbl	Pgant35A	2	6	4e-04	0	0.5
CG33205	Pgant35A	2	6	3e-04	0	0.5
da	Pgant35A	2	6	3e-04	0	0.5
cactin	Pgant35A	2	6	0.0012	0	0.5
hpo	Pgant35A	2	6	5e-04	0	0.5
Sema.2a	Pgant35A	2	6	0.0012	0	0.5
Eip74EF	Pgant35A	2	6	2e-04	0	0.5
eg	Pgant35A	2	6	0.001	0	0.5
Arc42	Pgant35A	2	6	8e-04	0	0.5
toy	Pgant35A	2	6	1e-04	0	0.5
Galpha73B	Pgant35A	2	6	0.0021	0	0.5
RhoGAPp190	Pgant35A	2	6	2e-04	0	0.5
MED11	Pgant35A	2	6	0.0026	0	0.5
cher	Pgant35A	2	6	5e-04	0	0.5
BicD	Pgant35A	2	6	0.0015	0	0.5
MYPT.75D	Pgant35A	2	6	9e-04	0	0.5
mus304	Pgant35A	2	6	3e-04	0	0.5
CdsA	Pgant35A	2	6	0.0019	0	0.5
btl	Pgant35A	2	6	4e-04	0	0.5
Cyt.c.d	Pgant35A	2	6	3e-04	0	0.5
tok	Pgant35A	2	6	1e-04	0	0.5
ttk	Pgant35A	2	6	4e-04	0	0.5
tamo	Pgant35A	2	6	2e-04	0	0.5
CG6416	Pgant35A	2	6	1e-04	0	0.5
flfl	Pgant35A	2	6	9e-04	0	0.5
Pvr	Pgant35A	2	6	2e-04	0	0.5
kay	Pgant35A	2	6	1e-04	0	0.5
Jra	Pgant35A	2	6	2e-04	0	0.5
