Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Pi3K92E	2	6	2e-04	0	0.5
emp	Pi3K92E	2	6	0	0	0.5
CG2678	Pi3K92E	2	6	3e-04	0	0.5
crc	Pi3K92E	2	6	7e-04	0	0.5
pros	Pi3K92E	2	6	0	0	0.5
neur	Pi3K92E	2	6	0	0	0.5
Rab5	Pi3K92E	2	6	0	0	0.5
Rab7	Pi3K92E	2	6	0	0	0.5
Mmp2	Pi3K92E	2	6	6e-04	0	0.5
W	Pi3K92E	2	6	0	0	0.5
bowl	Pi3K92E	2	6	1e-04	0	0.5
fd59A	Pi3K92E	2	6	0	0	0.5
e	Pi3K92E	2	6	3e-04	0	0.5
ben	Pi3K92E	2	6	4e-04	0	0.5
rdo	Pi3K92E	2	6	0.2165	0	0.5
lin	Pi3K92E	2	6	0.117	0	0.5
tra	Pi3K92E	2	6	0	0	0.5
tra2	Pi3K92E	2	6	0.0023	0	0.5
cathD	Pi3K92E	2	6	0	0	0.5
d	Pi3K92E	2	6	8e-04	0	0.5
lva	Pi3K92E	2	6	2e-04	0	0.5
pbl	Pi3K92E	2	6	0	0	0.5
CG33205	Pi3K92E	2	6	0.0014	0	0.5
da	Pi3K92E	2	6	0.0011	0	0.5
cactin	Pi3K92E	2	6	0	0	0.5
hpo	Pi3K92E	2	6	1e-04	0	0.5
Sema.2a	Pi3K92E	2	6	3e-04	0	0.5
Eip74EF	Pi3K92E	2	6	4e-04	0	0.5
eg	Pi3K92E	2	6	7e-04	0	0.5
Arc42	Pi3K92E	2	6	0	0	0.5
toy	Pi3K92E	2	6	0	0	0.5
Galpha73B	Pi3K92E	2	6	0	0	0.5
RhoGAPp190	Pi3K92E	2	6	1e-04	0	0.5
MED11	Pi3K92E	2	6	1e-04	0	0.5
cher	Pi3K92E	2	6	0	0	0.5
BicD	Pi3K92E	2	6	0	0	0.5
MYPT.75D	Pi3K92E	2	6	0	0	0.5
mus304	Pi3K92E	2	6	1e-04	0	0.5
CdsA	Pi3K92E	2	6	3e-04	0	0.5
btl	Pi3K92E	2	6	2e-04	0	0.5
Cyt.c.d	Pi3K92E	2	6	1e-04	0	0.5
tok	Pi3K92E	2	6	1e-04	0	0.5
ttk	Pi3K92E	2	6	5e-04	0	0.5
tamo	Pi3K92E	2	6	3e-04	0	0.5
CG6416	Pi3K92E	2	6	0	0	0.5
flfl	Pi3K92E	2	6	0	0	0.5
Pvr	Pi3K92E	2	6	1e-04	0	0.5
kay	Pi3K92E	2	6	0	0	0.5
Jra	Pi3K92E	2	6	0	0	0.5
msk	Pi3K92E	2	6	6e-04	0	0.5
tll	Pi3K92E	2	6	0	0	0.5
Tm1	Pi3K92E	2	6	0	0	0.5
srp	Pi3K92E	2	6	0	0	0.5
Btk29A	Pi3K92E	2	6	7e-04	0	0.5
fred	Pi3K92E	2	6	5e-04	0	0.5
Src64B	Pi3K92E	2	6	0	0	0.5
Mmp1	Pi3K92E	2	6	2e-04	0	0.5
sll	Pi3K92E	2	6	0.0015	0	0.5
Hmgs	Pi3K92E	2	6	0	0	0.5
caps	Pi3K92E	2	6	0	0	0.5
Su.var.2.10	Pi3K92E	2	6	1e-04	0	0.5
CycB	Pi3K92E	2	6	9e-04	0	0.5
spir	Pi3K92E	2	6	0	0	0.5
