Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Pka.C3	2	6	0	0	0.5
emp	Pka.C3	2	6	0	0	0.5
CG2678	Pka.C3	2	6	0	0	0.5
crc	Pka.C3	2	6	0	0	0.5
pros	Pka.C3	2	6	0	0	0.5
neur	Pka.C3	2	6	4e-04	0	0.5
Rab5	Pka.C3	2	6	0	0	0.5
Rab7	Pka.C3	2	6	0	0	0.5
Mmp2	Pka.C3	2	6	0	0	0.5
W	Pka.C3	2	6	0	0	0.5
bowl	Pka.C3	2	6	0	0	0.5
fd59A	Pka.C3	2	6	0	0	0.5
e	Pka.C3	2	6	1e-04	0	0.5
ben	Pka.C3	2	6	0	0	0.5
rdo	Pka.C3	2	6	0	0	0.5
lin	Pka.C3	2	6	0	0	0.5
tra	Pka.C3	2	6	4e-04	0	0.5
tra2	Pka.C3	2	6	1e-04	0	0.5
cathD	Pka.C3	2	6	0	0	0.5
d	Pka.C3	2	6	0	0	0.5
lva	Pka.C3	2	6	3e-04	0	0.5
pbl	Pka.C3	2	6	0	0	0.5
CG33205	Pka.C3	2	6	0	0	0.5
da	Pka.C3	2	6	0	0	0.5
cactin	Pka.C3	2	6	0	0	0.5
hpo	Pka.C3	2	6	0	0	0.5
Sema.2a	Pka.C3	2	6	0	0	0.5
Eip74EF	Pka.C3	2	6	0	0	0.5
eg	Pka.C3	2	6	0	0	0.5
Arc42	Pka.C3	2	6	4e-04	0	0.5
toy	Pka.C3	2	6	0	0	0.5
Galpha73B	Pka.C3	2	6	0	0	0.5
RhoGAPp190	Pka.C3	2	6	0	0	0.5
MED11	Pka.C3	2	6	1e-04	0	0.5
cher	Pka.C3	2	6	2e-04	0	0.5
BicD	Pka.C3	2	6	2e-04	0	0.5
MYPT.75D	Pka.C3	2	6	1e-04	0	0.5
mus304	Pka.C3	2	6	0	0	0.5
CdsA	Pka.C3	2	6	4e-04	0	0.5
btl	Pka.C3	2	6	0	0	0.5
Cyt.c.d	Pka.C3	2	6	0	0	0.5
tok	Pka.C3	2	6	2e-04	0	0.5
ttk	Pka.C3	2	6	0	0	0.5
tamo	Pka.C3	2	6	0	0	0.5
CG6416	Pka.C3	2	6	0	0	0.5
flfl	Pka.C3	2	6	0	0	0.5
Pvr	Pka.C3	2	6	0	0	0.5
kay	Pka.C3	2	6	2e-04	0	0.5
Jra	Pka.C3	2	6	0	0	0.5
msk	Pka.C3	2	6	0	0	0.5
tll	Pka.C3	2	6	0	0	0.5
Tm1	Pka.C3	2	6	3e-04	0	0.5
srp	Pka.C3	2	6	3e-04	0	0.5
Btk29A	Pka.C3	2	6	0	0	0.5
fred	Pka.C3	2	6	0	0	0.5
Src64B	Pka.C3	2	6	0	0	0.5
Mmp1	Pka.C3	2	6	1e-04	0	0.5
sll	Pka.C3	2	6	1e-04	0	0.5
Hmgs	Pka.C3	2	6	5e-04	0	0.5
caps	Pka.C3	2	6	0	0	0.5
Su.var.2.10	Pka.C3	2	6	0	0	0.5
CycB	Pka.C3	2	6	0	0	0.5
spir	Pka.C3	2	6	0	0	0.5
spn.A	Pka.C3	2	6	0	0	0.5
Ptpmeg	Pka.C3	2	6	0	0	0.5
qua	Pka.C3	2	6	2e-04	0	0.5
msn	Pka.C3	2	6	4e-04	0	0.5
ena	Pka.C3	2	6	1e-04	0	0.5
spen	Pka.C3	2	6	0	0	0.5
emc	Pka.C3	2	6	0	0	0.5
tsh	Pka.C3	2	6	0	0	0.5
Dat	Pka.C3	2	6	0	0	0.5
Lac	Pka.C3	2	6	1e-04	0	0.5
dup	Pka.C3	2	6	0	0	0.5
CG3075	Pka.C3	2	6	0	0	0.5
Akap200	Pka.C3	2	6	0	0	0.5
CG18369	Pka.C3	2	6	1e-04	0	0.5
bnl	Pka.C3	2	6	0	0	0.5
sec23	Pka.C3	2	6	0	0	0.5
Pde8	Pka.C3	2	6	1e-04	0	0.5
Arp66B	Pka.C3	2	6	0	0	0.5
cos	Pka.C3	2	6	0	0	0.5
Borr	Pka.C3	2	6	0	0	0.5
X140up	Pka.C3	2	6	3e-04	0	0.5
Dhc64C	Pka.C3	2	6	6e-04	0	0.5
Not1	Pka.C3	2	6	0	0	0.5
CG9520	Pka.C3	2	6	0	0	0.5
bib	Pka.C3	2	6	0	0	0.5
mib1	Pka.C3	2	6	3e-04	0	0.5
cas	Pka.C3	2	6	1e-04	0	0.5
Abi	Pka.C3	2	6	1e-04	0	0.5
betaTub56D	Pka.C3	2	6	0	0	0.5
nej	Pka.C3	2	6	0	0	0.5
dlg1	Pka.C3	2	6	0	0	0.5
Lcp65Ag1	Pka.C3	2	6	0	0	0.5
Es2	Pka.C3	2	6	0	0	0.5
MED24	Pka.C3	2	6	0	0	0.5
Vhl	Pka.C3	2	6	0	0	0.5
tral	Pka.C3	2	6	2e-04	0	0.5
sns	Pka.C3	2	6	0	0	0.5
mbl	Pka.C3	2	6	0	0	0.5
sav	Pka.C3	2	6	0	0	0.5
lola	Pka.C3	2	6	0	0	0.5
robo	Pka.C3	2	6	0	0	0.5
CG32486	Pka.C3	2	6	0	0	0.5
santa.maria	Pka.C3	2	6	0	0	0.5
stumps	Pka.C3	2	6	2e-04	0	0.5
abd.A	Pka.C3	2	6	0	0	0.5
dock	Pka.C3	2	6	1e-04	0	0.5
Lar	Pka.C3	2	6	0	0	0.5
l.1.G0289	Pka.C3	2	6	0	0	0.5
Abl	Pka.C3	2	6	0	0	0.5
Syb	Pka.C3	2	6	0	0	0.5
dome	Pka.C3	2	6	0	0	0.5
ofs	Pka.C3	2	6	1e-04	0	0.5
MED4	Pka.C3	2	6	0	0	0.5
scrib	Pka.C3	2	6	0	0	0.5
siz	Pka.C3	2	6	2e-04	0	0.5
cbx	Pka.C3	2	6	1e-04	0	0.5
dsx	Pka.C3	2	6	0	0	0.5
Sb	Pka.C3	2	6	0	0	0.5
sax	Pka.C3	2	6	0	0	0.5
foxo	Pka.C3	2	6	0	0	0.5
Cyp1	Pka.C3	2	6	1e-04	0	0.5
brm	Pka.C3	2	6	3e-04	0	0.5
rad50	Pka.C3	2	6	3e-04	0	0.5
chico	Pka.C3	2	6	4e-04	0	0.5
cp309	Pka.C3	2	6	0	0	0.5
hdc	Pka.C3	2	6	0	0	0.5
Axn	Pka.C3	2	6	0	0	0.5
Apc2	Pka.C3	2	6	0	0	0.5
PhKgamma	Pka.C3	2	6	1e-04	0	0.5
eya	Pka.C3	2	6	1e-04	0	0.5
sktl	Pka.C3	2	6	0	0	0.5
sqd	Pka.C3	2	6	1e-04	0	0.5
Akt1	Pka.C3	2	6	0	0	0.5
scyl	Pka.C3	2	6	0	0	0.5
cnk	Pka.C3	2	6	0	0	0.5
CG8149	Pka.C3	2	6	6e-04	0	0.5
CG34379	Pka.C3	2	6	0	0	0.5
Yp1	Pka.C3	2	6	0	0	0.5
yrt	Pka.C3	2	6	0	0	0.5
bap	Pka.C3	2	6	0	0	0.5
tud	Pka.C3	2	6	2e-04	0	0.5
ct	Pka.C3	2	6	0	0	0.5
tup	Pka.C3	2	6	0	0	0.5
G.ialpha65A	Pka.C3	2	6	0	0	0.5
knrl	Pka.C3	2	6	0	0	0.5
Pkn	Pka.C3	2	6	0	0	0.5
Sry.delta	Pka.C3	2	6	0	0	0.5
Alh	Pka.C3	2	6	0	0	0.5
pnut	Pka.C3	2	6	0	0	0.5
phyl	Pka.C3	2	6	2e-04	0	0.5
CG17739	Pka.C3	2	6	3e-04	0	0.5
B4	Pka.C3	2	6	0	0	0.5
CG2681	Pka.C3	2	6	0	0	0.5
tow	Pka.C3	2	6	0	0	0.5
hkl	Pka.C3	2	6	0	0	0.5
sina	Pka.C3	2	6	1e-04	0	0.5
ry	Pka.C3	2	6	1e-04	0	0.5
rux	Pka.C3	2	6	2e-04	0	0.5
boss	Pka.C3	2	6	0	0	0.5
Mkp3	Pka.C3	2	6	7e-04	0	0.5
inaC	Pka.C3	2	6	0	0	0.5
sno	Pka.C3	2	6	0	0	0.5
jagn	Pka.C3	2	6	0	0	0.5
dpn	Pka.C3	2	6	0	0	0.5
wrapper	Pka.C3	2	6	1e-04	0	0.5
Ca.alpha1D	Pka.C3	2	6	3e-04	0	0.5
E2f	Pka.C3	2	6	2e-04	0	0.5
Dp	Pka.C3	2	6	2e-04	0	0.5
l.2.efl	Pka.C3	2	6	0	0	0.5
cnc	Pka.C3	2	6	0	0	0.5
Atg5	Pka.C3	2	6	0	0	0.5
acj6	Pka.C3	2	6	0	0	0.5
Trl	Pka.C3	2	6	2e-04	0	0.5
d4	Pka.C3	2	6	0	0	0.5
CG16719	Pka.C3	2	6	1e-04	0	0.5
CadN	Pka.C3	2	6	0	0	0.5
gro	Pka.C3	2	6	2e-04	0	0.5
sec13	Pka.C3	2	6	0	0	0.5
klar	Pka.C3	2	6	0	0	0.5
Rack1	Pka.C3	2	6	0	0	0.5
Sobp	Pka.C3	2	6	0	0	0.5
ash1	Pka.C3	2	6	2e-04	0	0.5
inv	Pka.C3	2	6	0	0	0.5
shot	Pka.C3	2	6	1e-04	0	0.5
Oseg1	Pka.C3	2	6	0	0	0.5
Spred	Pka.C3	2	6	0	0	0.5
puc	Pka.C3	2	6	0	0	0.5
Atg6	Pka.C3	2	6	0	0	0.5
CG3829	Pka.C3	2	6	0	0	0.5
sle	Pka.C3	2	6	0	0	0.5
Cka	Pka.C3	2	6	1e-04	0	0.5
form3	Pka.C3	2	6	0	0	0.5
Pk61C	Pka.C3	2	6	0	0	0.5
Pcaf	Pka.C3	2	6	2e-04	0	0.5
sbb	Pka.C3	2	6	0	0	0.5
Ef1gamma	Pka.C3	2	6	0	0	0.5
FKBP59	Pka.C3	2	6	2e-04	0	0.5
Eip71CD	Pka.C3	2	6	0	0	0.5
xmas.2	Pka.C3	2	6	5e-04	0	0.5
ppan	Pka.C3	2	6	0	0	0.5
Iswi	Pka.C3	2	6	0	0	0.5
ine	Pka.C3	2	6	0	0	0.5
Tina.1	Pka.C3	2	6	0	0	0.5
bon	Pka.C3	2	6	0	0	0.5
pot	Pka.C3	2	6	0	0	0.5
chic	Pka.C3	2	6	0	0	0.5
Hem	Pka.C3	2	6	0	0	0.5
chif	Pka.C3	2	6	0	0	0.5
S6kII	Pka.C3	2	6	1e-04	0	0.5
wal	Pka.C3	2	6	0	0	0.5
wls	Pka.C3	2	6	0	0	0.5
Ddx1	Pka.C3	2	6	0	0	0.5
Sulf1	Pka.C3	2	6	0	0	0.5
CG3987	Pka.C3	2	6	0	0	0.5
Abd.B	Pka.C3	2	6	0	0	0.5
Uba1	Pka.C3	2	6	2e-04	0	0.5
bigmax	Pka.C3	2	6	1e-04	0	0.5
NAT1	Pka.C3	2	6	0	0	0.5
wupA	Pka.C3	2	6	0	0	0.5
Vps28	Pka.C3	2	6	2e-04	0	0.5
G.oalpha47A	Pka.C3	2	6	0	0	0.5
G.salpha60A	Pka.C3	2	6	2e-04	0	0.5
dsf	Pka.C3	2	6	0	0	0.5
Khc	Pka.C3	2	6	2e-04	0	0.5
CG10641	Pka.C3	2	6	2e-04	0	0.5
Alk	Pka.C3	2	6	0	0	0.5
ey	Pka.C3	2	6	1e-04	0	0.5
noc	Pka.C3	2	6	0	0	0.5
ix	Pka.C3	2	6	0	0	0.5
Optix	Pka.C3	2	6	0	0	0.5
sdt	Pka.C3	2	6	0	0	0.5
Sxl	Pka.C3	2	6	3e-04	0	0.5
rib	Pka.C3	2	6	1e-04	0	0.5
sas	Pka.C3	2	6	0	0	0.5
Scgdelta	Pka.C3	2	6	1e-04	0	0.5
sw	Pka.C3	2	6	0	0	0.5
fal	Pka.C3	2	6	0	0	0.5
ea	Pka.C3	2	6	1e-04	0	0.5
Ice	Pka.C3	2	6	0	0	0.5
cic	Pka.C3	2	6	0	0	0.5
Dok	Pka.C3	2	6	0	0	0.5
rhea	Pka.C3	2	6	0	0	0.5
Glycogenin	Pka.C3	2	6	3e-04	0	0.5
cin	Pka.C3	2	6	5e-04	0	0.5
chp	Pka.C3	2	6	1	0.99914	0.5
Dlic2	Pka.C3	2	6	7e-04	0	0.5
Pk92B	Pka.C3	2	6	0	0	0.5
Pak	Pka.C3	2	6	0	0	0.5
Lim1	Pka.C3	2	6	5e-04	0	0.5
CG34450	Pka.C3	2	6	1e-04	0	0.5
Su.H.	Pka.C3	2	6	0	0	0.5
CG12301	Pka.C3	2	6	2e-04	0	0.5
lilli	Pka.C3	2	6	0	0	0.5
toe	Pka.C3	2	6	0	0	0.5
qkr58E.3	Pka.C3	2	6	0	0	0.5
up	Pka.C3	2	6	0	0	0.5
hep	Pka.C3	2	6	0	0	0.5
Dap160	Pka.C3	2	6	0	0	0.5
l.2.gd1	Pka.C3	2	6	0	0	0.5
hkb	Pka.C3	2	6	0	0	0.5
beta4GalNAcTA	Pka.C3	2	6	0	0	0.5
Mer	Pka.C3	2	6	0	0	0.5
Mtl	Pka.C3	2	6	0	0	0.5
spin	Pka.C3	2	6	0	0	0.5
mfas	Pka.C3	2	6	0	0	0.5
frc	Pka.C3	2	6	2e-04	0	0.5
Krn	Pka.C3	2	6	0	0	0.5
mam	Pka.C3	2	6	0	0	0.5
brk	Pka.C3	2	6	0	0	0.5
Ark	Pka.C3	2	6	0	0	0.5
mmy	Pka.C3	2	6	0	0	0.5
mri	Pka.C3	2	6	0	0	0.5
Crk	Pka.C3	2	6	0	0	0.5
ssh	Pka.C3	2	6	0	0	0.5
fs.1.K10	Pka.C3	2	6	0	0	0.5
Psn	Pka.C3	2	6	0	0	0.5
CG9509	Pka.C3	2	6	0	0	0.5
CkIIalpha	Pka.C3	2	6	0	0	0.5
car	Pka.C3	2	6	0	0	0.5
capu	Pka.C3	2	6	0	0	0.5
cact	Pka.C3	2	6	0	0	0.5
Patj	Pka.C3	2	6	0	0	0.5
dpp	Pka.C3	2	6	0	0	0.5
xl6	Pka.C3	2	6	2e-04	0	0.5
dally	Pka.C3	2	6	2e-04	0	0.5
Pi3K92E	Pka.C3	2	6	0	0	0.5
E.bx.	Pka.C3	2	6	4e-04	0	0.5
emb	Pka.C3	2	6	1e-04	0	0.5
CtBP	Pka.C3	2	6	0	0	0.5
Dad	Pka.C3	2	6	0	0	0.5
amx	Pka.C3	2	6	1e-04	0	0.5
Ank2	Pka.C3	2	6	0	0	0.5
