Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Pkn	2	6	0	0	0.5
emp	Pkn	2	6	0	0	0.5
CG2678	Pkn	2	6	0	0	0.5
crc	Pkn	2	6	0	0	0.5
pros	Pkn	2	6	0	0	0.5
neur	Pkn	2	6	1e-04	0	0.5
Rab5	Pkn	2	6	0	0	0.5
Rab7	Pkn	2	6	0	0	0.5
Mmp2	Pkn	2	6	0	0	0.5
W	Pkn	2	6	0	0	0.5
bowl	Pkn	2	6	0.001	0	0.5
fd59A	Pkn	2	6	0	0	0.5
e	Pkn	2	6	0	0	0.5
ben	Pkn	2	6	0	0	0.5
rdo	Pkn	2	6	0	0	0.5
lin	Pkn	2	6	0.5591	0.99892	0.5
tra	Pkn	2	6	0.0011	0	0.5
tra2	Pkn	2	6	0	0	0.5
cathD	Pkn	2	6	6e-04	0	0.5
d	Pkn	2	6	4e-04	0	0.5
lva	Pkn	2	6	3e-04	0	0.5
pbl	Pkn	2	6	0	0	0.5
CG33205	Pkn	2	6	0	0	0.5
da	Pkn	2	6	0	0	0.5
cactin	Pkn	2	6	0	0	0.5
hpo	Pkn	2	6	6e-04	0	0.5
Sema.2a	Pkn	2	6	0	0	0.5
Eip74EF	Pkn	2	6	0	0	0.5
eg	Pkn	2	6	0	0	0.5
Arc42	Pkn	2	6	0	0	0.5
toy	Pkn	2	6	0	0	0.5
Galpha73B	Pkn	2	6	1e-04	0	0.5
RhoGAPp190	Pkn	2	6	2e-04	0	0.5
MED11	Pkn	2	6	8e-04	0	0.5
cher	Pkn	2	6	2e-04	0	0.5
BicD	Pkn	2	6	9e-04	0	0.5
MYPT.75D	Pkn	2	6	0	0	0.5
mus304	Pkn	2	6	0	0	0.5
CdsA	Pkn	2	6	0	0	0.5
btl	Pkn	2	6	0	0	0.5
Cyt.c.d	Pkn	2	6	0	0	0.5
tok	Pkn	2	6	0	0	0.5
ttk	Pkn	2	6	0	0	0.5
tamo	Pkn	2	6	0	0	0.5
CG6416	Pkn	2	6	0	0	0.5
flfl	Pkn	2	6	0	0	0.5
Pvr	Pkn	2	6	0	0	0.5
kay	Pkn	2	6	0	0	0.5
Jra	Pkn	2	6	0	0	0.5
msk	Pkn	2	6	0	0	0.5
tll	Pkn	2	6	0	0	0.5
Tm1	Pkn	2	6	0	0	0.5
srp	Pkn	2	6	0	0	0.5
Btk29A	Pkn	2	6	0	0	0.5
fred	Pkn	2	6	0	0	0.5
Src64B	Pkn	2	6	0	0	0.5
Mmp1	Pkn	2	6	0	0	0.5
sll	Pkn	2	6	0	0	0.5
Hmgs	Pkn	2	6	0	0	0.5
caps	Pkn	2	6	1e-04	0	0.5
Su.var.2.10	Pkn	2	6	0	0	0.5
CycB	Pkn	2	6	0	0	0.5
spir	Pkn	2	6	0	0	0.5
spn.A	Pkn	2	6	2e-04	0	0.5
Ptpmeg	Pkn	2	6	0	0	0.5
qua	Pkn	2	6	0	0	0.5
msn	Pkn	2	6	2e-04	0	0.5
ena	Pkn	2	6	9e-04	0	0.5
spen	Pkn	2	6	0	0	0.5
emc	Pkn	2	6	0	0	0.5
tsh	Pkn	2	6	0	0	0.5
Dat	Pkn	2	6	0	0	0.5
Lac	Pkn	2	6	0	0	0.5
dup	Pkn	2	6	0	0	0.5
CG3075	Pkn	2	6	0	0	0.5
Akap200	Pkn	2	6	0	0	0.5
CG18369	Pkn	2	6	5e-04	0	0.5
bnl	Pkn	2	6	3e-04	0	0.5
sec23	Pkn	2	6	3e-04	0	0.5
Pde8	Pkn	2	6	0	0	0.5
Arp66B	Pkn	2	6	6e-04	0	0.5
cos	Pkn	2	6	0	0	0.5
Borr	Pkn	2	6	0	0	0.5
X140up	Pkn	2	6	7e-04	0	0.5
Dhc64C	Pkn	2	6	9e-04	0	0.5
Not1	Pkn	2	6	0	0	0.5
CG9520	Pkn	2	6	0	0	0.5
bib	Pkn	2	6	3e-04	0	0.5
mib1	Pkn	2	6	0	0	0.5
cas	Pkn	2	6	0.0013	0	0.5
Abi	Pkn	2	6	0.002	0	0.5
betaTub56D	Pkn	2	6	7e-04	0	0.5
nej	Pkn	2	6	0	0	0.5
dlg1	Pkn	2	6	0	0	0.5
Lcp65Ag1	Pkn	2	6	0	0	0.5
Es2	Pkn	2	6	1e-04	0	0.5
MED24	Pkn	2	6	1e-04	0	0.5
Vhl	Pkn	2	6	0	0	0.5
tral	Pkn	2	6	0	0	0.5
sns	Pkn	2	6	6e-04	0	0.5
mbl	Pkn	2	6	0.0012	0	0.5
sav	Pkn	2	6	0	0	0.5
lola	Pkn	2	6	0	0	0.5
robo	Pkn	2	6	0	0	0.5
CG32486	Pkn	2	6	0	0	0.5
santa.maria	Pkn	2	6	0	0	0.5
stumps	Pkn	2	6	2e-04	0	0.5
abd.A	Pkn	2	6	6e-04	0	0.5
dock	Pkn	2	6	6e-04	0	0.5
Lar	Pkn	2	6	0	0	0.5
l.1.G0289	Pkn	2	6	0	0	0.5
Abl	Pkn	2	6	0	0	0.5
Syb	Pkn	2	6	5e-04	0	0.5
dome	Pkn	2	6	4e-04	0	0.5
ofs	Pkn	2	6	7e-04	0	0.5
MED4	Pkn	2	6	0	0	0.5
scrib	Pkn	2	6	0	0	0.5
siz	Pkn	2	6	0	0	0.5
cbx	Pkn	2	6	1e-04	0	0.5
dsx	Pkn	2	6	1e-04	0	0.5
Sb	Pkn	2	6	0	0	0.5
sax	Pkn	2	6	6e-04	0	0.5
foxo	Pkn	2	6	1e-04	0	0.5
Cyp1	Pkn	2	6	1e-04	0	0.5
brm	Pkn	2	6	0	0	0.5
rad50	Pkn	2	6	2e-04	0	0.5
chico	Pkn	2	6	0	0	0.5
cp309	Pkn	2	6	0	0	0.5
hdc	Pkn	2	6	1e-04	0	0.5
Axn	Pkn	2	6	0.0011	0	0.5
Apc2	Pkn	2	6	1e-04	0	0.5
PhKgamma	Pkn	2	6	0	0	0.5
eya	Pkn	2	6	0	0	0.5
sktl	Pkn	2	6	0	0	0.5
sqd	Pkn	2	6	0.3925	0	0.5
Akt1	Pkn	2	6	3e-04	0	0.5
scyl	Pkn	2	6	0	0	0.5
cnk	Pkn	2	6	0	0	0.5
CG8149	Pkn	2	6	0.0137	0	0.5
CG34379	Pkn	2	6	3e-04	0	0.5
Yp1	Pkn	2	6	6e-04	0	0.5
yrt	Pkn	2	6	9e-04	0	0.5
bap	Pkn	2	6	0	0	0.5
