Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Pop2	2	6	0	0	0.5
emp	Pop2	2	6	0	0	0.5
CG2678	Pop2	2	6	0	0	0.5
crc	Pop2	2	6	0	0	0.5
pros	Pop2	2	6	0	0	0.5
neur	Pop2	2	6	0	0	0.5
Rab5	Pop2	2	6	0.0015	0	0.5
Rab7	Pop2	2	6	0	0	0.5
Mmp2	Pop2	2	6	0	0	0.5
W	Pop2	2	6	0	0	0.5
bowl	Pop2	2	6	0	0	0.5
fd59A	Pop2	2	6	0	0	0.5
e	Pop2	2	6	0	0	0.5
ben	Pop2	2	6	0	0	0.5
rdo	Pop2	2	6	0	0	0.5
lin	Pop2	2	6	1e-04	0	0.5
tra	Pop2	2	6	0	0	0.5
tra2	Pop2	2	6	0	0	0.5
cathD	Pop2	2	6	0	0	0.5
d	Pop2	2	6	0.001	0	0.5
lva	Pop2	2	6	0.001	0	0.5
pbl	Pop2	2	6	0	0	0.5
CG33205	Pop2	2	6	1e-04	0	0.5
da	Pop2	2	6	0	0	0.5
cactin	Pop2	2	6	1e-04	0	0.5
hpo	Pop2	2	6	3e-04	0	0.5
Sema.2a	Pop2	2	6	1e-04	0	0.5
Eip74EF	Pop2	2	6	0	0	0.5
eg	Pop2	2	6	0	0	0.5
Arc42	Pop2	2	6	0	0	0.5
toy	Pop2	2	6	7e-04	0	0.5
Galpha73B	Pop2	2	6	0	0	0.5
RhoGAPp190	Pop2	2	6	2e-04	0	0.5
MED11	Pop2	2	6	0	0	0.5
cher	Pop2	2	6	0	0	0.5
BicD	Pop2	2	6	0	0	0.5
MYPT.75D	Pop2	2	6	1e-04	0	0.5
mus304	Pop2	2	6	0	0	0.5
CdsA	Pop2	2	6	0	0	0.5
btl	Pop2	2	6	0	0	0.5
Cyt.c.d	Pop2	2	6	0.001	0	0.5
tok	Pop2	2	6	0	0	0.5
ttk	Pop2	2	6	0	0	0.5
tamo	Pop2	2	6	6e-04	0	0.5
CG6416	Pop2	2	6	3e-04	0	0.5
