Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Psn	2	6	0	0	0.5
emp	Psn	2	6	0	0	0.5
CG2678	Psn	2	6	0	0	0.5
crc	Psn	2	6	0	0	0.5
pros	Psn	2	6	0	0	0.5
neur	Psn	2	6	5e-04	0	0.5
Rab5	Psn	2	6	0	0	0.5
Rab7	Psn	2	6	0	0	0.5
Mmp2	Psn	2	6	0	0	0.5
W	Psn	2	6	0	0	0.5
bowl	Psn	2	6	2e-04	0	0.5
fd59A	Psn	2	6	2e-04	0	0.5
e	Psn	2	6	0	0	0.5
ben	Psn	2	6	0	0	0.5
rdo	Psn	2	6	0	0	0.5
lin	Psn	2	6	0	0	0.5
tra	Psn	2	6	0	0	0.5
tra2	Psn	2	6	0	0	0.5
cathD	Psn	2	6	0	0	0.5
d	Psn	2	6	0	0	0.5
lva	Psn	2	6	0	0	0.5
pbl	Psn	2	6	0	0	0.5
CG33205	Psn	2	6	1e-04	0	0.5
da	Psn	2	6	0.1544	0	0.5
cactin	Psn	2	6	0	0	0.5
hpo	Psn	2	6	0	0	0.5
Sema.2a	Psn	2	6	0	0	0.5
Eip74EF	Psn	2	6	0	0	0.5
eg	Psn	2	6	0	0	0.5
Arc42	Psn	2	6	4e-04	0	0.5
toy	Psn	2	6	0	0	0.5
Galpha73B	Psn	2	6	0	0	0.5
RhoGAPp190	Psn	2	6	0	0	0.5
MED11	Psn	2	6	0	0	0.5
cher	Psn	2	6	1	-0.99924	0.5
BicD	Psn	2	6	1e-04	0	0.5
MYPT.75D	Psn	2	6	2e-04	0	0.5
mus304	Psn	2	6	0	0	0.5
CdsA	Psn	2	6	0	0	0.5
btl	Psn	2	6	0	0	0.5
Cyt.c.d	Psn	2	6	1e-04	0	0.5
tok	Psn	2	6	2e-04	0	0.5
ttk	Psn	2	6	0	0	0.5
tamo	Psn	2	6	2e-04	0	0.5
CG6416	Psn	2	6	0	0	0.5
flfl	Psn	2	6	0	0	0.5
Pvr	Psn	2	6	0	0	0.5
kay	Psn	2	6	7e-04	0	0.5
Jra	Psn	2	6	0	0	0.5
msk	Psn	2	6	1e-04	0	0.5
tll	Psn	2	6	3e-04	0	0.5
Tm1	Psn	2	6	0	0	0.5
srp	Psn	2	6	0	0	0.5
Btk29A	Psn	2	6	0	0	0.5
fred	Psn	2	6	0	0	0.5
Src64B	Psn	2	6	0.0015	0	0.5
Mmp1	Psn	2	6	0	0	0.5
sll	Psn	2	6	0.0011	0	0.5
Hmgs	Psn	2	6	4e-04	0	0.5
caps	Psn	2	6	0	0	0.5
Su.var.2.10	Psn	2	6	3e-04	0	0.5
CycB	Psn	2	6	1e-04	0	0.5
spir	Psn	2	6	0	0	0.5
spn.A	Psn	2	6	0	0	0.5
