Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Pvf1	2	6	0	0	0.5
emp	Pvf1	2	6	0	0	0.5
CG2678	Pvf1	2	6	0	0	0.5
crc	Pvf1	2	6	0	0	0.5
pros	Pvf1	2	6	0	0	0.5
neur	Pvf1	2	6	0	0	0.5
Rab5	Pvf1	2	6	0	0	0.5
Rab7	Pvf1	2	6	0	0	0.5
Mmp2	Pvf1	2	6	0	0	0.5
W	Pvf1	2	6	0	0	0.5
bowl	Pvf1	2	6	0	0	0.5
fd59A	Pvf1	2	6	0	0	0.5
e	Pvf1	2	6	0	0	0.5
ben	Pvf1	2	6	0	0	0.5
rdo	Pvf1	2	6	3e-04	0	0.5
lin	Pvf1	2	6	0	0	0.5
tra	Pvf1	2	6	4e-04	0	0.5
tra2	Pvf1	2	6	0	0	0.5
cathD	Pvf1	2	6	0	0	0.5
d	Pvf1	2	6	0	0	0.5
lva	Pvf1	2	6	0	0	0.5
pbl	Pvf1	2	6	2e-04	0	0.5
CG33205	Pvf1	2	6	0	0	0.5
da	Pvf1	2	6	0	0	0.5
cactin	Pvf1	2	6	0	0	0.5
hpo	Pvf1	2	6	0	0	0.5
Sema.2a	Pvf1	2	6	2e-04	0	0.5
Eip74EF	Pvf1	2	6	0	0	0.5
eg	Pvf1	2	6	0	0	0.5
Arc42	Pvf1	2	6	3e-04	0	0.5
toy	Pvf1	2	6	2e-04	0	0.5
Galpha73B	Pvf1	2	6	2e-04	0	0.5
RhoGAPp190	Pvf1	2	6	6e-04	0	0.5
MED11	Pvf1	2	6	2e-04	0	0.5
cher	Pvf1	2	6	0	0	0.5
BicD	Pvf1	2	6	0	0	0.5
MYPT.75D	Pvf1	2	6	6e-04	0	0.5
mus304	Pvf1	2	6	3e-04	0	0.5
CdsA	Pvf1	2	6	2e-04	0	0.5
btl	Pvf1	2	6	2e-04	0	0.5
Cyt.c.d	Pvf1	2	6	0.0011	0	0.5
tok	Pvf1	2	6	0	0	0.5
ttk	Pvf1	2	6	0	0	0.5
tamo	Pvf1	2	6	0	0	0.5
CG6416	Pvf1	2	6	1e-04	0	0.5
flfl	Pvf1	2	6	2e-04	0	0.5
Pvr	Pvf1	2	6	0	0	0.5
kay	Pvf1	2	6	0	0	0.5
Jra	Pvf1	2	6	0	0	0.5
msk	Pvf1	2	6	0	0	0.5
tll	Pvf1	2	6	0	0	0.5
Tm1	Pvf1	2	6	5e-04	0	0.5
srp	Pvf1	2	6	0	0	0.5
Btk29A	Pvf1	2	6	0	0	0.5
fred	Pvf1	2	6	0	0	0.5
Src64B	Pvf1	2	6	0	0	0.5
Mmp1	Pvf1	2	6	0	0	0.5
sll	Pvf1	2	6	0	0	0.5
Hmgs	Pvf1	2	6	4e-04	0	0.5
caps	Pvf1	2	6	8e-04	0	0.5
Su.var.2.10	Pvf1	2	6	0	0	0.5
CycB	Pvf1	2	6	0	0	0.5
spir	Pvf1	2	6	0	0	0.5
spn.A	Pvf1	2	6	0	0	0.5
Ptpmeg	Pvf1	2	6	2e-04	0	0.5
qua	Pvf1	2	6	0	0	0.5
msn	Pvf1	2	6	0	0	0.5
ena	Pvf1	2	6	0	0	0.5
spen	Pvf1	2	6	0	0	0.5
emc	Pvf1	2	6	0	0	0.5
tsh	Pvf1	2	6	0	0	0.5
Dat	Pvf1	2	6	0	0	0.5
Lac	Pvf1	2	6	0	0	0.5
dup	Pvf1	2	6	0	0	0.5
CG3075	Pvf1	2	6	0	0	0.5
Akap200	Pvf1	2	6	0	0	0.5
CG18369	Pvf1	2	6	3e-04	0	0.5
bnl	Pvf1	2	6	0	0	0.5
sec23	Pvf1	2	6	0	0	0.5
Pde8	Pvf1	2	6	0	0	0.5
Arp66B	Pvf1	2	6	0	0	0.5
cos	Pvf1	2	6	1e-04	0	0.5
Borr	Pvf1	2	6	3e-04	0	0.5
X140up	Pvf1	2	6	1e-04	0	0.5
Dhc64C	Pvf1	2	6	2e-04	0	0.5
Not1	Pvf1	2	6	3e-04	0	0.5
CG9520	Pvf1	2	6	0	0	0.5
bib	Pvf1	2	6	0	0	0.5
mib1	Pvf1	2	6	0	0	0.5
cas	Pvf1	2	6	3e-04	0	0.5
Abi	Pvf1	2	6	0	0	0.5
betaTub56D	Pvf1	2	6	0	0	0.5
nej	Pvf1	2	6	0	0	0.5
dlg1	Pvf1	2	6	0	0	0.5
Lcp65Ag1	Pvf1	2	6	0	0	0.5
Es2	Pvf1	2	6	1e-04	0	0.5
MED24	Pvf1	2	6	3e-04	0	0.5
Vhl	Pvf1	2	6	0	0	0.5
tral	Pvf1	2	6	0	0	0.5
sns	Pvf1	2	6	2e-04	0	0.5
mbl	Pvf1	2	6	0	0	0.5
sav	Pvf1	2	6	3e-04	0	0.5
lola	Pvf1	2	6	0	0	0.5
robo	Pvf1	2	6	1e-04	0	0.5
CG32486	Pvf1	2	6	0	0	0.5
santa.maria	Pvf1	2	6	0	0	0.5
stumps	Pvf1	2	6	0	0	0.5
abd.A	Pvf1	2	6	1e-04	0	0.5
dock	Pvf1	2	6	0	0	0.5
Lar	Pvf1	2	6	0	0	0.5
l.1.G0289	Pvf1	2	6	0	0	0.5
Abl	Pvf1	2	6	0	0	0.5
Syb	Pvf1	2	6	0	0	0.5
dome	Pvf1	2	6	0	0	0.5
ofs	Pvf1	2	6	5e-04	0	0.5
MED4	Pvf1	2	6	0	0	0.5
scrib	Pvf1	2	6	1e-04	0	0.5
siz	Pvf1	2	6	0.659	-0.99799	0.5
cbx	Pvf1	2	6	8e-04	0	0.5
dsx	Pvf1	2	6	0	0	0.5
Sb	Pvf1	2	6	0	0	0.5
sax	Pvf1	2	6	0	0	0.5
foxo	Pvf1	2	6	1e-04	0	0.5
Cyp1	Pvf1	2	6	0	0	0.5
brm	Pvf1	2	6	6e-04	0	0.5
rad50	Pvf1	2	6	3e-04	0	0.5
chico	Pvf1	2	6	0	0	0.5
cp309	Pvf1	2	6	4e-04	0	0.5
hdc	Pvf1	2	6	0	0	0.5
Axn	Pvf1	2	6	0	0	0.5
Apc2	Pvf1	2	6	0	0	0.5
PhKgamma	Pvf1	2	6	0	0	0.5
eya	Pvf1	2	6	5e-04	0	0.5
sktl	Pvf1	2	6	0	0	0.5
sqd	Pvf1	2	6	0	0	0.5
Akt1	Pvf1	2	6	1e-04	0	0.5
scyl	Pvf1	2	6	0	0	0.5
cnk	Pvf1	2	6	3e-04	0	0.5
CG8149	Pvf1	2	6	0	0	0.5
CG34379	Pvf1	2	6	1e-04	0	0.5
Yp1	Pvf1	2	6	0	0	0.5
yrt	Pvf1	2	6	4e-04	0	0.5
bap	Pvf1	2	6	1e-04	0	0.5
tud	Pvf1	2	6	0	0	0.5
ct	Pvf1	2	6	1e-04	0	0.5
tup	Pvf1	2	6	0	0	0.5
G.ialpha65A	Pvf1	2	6	0	0	0.5
knrl	Pvf1	2	6	0	0	0.5
Pkn	Pvf1	2	6	0	0	0.5
Sry.delta	Pvf1	2	6	3e-04	0	0.5
Alh	Pvf1	2	6	2e-04	0	0.5
pnut	Pvf1	2	6	0	0	0.5
phyl	Pvf1	2	6	0.3415	0	0.5
CG17739	Pvf1	2	6	3e-04	0	0.5
B4	Pvf1	2	6	0	0	0.5
CG2681	Pvf1	2	6	5e-04	0	0.5
tow	Pvf1	2	6	0	0	0.5
hkl	Pvf1	2	6	3e-04	0	0.5
sina	Pvf1	2	6	0.0012	0	0.5
ry	Pvf1	2	6	1e-04	0	0.5
rux	Pvf1	2	6	0	0	0.5
boss	Pvf1	2	6	0.0015	0	0.5
Mkp3	Pvf1	2	6	0	0	0.5
inaC	Pvf1	2	6	3e-04	0	0.5
sno	Pvf1	2	6	0	0	0.5
jagn	Pvf1	2	6	1e-04	0	0.5
dpn	Pvf1	2	6	1e-04	0	0.5
wrapper	Pvf1	2	6	0	0	0.5
Ca.alpha1D	Pvf1	2	6	0	0	0.5
E2f	Pvf1	2	6	1e-04	0	0.5
Dp	Pvf1	2	6	0	0	0.5
l.2.efl	Pvf1	2	6	0	0	0.5
cnc	Pvf1	2	6	0	0	0.5
Atg5	Pvf1	2	6	0	0	0.5
acj6	Pvf1	2	6	0	0	0.5
Trl	Pvf1	2	6	0	0	0.5
d4	Pvf1	2	6	0	0	0.5
CG16719	Pvf1	2	6	0	0	0.5
CadN	Pvf1	2	6	5e-04	0	0.5
gro	Pvf1	2	6	0	0	0.5
sec13	Pvf1	2	6	0	0	0.5
klar	Pvf1	2	6	1e-04	0	0.5
Rack1	Pvf1	2	6	2e-04	0	0.5
Sobp	Pvf1	2	6	0	0	0.5
ash1	Pvf1	2	6	0	0	0.5
inv	Pvf1	2	6	0	0	0.5
shot	Pvf1	2	6	0	0	0.5
Oseg1	Pvf1	2	6	1e-04	0	0.5
Spred	Pvf1	2	6	0	0	0.5
puc	Pvf1	2	6	4e-04	0	0.5
Atg6	Pvf1	2	6	2e-04	0	0.5
CG3829	Pvf1	2	6	0	0	0.5
sle	Pvf1	2	6	1e-04	0	0.5
Cka	Pvf1	2	6	0	0	0.5
form3	Pvf1	2	6	1e-04	0	0.5
Pk61C	Pvf1	2	6	0	0	0.5
Pcaf	Pvf1	2	6	0	0	0.5
sbb	Pvf1	2	6	1e-04	0	0.5
Ef1gamma	Pvf1	2	6	0	0	0.5
FKBP59	Pvf1	2	6	5e-04	0	0.5
Eip71CD	Pvf1	2	6	0	0	0.5
xmas.2	Pvf1	2	6	3e-04	0	0.5
ppan	Pvf1	2	6	0	0	0.5
Iswi	Pvf1	2	6	0	0	0.5
ine	Pvf1	2	6	0	0	0.5
Tina.1	Pvf1	2	6	0	0	0.5
bon	Pvf1	2	6	0	0	0.5
pot	Pvf1	2	6	3e-04	0	0.5
chic	Pvf1	2	6	0	0	0.5
Hem	Pvf1	2	6	0	0	0.5
chif	Pvf1	2	6	0	0	0.5
S6kII	Pvf1	2	6	0	0	0.5
wal	Pvf1	2	6	0	0	0.5
wls	Pvf1	2	6	0	0	0.5
Ddx1	Pvf1	2	6	0	0	0.5
Sulf1	Pvf1	2	6	1e-04	0	0.5
CG3987	Pvf1	2	6	0	0	0.5
Abd.B	Pvf1	2	6	0	0	0.5
Uba1	Pvf1	2	6	0	0	0.5
