Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Pvr	2	6	0	0	0.5
emp	Pvr	2	6	0	0	0.5
CG2678	Pvr	2	6	0	0	0.5
crc	Pvr	2	6	0	0	0.5
pros	Pvr	2	6	0	0	0.5
neur	Pvr	2	6	0	0	0.5
Rab5	Pvr	2	6	0	0	0.5
Rab7	Pvr	2	6	1e-04	0	0.5
Mmp2	Pvr	2	6	0	0	0.5
W	Pvr	2	6	1e-04	0	0.5
bowl	Pvr	2	6	4e-04	0	0.5
fd59A	Pvr	2	6	0	0	0.5
e	Pvr	2	6	0	0	0.5
ben	Pvr	2	6	0	0	0.5
rdo	Pvr	2	6	7e-04	0	0.5
lin	Pvr	2	6	0	0	0.5
tra	Pvr	2	6	1e-04	0	0.5
tra2	Pvr	2	6	3e-04	0	0.5
cathD	Pvr	2	6	1e-04	0	0.5
d	Pvr	2	6	0	0	0.5
lva	Pvr	2	6	0	0	0.5
pbl	Pvr	2	6	0	0	0.5
CG33205	Pvr	2	6	0	0	0.5
da	Pvr	2	6	1e-04	0	0.5
cactin	Pvr	2	6	0	0	0.5
hpo	Pvr	2	6	0	0	0.5
Sema.2a	Pvr	2	6	3e-04	0	0.5
Eip74EF	Pvr	2	6	0	0	0.5
eg	Pvr	2	6	0	0	0.5
Arc42	Pvr	2	6	0	0	0.5
toy	Pvr	2	6	0	0	0.5
Galpha73B	Pvr	2	6	0	0	0.5
RhoGAPp190	Pvr	2	6	0	0	0.5
MED11	Pvr	2	6	0	0	0.5
cher	Pvr	2	6	0	0	0.5
BicD	Pvr	2	6	2e-04	0	0.5
MYPT.75D	Pvr	2	6	0	0	0.5
mus304	Pvr	2	6	0	0	0.5
CdsA	Pvr	2	6	0	0	0.5
btl	Pvr	2	6	5e-04	0	0.5
Cyt.c.d	Pvr	2	6	0	0	0.5
tok	Pvr	2	6	0	0	0.5
ttk	Pvr	2	6	1e-04	0	0.5
tamo	Pvr	2	6	0	0	0.5
CG6416	Pvr	2	6	0	0	0.5
flfl	Pvr	2	6	0	0	0.5
Pvr	Pvr	2	6	0	0	0.5
kay	Pvr	2	6	1e-04	0	0.5
Jra	Pvr	2	6	0	0	0.5
msk	Pvr	2	6	3e-04	0	0.5
tll	Pvr	2	6	0	0	0.5
Tm1	Pvr	2	6	0	0	0.5
srp	Pvr	2	6	0	0	0.5
Btk29A	Pvr	2	6	0	0	0.5
fred	Pvr	2	6	0	0	0.5
Src64B	Pvr	2	6	0	0	0.5
Mmp1	Pvr	2	6	0	0	0.5
sll	Pvr	2	6	1e-04	0	0.5
Hmgs	Pvr	2	6	2e-04	0	0.5
caps	Pvr	2	6	4e-04	0	0.5
Su.var.2.10	Pvr	2	6	2e-04	0	0.5
CycB	Pvr	2	6	0	0	0.5
