Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Rab7	2	6	1e-04	0	0.5
emp	Rab7	2	6	3e-04	0	0.5
CG2678	Rab7	2	6	8e-04	0	0.5
crc	Rab7	2	6	0	0	0.5
pros	Rab7	2	6	0	0	0.5
neur	Rab7	2	6	0	0	0.5
Rab5	Rab7	2	6	1e-04	0	0.5
Rab7	Rab7	2	6	0	0	0.5
Mmp2	Rab7	2	6	0	0	0.5
W	Rab7	2	6	0	0	0.5
bowl	Rab7	2	6	2e-04	0	0.5
fd59A	Rab7	2	6	3e-04	0	0.5
e	Rab7	2	6	0	0	0.5
ben	Rab7	2	6	4e-04	0	0.5
rdo	Rab7	2	6	0	0	0.5
lin	Rab7	2	6	0	0	0.5
tra	Rab7	2	6	0	0	0.5
tra2	Rab7	2	6	3e-04	0	0.5
cathD	Rab7	2	6	0	0	0.5
d	Rab7	2	6	0	0	0.5
lva	Rab7	2	6	0	0	0.5
pbl	Rab7	2	6	0	0	0.5
CG33205	Rab7	2	6	5e-04	0	0.5
da	Rab7	2	6	1e-04	0	0.5
cactin	Rab7	2	6	0	0	0.5
hpo	Rab7	2	6	0	0	0.5
Sema.2a	Rab7	2	6	1e-04	0	0.5
Eip74EF	Rab7	2	6	8e-04	0	0.5
eg	Rab7	2	6	1e-04	0	0.5
Arc42	Rab7	2	6	0.0011	0	0.5
toy	Rab7	2	6	0	0	0.5
Galpha73B	Rab7	2	6	0	0	0.5
RhoGAPp190	Rab7	2	6	5e-04	0	0.5
MED11	Rab7	2	6	0	0	0.5
cher	Rab7	2	6	0	0	0.5
BicD	Rab7	2	6	0	0	0.5
MYPT.75D	Rab7	2	6	5e-04	0	0.5
mus304	Rab7	2	6	0	0	0.5
CdsA	Rab7	2	6	3e-04	0	0.5
btl	Rab7	2	6	3e-04	0	0.5
Cyt.c.d	Rab7	2	6	0	0	0.5
tok	Rab7	2	6	3e-04	0	0.5
ttk	Rab7	2	6	8e-04	0	0.5
tamo	Rab7	2	6	0	0	0.5
CG6416	Rab7	2	6	0	0	0.5
flfl	Rab7	2	6	3e-04	0	0.5
Pvr	Rab7	2	6	1e-04	0	0.5
kay	Rab7	2	6	0	0	0.5
Jra	Rab7	2	6	0	0	0.5
msk	Rab7	2	6	1e-04	0	0.5
tll	Rab7	2	6	0	0	0.5
Tm1	Rab7	2	6	0	0	0.5
srp	Rab7	2	6	2e-04	0	0.5
Btk29A	Rab7	2	6	0	0	0.5
fred	Rab7	2	6	1e-04	0	0.5
Src64B	Rab7	2	6	0	0	0.5
Mmp1	Rab7	2	6	1e-04	0	0.5
sll	Rab7	2	6	1e-04	0	0.5
Hmgs	Rab7	2	6	0	0	0.5
caps	Rab7	2	6	2e-04	0	0.5
Su.var.2.10	Rab7	2	6	1e-04	0	0.5
CycB	Rab7	2	6	0	0	0.5
spir	Rab7	2	6	0	0	0.5
spn.A	Rab7	2	6	3e-04	0	0.5
Ptpmeg	Rab7	2	6	0	0	0.5
qua	Rab7	2	6	0	0	0.5
msn	Rab7	2	6	0	0	0.5
ena	Rab7	2	6	0	0	0.5
spen	Rab7	2	6	3e-04	0	0.5
emc	Rab7	2	6	0.0018	0	0.5
tsh	Rab7	2	6	0	0	0.5
Dat	Rab7	2	6	4e-04	0	0.5
Lac	Rab7	2	6	6e-04	0	0.5
dup	Rab7	2	6	5e-04	0	0.5
CG3075	Rab7	2	6	6e-04	0	0.5
Akap200	Rab7	2	6	1e-04	0	0.5
CG18369	Rab7	2	6	7e-04	0	0.5
bnl	Rab7	2	6	0.001	0	0.5
sec23	Rab7	2	6	0	0	0.5
Pde8	Rab7	2	6	3e-04	0	0.5
Arp66B	Rab7	2	6	0	0	0.5
cos	Rab7	2	6	6e-04	0	0.5
Borr	Rab7	2	6	0	0	0.5
X140up	Rab7	2	6	0	0	0.5
Dhc64C	Rab7	2	6	0	0	0.5
Not1	Rab7	2	6	0	0	0.5
CG9520	Rab7	2	6	1e-04	0	0.5
bib	Rab7	2	6	0	0	0.5
mib1	Rab7	2	6	0	0	0.5
cas	Rab7	2	6	0	0	0.5
Abi	Rab7	2	6	0.001	0	0.5
betaTub56D	Rab7	2	6	0	0	0.5
nej	Rab7	2	6	0	0	0.5
dlg1	Rab7	2	6	0	0	0.5
Lcp65Ag1	Rab7	2	6	1e-04	0	0.5
Es2	Rab7	2	6	0	0	0.5
MED24	Rab7	2	6	0	0	0.5
Vhl	Rab7	2	6	1e-04	0	0.5
tral	Rab7	2	6	3e-04	0	0.5
sns	Rab7	2	6	0	0	0.5
mbl	Rab7	2	6	0	0	0.5
sav	Rab7	2	6	1e-04	0	0.5
lola	Rab7	2	6	6e-04	0	0.5
robo	Rab7	2	6	0	0	0.5
CG32486	Rab7	2	6	0	0	0.5
santa.maria	Rab7	2	6	8e-04	0	0.5
stumps	Rab7	2	6	0	0	0.5
abd.A	Rab7	2	6	9e-04	0	0.5
dock	Rab7	2	6	2e-04	0	0.5
Lar	Rab7	2	6	1e-04	0	0.5
l.1.G0289	Rab7	2	6	0	0	0.5
Abl	Rab7	2	6	0	0	0.5
Syb	Rab7	2	6	0	0	0.5
dome	Rab7	2	6	0	0	0.5
ofs	Rab7	2	6	0.0013	0	0.5
MED4	Rab7	2	6	2e-04	0	0.5
scrib	Rab7	2	6	0	0	0.5
siz	Rab7	2	6	0	0	0.5
cbx	Rab7	2	6	3e-04	0	0.5
dsx	Rab7	2	6	1e-04	0	0.5
Sb	Rab7	2	6	0	0	0.5
sax	Rab7	2	6	0	0	0.5
foxo	Rab7	2	6	0	0	0.5
Cyp1	Rab7	2	6	2e-04	0	0.5
brm	Rab7	2	6	3e-04	0	0.5
rad50	Rab7	2	6	1e-04	0	0.5
chico	Rab7	2	6	4e-04	0	0.5
cp309	Rab7	2	6	1e-04	0	0.5
hdc	Rab7	2	6	0	0	0.5
Axn	Rab7	2	6	1e-04	0	0.5
Apc2	Rab7	2	6	2e-04	0	0.5
PhKgamma	Rab7	2	6	1e-04	0	0.5
eya	Rab7	2	6	0	0	0.5
sktl	Rab7	2	6	4e-04	0	0.5
sqd	Rab7	2	6	0	0	0.5
Akt1	Rab7	2	6	1e-04	0	0.5
scyl	Rab7	2	6	0.0355	0	0.5
cnk	Rab7	2	6	4e-04	0	0.5
CG8149	Rab7	2	6	0	0	0.5
CG34379	Rab7	2	6	1e-04	0	0.5
Yp1	Rab7	2	6	6e-04	0	0.5
yrt	Rab7	2	6	0	0	0.5
bap	Rab7	2	6	0	0	0.5
tud	Rab7	2	6	0	0	0.5
ct	Rab7	2	6	2e-04	0	0.5
tup	Rab7	2	6	0	0	0.5
G.ialpha65A	Rab7	2	6	0	0	0.5
knrl	Rab7	2	6	0.001	0	0.5
Pkn	Rab7	2	6	1e-04	0	0.5
Sry.delta	Rab7	2	6	0	0	0.5
Alh	Rab7	2	6	7e-04	0	0.5
pnut	Rab7	2	6	0	0	0.5
phyl	Rab7	2	6	0	0	0.5
CG17739	Rab7	2	6	0	0	0.5
B4	Rab7	2	6	6e-04	0	0.5
CG2681	Rab7	2	6	2e-04	0	0.5
tow	Rab7	2	6	1e-04	0	0.5
hkl	Rab7	2	6	1e-04	0	0.5
sina	Rab7	2	6	2e-04	0	0.5
ry	Rab7	2	6	0	0	0.5
rux	Rab7	2	6	0	0	0.5
boss	Rab7	2	6	0.191	0	0.5
Mkp3	Rab7	2	6	3e-04	0	0.5
inaC	Rab7	2	6	0	0	0.5
sno	Rab7	2	6	0	0	0.5
jagn	Rab7	2	6	3e-04	0	0.5
dpn	Rab7	2	6	0	0	0.5
wrapper	Rab7	2	6	2e-04	0	0.5
Ca.alpha1D	Rab7	2	6	0.0012	0	0.5
E2f	Rab7	2	6	1e-04	0	0.5
Dp	Rab7	2	6	0	0	0.5
l.2.efl	Rab7	2	6	0	0	0.5
cnc	Rab7	2	6	0	0	0.5
Atg5	Rab7	2	6	3e-04	0	0.5
acj6	Rab7	2	6	0	0	0.5
Trl	Rab7	2	6	1e-04	0	0.5
d4	Rab7	2	6	0	0	0.5
CG16719	Rab7	2	6	7e-04	0	0.5
CadN	Rab7	2	6	1e-04	0	0.5
gro	Rab7	2	6	0	0	0.5
