Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Rbp9	2	6	0	0	0.5
emp	Rbp9	2	6	0	0	0.5
CG2678	Rbp9	2	6	0	0	0.5
crc	Rbp9	2	6	0	0	0.5
pros	Rbp9	2	6	5e-04	0	0.5
neur	Rbp9	2	6	0	0	0.5
Rab5	Rbp9	2	6	0.0014	0	0.5
Rab7	Rbp9	2	6	0	0	0.5
Mmp2	Rbp9	2	6	2e-04	0	0.5
W	Rbp9	2	6	0	0	0.5
bowl	Rbp9	2	6	0	0	0.5
fd59A	Rbp9	2	6	4e-04	0	0.5
e	Rbp9	2	6	8e-04	0	0.5
ben	Rbp9	2	6	0	0	0.5
rdo	Rbp9	2	6	0	0	0.5
lin	Rbp9	2	6	0	0	0.5
tra	Rbp9	2	6	0	0	0.5
tra2	Rbp9	2	6	0	0	0.5
cathD	Rbp9	2	6	2e-04	0	0.5
d	Rbp9	2	6	0	0	0.5
lva	Rbp9	2	6	0	0	0.5
pbl	Rbp9	2	6	0	0	0.5
CG33205	Rbp9	2	6	0	0	0.5
da	Rbp9	2	6	0	0	0.5
cactin	Rbp9	2	6	0	0	0.5
hpo	Rbp9	2	6	1e-04	0	0.5
Sema.2a	Rbp9	2	6	0	0	0.5
Eip74EF	Rbp9	2	6	5e-04	0	0.5
eg	Rbp9	2	6	0	0	0.5
Arc42	Rbp9	2	6	0	0	0.5
toy	Rbp9	2	6	2e-04	0	0.5
Galpha73B	Rbp9	2	6	2e-04	0	0.5
RhoGAPp190	Rbp9	2	6	0	0	0.5
MED11	Rbp9	2	6	0	0	0.5
cher	Rbp9	2	6	2e-04	0	0.5
BicD	Rbp9	2	6	0	0	0.5
MYPT.75D	Rbp9	2	6	1e-04	0	0.5
mus304	Rbp9	2	6	0	0	0.5
CdsA	Rbp9	2	6	3e-04	0	0.5
btl	Rbp9	2	6	6e-04	0	0.5
Cyt.c.d	Rbp9	2	6	0	0	0.5
tok	Rbp9	2	6	7e-04	0	0.5
ttk	Rbp9	2	6	0	0	0.5
tamo	Rbp9	2	6	1e-04	0	0.5
CG6416	Rbp9	2	6	0.0198	0	0.5
flfl	Rbp9	2	6	0	0	0.5
Pvr	Rbp9	2	6	2e-04	0	0.5
kay	Rbp9	2	6	8e-04	0	0.5
Jra	Rbp9	2	6	3e-04	0	0.5
msk	Rbp9	2	6	0	0	0.5
tll	Rbp9	2	6	0	0	0.5
Tm1	Rbp9	2	6	0	0	0.5
srp	Rbp9	2	6	0	0	0.5
Btk29A	Rbp9	2	6	0	0	0.5
fred	Rbp9	2	6	0	0	0.5
Src64B	Rbp9	2	6	5e-04	0	0.5
Mmp1	Rbp9	2	6	0	0	0.5
sll	Rbp9	2	6	0.001	0	0.5
Hmgs	Rbp9	2	6	3e-04	0	0.5
caps	Rbp9	2	6	2e-04	0	0.5
Su.var.2.10	Rbp9	2	6	0	0	0.5
CycB	Rbp9	2	6	6e-04	0	0.5
spir	Rbp9	2	6	0	0	0.5
spn.A	Rbp9	2	6	0	0	0.5
Ptpmeg	Rbp9	2	6	9e-04	0	0.5
qua	Rbp9	2	6	0	0	0.5
msn	Rbp9	2	6	0	0	0.5
ena	Rbp9	2	6	4e-04	0	0.5
spen	Rbp9	2	6	0	0	0.5
emc	Rbp9	2	6	0	0	0.5
tsh	Rbp9	2	6	0	0	0.5
Dat	Rbp9	2	6	0	0	0.5
Lac	Rbp9	2	6	0	0	0.5
dup	Rbp9	2	6	0	0	0.5
CG3075	Rbp9	2	6	0	0	0.5
Akap200	Rbp9	2	6	0	0	0.5
CG18369	Rbp9	2	6	0	0	0.5
bnl	Rbp9	2	6	9e-04	0	0.5
sec23	Rbp9	2	6	0.0014	0	0.5
Pde8	Rbp9	2	6	7e-04	0	0.5
Arp66B	Rbp9	2	6	0	0	0.5
cos	Rbp9	2	6	0	0	0.5
Borr	Rbp9	2	6	7e-04	0	0.5
X140up	Rbp9	2	6	0	0	0.5
Dhc64C	Rbp9	2	6	2e-04	0	0.5
Not1	Rbp9	2	6	0	0	0.5
CG9520	Rbp9	2	6	0	0	0.5
bib	Rbp9	2	6	3e-04	0	0.5
mib1	Rbp9	2	6	0	0	0.5
cas	Rbp9	2	6	1e-04	0	0.5
Abi	Rbp9	2	6	0	0	0.5
betaTub56D	Rbp9	2	6	0	0	0.5
