Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Rca1	2	6	0	0	0.5
emp	Rca1	2	6	0	0	0.5
CG2678	Rca1	2	6	3e-04	0	0.5
crc	Rca1	2	6	0	0	0.5
pros	Rca1	2	6	0	0	0.5
neur	Rca1	2	6	4e-04	0	0.5
Rab5	Rca1	2	6	9e-04	0	0.5
Rab7	Rca1	2	6	0	0	0.5
Mmp2	Rca1	2	6	0	0	0.5
W	Rca1	2	6	4e-04	0	0.5
bowl	Rca1	2	6	6e-04	0	0.5
fd59A	Rca1	2	6	0	0	0.5
e	Rca1	2	6	0	0	0.5
ben	Rca1	2	6	0	0	0.5
rdo	Rca1	2	6	0	0	0.5
lin	Rca1	2	6	0	0	0.5
tra	Rca1	2	6	0	0	0.5
tra2	Rca1	2	6	0	0	0.5
cathD	Rca1	2	6	0	0	0.5
d	Rca1	2	6	1e-04	0	0.5
lva	Rca1	2	6	0	0	0.5
pbl	Rca1	2	6	2e-04	0	0.5
CG33205	Rca1	2	6	2e-04	0	0.5
da	Rca1	2	6	0	0	0.5
cactin	Rca1	2	6	0	0	0.5
hpo	Rca1	2	6	0	0	0.5
Sema.2a	Rca1	2	6	2e-04	0	0.5
Eip74EF	Rca1	2	6	2e-04	0	0.5
eg	Rca1	2	6	0	0	0.5
Arc42	Rca1	2	6	3e-04	0	0.5
toy	Rca1	2	6	0	0	0.5
Galpha73B	Rca1	2	6	0	0	0.5
RhoGAPp190	Rca1	2	6	0	0	0.5
MED11	Rca1	2	6	0	0	0.5
cher	Rca1	2	6	1e-04	0	0.5
BicD	Rca1	2	6	0	0	0.5
MYPT.75D	Rca1	2	6	0	0	0.5
mus304	Rca1	2	6	0	0	0.5
CdsA	Rca1	2	6	0	0	0.5
btl	Rca1	2	6	0	0	0.5
Cyt.c.d	Rca1	2	6	0	0	0.5
tok	Rca1	2	6	0	0	0.5
ttk	Rca1	2	6	0	0	0.5
tamo	Rca1	2	6	0	0	0.5
CG6416	Rca1	2	6	0	0	0.5
flfl	Rca1	2	6	3e-04	0	0.5
Pvr	Rca1	2	6	0	0	0.5
kay	Rca1	2	6	1e-04	0	0.5
Jra	Rca1	2	6	7e-04	0	0.5
msk	Rca1	2	6	1e-04	0	0.5
tll	Rca1	2	6	0	0	0.5
Tm1	Rca1	2	6	0	0	0.5
srp	Rca1	2	6	3e-04	0	0.5
Btk29A	Rca1	2	6	0	0	0.5
