Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Rheb	2	6	0.0044	0	0.5
emp	Rheb	2	6	0.0013	0	0.5
CG2678	Rheb	2	6	5e-04	0	0.5
crc	Rheb	2	6	5e-04	0	0.5
pros	Rheb	2	6	2e-04	0	0.5
neur	Rheb	2	6	0.0015	0	0.5
Rab5	Rheb	2	6	0.005	0	0.5
Rab7	Rheb	2	6	0.0016	0	0.5
Mmp2	Rheb	2	6	0.001	0	0.5
W	Rheb	2	6	7e-04	0	0.5
bowl	Rheb	2	6	6e-04	0	0.5
fd59A	Rheb	2	6	1e-04	0	0.5
e	Rheb	2	6	0.002	0	0.5
ben	Rheb	2	6	5e-04	0	0.5
rdo	Rheb	2	6	7e-04	0	0.5
lin	Rheb	2	6	0.0019	0	0.5
tra	Rheb	2	6	3e-04	0	0.5
tra2	Rheb	2	6	0.0019	0	0.5
cathD	Rheb	2	6	0.0095	0	0.5
d	Rheb	2	6	0	0	0.5
lva	Rheb	2	6	0	0	0.5
pbl	Rheb	2	6	0.0022	0	0.5
CG33205	Rheb	2	6	5e-04	0	0.5
da	Rheb	2	6	2e-04	0	0.5
cactin	Rheb	2	6	4e-04	0	0.5
hpo	Rheb	2	6	2e-04	0	0.5
Sema.2a	Rheb	2	6	0.0028	0	0.5
Eip74EF	Rheb	2	6	4e-04	0	0.5
eg	Rheb	2	6	0.0017	0	0.5
Arc42	Rheb	2	6	3e-04	0	0.5
toy	Rheb	2	6	0.0017	0	0.5
Galpha73B	Rheb	2	6	2e-04	0	0.5
RhoGAPp190	Rheb	2	6	0.0013	0	0.5
MED11	Rheb	2	6	0.0015	0	0.5
cher	Rheb	2	6	0.0016	0	0.5
BicD	Rheb	2	6	0.001	0	0.5
MYPT.75D	Rheb	2	6	0.0012	0	0.5
mus304	Rheb	2	6	5e-04	0	0.5
CdsA	Rheb	2	6	0.0036	0	0.5
btl	Rheb	2	6	1e-04	0	0.5
Cyt.c.d	Rheb	2	6	0.0074	0	0.5
tok	Rheb	2	6	0.0263	0	0.5
ttk	Rheb	2	6	0.0057	0	0.5
tamo	Rheb	2	6	0.002	0	0.5
CG6416	Rheb	2	6	2e-04	0	0.5
flfl	Rheb	2	6	4e-04	0	0.5
Pvr	Rheb	2	6	0.0011	0	0.5
kay	Rheb	2	6	0.0022	0	0.5
Jra	Rheb	2	6	1e-04	0	0.5
msk	Rheb	2	6	0.0042	0	0.5
tll	Rheb	2	6	2e-04	0	0.5
Tm1	Rheb	2	6	0	0	0.5
srp	Rheb	2	6	4e-04	0	0.5
Btk29A	Rheb	2	6	8e-04	0	0.5
fred	Rheb	2	6	8e-04	0	0.5
Src64B	Rheb	2	6	0.0069	0	0.5
Mmp1	Rheb	2	6	6e-04	0	0.5
sll	Rheb	2	6	4e-04	0	0.5
Hmgs	Rheb	2	6	6e-04	0	0.5
caps	Rheb	2	6	1e-04	0	0.5
Su.var.2.10	Rheb	2	6	6e-04	0	0.5
CycB	Rheb	2	6	5e-04	0	0.5
spir	Rheb	2	6	8e-04	0	0.5
