Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Rho1	2	6	0	0	0.5
emp	Rho1	2	6	0	0	0.5
CG2678	Rho1	2	6	1e-04	0	0.5
crc	Rho1	2	6	0	0	0.5
pros	Rho1	2	6	1e-04	0	0.5
neur	Rho1	2	6	1e-04	0	0.5
Rab5	Rho1	2	6	0	0	0.5
Rab7	Rho1	2	6	0	0	0.5
Mmp2	Rho1	2	6	0	0	0.5
W	Rho1	2	6	2e-04	0	0.5
bowl	Rho1	2	6	4e-04	0	0.5
fd59A	Rho1	2	6	5e-04	0	0.5
e	Rho1	2	6	0	0	0.5
ben	Rho1	2	6	0	0	0.5
rdo	Rho1	2	6	2e-04	0	0.5
lin	Rho1	2	6	6e-04	0	0.5
tra	Rho1	2	6	0	0	0.5
tra2	Rho1	2	6	0	0	0.5
cathD	Rho1	2	6	4e-04	0	0.5
d	Rho1	2	6	3e-04	0	0.5
lva	Rho1	2	6	1e-04	0	0.5
pbl	Rho1	2	6	0	0	0.5
CG33205	Rho1	2	6	0	0	0.5
da	Rho1	2	6	1e-04	0	0.5
cactin	Rho1	2	6	0	0	0.5
hpo	Rho1	2	6	2e-04	0	0.5
Sema.2a	Rho1	2	6	2e-04	0	0.5
Eip74EF	Rho1	2	6	0	0	0.5
eg	Rho1	2	6	0	0	0.5
Arc42	Rho1	2	6	3e-04	0	0.5
toy	Rho1	2	6	0	0	0.5
Galpha73B	Rho1	2	6	0	0	0.5
RhoGAPp190	Rho1	2	6	1e-04	0	0.5
MED11	Rho1	2	6	0	0	0.5
cher	Rho1	2	6	9e-04	0	0.5
BicD	Rho1	2	6	0	0	0.5
MYPT.75D	Rho1	2	6	0	0	0.5
mus304	Rho1	2	6	0	0	0.5
CdsA	Rho1	2	6	2e-04	0	0.5
btl	Rho1	2	6	1e-04	0	0.5
Cyt.c.d	Rho1	2	6	0	0	0.5
tok	Rho1	2	6	0	0	0.5
ttk	Rho1	2	6	0	0	0.5
tamo	Rho1	2	6	0	0	0.5
CG6416	Rho1	2	6	1e-04	0	0.5
flfl	Rho1	2	6	0.001	0	0.5
Pvr	Rho1	2	6	2e-04	0	0.5
kay	Rho1	2	6	1e-04	0	0.5
Jra	Rho1	2	6	3e-04	0	0.5
msk	Rho1	2	6	0	0	0.5
tll	Rho1	2	6	1e-04	0	0.5
Tm1	Rho1	2	6	0	0	0.5
srp	Rho1	2	6	0	0	0.5
Btk29A	Rho1	2	6	0	0	0.5
fred	Rho1	2	6	1e-04	0	0.5
Src64B	Rho1	2	6	0	0	0.5
Mmp1	Rho1	2	6	3e-04	0	0.5
sll	Rho1	2	6	1e-04	0	0.5
Hmgs	Rho1	2	6	2e-04	0	0.5
caps	Rho1	2	6	0	0	0.5
Su.var.2.10	Rho1	2	6	0	0	0.5
CycB	Rho1	2	6	3e-04	0	0.5
spir	Rho1	2	6	2e-04	0	0.5
spn.A	Rho1	2	6	1e-04	0	0.5
Ptpmeg	Rho1	2	6	0	0	0.5
qua	Rho1	2	6	0	0	0.5
msn	Rho1	2	6	0	0	0.5
ena	Rho1	2	6	6e-04	0	0.5
spen	Rho1	2	6	2e-04	0	0.5
emc	Rho1	2	6	0	0	0.5
tsh	Rho1	2	6	1e-04	0	0.5
Dat	Rho1	2	6	0	0	0.5
Lac	Rho1	2	6	0	0	0.5
dup	Rho1	2	6	0	0	0.5
CG3075	Rho1	2	6	0	0	0.5
Akap200	Rho1	2	6	0	0	0.5
CG18369	Rho1	2	6	1e-04	0	0.5
bnl	Rho1	2	6	3e-04	0	0.5
sec23	Rho1	2	6	5e-04	0	0.5
Pde8	Rho1	2	6	3e-04	0	0.5
Arp66B	Rho1	2	6	0	0	0.5
cos	Rho1	2	6	4e-04	0	0.5
Borr	Rho1	2	6	0	0	0.5
X140up	Rho1	2	6	0	0	0.5
Dhc64C	Rho1	2	6	0	0	0.5
Not1	Rho1	2	6	0	0	0.5
CG9520	Rho1	2	6	0	0	0.5
bib	Rho1	2	6	0	0	0.5
mib1	Rho1	2	6	0	0	0.5
cas	Rho1	2	6	0	0	0.5
Abi	Rho1	2	6	1e-04	0	0.5
betaTub56D	Rho1	2	6	2e-04	0	0.5
nej	Rho1	2	6	0	0	0.5
dlg1	Rho1	2	6	1e-04	0	0.5
Lcp65Ag1	Rho1	2	6	1e-04	0	0.5
Es2	Rho1	2	6	0	0	0.5
MED24	Rho1	2	6	1e-04	0	0.5
Vhl	Rho1	2	6	0	0	0.5
tral	Rho1	2	6	0	0	0.5
sns	Rho1	2	6	1e-04	0	0.5
mbl	Rho1	2	6	1e-04	0	0.5
sav	Rho1	2	6	1e-04	0	0.5
lola	Rho1	2	6	2e-04	0	0.5
robo	Rho1	2	6	6e-04	0	0.5
CG32486	Rho1	2	6	4e-04	0	0.5
santa.maria	Rho1	2	6	0	0	0.5
stumps	Rho1	2	6	7e-04	0	0.5
abd.A	Rho1	2	6	0	0	0.5
dock	Rho1	2	6	0	0	0.5
Lar	Rho1	2	6	1e-04	0	0.5
l.1.G0289	Rho1	2	6	0	0	0.5
Abl	Rho1	2	6	0	0	0.5
Syb	Rho1	2	6	1e-04	0	0.5
dome	Rho1	2	6	0	0	0.5
ofs	Rho1	2	6	2e-04	0	0.5
MED4	Rho1	2	6	0	0	0.5
scrib	Rho1	2	6	3e-04	0	0.5
siz	Rho1	2	6	0	0	0.5
cbx	Rho1	2	6	1e-04	0	0.5
dsx	Rho1	2	6	2e-04	0	0.5
Sb	Rho1	2	6	0	0	0.5
sax	Rho1	2	6	3e-04	0	0.5
foxo	Rho1	2	6	0	0	0.5
Cyp1	Rho1	2	6	0	0	0.5
brm	Rho1	2	6	0	0	0.5
rad50	Rho1	2	6	0	0	0.5
chico	Rho1	2	6	0	0	0.5
cp309	Rho1	2	6	1e-04	0	0.5
hdc	Rho1	2	6	0	0	0.5
Axn	Rho1	2	6	0	0	0.5
Apc2	Rho1	2	6	0	0	0.5
PhKgamma	Rho1	2	6	0	0	0.5
eya	Rho1	2	6	1e-04	0	0.5
sktl	Rho1	2	6	0	0	0.5
sqd	Rho1	2	6	6e-04	0	0.5
Akt1	Rho1	2	6	0	0	0.5
scyl	Rho1	2	6	1e-04	0	0.5
cnk	Rho1	2	6	1e-04	0	0.5
CG8149	Rho1	2	6	0	0	0.5
