Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	RhoGAP68F	2	6	2e-04	0	0.5
emp	RhoGAP68F	2	6	4e-04	0	0.5
CG2678	RhoGAP68F	2	6	4e-04	0	0.5
crc	RhoGAP68F	2	6	2e-04	0	0.5
pros	RhoGAP68F	2	6	0	0	0.5
neur	RhoGAP68F	2	6	0	0	0.5
Rab5	RhoGAP68F	2	6	0	0	0.5
Rab7	RhoGAP68F	2	6	0	0	0.5
Mmp2	RhoGAP68F	2	6	0	0	0.5
W	RhoGAP68F	2	6	7e-04	0	0.5
bowl	RhoGAP68F	2	6	0	0	0.5
fd59A	RhoGAP68F	2	6	2e-04	0	0.5
e	RhoGAP68F	2	6	0	0	0.5
ben	RhoGAP68F	2	6	1e-04	0	0.5
rdo	RhoGAP68F	2	6	0	0	0.5
lin	RhoGAP68F	2	6	0	0	0.5
tra	RhoGAP68F	2	6	0	0	0.5
tra2	RhoGAP68F	2	6	0	0	0.5
cathD	RhoGAP68F	2	6	9e-04	0	0.5
d	RhoGAP68F	2	6	2e-04	0	0.5
lva	RhoGAP68F	2	6	0	0	0.5
pbl	RhoGAP68F	2	6	0	0	0.5
CG33205	RhoGAP68F	2	6	0	0	0.5
da	RhoGAP68F	2	6	0	0	0.5
cactin	RhoGAP68F	2	6	0	0	0.5
hpo	RhoGAP68F	2	6	0	0	0.5
Sema.2a	RhoGAP68F	2	6	3e-04	0	0.5
Eip74EF	RhoGAP68F	2	6	0	0	0.5
eg	RhoGAP68F	2	6	0	0	0.5
Arc42	RhoGAP68F	2	6	0	0	0.5
toy	RhoGAP68F	2	6	7e-04	0	0.5
Galpha73B	RhoGAP68F	2	6	4e-04	0	0.5
RhoGAPp190	RhoGAP68F	2	6	0	0	0.5
MED11	RhoGAP68F	2	6	0	0	0.5
cher	RhoGAP68F	2	6	0.0012	0	0.5
BicD	RhoGAP68F	2	6	5e-04	0	0.5
MYPT.75D	RhoGAP68F	2	6	7e-04	0	0.5
mus304	RhoGAP68F	2	6	9e-04	0	0.5
CdsA	RhoGAP68F	2	6	0	0	0.5
btl	RhoGAP68F	2	6	0	0	0.5
Cyt.c.d	RhoGAP68F	2	6	4e-04	0	0.5
tok	RhoGAP68F	2	6	0	0	0.5
ttk	RhoGAP68F	2	6	6e-04	0	0.5
tamo	RhoGAP68F	2	6	0	0	0.5
