Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	RpL30	2	6	0.0043	0	0.5
emp	RpL30	2	6	9e-04	0	0.5
CG2678	RpL30	2	6	0.0019	0	0.5
crc	RpL30	2	6	0.002	0	0.5
pros	RpL30	2	6	5e-04	0	0.5
neur	RpL30	2	6	0.0012	0	0.5
Rab5	RpL30	2	6	0	0	0.5
Rab7	RpL30	2	6	0.0011	0	0.5
Mmp2	RpL30	2	6	0.001	0	0.5
W	RpL30	2	6	1e-04	0	0.5
bowl	RpL30	2	6	1e-04	0	0.5
fd59A	RpL30	2	6	5e-04	0	0.5
e	RpL30	2	6	4e-04	0	0.5
ben	RpL30	2	6	5e-04	0	0.5
rdo	RpL30	2	6	8e-04	0	0.5
lin	RpL30	2	6	0.0032	0	0.5
tra	RpL30	2	6	0.0013	0	0.5
tra2	RpL30	2	6	0	0	0.5
cathD	RpL30	2	6	0.0015	0	0.5
d	RpL30	2	6	4e-04	0	0.5
lva	RpL30	2	6	7e-04	0	0.5
pbl	RpL30	2	6	5e-04	0	0.5
CG33205	RpL30	2	6	2e-04	0	0.5
da	RpL30	2	6	2e-04	0	0.5
cactin	RpL30	2	6	6e-04	0	0.5
hpo	RpL30	2	6	1e-04	0	0.5
Sema.2a	RpL30	2	6	9e-04	0	0.5
Eip74EF	RpL30	2	6	0.0051	0	0.5
eg	RpL30	2	6	4e-04	0	0.5
Arc42	RpL30	2	6	7e-04	0	0.5
toy	RpL30	2	6	0.002	0	0.5
Galpha73B	RpL30	2	6	0	0	0.5
RhoGAPp190	RpL30	2	6	2e-04	0	0.5
MED11	RpL30	2	6	1e-04	0	0.5
cher	RpL30	2	6	0.001	0	0.5
BicD	RpL30	2	6	2e-04	0	0.5
MYPT.75D	RpL30	2	6	7e-04	0	0.5
mus304	RpL30	2	6	3e-04	0	0.5
CdsA	RpL30	2	6	0.0012	0	0.5
btl	RpL30	2	6	2e-04	0	0.5
Cyt.c.d	RpL30	2	6	8e-04	0	0.5
tok	RpL30	2	6	2e-04	0	0.5
ttk	RpL30	2	6	1e-04	0	0.5
tamo	RpL30	2	6	0.0029	0	0.5
CG6416	RpL30	2	6	5e-04	0	0.5
flfl	RpL30	2	6	2e-04	0	0.5
Pvr	RpL30	2	6	6e-04	0	0.5
kay	RpL30	2	6	3e-04	0	0.5
Jra	RpL30	2	6	0.0016	0	0.5
msk	RpL30	2	6	0.001	0	0.5
tll	RpL30	2	6	0.0055	0	0.5
Tm1	RpL30	2	6	0	0	0.5
srp	RpL30	2	6	0.0015	0	0.5
Btk29A	RpL30	2	6	3e-04	0	0.5
fred	RpL30	2	6	8e-04	0	0.5
Src64B	RpL30	2	6	0.0016	0	0.5
Mmp1	RpL30	2	6	0.0025	0	0.5
sll	RpL30	2	6	0	0	0.5
Hmgs	RpL30	2	6	5e-04	0	0.5
caps	RpL30	2	6	0.0062	0	0.5
Su.var.2.10	RpL30	2	6	8e-04	0	0.5
CycB	RpL30	2	6	0.0022	0	0.5
spir	RpL30	2	6	2e-04	0	0.5
spn.A	RpL30	2	6	1e-04	0	0.5
Ptpmeg	RpL30	2	6	4e-04	0	0.5
qua	RpL30	2	6	4e-04	0	0.5
msn	RpL30	2	6	3e-04	0	0.5
ena	RpL30	2	6	8e-04	0	0.5
spen	RpL30	2	6	8e-04	0	0.5
emc	RpL30	2	6	1e-04	0	0.5
tsh	RpL30	2	6	2e-04	0	0.5
Dat	RpL30	2	6	8e-04	0	0.5
Lac	RpL30	2	6	3e-04	0	0.5
dup	RpL30	2	6	0	0	0.5
CG3075	RpL30	2	6	8e-04	0	0.5
Akap200	RpL30	2	6	0.0057	0	0.5
CG18369	RpL30	2	6	3e-04	0	0.5
bnl	RpL30	2	6	0.0013	0	0.5
sec23	RpL30	2	6	2e-04	0	0.5
Pde8	RpL30	2	6	4e-04	0	0.5
Arp66B	RpL30	2	6	0.0014	0	0.5
cos	RpL30	2	6	1e-04	0	0.5
Borr	RpL30	2	6	0.0011	0	0.5
X140up	RpL30	2	6	2e-04	0	0.5
Dhc64C	RpL30	2	6	0.0022	0	0.5
Not1	RpL30	2	6	2e-04	0	0.5
CG9520	RpL30	2	6	0.0016	0	0.5
bib	RpL30	2	6	2e-04	0	0.5
mib1	RpL30	2	6	7e-04	0	0.5
cas	RpL30	2	6	0.0058	0	0.5
Abi	RpL30	2	6	9e-04	0	0.5
betaTub56D	RpL30	2	6	7e-04	0	0.5
nej	RpL30	2	6	0	0	0.5
dlg1	RpL30	2	6	6e-04	0	0.5
Lcp65Ag1	RpL30	2	6	1e-04	0	0.5
Es2	RpL30	2	6	3e-04	0	0.5
MED24	RpL30	2	6	9e-04	0	0.5
Vhl	RpL30	2	6	0	0	0.5
tral	RpL30	2	6	0.0014	0	0.5
sns	RpL30	2	6	0.0021	0	0.5
mbl	RpL30	2	6	2e-04	0	0.5
sav	RpL30	2	6	0	0	0.5
lola	RpL30	2	6	4e-04	0	0.5
robo	RpL30	2	6	2e-04	0	0.5
CG32486	RpL30	2	6	0.011	0	0.5
santa.maria	RpL30	2	6	0.0741	0	0.5
stumps	RpL30	2	6	0	0	0.5
abd.A	RpL30	2	6	0.0015	0	0.5
dock	RpL30	2	6	7e-04	0	0.5
Lar	RpL30	2	6	3e-04	0	0.5
l.1.G0289	RpL30	2	6	2e-04	0	0.5
Abl	RpL30	2	6	3e-04	0	0.5
Syb	RpL30	2	6	5e-04	0	0.5
dome	RpL30	2	6	6e-04	0	0.5
ofs	RpL30	2	6	0.0019	0	0.5
MED4	RpL30	2	6	0.0024	0	0.5
scrib	RpL30	2	6	7e-04	0	0.5
siz	RpL30	2	6	0.0238	0	0.5
cbx	RpL30	2	6	0.0016	0	0.5
dsx	RpL30	2	6	7e-04	0	0.5
Sb	RpL30	2	6	5e-04	0	0.5
sax	RpL30	2	6	0.0042	0	0.5
foxo	RpL30	2	6	7e-04	0	0.5
Cyp1	RpL30	2	6	0.0012	0	0.5
brm	RpL30	2	6	2e-04	0	0.5
rad50	RpL30	2	6	0	0	0.5
chico	RpL30	2	6	0.0329	0	0.5
cp309	RpL30	2	6	0.0011	0	0.5
hdc	RpL30	2	6	5e-04	0	0.5
Axn	RpL30	2	6	6e-04	0	0.5
Apc2	RpL30	2	6	1e-04	0	0.5
PhKgamma	RpL30	2	6	4e-04	0	0.5
eya	RpL30	2	6	0	0	0.5
sktl	RpL30	2	6	7e-04	0	0.5
sqd	RpL30	2	6	3e-04	0	0.5
Akt1	RpL30	2	6	0.0011	0	0.5
scyl	RpL30	2	6	6e-04	0	0.5
cnk	RpL30	2	6	0	0	0.5
CG8149	RpL30	2	6	0.0014	0	0.5
CG34379	RpL30	2	6	0.001	0	0.5
Yp1	RpL30	2	6	0	0	0.5
yrt	RpL30	2	6	5e-04	0	0.5
bap	RpL30	2	6	0.0011	0	0.5
tud	RpL30	2	6	0.0013	0	0.5
ct	RpL30	2	6	0	0	0.5
tup	RpL30	2	6	6e-04	0	0.5
G.ialpha65A	RpL30	2	6	9e-04	0	0.5
knrl	RpL30	2	6	5e-04	0	0.5
Pkn	RpL30	2	6	2e-04	0	0.5
Sry.delta	RpL30	2	6	0.0024	0	0.5
Alh	RpL30	2	6	1e-04	0	0.5
pnut	RpL30	2	6	7e-04	0	0.5
phyl	RpL30	2	6	0.0389	0	0.5
CG17739	RpL30	2	6	9e-04	0	0.5
B4	RpL30	2	6	2e-04	0	0.5
CG2681	RpL30	2	6	4e-04	0	0.5
tow	RpL30	2	6	2e-04	0	0.5
hkl	RpL30	2	6	0.173	0	0.5
sina	RpL30	2	6	3e-04	0	0.5
ry	RpL30	2	6	8e-04	0	0.5
rux	RpL30	2	6	6e-04	0	0.5
boss	RpL30	2	6	2e-04	0	0.5
Mkp3	RpL30	2	6	0.0012	0	0.5
inaC	RpL30	2	6	1e-04	0	0.5
sno	RpL30	2	6	5e-04	0	0.5
jagn	RpL30	2	6	9e-04	0	0.5
dpn	RpL30	2	6	3e-04	0	0.5
wrapper	RpL30	2	6	8e-04	0	0.5
Ca.alpha1D	RpL30	2	6	3e-04	0	0.5
E2f	RpL30	2	6	4e-04	0	0.5
Dp	RpL30	2	6	5e-04	0	0.5
l.2.efl	RpL30	2	6	1e-04	0	0.5
cnc	RpL30	2	6	0.001	0	0.5
Atg5	RpL30	2	6	9e-04	0	0.5
acj6	RpL30	2	6	0.0017	0	0.5
Trl	RpL30	2	6	0.0181	0	0.5
d4	RpL30	2	6	2e-04	0	0.5
