Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Rpd3	2	6	0	0	0.5
emp	Rpd3	2	6	0	0	0.5
CG2678	Rpd3	2	6	0	0	0.5
crc	Rpd3	2	6	1e-04	0	0.5
pros	Rpd3	2	6	0	0	0.5
neur	Rpd3	2	6	0	0	0.5
Rab5	Rpd3	2	6	0	0	0.5
Rab7	Rpd3	2	6	0	0	0.5
Mmp2	Rpd3	2	6	0	0	0.5
W	Rpd3	2	6	0	0	0.5
bowl	Rpd3	2	6	1e-04	0	0.5
fd59A	Rpd3	2	6	0	0	0.5
e	Rpd3	2	6	1e-04	0	0.5
ben	Rpd3	2	6	1e-04	0	0.5
rdo	Rpd3	2	6	3e-04	0	0.5
lin	Rpd3	2	6	0	0	0.5
tra	Rpd3	2	6	5e-04	0	0.5
tra2	Rpd3	2	6	0	0	0.5
cathD	Rpd3	2	6	0	0	0.5
d	Rpd3	2	6	1e-04	0	0.5
lva	Rpd3	2	6	1e-04	0	0.5
pbl	Rpd3	2	6	0	0	0.5
CG33205	Rpd3	2	6	0	0	0.5
da	Rpd3	2	6	0	0	0.5
cactin	Rpd3	2	6	3e-04	0	0.5
hpo	Rpd3	2	6	0	0	0.5
Sema.2a	Rpd3	2	6	0	0	0.5
Eip74EF	Rpd3	2	6	0	0	0.5
eg	Rpd3	2	6	0	0	0.5
Arc42	Rpd3	2	6	2e-04	0	0.5
toy	Rpd3	2	6	0	0	0.5
Galpha73B	Rpd3	2	6	0	0	0.5
RhoGAPp190	Rpd3	2	6	1e-04	0	0.5
MED11	Rpd3	2	6	0	0	0.5
cher	Rpd3	2	6	0	0	0.5
BicD	Rpd3	2	6	0	0	0.5
MYPT.75D	Rpd3	2	6	0	0	0.5
mus304	Rpd3	2	6	1e-04	0	0.5
CdsA	Rpd3	2	6	0	0	0.5
btl	Rpd3	2	6	0	0	0.5
Cyt.c.d	Rpd3	2	6	0	0	0.5
tok	Rpd3	2	6	9e-04	0	0.5
ttk	Rpd3	2	6	0	0	0.5
tamo	Rpd3	2	6	2e-04	0	0.5
CG6416	Rpd3	2	6	4e-04	0	0.5
flfl	Rpd3	2	6	0	0	0.5
