Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Sb	2	6	0.0013	0	0.5
emp	Sb	2	6	0	0	0.5
CG2678	Sb	2	6	6e-04	0	0.5
crc	Sb	2	6	5e-04	0	0.5
pros	Sb	2	6	0.0026	0	0.5
neur	Sb	2	6	0.0016	0	0.5
Rab5	Sb	2	6	0.0021	0	0.5
Rab7	Sb	2	6	0.0012	0	0.5
Mmp2	Sb	2	6	2e-04	0	0.5
W	Sb	2	6	3e-04	0	0.5
bowl	Sb	2	6	0.0032	0	0.5
fd59A	Sb	2	6	8e-04	0	0.5
e	Sb	2	6	0	0	0.5
ben	Sb	2	6	1e-04	0	0.5
rdo	Sb	2	6	2e-04	0	0.5
lin	Sb	2	6	3e-04	0	0.5
tra	Sb	2	6	7e-04	0	0.5
tra2	Sb	2	6	5e-04	0	0.5
cathD	Sb	2	6	4e-04	0	0.5
d	Sb	2	6	5e-04	0	0.5
lva	Sb	2	6	7e-04	0	0.5
pbl	Sb	2	6	7e-04	0	0.5
CG33205	Sb	2	6	4e-04	0	0.5
da	Sb	2	6	0	0	0.5
cactin	Sb	2	6	1e-04	0	0.5
hpo	Sb	2	6	7e-04	0	0.5
Sema.2a	Sb	2	6	5e-04	0	0.5
Eip74EF	Sb	2	6	9e-04	0	0.5
eg	Sb	2	6	9e-04	0	0.5
Arc42	Sb	2	6	0	0	0.5
toy	Sb	2	6	1e-04	0	0.5
Galpha73B	Sb	2	6	5e-04	0	0.5
RhoGAPp190	Sb	2	6	0.0018	0	0.5
MED11	Sb	2	6	3e-04	0	0.5
cher	Sb	2	6	7e-04	0	0.5
BicD	Sb	2	6	4e-04	0	0.5
MYPT.75D	Sb	2	6	8e-04	0	0.5
mus304	Sb	2	6	0	0	0.5
CdsA	Sb	2	6	3e-04	0	0.5
btl	Sb	2	6	5e-04	0	0.5
Cyt.c.d	Sb	2	6	0.0013	0	0.5
tok	Sb	2	6	2e-04	0	0.5
ttk	Sb	2	6	7e-04	0	0.5
tamo	Sb	2	6	0.0016	0	0.5
CG6416	Sb	2	6	6e-04	0	0.5
flfl	Sb	2	6	5e-04	0	0.5
Pvr	Sb	2	6	4e-04	0	0.5
kay	Sb	2	6	8e-04	0	0.5
Jra	Sb	2	6	2e-04	0	0.5
msk	Sb	2	6	0.0011	0	0.5
tll	Sb	2	6	3e-04	0	0.5
Tm1	Sb	2	6	1e-04	0	0.5
srp	Sb	2	6	0.0032	0	0.5
Btk29A	Sb	2	6	7e-04	0	0.5
fred	Sb	2	6	0.0032	0	0.5
Src64B	Sb	2	6	2e-04	0	0.5
Mmp1	Sb	2	6	1e-04	0	0.5
sll	Sb	2	6	4e-04	0	0.5
Hmgs	Sb	2	6	2e-04	0	0.5
caps	Sb	2	6	0.0023	0	0.5
Su.var.2.10	Sb	2	6	6e-04	0	0.5
CycB	Sb	2	6	2e-04	0	0.5
spir	Sb	2	6	0.001	0	0.5
spn.A	Sb	2	6	2e-04	0	0.5
Ptpmeg	Sb	2	6	2e-04	0	0.5
qua	Sb	2	6	5e-04	0	0.5
msn	Sb	2	6	5e-04	0	0.5
ena	Sb	2	6	3e-04	0	0.5
spen	Sb	2	6	5e-04	0	0.5
emc	Sb	2	6	1e-04	0	0.5
tsh	Sb	2	6	2e-04	0	0.5
Dat	Sb	2	6	0.0015	0	0.5
Lac	Sb	2	6	9e-04	0	0.5
dup	Sb	2	6	4e-04	0	0.5
CG3075	Sb	2	6	8e-04	0	0.5
Akap200	Sb	2	6	0	0	0.5
CG18369	Sb	2	6	0.0023	0	0.5
bnl	Sb	2	6	8e-04	0	0.5
sec23	Sb	2	6	1e-04	0	0.5
Pde8	Sb	2	6	5e-04	0	0.5
Arp66B	Sb	2	6	2e-04	0	0.5
cos	Sb	2	6	2e-04	0	0.5
Borr	Sb	2	6	5e-04	0	0.5
X140up	Sb	2	6	1e-04	0	0.5
Dhc64C	Sb	2	6	0.0012	0	0.5
Not1	Sb	2	6	8e-04	0	0.5
CG9520	Sb	2	6	8e-04	0	0.5
bib	Sb	2	6	2e-04	0	0.5
mib1	Sb	2	6	2e-04	0	0.5
cas	Sb	2	6	0.0015	0	0.5
Abi	Sb	2	6	9e-04	0	0.5
betaTub56D	Sb	2	6	0.003	0	0.5
nej	Sb	2	6	2e-04	0	0.5
dlg1	Sb	2	6	0.0025	0	0.5
Lcp65Ag1	Sb	2	6	7e-04	0	0.5
Es2	Sb	2	6	6e-04	0	0.5
MED24	Sb	2	6	2e-04	0	0.5
Vhl	Sb	2	6	0.0024	0	0.5
tral	Sb	2	6	0.0013	0	0.5
sns	Sb	2	6	0.0023	0	0.5
mbl	Sb	2	6	5e-04	0	0.5
sav	Sb	2	6	0	0	0.5
lola	Sb	2	6	0.016	0	0.5
robo	Sb	2	6	0	0	0.5
CG32486	Sb	2	6	6e-04	0	0.5
santa.maria	Sb	2	6	0.002	0	0.5
stumps	Sb	2	6	0.0063	0	0.5
abd.A	Sb	2	6	7e-04	0	0.5
dock	Sb	2	6	1e-04	0	0.5
Lar	Sb	2	6	5e-04	0	0.5
l.1.G0289	Sb	2	6	8e-04	0	0.5
Abl	Sb	2	6	0	0	0.5
Syb	Sb	2	6	0.0013	0	0.5
dome	Sb	2	6	9e-04	0	0.5
ofs	Sb	2	6	2e-04	0	0.5
MED4	Sb	2	6	5e-04	0	0.5
scrib	Sb	2	6	6e-04	0	0.5
siz	Sb	2	6	6e-04	0	0.5
cbx	Sb	2	6	3e-04	0	0.5
dsx	Sb	2	6	0	0	0.5
Sb	Sb	2	6	0.001	0	0.5
