Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Scgdelta	2	6	0	0	0.5
emp	Scgdelta	2	6	0	0	0.5
CG2678	Scgdelta	2	6	0	0	0.5
crc	Scgdelta	2	6	0	0	0.5
pros	Scgdelta	2	6	0	0	0.5
neur	Scgdelta	2	6	0	0	0.5
Rab5	Scgdelta	2	6	0	0	0.5
Rab7	Scgdelta	2	6	1e-04	0	0.5
Mmp2	Scgdelta	2	6	0	0	0.5
W	Scgdelta	2	6	0	0	0.5
bowl	Scgdelta	2	6	0	0	0.5
fd59A	Scgdelta	2	6	0	0	0.5
e	Scgdelta	2	6	0	0	0.5
ben	Scgdelta	2	6	1e-04	0	0.5
rdo	Scgdelta	2	6	2e-04	0	0.5
lin	Scgdelta	2	6	4e-04	0	0.5
tra	Scgdelta	2	6	0	0	0.5
tra2	Scgdelta	2	6	0	0	0.5
cathD	Scgdelta	2	6	0	0	0.5
d	Scgdelta	2	6	0	0	0.5
lva	Scgdelta	2	6	0	0	0.5
pbl	Scgdelta	2	6	3e-04	0	0.5
CG33205	Scgdelta	2	6	0	0	0.5
da	Scgdelta	2	6	0	0	0.5
cactin	Scgdelta	2	6	0	0	0.5
hpo	Scgdelta	2	6	2e-04	0	0.5
Sema.2a	Scgdelta	2	6	0	0	0.5
Eip74EF	Scgdelta	2	6	0	0	0.5
eg	Scgdelta	2	6	0	0	0.5
Arc42	Scgdelta	2	6	0	0	0.5
toy	Scgdelta	2	6	0	0	0.5
Galpha73B	Scgdelta	2	6	0	0	0.5
RhoGAPp190	Scgdelta	2	6	0	0	0.5
MED11	Scgdelta	2	6	0	0	0.5
cher	Scgdelta	2	6	0	0	0.5
BicD	Scgdelta	2	6	0	0	0.5
MYPT.75D	Scgdelta	2	6	0	0	0.5
mus304	Scgdelta	2	6	0	0	0.5
CdsA	Scgdelta	2	6	1e-04	0	0.5
btl	Scgdelta	2	6	0	0	0.5
Cyt.c.d	Scgdelta	2	6	0	0	0.5
tok	Scgdelta	2	6	0	0	0.5
ttk	Scgdelta	2	6	0	0	0.5
tamo	Scgdelta	2	6	1e-04	0	0.5
CG6416	Scgdelta	2	6	0	0	0.5
flfl	Scgdelta	2	6	0	0	0.5
Pvr	Scgdelta	2	6	2e-04	0	0.5
kay	Scgdelta	2	6	0	0	0.5
Jra	Scgdelta	2	6	0	0	0.5
msk	Scgdelta	2	6	0	0	0.5
tll	Scgdelta	2	6	0	0	0.5
Tm1	Scgdelta	2	6	0	0	0.5
srp	Scgdelta	2	6	0	0	0.5
Btk29A	Scgdelta	2	6	0	0	0.5
fred	Scgdelta	2	6	1e-04	0	0.5
Src64B	Scgdelta	2	6	0	0	0.5
Mmp1	Scgdelta	2	6	0	0	0.5
sll	Scgdelta	2	6	0	0	0.5
Hmgs	Scgdelta	2	6	0	0	0.5
caps	Scgdelta	2	6	0	0	0.5
Su.var.2.10	Scgdelta	2	6	0	0	0.5
CycB	Scgdelta	2	6	0	0	0.5
spir	Scgdelta	2	6	2e-04	0	0.5
spn.A	Scgdelta	2	6	0	0	0.5
Ptpmeg	Scgdelta	2	6	2e-04	0	0.5
qua	Scgdelta	2	6	0	0	0.5
msn	Scgdelta	2	6	0	0	0.5
ena	Scgdelta	2	6	1e-04	0	0.5
spen	Scgdelta	2	6	0	0	0.5
emc	Scgdelta	2	6	0	0	0.5
tsh	Scgdelta	2	6	1	0.99932	0.5
Dat	Scgdelta	2	6	0	0	0.5
Lac	Scgdelta	2	6	3e-04	0	0.5
dup	Scgdelta	2	6	0	0	0.5
CG3075	Scgdelta	2	6	0	0	0.5
Akap200	Scgdelta	2	6	0	0	0.5
CG18369	Scgdelta	2	6	0	0	0.5
bnl	Scgdelta	2	6	0	0	0.5
sec23	Scgdelta	2	6	0	0	0.5
Pde8	Scgdelta	2	6	1e-04	0	0.5
Arp66B	Scgdelta	2	6	0	0	0.5
cos	Scgdelta	2	6	0	0	0.5
Borr	Scgdelta	2	6	0	0	0.5
X140up	Scgdelta	2	6	1e-04	0	0.5
Dhc64C	Scgdelta	2	6	0	0	0.5
Not1	Scgdelta	2	6	0	0	0.5
CG9520	Scgdelta	2	6	0	0	0.5
bib	Scgdelta	2	6	0	0	0.5
mib1	Scgdelta	2	6	0	0	0.5
cas	Scgdelta	2	6	0	0	0.5
Abi	Scgdelta	2	6	0	0	0.5
betaTub56D	Scgdelta	2	6	0	0	0.5
nej	Scgdelta	2	6	0	0	0.5
dlg1	Scgdelta	2	6	0	0	0.5
Lcp65Ag1	Scgdelta	2	6	0	0	0.5
Es2	Scgdelta	2	6	0	0	0.5
MED24	Scgdelta	2	6	2e-04	0	0.5
Vhl	Scgdelta	2	6	0	0	0.5
tral	Scgdelta	2	6	0	0	0.5
sns	Scgdelta	2	6	0	0	0.5
mbl	Scgdelta	2	6	0	0	0.5
sav	Scgdelta	2	6	0	0	0.5
lola	Scgdelta	2	6	0	0	0.5
robo	Scgdelta	2	6	0	0	0.5
CG32486	Scgdelta	2	6	0	0	0.5
santa.maria	Scgdelta	2	6	0	0	0.5
stumps	Scgdelta	2	6	0	0	0.5
abd.A	Scgdelta	2	6	0	0	0.5
dock	Scgdelta	2	6	0	0	0.5
Lar	Scgdelta	2	6	0	0	0.5
l.1.G0289	Scgdelta	2	6	0	0	0.5
Abl	Scgdelta	2	6	0	0	0.5
Syb	Scgdelta	2	6	0	0	0.5
dome	Scgdelta	2	6	2e-04	0	0.5
ofs	Scgdelta	2	6	0	0	0.5
MED4	Scgdelta	2	6	0	0	0.5
scrib	Scgdelta	2	6	2e-04	0	0.5
siz	Scgdelta	2	6	6e-04	0	0.5
cbx	Scgdelta	2	6	0	0	0.5
dsx	Scgdelta	2	6	0	0	0.5
Sb	Scgdelta	2	6	0	0	0.5
