Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	SelG	2	6	0	0	0.5
emp	SelG	2	6	0	0	0.5
CG2678	SelG	2	6	0	0	0.5
crc	SelG	2	6	0	0	0.5
pros	SelG	2	6	0	0	0.5
neur	SelG	2	6	1e-04	0	0.5
Rab5	SelG	2	6	0	0	0.5
Rab7	SelG	2	6	0	0	0.5
Mmp2	SelG	2	6	0	0	0.5
W	SelG	2	6	0	0	0.5
bowl	SelG	2	6	4e-04	0	0.5
fd59A	SelG	2	6	0	0	0.5
e	SelG	2	6	2e-04	0	0.5
ben	SelG	2	6	0	0	0.5
rdo	SelG	2	6	0	0	0.5
lin	SelG	2	6	0	0	0.5
tra	SelG	2	6	0	0	0.5
tra2	SelG	2	6	0	0	0.5
cathD	SelG	2	6	0	0	0.5
d	SelG	2	6	0	0	0.5
lva	SelG	2	6	0	0	0.5
pbl	SelG	2	6	0	0	0.5
CG33205	SelG	2	6	2e-04	0	0.5
da	SelG	2	6	3e-04	0	0.5
cactin	SelG	2	6	2e-04	0	0.5
hpo	SelG	2	6	2e-04	0	0.5
Sema.2a	SelG	2	6	0	0	0.5
Eip74EF	SelG	2	6	1e-04	0	0.5
eg	SelG	2	6	1e-04	0	0.5
Arc42	SelG	2	6	0	0	0.5
toy	SelG	2	6	3e-04	0	0.5
Galpha73B	SelG	2	6	0	0	0.5
RhoGAPp190	SelG	2	6	1e-04	0	0.5
MED11	SelG	2	6	0	0	0.5
cher	SelG	2	6	0	0	0.5
BicD	SelG	2	6	3e-04	0	0.5
MYPT.75D	SelG	2	6	0	0	0.5
mus304	SelG	2	6	7e-04	0	0.5
CdsA	SelG	2	6	0	0	0.5
btl	SelG	2	6	3e-04	0	0.5
Cyt.c.d	SelG	2	6	0	0	0.5
tok	SelG	2	6	0	0	0.5
ttk	SelG	2	6	0	0	0.5
tamo	SelG	2	6	0	0	0.5
CG6416	SelG	2	6	3e-04	0	0.5
flfl	SelG	2	6	2e-04	0	0.5
Pvr	SelG	2	6	0	0	0.5
kay	SelG	2	6	0	0	0.5
Jra	SelG	2	6	0	0	0.5
msk	SelG	2	6	0	0	0.5
tll	SelG	2	6	0	0	0.5
Tm1	SelG	2	6	0	0	0.5
srp	SelG	2	6	1e-04	0	0.5
Btk29A	SelG	2	6	0	0	0.5
fred	SelG	2	6	0	0	0.5
Src64B	SelG	2	6	0	0	0.5
Mmp1	SelG	2	6	0	0	0.5
sll	SelG	2	6	0	0	0.5
Hmgs	SelG	2	6	0	0	0.5
caps	SelG	2	6	0	0	0.5
Su.var.2.10	SelG	2	6	0	0	0.5
CycB	SelG	2	6	3e-04	0	0.5
spir	SelG	2	6	3e-04	0	0.5
spn.A	SelG	2	6	0	0	0.5
Ptpmeg	SelG	2	6	2e-04	0	0.5
qua	SelG	2	6	0	0	0.5
msn	SelG	2	6	1e-04	0	0.5
ena	SelG	2	6	4e-04	0	0.5
spen	SelG	2	6	0	0	0.5
emc	SelG	2	6	0	0	0.5
tsh	SelG	2	6	0	0	0.5
Dat	SelG	2	6	0	0	0.5
Lac	SelG	2	6	0	0	0.5
dup	SelG	2	6	0	0	0.5
CG3075	SelG	2	6	0	0	0.5
Akap200	SelG	2	6	0	0	0.5
CG18369	SelG	2	6	0	0	0.5
bnl	SelG	2	6	1e-04	0	0.5
sec23	SelG	2	6	0	0	0.5
Pde8	SelG	2	6	0	0	0.5
Arp66B	SelG	2	6	0	0	0.5
cos	SelG	2	6	0	0	0.5
Borr	SelG	2	6	0	0	0.5
X140up	SelG	2	6	0	0	0.5
Dhc64C	SelG	2	6	0	0	0.5
Not1	SelG	2	6	0	0	0.5
CG9520	SelG	2	6	0	0	0.5
bib	SelG	2	6	0	0	0.5
mib1	SelG	2	6	1e-04	0	0.5
cas	SelG	2	6	0	0	0.5
Abi	SelG	2	6	0	0	0.5
betaTub56D	SelG	2	6	0	0	0.5
nej	SelG	2	6	0	0	0.5
dlg1	SelG	2	6	0	0	0.5
Lcp65Ag1	SelG	2	6	0	0	0.5
Es2	SelG	2	6	0	0	0.5
MED24	SelG	2	6	0	0	0.5
Vhl	SelG	2	6	0	0	0.5
tral	SelG	2	6	0	0	0.5
sns	SelG	2	6	0	0	0.5
