Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Sema.1b	2	6	1	0.99848	0.5
emp	Sema.1b	2	6	9e-04	0	0.5
CG2678	Sema.1b	2	6	0	0	0.5
crc	Sema.1b	2	6	0	0	0.5
pros	Sema.1b	2	6	4e-04	0	0.5
neur	Sema.1b	2	6	0	0	0.5
Rab5	Sema.1b	2	6	0	0	0.5
Rab7	Sema.1b	2	6	0	0	0.5
Mmp2	Sema.1b	2	6	0	0	0.5
W	Sema.1b	2	6	0	0	0.5
bowl	Sema.1b	2	6	5e-04	0	0.5
fd59A	Sema.1b	2	6	1e-04	0	0.5
e	Sema.1b	2	6	0	0	0.5
ben	Sema.1b	2	6	0	0	0.5
rdo	Sema.1b	2	6	0	0	0.5
lin	Sema.1b	2	6	0	0	0.5
tra	Sema.1b	2	6	0	0	0.5
tra2	Sema.1b	2	6	2e-04	0	0.5
cathD	Sema.1b	2	6	0	0	0.5
d	Sema.1b	2	6	0	0	0.5
lva	Sema.1b	2	6	0	0	0.5
pbl	Sema.1b	2	6	0	0	0.5
CG33205	Sema.1b	2	6	0	0	0.5
da	Sema.1b	2	6	5e-04	0	0.5
cactin	Sema.1b	2	6	0	0	0.5
hpo	Sema.1b	2	6	0	0	0.5
Sema.2a	Sema.1b	2	6	0	0	0.5
Eip74EF	Sema.1b	2	6	5e-04	0	0.5
eg	Sema.1b	2	6	0	0	0.5
Arc42	Sema.1b	2	6	0	0	0.5
toy	Sema.1b	2	6	2e-04	0	0.5
Galpha73B	Sema.1b	2	6	6e-04	0	0.5
RhoGAPp190	Sema.1b	2	6	0	0	0.5
MED11	Sema.1b	2	6	0	0	0.5
cher	Sema.1b	2	6	0	0	0.5
BicD	Sema.1b	2	6	3e-04	0	0.5
MYPT.75D	Sema.1b	2	6	0	0	0.5
mus304	Sema.1b	2	6	0	0	0.5
CdsA	Sema.1b	2	6	0	0	0.5
btl	Sema.1b	2	6	0	0	0.5
Cyt.c.d	Sema.1b	2	6	3e-04	0	0.5
tok	Sema.1b	2	6	0	0	0.5
ttk	Sema.1b	2	6	1e-04	0	0.5
tamo	Sema.1b	2	6	1e-04	0	0.5
CG6416	Sema.1b	2	6	1e-04	0	0.5
flfl	Sema.1b	2	6	0	0	0.5
Pvr	Sema.1b	2	6	0	0	0.5
kay	Sema.1b	2	6	2e-04	0	0.5
Jra	Sema.1b	2	6	0	0	0.5
msk	Sema.1b	2	6	0	0	0.5
tll	Sema.1b	2	6	0	0	0.5
Tm1	Sema.1b	2	6	0	0	0.5
srp	Sema.1b	2	6	0	0	0.5
Btk29A	Sema.1b	2	6	0	0	0.5
fred	Sema.1b	2	6	0	0	0.5
Src64B	Sema.1b	2	6	1e-04	0	0.5
Mmp1	Sema.1b	2	6	0	0	0.5
sll	Sema.1b	2	6	0	0	0.5
Hmgs	Sema.1b	2	6	6e-04	0	0.5
caps	Sema.1b	2	6	0.001	0	0.5
Su.var.2.10	Sema.1b	2	6	0	0	0.5
CycB	Sema.1b	2	6	0	0	0.5
spir	Sema.1b	2	6	0	0	0.5
spn.A	Sema.1b	2	6	0	0	0.5
Ptpmeg	Sema.1b	2	6	1	-0.99869	0.5
qua	Sema.1b	2	6	0	0	0.5
msn	Sema.1b	2	6	0	0	0.5
ena	Sema.1b	2	6	1e-04	0	0.5
spen	Sema.1b	2	6	0	0	0.5
emc	Sema.1b	2	6	2e-04	0	0.5
tsh	Sema.1b	2	6	0	0	0.5
Dat	Sema.1b	2	6	0	0	0.5
Lac	Sema.1b	2	6	0	0	0.5
dup	Sema.1b	2	6	0	0	0.5
CG3075	Sema.1b	2	6	1e-04	0	0.5
Akap200	Sema.1b	2	6	0	0	0.5
CG18369	Sema.1b	2	6	0	0	0.5
bnl	Sema.1b	2	6	0	0	0.5
sec23	Sema.1b	2	6	1e-04	0	0.5
Pde8	Sema.1b	2	6	0.0026	0	0.5
Arp66B	Sema.1b	2	6	0.0024	0	0.5
cos	Sema.1b	2	6	5e-04	0	0.5
Borr	Sema.1b	2	6	0	0	0.5
X140up	Sema.1b	2	6	6e-04	0	0.5
Dhc64C	Sema.1b	2	6	0	0	0.5
Not1	Sema.1b	2	6	0	0	0.5
CG9520	Sema.1b	2	6	0	0	0.5
bib	Sema.1b	2	6	0	0	0.5
mib1	Sema.1b	2	6	0	0	0.5
cas	Sema.1b	2	6	5e-04	0	0.5
Abi	Sema.1b	2	6	4e-04	0	0.5
betaTub56D	Sema.1b	2	6	1e-04	0	0.5
nej	Sema.1b	2	6	0	0	0.5
dlg1	Sema.1b	2	6	4e-04	0	0.5
Lcp65Ag1	Sema.1b	2	6	1e-04	0	0.5
Es2	Sema.1b	2	6	0	0	0.5
MED24	Sema.1b	2	6	0	0	0.5
Vhl	Sema.1b	2	6	2e-04	0	0.5
tral	Sema.1b	2	6	4e-04	0	0.5
sns	Sema.1b	2	6	0	0	0.5
mbl	Sema.1b	2	6	0	0	0.5
sav	Sema.1b	2	6	1e-04	0	0.5
lola	Sema.1b	2	6	2e-04	0	0.5
robo	Sema.1b	2	6	1e-04	0	0.5
CG32486	Sema.1b	2	6	5e-04	0	0.5
santa.maria	Sema.1b	2	6	0	0	0.5
stumps	Sema.1b	2	6	0	0	0.5
abd.A	Sema.1b	2	6	0	0	0.5
dock	Sema.1b	2	6	0	0	0.5
Lar	Sema.1b	2	6	0	0	0.5
l.1.G0289	Sema.1b	2	6	0	0	0.5
Abl	Sema.1b	2	6	0	0	0.5
Syb	Sema.1b	2	6	0	0	0.5
dome	Sema.1b	2	6	0	0	0.5
ofs	Sema.1b	2	6	3e-04	0	0.5
