Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Sema.2a	2	6	1e-04	0	0.5
emp	Sema.2a	2	6	2e-04	0	0.5
CG2678	Sema.2a	2	6	4e-04	0	0.5
crc	Sema.2a	2	6	5e-04	0	0.5
pros	Sema.2a	2	6	0	0	0.5
neur	Sema.2a	2	6	1e-04	0	0.5
Rab5	Sema.2a	2	6	0	0	0.5
Rab7	Sema.2a	2	6	0	0	0.5
Mmp2	Sema.2a	2	6	7e-04	0	0.5
W	Sema.2a	2	6	2e-04	0	0.5
bowl	Sema.2a	2	6	3e-04	0	0.5
fd59A	Sema.2a	2	6	0	0	0.5
e	Sema.2a	2	6	0.0011	0	0.5
ben	Sema.2a	2	6	3e-04	0	0.5
rdo	Sema.2a	2	6	1e-04	0	0.5
lin	Sema.2a	2	6	0	0	0.5
tra	Sema.2a	2	6	3e-04	0	0.5
tra2	Sema.2a	2	6	0	0	0.5
cathD	Sema.2a	2	6	0	0	0.5
d	Sema.2a	2	6	0	0	0.5
lva	Sema.2a	2	6	0	0	0.5
pbl	Sema.2a	2	6	1e-04	0	0.5
CG33205	Sema.2a	2	6	0	0	0.5
da	Sema.2a	2	6	6e-04	0	0.5
cactin	Sema.2a	2	6	6e-04	0	0.5
hpo	Sema.2a	2	6	0	0	0.5
Sema.2a	Sema.2a	2	6	0	0	0.5
Eip74EF	Sema.2a	2	6	1e-04	0	0.5
eg	Sema.2a	2	6	0	0	0.5
Arc42	Sema.2a	2	6	1e-04	0	0.5
toy	Sema.2a	2	6	0	0	0.5
Galpha73B	Sema.2a	2	6	6e-04	0	0.5
RhoGAPp190	Sema.2a	2	6	4e-04	0	0.5
MED11	Sema.2a	2	6	0	0	0.5
cher	Sema.2a	2	6	0	0	0.5
BicD	Sema.2a	2	6	6e-04	0	0.5
MYPT.75D	Sema.2a	2	6	0	0	0.5
mus304	Sema.2a	2	6	0	0	0.5
CdsA	Sema.2a	2	6	0	0	0.5
btl	Sema.2a	2	6	0	0	0.5
Cyt.c.d	Sema.2a	2	6	0	0	0.5
tok	Sema.2a	2	6	0.0014	0	0.5
ttk	Sema.2a	2	6	5e-04	0	0.5
tamo	Sema.2a	2	6	2e-04	0	0.5
