Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Sh	2	6	0	0	0.5
emp	Sh	2	6	1e-04	0	0.5
CG2678	Sh	2	6	1e-04	0	0.5
crc	Sh	2	6	0	0	0.5
pros	Sh	2	6	4e-04	0	0.5
neur	Sh	2	6	6e-04	0	0.5
Rab5	Sh	2	6	0	0	0.5
Rab7	Sh	2	6	0.001	0	0.5
Mmp2	Sh	2	6	8e-04	0	0.5
W	Sh	2	6	0	0	0.5
bowl	Sh	2	6	0	0	0.5
fd59A	Sh	2	6	4e-04	0	0.5
e	Sh	2	6	0	0	0.5
ben	Sh	2	6	0	0	0.5
rdo	Sh	2	6	0.001	0	0.5
lin	Sh	2	6	0	0	0.5
tra	Sh	2	6	0	0	0.5
tra2	Sh	2	6	0	0	0.5
cathD	Sh	2	6	0	0	0.5
d	Sh	2	6	1e-04	0	0.5
lva	Sh	2	6	0	0	0.5
pbl	Sh	2	6	1e-04	0	0.5
CG33205	Sh	2	6	6e-04	0	0.5
da	Sh	2	6	7e-04	0	0.5
cactin	Sh	2	6	0	0	0.5
hpo	Sh	2	6	0	0	0.5
Sema.2a	Sh	2	6	0	0	0.5
Eip74EF	Sh	2	6	0	0	0.5
eg	Sh	2	6	0	0	0.5
Arc42	Sh	2	6	0	0	0.5
toy	Sh	2	6	0	0	0.5
Galpha73B	Sh	2	6	1e-04	0	0.5
RhoGAPp190	Sh	2	6	4e-04	0	0.5
MED11	Sh	2	6	5e-04	0	0.5
cher	Sh	2	6	1e-04	0	0.5
BicD	Sh	2	6	0	0	0.5
MYPT.75D	Sh	2	6	0	0	0.5
mus304	Sh	2	6	2e-04	0	0.5
CdsA	Sh	2	6	0	0	0.5
btl	Sh	2	6	5e-04	0	0.5
Cyt.c.d	Sh	2	6	0	0	0.5
tok	Sh	2	6	0	0	0.5
ttk	Sh	2	6	0	0	0.5
tamo	Sh	2	6	0	0	0.5
CG6416	Sh	2	6	1e-04	0	0.5
flfl	Sh	2	6	0	0	0.5
Pvr	Sh	2	6	2e-04	0	0.5
kay	Sh	2	6	0	0	0.5
Jra	Sh	2	6	0	0	0.5
msk	Sh	2	6	0.0011	0	0.5
tll	Sh	2	6	0	0	0.5
Tm1	Sh	2	6	0	0	0.5
srp	Sh	2	6	0	0	0.5
Btk29A	Sh	2	6	5e-04	0	0.5
fred	Sh	2	6	1e-04	0	0.5
Src64B	Sh	2	6	0	0	0.5
Mmp1	Sh	2	6	9e-04	0	0.5
sll	Sh	2	6	0	0	0.5
Hmgs	Sh	2	6	0	0	0.5
caps	Sh	2	6	0	0	0.5
Su.var.2.10	Sh	2	6	0	0	0.5
CycB	Sh	2	6	4e-04	0	0.5
spir	Sh	2	6	6e-04	0	0.5
spn.A	Sh	2	6	3e-04	0	0.5
Ptpmeg	Sh	2	6	5e-04	0	0.5
qua	Sh	2	6	4e-04	0	0.5
msn	Sh	2	6	0	0	0.5
ena	Sh	2	6	1e-04	0	0.5
spen	Sh	2	6	2e-04	0	0.5
emc	Sh	2	6	7e-04	0	0.5
tsh	Sh	2	6	0	0	0.5
Dat	Sh	2	6	0	0	0.5
Lac	Sh	2	6	0	0	0.5
dup	Sh	2	6	0.0011	0	0.5
CG3075	Sh	2	6	0	0	0.5
Akap200	Sh	2	6	0	0	0.5
CG18369	Sh	2	6	4e-04	0	0.5
bnl	Sh	2	6	0	0	0.5
sec23	Sh	2	6	1e-04	0	0.5
Pde8	Sh	2	6	0	0	0.5
Arp66B	Sh	2	6	0	0	0.5
cos	Sh	2	6	2e-04	0	0.5
Borr	Sh	2	6	0	0	0.5
X140up	Sh	2	6	0	0	0.5
Dhc64C	Sh	2	6	5e-04	0	0.5
Not1	Sh	2	6	0	0	0.5
CG9520	Sh	2	6	6e-04	0	0.5
bib	Sh	2	6	0	0	0.5
mib1	Sh	2	6	0	0	0.5
cas	Sh	2	6	1e-04	0	0.5
Abi	Sh	2	6	0	0	0.5
betaTub56D	Sh	2	6	2e-04	0	0.5
nej	Sh	2	6	2e-04	0	0.5
dlg1	Sh	2	6	3e-04	0	0.5
Lcp65Ag1	Sh	2	6	5e-04	0	0.5
Es2	Sh	2	6	1e-04	0	0.5
MED24	Sh	2	6	0	0	0.5
Vhl	Sh	2	6	0	0	0.5
tral	Sh	2	6	6e-04	0	0.5
sns	Sh	2	6	5e-04	0	0.5
mbl	Sh	2	6	0	0	0.5
sav	Sh	2	6	2e-04	0	0.5
lola	Sh	2	6	0	0	0.5
robo	Sh	2	6	3e-04	0	0.5
CG32486	Sh	2	6	0	0	0.5
santa.maria	Sh	2	6	1e-04	0	0.5
stumps	Sh	2	6	4e-04	0	0.5
abd.A	Sh	2	6	0	0	0.5
dock	Sh	2	6	8e-04	0	0.5
Lar	Sh	2	6	2e-04	0	0.5
l.1.G0289	Sh	2	6	0	0	0.5
Abl	Sh	2	6	0	0	0.5
Syb	Sh	2	6	0.0012	0	0.5
dome	Sh	2	6	2e-04	0	0.5
ofs	Sh	2	6	0	0	0.5
MED4	Sh	2	6	0	0	0.5
scrib	Sh	2	6	0	0	0.5
siz	Sh	2	6	0	0	0.5
cbx	Sh	2	6	1	0.99857	0.5
dsx	Sh	2	6	0	0	0.5
Sb	Sh	2	6	0	0	0.5
sax	Sh	2	6	1e-04	0	0.5
foxo	Sh	2	6	0	0	0.5
Cyp1	Sh	2	6	0	0	0.5
brm	Sh	2	6	0	0	0.5
rad50	Sh	2	6	0	0	0.5
chico	Sh	2	6	2e-04	0	0.5
cp309	Sh	2	6	0	0	0.5
hdc	Sh	2	6	0	0	0.5
Axn	Sh	2	6	8e-04	0	0.5
Apc2	Sh	2	6	0	0	0.5
PhKgamma	Sh	2	6	0	0	0.5
eya	Sh	2	6	0	0	0.5
sktl	Sh	2	6	4e-04	0	0.5
sqd	Sh	2	6	1e-04	0	0.5
Akt1	Sh	2	6	0	0	0.5
scyl	Sh	2	6	0	0	0.5
cnk	Sh	2	6	0	0	0.5
CG8149	Sh	2	6	6e-04	0	0.5
CG34379	Sh	2	6	0	0	0.5
Yp1	Sh	2	6	0	0	0.5
yrt	Sh	2	6	3e-04	0	0.5
bap	Sh	2	6	0	0	0.5
tud	Sh	2	6	1e-04	0	0.5
