Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Sobp	2	6	0	0	0.5
emp	Sobp	2	6	4e-04	0	0.5
CG2678	Sobp	2	6	0	0	0.5
crc	Sobp	2	6	0	0	0.5
pros	Sobp	2	6	8e-04	0	0.5
neur	Sobp	2	6	0	0	0.5
Rab5	Sobp	2	6	0	0	0.5
Rab7	Sobp	2	6	0	0	0.5
Mmp2	Sobp	2	6	1e-04	0	0.5
W	Sobp	2	6	0	0	0.5
bowl	Sobp	2	6	0	0	0.5
fd59A	Sobp	2	6	0	0	0.5
e	Sobp	2	6	0	0	0.5
ben	Sobp	2	6	1e-04	0	0.5
rdo	Sobp	2	6	0	0	0.5
lin	Sobp	2	6	0	0	0.5
tra	Sobp	2	6	0	0	0.5
tra2	Sobp	2	6	0	0	0.5
cathD	Sobp	2	6	0	0	0.5
d	Sobp	2	6	8e-04	0	0.5
lva	Sobp	2	6	3e-04	0	0.5
pbl	Sobp	2	6	0	0	0.5
CG33205	Sobp	2	6	0	0	0.5
da	Sobp	2	6	0	0	0.5
cactin	Sobp	2	6	3e-04	0	0.5
hpo	Sobp	2	6	0	0	0.5
Sema.2a	Sobp	2	6	0	0	0.5
Eip74EF	Sobp	2	6	4e-04	0	0.5
eg	Sobp	2	6	0	0	0.5
Arc42	Sobp	2	6	2e-04	0	0.5
toy	Sobp	2	6	7e-04	0	0.5
Galpha73B	Sobp	2	6	0	0	0.5
RhoGAPp190	Sobp	2	6	0	0	0.5
MED11	Sobp	2	6	0	0	0.5
cher	Sobp	2	6	0	0	0.5
BicD	Sobp	2	6	0	0	0.5
MYPT.75D	Sobp	2	6	0	0	0.5
mus304	Sobp	2	6	0	0	0.5
CdsA	Sobp	2	6	0	0	0.5
btl	Sobp	2	6	0	0	0.5
Cyt.c.d	Sobp	2	6	0	0	0.5
tok	Sobp	2	6	0	0	0.5
ttk	Sobp	2	6	6e-04	0	0.5
tamo	Sobp	2	6	3e-04	0	0.5
CG6416	Sobp	2	6	0	0	0.5
flfl	Sobp	2	6	2e-04	0	0.5
Pvr	Sobp	2	6	0	0	0.5
kay	Sobp	2	6	0	0	0.5
Jra	Sobp	2	6	0	0	0.5
msk	Sobp	2	6	3e-04	0	0.5
tll	Sobp	2	6	0	0	0.5
Tm1	Sobp	2	6	0	0	0.5
