Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Src42A	2	6	0	0	0.5
emp	Src42A	2	6	7e-04	0	0.5
CG2678	Src42A	2	6	1e-04	0	0.5
crc	Src42A	2	6	0	0	0.5
pros	Src42A	2	6	0	0	0.5
neur	Src42A	2	6	0	0	0.5
Rab5	Src42A	2	6	0	0	0.5
Rab7	Src42A	2	6	0	0	0.5
Mmp2	Src42A	2	6	0	0	0.5
W	Src42A	2	6	3e-04	0	0.5
bowl	Src42A	2	6	0	0	0.5
fd59A	Src42A	2	6	0	0	0.5
e	Src42A	2	6	0	0	0.5
ben	Src42A	2	6	3e-04	0	0.5
rdo	Src42A	2	6	0	0	0.5
lin	Src42A	2	6	0	0	0.5
tra	Src42A	2	6	0	0	0.5
tra2	Src42A	2	6	2e-04	0	0.5
cathD	Src42A	2	6	0	0	0.5
d	Src42A	2	6	0	0	0.5
lva	Src42A	2	6	0	0	0.5
pbl	Src42A	2	6	0.0013	0	0.5
CG33205	Src42A	2	6	5e-04	0	0.5
da	Src42A	2	6	7e-04	0	0.5
cactin	Src42A	2	6	6e-04	0	0.5
hpo	Src42A	2	6	0	0	0.5
Sema.2a	Src42A	2	6	1e-04	0	0.5
Eip74EF	Src42A	2	6	0	0	0.5
eg	Src42A	2	6	5e-04	0	0.5
Arc42	Src42A	2	6	3e-04	0	0.5
toy	Src42A	2	6	0	0	0.5
Galpha73B	Src42A	2	6	4e-04	0	0.5
RhoGAPp190	Src42A	2	6	0	0	0.5
MED11	Src42A	2	6	0	0	0.5
cher	Src42A	2	6	0	0	0.5
BicD	Src42A	2	6	3e-04	0	0.5
MYPT.75D	Src42A	2	6	0	0	0.5
mus304	Src42A	2	6	0	0	0.5
CdsA	Src42A	2	6	0	0	0.5
btl	Src42A	2	6	0	0	0.5
Cyt.c.d	Src42A	2	6	0	0	0.5
tok	Src42A	2	6	0	0	0.5
ttk	Src42A	2	6	1e-04	0	0.5
tamo	Src42A	2	6	0	0	0.5
CG6416	Src42A	2	6	0	0	0.5
flfl	Src42A	2	6	0	0	0.5
Pvr	Src42A	2	6	0.0011	0	0.5
kay	Src42A	2	6	0	0	0.5
Jra	Src42A	2	6	0	0	0.5
msk	Src42A	2	6	0	0	0.5
tll	Src42A	2	6	0	0	0.5
Tm1	Src42A	2	6	0	0	0.5
srp	Src42A	2	6	0	0	0.5
Btk29A	Src42A	2	6	1e-04	0	0.5
fred	Src42A	2	6	0	0	0.5
Src64B	Src42A	2	6	0	0	0.5
Mmp1	Src42A	2	6	0	0	0.5
sll	Src42A	2	6	1e-04	0	0.5
Hmgs	Src42A	2	6	0	0	0.5
caps	Src42A	2	6	4e-04	0	0.5
Su.var.2.10	Src42A	2	6	0	0	0.5
CycB	Src42A	2	6	0	0	0.5
spir	Src42A	2	6	0	0	0.5
spn.A	Src42A	2	6	0	0	0.5
Ptpmeg	Src42A	2	6	0	0	0.5
qua	Src42A	2	6	0	0	0.5
msn	Src42A	2	6	0	0	0.5
ena	Src42A	2	6	0	0	0.5
spen	Src42A	2	6	0	0	0.5
emc	Src42A	2	6	0	0	0.5
tsh	Src42A	2	6	4e-04	0	0.5
Dat	Src42A	2	6	0	0	0.5
Lac	Src42A	2	6	4e-04	0	0.5
dup	Src42A	2	6	0	0	0.5
CG3075	Src42A	2	6	0	0	0.5
Akap200	Src42A	2	6	0	0	0.5
CG18369	Src42A	2	6	0	0	0.5
bnl	Src42A	2	6	2e-04	0	0.5
sec23	Src42A	2	6	0	0	0.5
Pde8	Src42A	2	6	0	0	0.5
Arp66B	Src42A	2	6	3e-04	0	0.5
cos	Src42A	2	6	1e-04	0	0.5
Borr	Src42A	2	6	7e-04	0	0.5
X140up	Src42A	2	6	0	0	0.5
Dhc64C	Src42A	2	6	2e-04	0	0.5
Not1	Src42A	2	6	2e-04	0	0.5
CG9520	Src42A	2	6	0	0	0.5
bib	Src42A	2	6	0	0	0.5
mib1	Src42A	2	6	0.001	0	0.5
cas	Src42A	2	6	0	0	0.5
Abi	Src42A	2	6	0	0	0.5
betaTub56D	Src42A	2	6	0	0	0.5
nej	Src42A	2	6	0.0018	0	0.5
dlg1	Src42A	2	6	0	0	0.5
Lcp65Ag1	Src42A	2	6	0	0	0.5
Es2	Src42A	2	6	3e-04	0	0.5
MED24	Src42A	2	6	6e-04	0	0.5
Vhl	Src42A	2	6	9e-04	0	0.5
tral	Src42A	2	6	0	0	0.5
sns	Src42A	2	6	3e-04	0	0.5
mbl	Src42A	2	6	0	0	0.5
sav	Src42A	2	6	0	0	0.5
lola	Src42A	2	6	0.0011	0	0.5
robo	Src42A	2	6	5e-04	0	0.5
CG32486	Src42A	2	6	0	0	0.5
santa.maria	Src42A	2	6	0	0	0.5
stumps	Src42A	2	6	3e-04	0	0.5
abd.A	Src42A	2	6	0	0	0.5
dock	Src42A	2	6	0	0	0.5
Lar	Src42A	2	6	1e-04	0	0.5
l.1.G0289	Src42A	2	6	0	0	0.5
Abl	Src42A	2	6	0	0	0.5
Syb	Src42A	2	6	0	0	0.5
dome	Src42A	2	6	0	0	0.5
ofs	Src42A	2	6	4e-04	0	0.5
MED4	Src42A	2	6	0	0	0.5
scrib	Src42A	2	6	2e-04	0	0.5
