Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Su.H.	2	6	1e-04	0	0.5
emp	Su.H.	2	6	6e-04	0	0.5
CG2678	Su.H.	2	6	3e-04	0	0.5
crc	Su.H.	2	6	0	0	0.5
pros	Su.H.	2	6	0	0	0.5
neur	Su.H.	2	6	0	0	0.5
Rab5	Su.H.	2	6	0	0	0.5
Rab7	Su.H.	2	6	0	0	0.5
Mmp2	Su.H.	2	6	0	0	0.5
W	Su.H.	2	6	0	0	0.5
bowl	Su.H.	2	6	0	0	0.5
fd59A	Su.H.	2	6	2e-04	0	0.5
e	Su.H.	2	6	0	0	0.5
ben	Su.H.	2	6	0	0	0.5
rdo	Su.H.	2	6	0	0	0.5
lin	Su.H.	2	6	4e-04	0	0.5
tra	Su.H.	2	6	0	0	0.5
tra2	Su.H.	2	6	0	0	0.5
cathD	Su.H.	2	6	0	0	0.5
d	Su.H.	2	6	1e-04	0	0.5
lva	Su.H.	2	6	0	0	0.5
pbl	Su.H.	2	6	0	0	0.5
CG33205	Su.H.	2	6	0	0	0.5
da	Su.H.	2	6	1e-04	0	0.5
cactin	Su.H.	2	6	0	0	0.5
hpo	Su.H.	2	6	0	0	0.5
Sema.2a	Su.H.	2	6	0	0	0.5
Eip74EF	Su.H.	2	6	0	0	0.5
eg	Su.H.	2	6	0	0	0.5
Arc42	Su.H.	2	6	2e-04	0	0.5
toy	Su.H.	2	6	0	0	0.5
Galpha73B	Su.H.	2	6	0	0	0.5
RhoGAPp190	Su.H.	2	6	0	0	0.5
MED11	Su.H.	2	6	0	0	0.5
cher	Su.H.	2	6	0	0	0.5
BicD	Su.H.	2	6	0	0	0.5
MYPT.75D	Su.H.	2	6	0	0	0.5
mus304	Su.H.	2	6	7e-04	0	0.5
CdsA	Su.H.	2	6	0	0	0.5
btl	Su.H.	2	6	0	0	0.5
Cyt.c.d	Su.H.	2	6	1e-04	0	0.5
tok	Su.H.	2	6	0	0	0.5
ttk	Su.H.	2	6	0	0	0.5
tamo	Su.H.	2	6	0	0	0.5
CG6416	Su.H.	2	6	0	0	0.5
flfl	Su.H.	2	6	0	0	0.5
Pvr	Su.H.	2	6	2e-04	0	0.5
kay	Su.H.	2	6	0	0	0.5
Jra	Su.H.	2	6	3e-04	0	0.5
msk	Su.H.	2	6	0	0	0.5
tll	Su.H.	2	6	1e-04	0	0.5
Tm1	Su.H.	2	6	0	0	0.5
srp	Su.H.	2	6	0	0	0.5
Btk29A	Su.H.	2	6	0	0	0.5
fred	Su.H.	2	6	0	0	0.5
Src64B	Su.H.	2	6	0	0	0.5
Mmp1	Su.H.	2	6	0	0	0.5
sll	Su.H.	2	6	5e-04	0	0.5
Hmgs	Su.H.	2	6	0	0	0.5
caps	Su.H.	2	6	0	0	0.5
Su.var.2.10	Su.H.	2	6	1e-04	0	0.5
CycB	Su.H.	2	6	0	0	0.5
spir	Su.H.	2	6	0	0	0.5
spn.A	Su.H.	2	6	2e-04	0	0.5
Ptpmeg	Su.H.	2	6	0	0	0.5
qua	Su.H.	2	6	0	0	0.5
msn	Su.H.	2	6	0	0	0.5
ena	Su.H.	2	6	2e-04	0	0.5
spen	Su.H.	2	6	0	0	0.5
emc	Su.H.	2	6	0	0	0.5
tsh	Su.H.	2	6	0	0	0.5
Dat	Su.H.	2	6	0	0	0.5
Lac	Su.H.	2	6	0	0	0.5
dup	Su.H.	2	6	0	0	0.5
CG3075	Su.H.	2	6	0	0	0.5
Akap200	Su.H.	2	6	2e-04	0	0.5
CG18369	Su.H.	2	6	0	0	0.5
bnl	Su.H.	2	6	0	0	0.5
sec23	Su.H.	2	6	0	0	0.5
Pde8	Su.H.	2	6	0	0	0.5
Arp66B	Su.H.	2	6	3e-04	0	0.5
cos	Su.H.	2	6	0	0	0.5
Borr	Su.H.	2	6	0	0	0.5
X140up	Su.H.	2	6	0	0	0.5
Dhc64C	Su.H.	2	6	1e-04	0	0.5
Not1	Su.H.	2	6	0	0	0.5
CG9520	Su.H.	2	6	7e-04	0	0.5
bib	Su.H.	2	6	0	0	0.5
mib1	Su.H.	2	6	1e-04	0	0.5
cas	Su.H.	2	6	0	0	0.5
Abi	Su.H.	2	6	0	0	0.5
betaTub56D	Su.H.	2	6	0	0	0.5
nej	Su.H.	2	6	0	0	0.5
dlg1	Su.H.	2	6	0	0	0.5
Lcp65Ag1	Su.H.	2	6	0	0	0.5
Es2	Su.H.	2	6	0	0	0.5
MED24	Su.H.	2	6	0	0	0.5
Vhl	Su.H.	2	6	0	0	0.5
tral	Su.H.	2	6	0	0	0.5
sns	Su.H.	2	6	0	0	0.5
mbl	Su.H.	2	6	0	0	0.5
sav	Su.H.	2	6	0	0	0.5
lola	Su.H.	2	6	0	0	0.5
robo	Su.H.	2	6	0	0	0.5
CG32486	Su.H.	2	6	3e-04	0	0.5
santa.maria	Su.H.	2	6	0	0	0.5
stumps	Su.H.	2	6	1e-04	0	0.5
abd.A	Su.H.	2	6	0	0	0.5
dock	Su.H.	2	6	0	0	0.5
Lar	Su.H.	2	6	1e-04	0	0.5
l.1.G0289	Su.H.	2	6	1e-04	0	0.5
Abl	Su.H.	2	6	6e-04	0	0.5
Syb	Su.H.	2	6	0	0	0.5
dome	Su.H.	2	6	0	0	0.5
ofs	Su.H.	2	6	8e-04	0	0.5
MED4	Su.H.	2	6	0	0	0.5
scrib	Su.H.	2	6	0	0	0.5
siz	Su.H.	2	6	0	0	0.5
cbx	Su.H.	2	6	2e-04	0	0.5
dsx	Su.H.	2	6	1e-04	0	0.5
Sb	Su.H.	2	6	0	0	0.5
sax	Su.H.	2	6	1e-04	0	0.5
foxo	Su.H.	2	6	0	0	0.5
Cyp1	Su.H.	2	6	0	0	0.5
brm	Su.H.	2	6	1e-04	0	0.5
rad50	Su.H.	2	6	0	0	0.5
chico	Su.H.	2	6	0	0	0.5
cp309	Su.H.	2	6	0	0	0.5
hdc	Su.H.	2	6	0	0	0.5
Axn	Su.H.	2	6	0	0	0.5
Apc2	Su.H.	2	6	1e-04	0	0.5
PhKgamma	Su.H.	2	6	0	0	0.5
eya	Su.H.	2	6	1e-04	0	0.5
sktl	Su.H.	2	6	0	0	0.5
sqd	Su.H.	2	6	0	0	0.5
Akt1	Su.H.	2	6	1e-04	0	0.5
scyl	Su.H.	2	6	0	0	0.5
cnk	Su.H.	2	6	4e-04	0	0.5
CG8149	Su.H.	2	6	0	0	0.5
CG34379	Su.H.	2	6	3e-04	0	0.5
Yp1	Su.H.	2	6	0	0	0.5
yrt	Su.H.	2	6	0	0	0.5
bap	Su.H.	2	6	0	0	0.5
tud	Su.H.	2	6	0	0	0.5
ct	Su.H.	2	6	0	0	0.5
tup	Su.H.	2	6	0	0	0.5
G.ialpha65A	Su.H.	2	6	0	0	0.5
knrl	Su.H.	2	6	0	0	0.5
Pkn	Su.H.	2	6	1e-04	0	0.5
Sry.delta	Su.H.	2	6	0	0	0.5
Alh	Su.H.	2	6	0	0	0.5
pnut	Su.H.	2	6	0	0	0.5
phyl	Su.H.	2	6	0	0	0.5
CG17739	Su.H.	2	6	0	0	0.5
B4	Su.H.	2	6	0	0	0.5
CG2681	Su.H.	2	6	0	0	0.5
tow	Su.H.	2	6	0	0	0.5
hkl	Su.H.	2	6	0	0	0.5
sina	Su.H.	2	6	0	0	0.5
ry	Su.H.	2	6	0	0	0.5
rux	Su.H.	2	6	0	0	0.5
boss	Su.H.	2	6	0	0	0.5
Mkp3	Su.H.	2	6	0	0	0.5
inaC	Su.H.	2	6	0	0	0.5
sno	Su.H.	2	6	0	0	0.5
jagn	Su.H.	2	6	0	0	0.5
dpn	Su.H.	2	6	0	0	0.5
wrapper	Su.H.	2	6	0	0	0.5
Ca.alpha1D	Su.H.	2	6	0	0	0.5
E2f	Su.H.	2	6	0	0	0.5
Dp	Su.H.	2	6	0	0	0.5
l.2.efl	Su.H.	2	6	2e-04	0	0.5
cnc	Su.H.	2	6	1e-04	0	0.5
Atg5	Su.H.	2	6	0	0	0.5
acj6	Su.H.	2	6	0	0	0.5
Trl	Su.H.	2	6	0	0	0.5
d4	Su.H.	2	6	0	0	0.5
CG16719	Su.H.	2	6	0	0	0.5
CadN	Su.H.	2	6	0	0	0.5
gro	Su.H.	2	6	4e-04	0	0.5
sec13	Su.H.	2	6	1e-04	0	0.5
klar	Su.H.	2	6	0	0	0.5
Rack1	Su.H.	2	6	0	0	0.5
Sobp	Su.H.	2	6	0	0	0.5
ash1	Su.H.	2	6	0	0	0.5
inv	Su.H.	2	6	0	0	0.5
shot	Su.H.	2	6	0	0	0.5
Oseg1	Su.H.	2	6	0	0	0.5
Spred	Su.H.	2	6	0	0	0.5
puc	Su.H.	2	6	0	0	0.5
Atg6	Su.H.	2	6	1e-04	0	0.5
CG3829	Su.H.	2	6	0	0	0.5
sle	Su.H.	2	6	0	0	0.5
Cka	Su.H.	2	6	0	0	0.5
form3	Su.H.	2	6	2e-04	0	0.5
Pk61C	Su.H.	2	6	2e-04	0	0.5
Pcaf	Su.H.	2	6	0	0	0.5
sbb	Su.H.	2	6	0	0	0.5
Ef1gamma	Su.H.	2	6	0	0	0.5
FKBP59	Su.H.	2	6	0	0	0.5
Eip71CD	Su.H.	2	6	0	0	0.5
xmas.2	Su.H.	2	6	1e-04	0	0.5
ppan	Su.H.	2	6	0	0	0.5
Iswi	Su.H.	2	6	0	0	0.5
ine	Su.H.	2	6	1e-04	0	0.5
Tina.1	Su.H.	2	6	0	0	0.5
bon	Su.H.	2	6	0	0	0.5
pot	Su.H.	2	6	7e-04	0	0.5
chic	Su.H.	2	6	0	0	0.5
Hem	Su.H.	2	6	0	0	0.5
chif	Su.H.	2	6	0	0	0.5
S6kII	Su.H.	2	6	0	0	0.5
wal	Su.H.	2	6	0	0	0.5
wls	Su.H.	2	6	3e-04	0	0.5
Ddx1	Su.H.	2	6	0	0	0.5
Sulf1	Su.H.	2	6	0	0	0.5
CG3987	Su.H.	2	6	0	0	0.5
Abd.B	Su.H.	2	6	1e-04	0	0.5
Uba1	Su.H.	2	6	0	0	0.5
bigmax	Su.H.	2	6	0	0	0.5
NAT1	Su.H.	2	6	0	0	0.5
wupA	Su.H.	2	6	0	0	0.5
Vps28	Su.H.	2	6	0	0	0.5
G.oalpha47A	Su.H.	2	6	0	0	0.5
G.salpha60A	Su.H.	2	6	0	0	0.5
dsf	Su.H.	2	6	0	0	0.5
Khc	Su.H.	2	6	0	0	0.5
CG10641	Su.H.	2	6	0	0	0.5
Alk	Su.H.	2	6	0	0	0.5
ey	Su.H.	2	6	0	0	0.5
noc	Su.H.	2	6	0	0	0.5
ix	Su.H.	2	6	0	0	0.5
Optix	Su.H.	2	6	0	0	0.5
sdt	Su.H.	2	6	0	0	0.5
Sxl	Su.H.	2	6	1e-04	0	0.5
rib	Su.H.	2	6	4e-04	0	0.5
sas	Su.H.	2	6	2e-04	0	0.5
Scgdelta	Su.H.	2	6	0	0	0.5
sw	Su.H.	2	6	0	0	0.5
fal	Su.H.	2	6	0	0	0.5
ea	Su.H.	2	6	0	0	0.5
Ice	Su.H.	2	6	0	0	0.5
cic	Su.H.	2	6	0	0	0.5
Dok	Su.H.	2	6	0	0	0.5
rhea	Su.H.	2	6	0	0	0.5
Glycogenin	Su.H.	2	6	0	0	0.5
cin	Su.H.	2	6	5e-04	0	0.5
chp	Su.H.	2	6	1e-04	0	0.5
Dlic2	Su.H.	2	6	0	0	0.5
Pk92B	Su.H.	2	6	1e-04	0	0.5
Pak	Su.H.	2	6	2e-04	0	0.5
Lim1	Su.H.	2	6	1e-04	0	0.5
CG34450	Su.H.	2	6	0	0	0.5
Su.H.	Su.H.	2	6	1e-04	0	0.5
CG12301	Su.H.	2	6	0	0	0.5
lilli	Su.H.	2	6	0	0	0.5
toe	Su.H.	2	6	0	0	0.5
qkr58E.3	Su.H.	2	6	0	0	0.5
up	Su.H.	2	6	0	0	0.5
hep	Su.H.	2	6	4e-04	0	0.5
Dap160	Su.H.	2	6	0	0	0.5
l.2.gd1	Su.H.	2	6	0	0	0.5
hkb	Su.H.	2	6	0	0	0.5
beta4GalNAcTA	Su.H.	2	6	1e-04	0	0.5
Mer	Su.H.	2	6	0	0	0.5
Mtl	Su.H.	2	6	0	0	0.5
spin	Su.H.	2	6	0	0	0.5
mfas	Su.H.	2	6	0	0	0.5
frc	Su.H.	2	6	0	0	0.5
Krn	Su.H.	2	6	1e-04	0	0.5
mam	Su.H.	2	6	0	0	0.5
brk	Su.H.	2	6	1e-04	0	0.5
Ark	Su.H.	2	6	0	0	0.5
mmy	Su.H.	2	6	1e-04	0	0.5
mri	Su.H.	2	6	1e-04	0	0.5
Crk	Su.H.	2	6	0	0	0.5
ssh	Su.H.	2	6	2e-04	0	0.5
fs.1.K10	Su.H.	2	6	1e-04	0	0.5
Psn	Su.H.	2	6	0	0	0.5
CG9509	Su.H.	2	6	0	0	0.5
CkIIalpha	Su.H.	2	6	0	0	0.5
car	Su.H.	2	6	0	0	0.5
capu	Su.H.	2	6	0	0	0.5
cact	Su.H.	2	6	2e-04	0	0.5
Patj	Su.H.	2	6	0	0	0.5
dpp	Su.H.	2	6	0	0	0.5
xl6	Su.H.	2	6	0	0	0.5
dally	Su.H.	2	6	0	0	0.5
Pi3K92E	Su.H.	2	6	0	0	0.5
E.bx.	Su.H.	2	6	4e-04	0	0.5
emb	Su.H.	2	6	1e-04	0	0.5
CtBP	Su.H.	2	6	0	0	0.5
Dad	Su.H.	2	6	1e-04	0	0.5
amx	Su.H.	2	6	0	0	0.5
Ank2	Su.H.	2	6	0	0	0.5
CG34417	Su.H.	2	6	0	0	0.5
scra	Su.H.	2	6	2e-04	0	0.5
dsd	Su.H.	2	6	2e-04	0	0.5
Ephrin	Su.H.	2	6	1e-04	0	0.5
Appl	Su.H.	2	6	0	0	0.5
sty	Su.H.	2	6	0	0	0.5
RhoL	Su.H.	2	6	0	0	0.5
twi	Su.H.	2	6	0	0	0.5
tub	Su.H.	2	6	0	0	0.5
ftz.f1	Su.H.	2	6	0	0	0.5
wg	Su.H.	2	6	0	0	0.5
LanB1	Su.H.	2	6	1e-04	0	0.5
LanA	Su.H.	2	6	0	0	0.5
LanB2	Su.H.	2	6	0	0	0.5
Chi	Su.H.	2	6	0	0	0.5
nmo	Su.H.	2	6	0	0	0.5
ics	Su.H.	2	6	0	0	0.5
oaf	Su.H.	2	6	0	0	0.5
dco	Su.H.	2	6	0	0	0.5
Dys	Su.H.	2	6	0	0	0.5
drm	Su.H.	2	6	0	0	0.5
RpL30	Su.H.	2	6	1e-04	0	0.5
how	Su.H.	2	6	0	0	0.5
dei	Su.H.	2	6	0	0	0.5
CG1244	Su.H.	2	6	0	0	0.5
Chc	Su.H.	2	6	0	0	0.5
Orct	Su.H.	2	6	0	0	0.5
sgl	Su.H.	2	6	0	0	0.5
CG17221	Su.H.	2	6	0	0	0.5
gkt	Su.H.	2	6	0	0	0.5
by	Su.H.	2	6	3e-04	0	0.5
