Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Su.var.2.10	2	6	0	0	0.5
emp	Su.var.2.10	2	6	0	0	0.5
CG2678	Su.var.2.10	2	6	0	0	0.5
crc	Su.var.2.10	2	6	0	0	0.5
pros	Su.var.2.10	2	6	0	0	0.5
neur	Su.var.2.10	2	6	1e-04	0	0.5
Rab5	Su.var.2.10	2	6	0	0	0.5
Rab7	Su.var.2.10	2	6	0	0	0.5
Mmp2	Su.var.2.10	2	6	0	0	0.5
W	Su.var.2.10	2	6	0	0	0.5
bowl	Su.var.2.10	2	6	0	0	0.5
fd59A	Su.var.2.10	2	6	3e-04	0	0.5
e	Su.var.2.10	2	6	0	0	0.5
ben	Su.var.2.10	2	6	0	0	0.5
rdo	Su.var.2.10	2	6	0	0	0.5
lin	Su.var.2.10	2	6	7e-04	0	0.5
tra	Su.var.2.10	2	6	0	0	0.5
tra2	Su.var.2.10	2	6	0	0	0.5
cathD	Su.var.2.10	2	6	0	0	0.5
d	Su.var.2.10	2	6	2e-04	0	0.5
lva	Su.var.2.10	2	6	0	0	0.5
pbl	Su.var.2.10	2	6	0	0	0.5
CG33205	Su.var.2.10	2	6	0	0	0.5
da	Su.var.2.10	2	6	2e-04	0	0.5
cactin	Su.var.2.10	2	6	0	0	0.5
hpo	Su.var.2.10	2	6	0	0	0.5
Sema.2a	Su.var.2.10	2	6	2e-04	0	0.5
Eip74EF	Su.var.2.10	2	6	0	0	0.5
eg	Su.var.2.10	2	6	0	0	0.5
Arc42	Su.var.2.10	2	6	0	0	0.5
toy	Su.var.2.10	2	6	0	0	0.5
Galpha73B	Su.var.2.10	2	6	0	0	0.5
RhoGAPp190	Su.var.2.10	2	6	0	0	0.5
MED11	Su.var.2.10	2	6	0	0	0.5
cher	Su.var.2.10	2	6	2e-04	0	0.5
BicD	Su.var.2.10	2	6	1e-04	0	0.5
MYPT.75D	Su.var.2.10	2	6	3e-04	0	0.5
mus304	Su.var.2.10	2	6	0	0	0.5
CdsA	Su.var.2.10	2	6	0	0	0.5
btl	Su.var.2.10	2	6	0	0	0.5
Cyt.c.d	Su.var.2.10	2	6	0	0	0.5
tok	Su.var.2.10	2	6	0	0	0.5
ttk	Su.var.2.10	2	6	0	0	0.5
tamo	Su.var.2.10	2	6	0	0	0.5
CG6416	Su.var.2.10	2	6	0	0	0.5
flfl	Su.var.2.10	2	6	0	0	0.5
Pvr	Su.var.2.10	2	6	0	0	0.5
kay	Su.var.2.10	2	6	0	0	0.5
Jra	Su.var.2.10	2	6	0	0	0.5
msk	Su.var.2.10	2	6	0	0	0.5
tll	Su.var.2.10	2	6	1e-04	0	0.5
Tm1	Su.var.2.10	2	6	0	0	0.5
srp	Su.var.2.10	2	6	0	0	0.5
Btk29A	Su.var.2.10	2	6	0	0	0.5
fred	Su.var.2.10	2	6	0	0	0.5
Src64B	Su.var.2.10	2	6	0	0	0.5
Mmp1	Su.var.2.10	2	6	0	0	0.5
sll	Su.var.2.10	2	6	0	0	0.5
Hmgs	Su.var.2.10	2	6	0	0	0.5
caps	Su.var.2.10	2	6	0	0	0.5
Su.var.2.10	Su.var.2.10	2	6	0	0	0.5
CycB	Su.var.2.10	2	6	0	0	0.5
spir	Su.var.2.10	2	6	2e-04	0	0.5
spn.A	Su.var.2.10	2	6	0	0	0.5
Ptpmeg	Su.var.2.10	2	6	0	0	0.5
qua	Su.var.2.10	2	6	0	0	0.5
msn	Su.var.2.10	2	6	0	0	0.5
ena	Su.var.2.10	2	6	0	0	0.5
spen	Su.var.2.10	2	6	0	0	0.5
emc	Su.var.2.10	2	6	0	0	0.5
tsh	Su.var.2.10	2	6	0	0	0.5
