Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Sulf1	2	6	0	0	0.5
emp	Sulf1	2	6	0	0	0.5
CG2678	Sulf1	2	6	0	0	0.5
crc	Sulf1	2	6	0	0	0.5
pros	Sulf1	2	6	1e-04	0	0.5
neur	Sulf1	2	6	0	0	0.5
Rab5	Sulf1	2	6	0	0	0.5
Rab7	Sulf1	2	6	3e-04	0	0.5
Mmp2	Sulf1	2	6	0	0	0.5
W	Sulf1	2	6	0	0	0.5
bowl	Sulf1	2	6	3e-04	0	0.5
fd59A	Sulf1	2	6	0.0013	0	0.5
e	Sulf1	2	6	1e-04	0	0.5
ben	Sulf1	2	6	1e-04	0	0.5
rdo	Sulf1	2	6	0	0	0.5
lin	Sulf1	2	6	4e-04	0	0.5
tra	Sulf1	2	6	0	0	0.5
tra2	Sulf1	2	6	0	0	0.5
cathD	Sulf1	2	6	0	0	0.5
d	Sulf1	2	6	4e-04	0	0.5
lva	Sulf1	2	6	0	0	0.5
pbl	Sulf1	2	6	0.001	0	0.5
CG33205	Sulf1	2	6	0	0	0.5
da	Sulf1	2	6	0	0	0.5
cactin	Sulf1	2	6	0.2453	0	0.5
hpo	Sulf1	2	6	2e-04	0	0.5
Sema.2a	Sulf1	2	6	7e-04	0	0.5
Eip74EF	Sulf1	2	6	0	0	0.5
eg	Sulf1	2	6	0	0	0.5
Arc42	Sulf1	2	6	0	0	0.5
toy	Sulf1	2	6	1e-04	0	0.5
Galpha73B	Sulf1	2	6	1e-04	0	0.5
RhoGAPp190	Sulf1	2	6	3e-04	0	0.5
MED11	Sulf1	2	6	0	0	0.5
cher	Sulf1	2	6	0	0	0.5
BicD	Sulf1	2	6	0	0	0.5
MYPT.75D	Sulf1	2	6	0	0	0.5
mus304	Sulf1	2	6	0	0	0.5
CdsA	Sulf1	2	6	0	0	0.5
btl	Sulf1	2	6	0	0	0.5
Cyt.c.d	Sulf1	2	6	0	0	0.5
tok	Sulf1	2	6	5e-04	0	0.5
ttk	Sulf1	2	6	0	0	0.5
tamo	Sulf1	2	6	0	0	0.5
CG6416	Sulf1	2	6	0	0	0.5
flfl	Sulf1	2	6	0	0	0.5
Pvr	Sulf1	2	6	2e-04	0	0.5
kay	Sulf1	2	6	0	0	0.5
Jra	Sulf1	2	6	0	0	0.5
msk	Sulf1	2	6	0	0	0.5
tll	Sulf1	2	6	0	0	0.5
Tm1	Sulf1	2	6	0	0	0.5
srp	Sulf1	2	6	0	0	0.5
Btk29A	Sulf1	2	6	0	0	0.5
fred	Sulf1	2	6	1e-04	0	0.5
Src64B	Sulf1	2	6	0	0	0.5
Mmp1	Sulf1	2	6	0	0	0.5
sll	Sulf1	2	6	0	0	0.5
Hmgs	Sulf1	2	6	2e-04	0	0.5
caps	Sulf1	2	6	0	0	0.5
Su.var.2.10	Sulf1	2	6	1e-04	0	0.5
CycB	Sulf1	2	6	0	0	0.5
spir	Sulf1	2	6	2e-04	0	0.5
spn.A	Sulf1	2	6	8e-04	0	0.5
Ptpmeg	Sulf1	2	6	0	0	0.5
qua	Sulf1	2	6	0	0	0.5
msn	Sulf1	2	6	0.0016	0	0.5
ena	Sulf1	2	6	0	0	0.5
spen	Sulf1	2	6	0	0	0.5
emc	Sulf1	2	6	0	0	0.5
tsh	Sulf1	2	6	0	0	0.5
Dat	Sulf1	2	6	0	0	0.5
Lac	Sulf1	2	6	4e-04	0	0.5
dup	Sulf1	2	6	0	0	0.5
CG3075	Sulf1	2	6	0	0	0.5
Akap200	Sulf1	2	6	1e-04	0	0.5
CG18369	Sulf1	2	6	7e-04	0	0.5
bnl	Sulf1	2	6	0	0	0.5
sec23	Sulf1	2	6	0	0	0.5
Pde8	Sulf1	2	6	0	0	0.5
Arp66B	Sulf1	2	6	0	0	0.5
cos	Sulf1	2	6	0	0	0.5
Borr	Sulf1	2	6	0	0	0.5
X140up	Sulf1	2	6	0.001	0	0.5
Dhc64C	Sulf1	2	6	0	0	0.5
Not1	Sulf1	2	6	2e-04	0	0.5
CG9520	Sulf1	2	6	0	0	0.5
bib	Sulf1	2	6	5e-04	0	0.5
mib1	Sulf1	2	6	0	0	0.5
cas	Sulf1	2	6	0	0	0.5
Abi	Sulf1	2	6	0	0	0.5
betaTub56D	Sulf1	2	6	0	0	0.5
nej	Sulf1	2	6	0	0	0.5
dlg1	Sulf1	2	6	0	0	0.5
Lcp65Ag1	Sulf1	2	6	0	0	0.5
Es2	Sulf1	2	6	1e-04	0	0.5
MED24	Sulf1	2	6	1e-04	0	0.5
Vhl	Sulf1	2	6	3e-04	0	0.5
tral	Sulf1	2	6	0.8771	-0.99873	0.5
sns	Sulf1	2	6	0	0	0.5
mbl	Sulf1	2	6	4e-04	0	0.5
sav	Sulf1	2	6	4e-04	0	0.5
lola	Sulf1	2	6	0	0	0.5
robo	Sulf1	2	6	0	0	0.5
CG32486	Sulf1	2	6	0	0	0.5
santa.maria	Sulf1	2	6	0	0	0.5
stumps	Sulf1	2	6	0	0	0.5
abd.A	Sulf1	2	6	0	0	0.5
dock	Sulf1	2	6	0	0	0.5
Lar	Sulf1	2	6	0	0	0.5
l.1.G0289	Sulf1	2	6	0	0	0.5
Abl	Sulf1	2	6	0	0	0.5
Syb	Sulf1	2	6	0	0	0.5
dome	Sulf1	2	6	0	0	0.5
ofs	Sulf1	2	6	0	0	0.5
MED4	Sulf1	2	6	0	0	0.5
scrib	Sulf1	2	6	0	0	0.5
siz	Sulf1	2	6	0	0	0.5
cbx	Sulf1	2	6	0	0	0.5
dsx	Sulf1	2	6	0	0	0.5
Sb	Sulf1	2	6	0.0011	0	0.5
sax	Sulf1	2	6	3e-04	0	0.5
foxo	Sulf1	2	6	2e-04	0	0.5
Cyp1	Sulf1	2	6	2e-04	0	0.5
brm	Sulf1	2	6	0	0	0.5
rad50	Sulf1	2	6	6e-04	0	0.5
chico	Sulf1	2	6	0	0	0.5
cp309	Sulf1	2	6	0	0	0.5
hdc	Sulf1	2	6	0	0	0.5
Axn	Sulf1	2	6	0	0	0.5
Apc2	Sulf1	2	6	0	0	0.5
PhKgamma	Sulf1	2	6	0	0	0.5
eya	Sulf1	2	6	0	0	0.5
sktl	Sulf1	2	6	0	0	0.5
sqd	Sulf1	2	6	0	0	0.5
Akt1	Sulf1	2	6	7e-04	0	0.5
scyl	Sulf1	2	6	0	0	0.5
cnk	Sulf1	2	6	4e-04	0	0.5
CG8149	Sulf1	2	6	0	0	0.5
CG34379	Sulf1	2	6	1e-04	0	0.5
Yp1	Sulf1	2	6	0	0	0.5
yrt	Sulf1	2	6	0	0	0.5
bap	Sulf1	2	6	0	0	0.5
tud	Sulf1	2	6	5e-04	0	0.5
ct	Sulf1	2	6	0.0014	0	0.5
tup	Sulf1	2	6	0	0	0.5
G.ialpha65A	Sulf1	2	6	0	0	0.5
knrl	Sulf1	2	6	0	0	0.5
Pkn	Sulf1	2	6	1e-04	0	0.5
Sry.delta	Sulf1	2	6	0	0	0.5
Alh	Sulf1	2	6	0	0	0.5
pnut	Sulf1	2	6	0	0	0.5
phyl	Sulf1	2	6	0	0	0.5
CG17739	Sulf1	2	6	0	0	0.5
B4	Sulf1	2	6	0	0	0.5
CG2681	Sulf1	2	6	0	0	0.5
tow	Sulf1	2	6	1e-04	0	0.5
hkl	Sulf1	2	6	0	0	0.5
sina	Sulf1	2	6	0	0	0.5
ry	Sulf1	2	6	0	0	0.5
rux	Sulf1	2	6	0	0	0.5
boss	Sulf1	2	6	0	0	0.5
Mkp3	Sulf1	2	6	0.0011	0	0.5
inaC	Sulf1	2	6	1	-0.99936	0.5
sno	Sulf1	2	6	0	0	0.5
jagn	Sulf1	2	6	0	0	0.5
