Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Sxl	2	6	2e-04	0	0.5
emp	Sxl	2	6	7e-04	0	0.5
CG2678	Sxl	2	6	3e-04	0	0.5
crc	Sxl	2	6	0	0	0.5
pros	Sxl	2	6	0	0	0.5
neur	Sxl	2	6	0.1479	0	0.5
Rab5	Sxl	2	6	0	0	0.5
Rab7	Sxl	2	6	0	0	0.5
Mmp2	Sxl	2	6	0	0	0.5
W	Sxl	2	6	0	0	0.5
bowl	Sxl	2	6	0	0	0.5
fd59A	Sxl	2	6	2e-04	0	0.5
e	Sxl	2	6	0	0	0.5
ben	Sxl	2	6	5e-04	0	0.5
rdo	Sxl	2	6	0	0	0.5
lin	Sxl	2	6	0	0	0.5
tra	Sxl	2	6	3e-04	0	0.5
tra2	Sxl	2	6	0	0	0.5
cathD	Sxl	2	6	0.001	0	0.5
d	Sxl	2	6	3e-04	0	0.5
lva	Sxl	2	6	0	0	0.5
pbl	Sxl	2	6	0	0	0.5
CG33205	Sxl	2	6	7e-04	0	0.5
da	Sxl	2	6	0	0	0.5
cactin	Sxl	2	6	6e-04	0	0.5
hpo	Sxl	2	6	0	0	0.5
Sema.2a	Sxl	2	6	0	0	0.5
Eip74EF	Sxl	2	6	3e-04	0	0.5
eg	Sxl	2	6	0	0	0.5
Arc42	Sxl	2	6	0	0	0.5
toy	Sxl	2	6	0	0	0.5
Galpha73B	Sxl	2	6	3e-04	0	0.5
RhoGAPp190	Sxl	2	6	0	0	0.5
MED11	Sxl	2	6	0	0	0.5
cher	Sxl	2	6	7e-04	0	0.5
BicD	Sxl	2	6	1e-04	0	0.5
MYPT.75D	Sxl	2	6	0	0	0.5
mus304	Sxl	2	6	2e-04	0	0.5
CdsA	Sxl	2	6	0	0	0.5
btl	Sxl	2	6	0	0	0.5
Cyt.c.d	Sxl	2	6	0	0	0.5
tok	Sxl	2	6	0	0	0.5
ttk	Sxl	2	6	0	0	0.5
tamo	Sxl	2	6	7e-04	0	0.5
CG6416	Sxl	2	6	0	0	0.5
flfl	Sxl	2	6	0	0	0.5
Pvr	Sxl	2	6	4e-04	0	0.5
kay	Sxl	2	6	4e-04	0	0.5
Jra	Sxl	2	6	0	0	0.5
msk	Sxl	2	6	0	0	0.5
tll	Sxl	2	6	0	0	0.5
Tm1	Sxl	2	6	0	0	0.5
srp	Sxl	2	6	0	0	0.5
Btk29A	Sxl	2	6	1e-04	0	0.5
fred	Sxl	2	6	9e-04	0	0.5
Src64B	Sxl	2	6	0	0	0.5
Mmp1	Sxl	2	6	3e-04	0	0.5
sll	Sxl	2	6	0	0	0.5
Hmgs	Sxl	2	6	0	0	0.5
caps	Sxl	2	6	0	0	0.5
Su.var.2.10	Sxl	2	6	0	0	0.5
CycB	Sxl	2	6	0.001	0	0.5
spir	Sxl	2	6	1e-04	0	0.5
spn.A	Sxl	2	6	0	0	0.5
Ptpmeg	Sxl	2	6	0	0	0.5
qua	Sxl	2	6	0	0	0.5
msn	Sxl	2	6	0	0	0.5
ena	Sxl	2	6	8e-04	0	0.5
spen	Sxl	2	6	0	0	0.5
emc	Sxl	2	6	0	0	0.5
tsh	Sxl	2	6	5e-04	0	0.5
Dat	Sxl	2	6	0	0	0.5
Lac	Sxl	2	6	0	0	0.5
dup	Sxl	2	6	0	0	0.5
CG3075	Sxl	2	6	8e-04	0	0.5
Akap200	Sxl	2	6	0	0	0.5
CG18369	Sxl	2	6	0	0	0.5
bnl	Sxl	2	6	1e-04	0	0.5
sec23	Sxl	2	6	1e-04	0	0.5
Pde8	Sxl	2	6	1e-04	0	0.5
Arp66B	Sxl	2	6	0	0	0.5
cos	Sxl	2	6	0	0	0.5
Borr	Sxl	2	6	4e-04	0	0.5
X140up	Sxl	2	6	1e-04	0	0.5
Dhc64C	Sxl	2	6	0	0	0.5
Not1	Sxl	2	6	0	0	0.5
CG9520	Sxl	2	6	0	0	0.5
bib	Sxl	2	6	0	0	0.5
mib1	Sxl	2	6	1e-04	0	0.5
cas	Sxl	2	6	0	0	0.5
Abi	Sxl	2	6	0	0	0.5
betaTub56D	Sxl	2	6	0	0	0.5
nej	Sxl	2	6	0	0	0.5
dlg1	Sxl	2	6	0	0	0.5
Lcp65Ag1	Sxl	2	6	8e-04	0	0.5
Es2	Sxl	2	6	6e-04	0	0.5
MED24	Sxl	2	6	0	0	0.5
Vhl	Sxl	2	6	2e-04	0	0.5
tral	Sxl	2	6	2e-04	0	0.5
sns	Sxl	2	6	3e-04	0	0.5
mbl	Sxl	2	6	2e-04	0	0.5
sav	Sxl	2	6	0	0	0.5
lola	Sxl	2	6	0	0	0.5
robo	Sxl	2	6	0	0	0.5
CG32486	Sxl	2	6	0	0	0.5
santa.maria	Sxl	2	6	0	0	0.5
stumps	Sxl	2	6	0	0	0.5
abd.A	Sxl	2	6	2e-04	0	0.5
dock	Sxl	2	6	2e-04	0	0.5
Lar	Sxl	2	6	3e-04	0	0.5
l.1.G0289	Sxl	2	6	2e-04	0	0.5
Abl	Sxl	2	6	1e-04	0	0.5
Syb	Sxl	2	6	0	0	0.5
dome	Sxl	2	6	0	0	0.5
ofs	Sxl	2	6	1e-04	0	0.5
MED4	Sxl	2	6	0.001	0	0.5
scrib	Sxl	2	6	1e-04	0	0.5
siz	Sxl	2	6	1e-04	0	0.5
cbx	Sxl	2	6	0	0	0.5
dsx	Sxl	2	6	1e-04	0	0.5
Sb	Sxl	2	6	0	0	0.5
sax	Sxl	2	6	0	0	0.5
foxo	Sxl	2	6	0	0	0.5
Cyp1	Sxl	2	6	0.0011	0	0.5
brm	Sxl	2	6	0	0	0.5
rad50	Sxl	2	6	0	0	0.5
chico	Sxl	2	6	0	0	0.5
cp309	Sxl	2	6	1e-04	0	0.5
hdc	Sxl	2	6	0	0	0.5
Axn	Sxl	2	6	3e-04	0	0.5
Apc2	Sxl	2	6	1e-04	0	0.5
PhKgamma	Sxl	2	6	0	0	0.5
eya	Sxl	2	6	3e-04	0	0.5
sktl	Sxl	2	6	1e-04	0	0.5
sqd	Sxl	2	6	0	0	0.5
Akt1	Sxl	2	6	3e-04	0	0.5
scyl	Sxl	2	6	0	0	0.5
cnk	Sxl	2	6	0	0	0.5
CG8149	Sxl	2	6	0	0	0.5
CG34379	Sxl	2	6	3e-04	0	0.5
Yp1	Sxl	2	6	0	0	0.5
yrt	Sxl	2	6	4e-04	0	0.5
bap	Sxl	2	6	2e-04	0	0.5
tud	Sxl	2	6	2e-04	0	0.5
ct	Sxl	2	6	0	0	0.5
tup	Sxl	2	6	3e-04	0	0.5
G.ialpha65A	Sxl	2	6	0	0	0.5
knrl	Sxl	2	6	2e-04	0	0.5
Pkn	Sxl	2	6	0	0	0.5
Sry.delta	Sxl	2	6	0	0	0.5
Alh	Sxl	2	6	0	0	0.5
pnut	Sxl	2	6	0	0	0.5
phyl	Sxl	2	6	2e-04	0	0.5
CG17739	Sxl	2	6	0	0	0.5
B4	Sxl	2	6	0	0	0.5
CG2681	Sxl	2	6	4e-04	0	0.5
tow	Sxl	2	6	0.0013	0	0.5
hkl	Sxl	2	6	1e-04	0	0.5
sina	Sxl	2	6	0	0	0.5
ry	Sxl	2	6	0	0	0.5
rux	Sxl	2	6	0	0	0.5
boss	Sxl	2	6	0	0	0.5
Mkp3	Sxl	2	6	0	0	0.5
inaC	Sxl	2	6	0	0	0.5
sno	Sxl	2	6	0	0	0.5
jagn	Sxl	2	6	3e-04	0	0.5
dpn	Sxl	2	6	0	0	0.5
wrapper	Sxl	2	6	0	0	0.5
Ca.alpha1D	Sxl	2	6	0	0	0.5
E2f	Sxl	2	6	5e-04	0	0.5
Dp	Sxl	2	6	0	0	0.5
l.2.efl	Sxl	2	6	0	0	0.5
cnc	Sxl	2	6	0	0	0.5
Atg5	Sxl	2	6	0	0	0.5
acj6	Sxl	2	6	0	0	0.5
Trl	Sxl	2	6	0	0	0.5
d4	Sxl	2	6	0	0	0.5
CG16719	Sxl	2	6	0	0	0.5
CadN	Sxl	2	6	0	0	0.5
gro	Sxl	2	6	0	0	0.5
sec13	Sxl	2	6	0	0	0.5
klar	Sxl	2	6	1e-04	0	0.5
Rack1	Sxl	2	6	0	0	0.5
Sobp	Sxl	2	6	0	0	0.5
ash1	Sxl	2	6	0	0	0.5
inv	Sxl	2	6	4e-04	0	0.5
shot	Sxl	2	6	1e-04	0	0.5
Oseg1	Sxl	2	6	0	0	0.5
Spred	Sxl	2	6	0	0	0.5
puc	Sxl	2	6	0	0	0.5
Atg6	Sxl	2	6	2e-04	0	0.5
CG3829	Sxl	2	6	3e-04	0	0.5
sle	Sxl	2	6	0	0	0.5
Cka	Sxl	2	6	0	0	0.5
form3	Sxl	2	6	0	0	0.5
Pk61C	Sxl	2	6	4e-04	0	0.5
Pcaf	Sxl	2	6	0	0	0.5
sbb	Sxl	2	6	3e-04	0	0.5
Ef1gamma	Sxl	2	6	0	0	0.5
FKBP59	Sxl	2	6	6e-04	0	0.5
Eip71CD	Sxl	2	6	8e-04	0	0.5
xmas.2	Sxl	2	6	0	0	0.5
ppan	Sxl	2	6	0	0	0.5
Iswi	Sxl	2	6	4e-04	0	0.5
ine	Sxl	2	6	0	0	0.5
Tina.1	Sxl	2	6	0	0	0.5
bon	Sxl	2	6	0	0	0.5
pot	Sxl	2	6	3e-04	0	0.5
chic	Sxl	2	6	0	0	0.5
Hem	Sxl	2	6	0	0	0.5
chif	Sxl	2	6	1e-04	0	0.5
S6kII	Sxl	2	6	0	0	0.5
wal	Sxl	2	6	0	0	0.5
wls	Sxl	2	6	4e-04	0	0.5
Ddx1	Sxl	2	6	0	0	0.5
Sulf1	Sxl	2	6	0	0	0.5
CG3987	Sxl	2	6	0	0	0.5
Abd.B	Sxl	2	6	7e-04	0	0.5
Uba1	Sxl	2	6	0	0	0.5
bigmax	Sxl	2	6	0	0	0.5
NAT1	Sxl	2	6	3e-04	0	0.5
wupA	Sxl	2	6	0	0	0.5
Vps28	Sxl	2	6	4e-04	0	0.5
