Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Taf4	2	6	0	0	0.5
emp	Taf4	2	6	0	0	0.5
CG2678	Taf4	2	6	0	0	0.5
crc	Taf4	2	6	0	0	0.5
pros	Taf4	2	6	0	0	0.5
neur	Taf4	2	6	1e-04	0	0.5
Rab5	Taf4	2	6	0	0	0.5
Rab7	Taf4	2	6	0	0	0.5
Mmp2	Taf4	2	6	0	0	0.5
W	Taf4	2	6	0	0	0.5
bowl	Taf4	2	6	1e-04	0	0.5
fd59A	Taf4	2	6	0	0	0.5
e	Taf4	2	6	1e-04	0	0.5
ben	Taf4	2	6	0	0	0.5
rdo	Taf4	2	6	0	0	0.5
lin	Taf4	2	6	1e-04	0	0.5
tra	Taf4	2	6	0	0	0.5
tra2	Taf4	2	6	0	0	0.5
cathD	Taf4	2	6	0	0	0.5
d	Taf4	2	6	0	0	0.5
lva	Taf4	2	6	0	0	0.5
pbl	Taf4	2	6	0	0	0.5
CG33205	Taf4	2	6	2e-04	0	0.5
da	Taf4	2	6	0	0	0.5
cactin	Taf4	2	6	0	0	0.5
hpo	Taf4	2	6	0	0	0.5
Sema.2a	Taf4	2	6	0	0	0.5
Eip74EF	Taf4	2	6	0	0	0.5
eg	Taf4	2	6	0	0	0.5
Arc42	Taf4	2	6	8e-04	0	0.5
toy	Taf4	2	6	1e-04	0	0.5
Galpha73B	Taf4	2	6	1e-04	0	0.5
RhoGAPp190	Taf4	2	6	0	0	0.5
MED11	Taf4	2	6	0	0	0.5
cher	Taf4	2	6	0	0	0.5
BicD	Taf4	2	6	1e-04	0	0.5
MYPT.75D	Taf4	2	6	0	0	0.5
mus304	Taf4	2	6	0	0	0.5
CdsA	Taf4	2	6	0	0	0.5
btl	Taf4	2	6	0	0	0.5
Cyt.c.d	Taf4	2	6	0	0	0.5
tok	Taf4	2	6	0	0	0.5
ttk	Taf4	2	6	0	0	0.5
tamo	Taf4	2	6	0	0	0.5
CG6416	Taf4	2	6	0	0	0.5
flfl	Taf4	2	6	0	0	0.5
Pvr	Taf4	2	6	0	0	0.5
kay	Taf4	2	6	0	0	0.5
Jra	Taf4	2	6	0	0	0.5
msk	Taf4	2	6	0	0	0.5
tll	Taf4	2	6	0	0	0.5
Tm1	Taf4	2	6	0	0	0.5
srp	Taf4	2	6	0	0	0.5
Btk29A	Taf4	2	6	0	0	0.5
fred	Taf4	2	6	0	0	0.5
Src64B	Taf4	2	6	0.001	0	0.5
Mmp1	Taf4	2	6	0	0	0.5
sll	Taf4	2	6	0	0	0.5
Hmgs	Taf4	2	6	0	0	0.5
caps	Taf4	2	6	4e-04	0	0.5
Su.var.2.10	Taf4	2	6	0	0	0.5
CycB	Taf4	2	6	0	0	0.5
spir	Taf4	2	6	0	0	0.5
spn.A	Taf4	2	6	0	0	0.5
Ptpmeg	Taf4	2	6	0	0	0.5
qua	Taf4	2	6	1e-04	0	0.5
msn	Taf4	2	6	0	0	0.5
ena	Taf4	2	6	0	0	0.5
spen	Taf4	2	6	0	0	0.5
emc	Taf4	2	6	2e-04	0	0.5
tsh	Taf4	2	6	0	0	0.5
Dat	Taf4	2	6	2e-04	0	0.5
Lac	Taf4	2	6	0	0	0.5
dup	Taf4	2	6	0	0	0.5
CG3075	Taf4	2	6	0	0	0.5
Akap200	Taf4	2	6	0	0	0.5
CG18369	Taf4	2	6	0	0	0.5
bnl	Taf4	2	6	0	0	0.5
sec23	Taf4	2	6	0	0	0.5
Pde8	Taf4	2	6	0	0	0.5
Arp66B	Taf4	2	6	0	0	0.5
cos	Taf4	2	6	0	0	0.5
Borr	Taf4	2	6	0	0	0.5
X140up	Taf4	2	6	0	0	0.5
Dhc64C	Taf4	2	6	0	0	0.5
Not1	Taf4	2	6	0	0	0.5
CG9520	Taf4	2	6	4e-04	0	0.5
bib	Taf4	2	6	0	0	0.5
mib1	Taf4	2	6	0	0	0.5
cas	Taf4	2	6	0	0	0.5
Abi	Taf4	2	6	0	0	0.5
betaTub56D	Taf4	2	6	0	0	0.5
nej	Taf4	2	6	2e-04	0	0.5
dlg1	Taf4	2	6	0	0	0.5
Lcp65Ag1	Taf4	2	6	0	0	0.5
Es2	Taf4	2	6	0	0	0.5
MED24	Taf4	2	6	0	0	0.5
Vhl	Taf4	2	6	0	0	0.5
tral	Taf4	2	6	0	0	0.5
sns	Taf4	2	6	1e-04	0	0.5
mbl	Taf4	2	6	0	0	0.5
sav	Taf4	2	6	0	0	0.5
lola	Taf4	2	6	0	0	0.5
robo	Taf4	2	6	0	0	0.5
CG32486	Taf4	2	6	3e-04	0	0.5
santa.maria	Taf4	2	6	0	0	0.5
stumps	Taf4	2	6	0	0	0.5
abd.A	Taf4	2	6	0	0	0.5
dock	Taf4	2	6	0	0	0.5
