Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Tak1	2	6	8e-04	0	0.5
emp	Tak1	2	6	2e-04	0	0.5
CG2678	Tak1	2	6	0.0017	0	0.5
crc	Tak1	2	6	4e-04	0	0.5
pros	Tak1	2	6	0.0119	0	0.5
neur	Tak1	2	6	1e-04	0	0.5
Rab5	Tak1	2	6	4e-04	0	0.5
Rab7	Tak1	2	6	7e-04	0	0.5
Mmp2	Tak1	2	6	0.0127	0	0.5
W	Tak1	2	6	0.0125	0	0.5
bowl	Tak1	2	6	0.0045	0	0.5
fd59A	Tak1	2	6	9e-04	0	0.5
e	Tak1	2	6	5e-04	0	0.5
ben	Tak1	2	6	4e-04	0	0.5
rdo	Tak1	2	6	0.0011	0	0.5
lin	Tak1	2	6	4e-04	0	0.5
tra	Tak1	2	6	2e-04	0	0.5
tra2	Tak1	2	6	1e-04	0	0.5
cathD	Tak1	2	6	6e-04	0	0.5
d	Tak1	2	6	7e-04	0	0.5
lva	Tak1	2	6	4e-04	0	0.5
pbl	Tak1	2	6	4e-04	0	0.5
CG33205	Tak1	2	6	0.0013	0	0.5
da	Tak1	2	6	0	0	0.5
cactin	Tak1	2	6	2e-04	0	0.5
hpo	Tak1	2	6	1e-04	0	0.5
Sema.2a	Tak1	2	6	1e-04	0	0.5
Eip74EF	Tak1	2	6	0	0	0.5
eg	Tak1	2	6	7e-04	0	0.5
Arc42	Tak1	2	6	8e-04	0	0.5
toy	Tak1	2	6	0.0039	0	0.5
Galpha73B	Tak1	2	6	1e-04	0	0.5
RhoGAPp190	Tak1	2	6	2e-04	0	0.5
MED11	Tak1	2	6	8e-04	0	0.5
cher	Tak1	2	6	0.001	0	0.5
BicD	Tak1	2	6	5e-04	0	0.5
MYPT.75D	Tak1	2	6	7e-04	0	0.5
mus304	Tak1	2	6	0.001	0	0.5
CdsA	Tak1	2	6	0.0016	0	0.5
btl	Tak1	2	6	0.0013	0	0.5
Cyt.c.d	Tak1	2	6	0.0023	0	0.5
tok	Tak1	2	6	5e-04	0	0.5
ttk	Tak1	2	6	8e-04	0	0.5
tamo	Tak1	2	6	2e-04	0	0.5
CG6416	Tak1	2	6	3e-04	0	0.5
flfl	Tak1	2	6	7e-04	0	0.5
