Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Tl	2	6	7e-04	0	0.5
emp	Tl	2	6	9e-04	0	0.5
CG2678	Tl	2	6	9e-04	0	0.5
crc	Tl	2	6	5e-04	0	0.5
pros	Tl	2	6	0	0	0.5
neur	Tl	2	6	9e-04	0	0.5
Rab5	Tl	2	6	2e-04	0	0.5
Rab7	Tl	2	6	3e-04	0	0.5
Mmp2	Tl	2	6	0.001	0	0.5
W	Tl	2	6	6e-04	0	0.5
bowl	Tl	2	6	2e-04	0	0.5
fd59A	Tl	2	6	7e-04	0	0.5
e	Tl	2	6	1e-04	0	0.5
ben	Tl	2	6	5e-04	0	0.5
rdo	Tl	2	6	1e-04	0	0.5
lin	Tl	2	6	2e-04	0	0.5
tra	Tl	2	6	9e-04	0	0.5
tra2	Tl	2	6	1e-04	0	0.5
cathD	Tl	2	6	6e-04	0	0.5
d	Tl	2	6	0.0013	0	0.5
lva	Tl	2	6	5e-04	0	0.5
pbl	Tl	2	6	0.0015	0	0.5
CG33205	Tl	2	6	0.0012	0	0.5
da	Tl	2	6	0.0021	0	0.5
cactin	Tl	2	6	9e-04	0	0.5
hpo	Tl	2	6	0.001	0	0.5
Sema.2a	Tl	2	6	0.0026	0	0.5
Eip74EF	Tl	2	6	3e-04	0	0.5
eg	Tl	2	6	0.0022	0	0.5
Arc42	Tl	2	6	1e-04	0	0.5
toy	Tl	2	6	0	0	0.5
Galpha73B	Tl	2	6	9e-04	0	0.5
RhoGAPp190	Tl	2	6	0.0021	0	0.5
MED11	Tl	2	6	0.001	0	0.5
cher	Tl	2	6	5e-04	0	0.5
BicD	Tl	2	6	5e-04	0	0.5
MYPT.75D	Tl	2	6	0.0022	0	0.5
mus304	Tl	2	6	5e-04	0	0.5
CdsA	Tl	2	6	0.0014	0	0.5
btl	Tl	2	6	0.001	0	0.5
Cyt.c.d	Tl	2	6	0.0017	0	0.5
tok	Tl	2	6	4e-04	0	0.5
ttk	Tl	2	6	3e-04	0	0.5
tamo	Tl	2	6	0	0	0.5
CG6416	Tl	2	6	0.0016	0	0.5
flfl	Tl	2	6	0.0026	0	0.5
Pvr	Tl	2	6	1e-04	0	0.5
kay	Tl	2	6	0.001	0	0.5
Jra	Tl	2	6	4e-04	0	0.5
msk	Tl	2	6	6e-04	0	0.5
tll	Tl	2	6	0.001	0	0.5
Tm1	Tl	2	6	0.0014	0	0.5
srp	Tl	2	6	0.0024	0	0.5
Btk29A	Tl	2	6	0.0018	0	0.5
fred	Tl	2	6	0.0021	0	0.5
Src64B	Tl	2	6	0.001	0	0.5
Mmp1	Tl	2	6	5e-04	0	0.5
sll	Tl	2	6	4e-04	0	0.5
Hmgs	Tl	2	6	0.0019	0	0.5
caps	Tl	2	6	5e-04	0	0.5
Su.var.2.10	Tl	2	6	0.0015	0	0.5
CycB	Tl	2	6	0.0013	0	0.5
spir	Tl	2	6	9e-04	0	0.5
spn.A	Tl	2	6	0.0017	0	0.5
Ptpmeg	Tl	2	6	7e-04	0	0.5
qua	Tl	2	6	0.0019	0	0.5
msn	Tl	2	6	0.0101	0	0.5
ena	Tl	2	6	3e-04	0	0.5
spen	Tl	2	6	0.0043	0	0.5
emc	Tl	2	6	1e-04	0	0.5
tsh	Tl	2	6	0	0	0.5
Dat	Tl	2	6	0.0025	0	0.5
Lac	Tl	2	6	2e-04	0	0.5
dup	Tl	2	6	0.0011	0	0.5
CG3075	Tl	2	6	5e-04	0	0.5
Akap200	Tl	2	6	0.001	0	0.5
CG18369	Tl	2	6	0.0014	0	0.5
bnl	Tl	2	6	2e-04	0	0.5
sec23	Tl	2	6	0.0013	0	0.5
Pde8	Tl	2	6	3e-04	0	0.5
Arp66B	Tl	2	6	0.0072	0	0.5
cos	Tl	2	6	5e-04	0	0.5
Borr	Tl	2	6	3e-04	0	0.5
X140up	Tl	2	6	1e-04	0	0.5
Dhc64C	Tl	2	6	5e-04	0	0.5
Not1	Tl	2	6	0.0022	0	0.5
CG9520	Tl	2	6	2e-04	0	0.5
bib	Tl	2	6	2e-04	0	0.5
mib1	Tl	2	6	6e-04	0	0.5
cas	Tl	2	6	3e-04	0	0.5
Abi	Tl	2	6	0.0015	0	0.5
betaTub56D	Tl	2	6	3e-04	0	0.5
nej	Tl	2	6	6e-04	0	0.5
dlg1	Tl	2	6	7e-04	0	0.5
Lcp65Ag1	Tl	2	6	3e-04	0	0.5
Es2	Tl	2	6	3e-04	0	0.5
MED24	Tl	2	6	9e-04	0	0.5
Vhl	Tl	2	6	4e-04	0	0.5
tral	Tl	2	6	0	0	0.5
sns	Tl	2	6	7e-04	0	0.5
mbl	Tl	2	6	0.001	0	0.5
sav	Tl	2	6	5e-04	0	0.5
lola	Tl	2	6	0	0	0.5
robo	Tl	2	6	4e-04	0	0.5
CG32486	Tl	2	6	4e-04	0	0.5
santa.maria	Tl	2	6	7e-04	0	0.5
stumps	Tl	2	6	4e-04	0	0.5
abd.A	Tl	2	6	9e-04	0	0.5
dock	Tl	2	6	2e-04	0	0.5
Lar	Tl	2	6	0.0014	0	0.5
l.1.G0289	Tl	2	6	5e-04	0	0.5
Abl	Tl	2	6	3e-04	0	0.5
Syb	Tl	2	6	0.001	0	0.5
dome	Tl	2	6	0.0017	0	0.5
ofs	Tl	2	6	1e-04	0	0.5
MED4	Tl	2	6	9e-04	0	0.5
scrib	Tl	2	6	0	0	0.5
siz	Tl	2	6	3e-04	0	0.5
cbx	Tl	2	6	1e-04	0	0.5
dsx	Tl	2	6	7e-04	0	0.5
Sb	Tl	2	6	0	0	0.5
sax	Tl	2	6	7e-04	0	0.5
foxo	Tl	2	6	4e-04	0	0.5
Cyp1	Tl	2	6	0	0	0.5
brm	Tl	2	6	0.001	0	0.5
rad50	Tl	2	6	7e-04	0	0.5
chico	Tl	2	6	4e-04	0	0.5
cp309	Tl	2	6	0	0	0.5
hdc	Tl	2	6	2e-04	0	0.5
Axn	Tl	2	6	4e-04	0	0.5
Apc2	Tl	2	6	0.001	0	0.5
PhKgamma	Tl	2	6	3e-04	0	0.5
eya	Tl	2	6	0	0	0.5
sktl	Tl	2	6	3e-04	0	0.5
sqd	Tl	2	6	0.0064	0	0.5
Akt1	Tl	2	6	3e-04	0	0.5
scyl	Tl	2	6	0.0016	0	0.5
cnk	Tl	2	6	0.001	0	0.5
CG8149	Tl	2	6	8e-04	0	0.5
CG34379	Tl	2	6	7e-04	0	0.5
Yp1	Tl	2	6	5e-04	0	0.5
yrt	Tl	2	6	8e-04	0	0.5
bap	Tl	2	6	3e-04	0	0.5
tud	Tl	2	6	0	0	0.5
ct	Tl	2	6	0.0019	0	0.5
tup	Tl	2	6	3e-04	0	0.5
G.ialpha65A	Tl	2	6	7e-04	0	0.5
knrl	Tl	2	6	0.0144	0	0.5
Pkn	Tl	2	6	0	0	0.5
Sry.delta	Tl	2	6	5e-04	0	0.5
Alh	Tl	2	6	8e-04	0	0.5
pnut	Tl	2	6	7e-04	0	0.5
phyl	Tl	2	6	0	0	0.5
CG17739	Tl	2	6	9e-04	0	0.5
B4	Tl	2	6	2e-04	0	0.5
CG2681	Tl	2	6	3e-04	0	0.5
tow	Tl	2	6	4e-04	0	0.5
hkl	Tl	2	6	0.0011	0	0.5
sina	Tl	2	6	7e-04	0	0.5
ry	Tl	2	6	1e-04	0	0.5
rux	Tl	2	6	0.0012	0	0.5
boss	Tl	2	6	0	0	0.5
Mkp3	Tl	2	6	7e-04	0	0.5
inaC	Tl	2	6	5e-04	0	0.5
