Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Tm1	2	6	0	0	0.5
emp	Tm1	2	6	0	0	0.5
CG2678	Tm1	2	6	0	0	0.5
crc	Tm1	2	6	0	0	0.5
pros	Tm1	2	6	0	0	0.5
neur	Tm1	2	6	0	0	0.5
Rab5	Tm1	2	6	0	0	0.5
Rab7	Tm1	2	6	0	0	0.5
Mmp2	Tm1	2	6	0	0	0.5
W	Tm1	2	6	0	0	0.5
bowl	Tm1	2	6	0	0	0.5
fd59A	Tm1	2	6	0	0	0.5
e	Tm1	2	6	0	0	0.5
ben	Tm1	2	6	0	0	0.5
rdo	Tm1	2	6	1e-04	0	0.5
lin	Tm1	2	6	0	0	0.5
tra	Tm1	2	6	0	0	0.5
tra2	Tm1	2	6	0	0	0.5
cathD	Tm1	2	6	0	0	0.5
d	Tm1	2	6	0	0	0.5
lva	Tm1	2	6	1e-04	0	0.5
pbl	Tm1	2	6	0	0	0.5
CG33205	Tm1	2	6	0	0	0.5
da	Tm1	2	6	4e-04	0	0.5
cactin	Tm1	2	6	0	0	0.5
hpo	Tm1	2	6	0	0	0.5
Sema.2a	Tm1	2	6	0	0	0.5
Eip74EF	Tm1	2	6	0	0	0.5
eg	Tm1	2	6	0	0	0.5
Arc42	Tm1	2	6	0	0	0.5
toy	Tm1	2	6	0	0	0.5
Galpha73B	Tm1	2	6	0	0	0.5
RhoGAPp190	Tm1	2	6	0	0	0.5
MED11	Tm1	2	6	0	0	0.5
cher	Tm1	2	6	0	0	0.5
BicD	Tm1	2	6	0	0	0.5
MYPT.75D	Tm1	2	6	0	0	0.5
mus304	Tm1	2	6	1e-04	0	0.5
CdsA	Tm1	2	6	1e-04	0	0.5
btl	Tm1	2	6	0	0	0.5
Cyt.c.d	Tm1	2	6	1e-04	0	0.5
tok	Tm1	2	6	0	0	0.5
ttk	Tm1	2	6	0	0	0.5
tamo	Tm1	2	6	3e-04	0	0.5
CG6416	Tm1	2	6	0	0	0.5
flfl	Tm1	2	6	0	0	0.5
Pvr	Tm1	2	6	0	0	0.5
kay	Tm1	2	6	0	0	0.5
Jra	Tm1	2	6	0	0	0.5
msk	Tm1	2	6	0	0	0.5
tll	Tm1	2	6	0	0	0.5
Tm1	Tm1	2	6	0	0	0.5
srp	Tm1	2	6	0	0	0.5
Btk29A	Tm1	2	6	0	0	0.5
fred	Tm1	2	6	0	0	0.5
Src64B	Tm1	2	6	0	0	0.5
Mmp1	Tm1	2	6	0	0	0.5
sll	Tm1	2	6	0	0	0.5
Hmgs	Tm1	2	6	0	0	0.5
caps	Tm1	2	6	0	0	0.5
Su.var.2.10	Tm1	2	6	0	0	0.5
CycB	Tm1	2	6	0	0	0.5
spir	Tm1	2	6	0	0	0.5
spn.A	Tm1	2	6	0	0	0.5
Ptpmeg	Tm1	2	6	0	0	0.5
qua	Tm1	2	6	0	0	0.5
msn	Tm1	2	6	0	0	0.5
ena	Tm1	2	6	0	0	0.5
spen	Tm1	2	6	0	0	0.5
emc	Tm1	2	6	0	0	0.5
tsh	Tm1	2	6	0	0	0.5
Dat	Tm1	2	6	2e-04	0	0.5
Lac	Tm1	2	6	0	0	0.5
dup	Tm1	2	6	2e-04	0	0.5
CG3075	Tm1	2	6	0	0	0.5
Akap200	Tm1	2	6	1e-04	0	0.5
CG18369	Tm1	2	6	0	0	0.5
bnl	Tm1	2	6	0	0	0.5
sec23	Tm1	2	6	0	0	0.5
Pde8	Tm1	2	6	0	0	0.5
Arp66B	Tm1	2	6	0	0	0.5
cos	Tm1	2	6	0	0	0.5
Borr	Tm1	2	6	2e-04	0	0.5
X140up	Tm1	2	6	0	0	0.5
Dhc64C	Tm1	2	6	0	0	0.5
Not1	Tm1	2	6	0	0	0.5
CG9520	Tm1	2	6	0	0	0.5
bib	Tm1	2	6	0	0	0.5
mib1	Tm1	2	6	0	0	0.5
cas	Tm1	2	6	0	0	0.5
Abi	Tm1	2	6	0	0	0.5
betaTub56D	Tm1	2	6	0	0	0.5
nej	Tm1	2	6	0	0	0.5
dlg1	Tm1	2	6	0	0	0.5
Lcp65Ag1	Tm1	2	6	0	0	0.5
Es2	Tm1	2	6	0	0	0.5
MED24	Tm1	2	6	0	0	0.5
Vhl	Tm1	2	6	0	0	0.5
tral	Tm1	2	6	0	0	0.5
sns	Tm1	2	6	0	0	0.5
mbl	Tm1	2	6	0	0	0.5
sav	Tm1	2	6	0	0	0.5
lola	Tm1	2	6	0	0	0.5
robo	Tm1	2	6	0	0	0.5
CG32486	Tm1	2	6	0	0	0.5
santa.maria	Tm1	2	6	0	0	0.5
stumps	Tm1	2	6	0	0	0.5
abd.A	Tm1	2	6	0	0	0.5
dock	Tm1	2	6	0	0	0.5
Lar	Tm1	2	6	1e-04	0	0.5
