Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Traf6	2	6	0	0	0.5
emp	Traf6	2	6	2e-04	0	0.5
CG2678	Traf6	2	6	1e-04	0	0.5
crc	Traf6	2	6	0	0	0.5
pros	Traf6	2	6	0	0	0.5
neur	Traf6	2	6	0	0	0.5
Rab5	Traf6	2	6	4e-04	0	0.5
Rab7	Traf6	2	6	1e-04	0	0.5
Mmp2	Traf6	2	6	0	0	0.5
W	Traf6	2	6	0	0	0.5
bowl	Traf6	2	6	0	0	0.5
fd59A	Traf6	2	6	0	0	0.5
e	Traf6	2	6	0	0	0.5
ben	Traf6	2	6	0	0	0.5
rdo	Traf6	2	6	0	0	0.5
lin	Traf6	2	6	1e-04	0	0.5
tra	Traf6	2	6	0	0	0.5
tra2	Traf6	2	6	0	0	0.5
cathD	Traf6	2	6	0	0	0.5
d	Traf6	2	6	0	0	0.5
lva	Traf6	2	6	1e-04	0	0.5
pbl	Traf6	2	6	0	0	0.5
CG33205	Traf6	2	6	0	0	0.5
da	Traf6	2	6	0	0	0.5
cactin	Traf6	2	6	0	0	0.5
hpo	Traf6	2	6	0	0	0.5
Sema.2a	Traf6	2	6	0	0	0.5
Eip74EF	Traf6	2	6	0	0	0.5
eg	Traf6	2	6	0	0	0.5
Arc42	Traf6	2	6	0	0	0.5
toy	Traf6	2	6	0	0	0.5
Galpha73B	Traf6	2	6	2e-04	0	0.5
RhoGAPp190	Traf6	2	6	0	0	0.5
MED11	Traf6	2	6	2e-04	0	0.5
cher	Traf6	2	6	0	0	0.5
BicD	Traf6	2	6	0	0	0.5
MYPT.75D	Traf6	2	6	2e-04	0	0.5
mus304	Traf6	2	6	0	0	0.5
CdsA	Traf6	2	6	3e-04	0	0.5
btl	Traf6	2	6	0	0	0.5
Cyt.c.d	Traf6	2	6	0	0	0.5
tok	Traf6	2	6	0	0	0.5
ttk	Traf6	2	6	0	0	0.5
tamo	Traf6	2	6	0	0	0.5
CG6416	Traf6	2	6	0	0	0.5
flfl	Traf6	2	6	0	0	0.5
Pvr	Traf6	2	6	0	0	0.5
kay	Traf6	2	6	0	0	0.5
Jra	Traf6	2	6	1e-04	0	0.5
msk	Traf6	2	6	0	0	0.5
tll	Traf6	2	6	0	0	0.5
Tm1	Traf6	2	6	0	0	0.5
srp	Traf6	2	6	0	0	0.5
Btk29A	Traf6	2	6	0	0	0.5
fred	Traf6	2	6	6e-04	0	0.5
Src64B	Traf6	2	6	0	0	0.5
Mmp1	Traf6	2	6	0	0	0.5
sll	Traf6	2	6	0	0	0.5
Hmgs	Traf6	2	6	1e-04	0	0.5
caps	Traf6	2	6	1e-04	0	0.5
Su.var.2.10	Traf6	2	6	0	0	0.5
CycB	Traf6	2	6	3e-04	0	0.5
spir	Traf6	2	6	0	0	0.5
spn.A	Traf6	2	6	0	0	0.5
Ptpmeg	Traf6	2	6	0	0	0.5
qua	Traf6	2	6	0	0	0.5
msn	Traf6	2	6	0	0	0.5
ena	Traf6	2	6	0	0	0.5
spen	Traf6	2	6	0	0	0.5
emc	Traf6	2	6	0	0	0.5
tsh	Traf6	2	6	1e-04	0	0.5
Dat	Traf6	2	6	0	0	0.5
Lac	Traf6	2	6	0	0	0.5
dup	Traf6	2	6	0	0	0.5
CG3075	Traf6	2	6	0	0	0.5
Akap200	Traf6	2	6	0	0	0.5
CG18369	Traf6	2	6	4e-04	0	0.5
bnl	Traf6	2	6	0	0	0.5
sec23	Traf6	2	6	0	0	0.5
Pde8	Traf6	2	6	2e-04	0	0.5
Arp66B	Traf6	2	6	0	0	0.5
cos	Traf6	2	6	0	0	0.5
Borr	Traf6	2	6	0	0	0.5
X140up	Traf6	2	6	0	0	0.5
Dhc64C	Traf6	2	6	1e-04	0	0.5
Not1	Traf6	2	6	2e-04	0	0.5
CG9520	Traf6	2	6	0	0	0.5
bib	Traf6	2	6	0	0	0.5
mib1	Traf6	2	6	4e-04	0	0.5
cas	Traf6	2	6	1e-04	0	0.5
Abi	Traf6	2	6	0	0	0.5
betaTub56D	Traf6	2	6	0	0	0.5
nej	Traf6	2	6	0	0	0.5
dlg1	Traf6	2	6	0	0	0.5
Lcp65Ag1	Traf6	2	6	4e-04	0	0.5
Es2	Traf6	2	6	0	0	0.5
MED24	Traf6	2	6	0	0	0.5
Vhl	Traf6	2	6	0	0	0.5
tral	Traf6	2	6	0	0	0.5
sns	Traf6	2	6	0	0	0.5
mbl	Traf6	2	6	0	0	0.5
sav	Traf6	2	6	0	0	0.5
lola	Traf6	2	6	0	0	0.5
robo	Traf6	2	6	0	0	0.5
CG32486	Traf6	2	6	0	0	0.5
santa.maria	Traf6	2	6	0	0	0.5
stumps	Traf6	2	6	0	0	0.5
abd.A	Traf6	2	6	0	0	0.5
dock	Traf6	2	6	0	0	0.5
Lar	Traf6	2	6	0	0	0.5
l.1.G0289	Traf6	2	6	0	0	0.5
Abl	Traf6	2	6	0	0	0.5
Syb	Traf6	2	6	0	0	0.5
dome	Traf6	2	6	0	0	0.5
ofs	Traf6	2	6	1e-04	0	0.5
MED4	Traf6	2	6	0	0	0.5
scrib	Traf6	2	6	0	0	0.5
siz	Traf6	2	6	1e-04	0	0.5
cbx	Traf6	2	6	1e-04	0	0.5
dsx	Traf6	2	6	1e-04	0	0.5
Sb	Traf6	2	6	0	0	0.5
sax	Traf6	2	6	0	0	0.5
foxo	Traf6	2	6	0	0	0.5
Cyp1	Traf6	2	6	0	0	0.5
brm	Traf6	2	6	2e-04	0	0.5
rad50	Traf6	2	6	0	0	0.5
chico	Traf6	2	6	0	0	0.5
cp309	Traf6	2	6	0	0	0.5
hdc	Traf6	2	6	0	0	0.5
Axn	Traf6	2	6	2e-04	0	0.5
Apc2	Traf6	2	6	0	0	0.5
PhKgamma	Traf6	2	6	0	0	0.5
eya	Traf6	2	6	0	0	0.5
sktl	Traf6	2	6	1e-04	0	0.5
sqd	Traf6	2	6	0	0	0.5
Akt1	Traf6	2	6	0	0	0.5
scyl	Traf6	2	6	1e-04	0	0.5
cnk	Traf6	2	6	0	0	0.5
CG8149	Traf6	2	6	0	0	0.5
CG34379	Traf6	2	6	0	0	0.5
Yp1	Traf6	2	6	1e-04	0	0.5
yrt	Traf6	2	6	1e-04	0	0.5
bap	Traf6	2	6	0	0	0.5
tud	Traf6	2	6	0	0	0.5
ct	Traf6	2	6	0	0	0.5
tup	Traf6	2	6	0	0	0.5
G.ialpha65A	Traf6	2	6	0	0	0.5
knrl	Traf6	2	6	0	0	0.5
Pkn	Traf6	2	6	0	0	0.5
Sry.delta	Traf6	2	6	0	0	0.5
Alh	Traf6	2	6	0	0	0.5
pnut	Traf6	2	6	2e-04	0	0.5
phyl	Traf6	2	6	0	0	0.5
CG17739	Traf6	2	6	0	0	0.5
B4	Traf6	2	6	3e-04	0	0.5
CG2681	Traf6	2	6	0	0	0.5
tow	Traf6	2	6	0	0	0.5
hkl	Traf6	2	6	0	0	0.5
sina	Traf6	2	6	0	0	0.5
ry	Traf6	2	6	0	0	0.5
rux	Traf6	2	6	0	0	0.5
boss	Traf6	2	6	0	0	0.5
Mkp3	Traf6	2	6	2e-04	0	0.5
inaC	Traf6	2	6	1e-04	0	0.5
sno	Traf6	2	6	0	0	0.5
jagn	Traf6	2	6	2e-04	0	0.5
dpn	Traf6	2	6	0	0	0.5
wrapper	Traf6	2	6	3e-04	0	0.5
Ca.alpha1D	Traf6	2	6	0	0	0.5
E2f	Traf6	2	6	0	0	0.5
Dp	Traf6	2	6	0	0	0.5
l.2.efl	Traf6	2	6	1e-04	0	0.5
cnc	Traf6	2	6	0	0	0.5
Atg5	Traf6	2	6	0	0	0.5
acj6	Traf6	2	6	0	0	0.5
Trl	Traf6	2	6	0	0	0.5
d4	Traf6	2	6	0	0	0.5
CG16719	Traf6	2	6	0	0	0.5
CadN	Traf6	2	6	0	0	0.5
gro	Traf6	2	6	0	0	0.5
sec13	Traf6	2	6	0	0	0.5
klar	Traf6	2	6	3e-04	0	0.5
Rack1	Traf6	2	6	0	0	0.5
Sobp	Traf6	2	6	3e-04	0	0.5
ash1	Traf6	2	6	0	0	0.5
inv	Traf6	2	6	0	0	0.5
shot	Traf6	2	6	0	0	0.5
Oseg1	Traf6	2	6	0	0	0.5
Spred	Traf6	2	6	0	0	0.5
puc	Traf6	2	6	4e-04	0	0.5
Atg6	Traf6	2	6	0	0	0.5
CG3829	Traf6	2	6	0	0	0.5
sle	Traf6	2	6	0	0	0.5
Cka	Traf6	2	6	0	0	0.5
form3	Traf6	2	6	1e-04	0	0.5
Pk61C	Traf6	2	6	0	0	0.5
Pcaf	Traf6	2	6	1e-04	0	0.5
sbb	Traf6	2	6	2e-04	0	0.5
Ef1gamma	Traf6	2	6	0	0	0.5
FKBP59	Traf6	2	6	0	0	0.5
Eip71CD	Traf6	2	6	0	0	0.5
xmas.2	Traf6	2	6	0	0	0.5
ppan	Traf6	2	6	0	0	0.5
Iswi	Traf6	2	6	2e-04	0	0.5
ine	Traf6	2	6	0	0	0.5
Tina.1	Traf6	2	6	0	0	0.5
bon	Traf6	2	6	1e-04	0	0.5
pot	Traf6	2	6	0	0	0.5
chic	Traf6	2	6	1e-04	0	0.5
Hem	Traf6	2	6	0	0	0.5
chif	Traf6	2	6	0	0	0.5
S6kII	Traf6	2	6	0	0	0.5
wal	Traf6	2	6	0	0	0.5
wls	Traf6	2	6	0	0	0.5
Ddx1	Traf6	2	6	0	0	0.5
Sulf1	Traf6	2	6	1e-04	0	0.5
CG3987	Traf6	2	6	2e-04	0	0.5
Abd.B	Traf6	2	6	0	0	0.5
Uba1	Traf6	2	6	1e-04	0	0.5
bigmax	Traf6	2	6	0	0	0.5
NAT1	Traf6	2	6	0	0	0.5
wupA	Traf6	2	6	1e-04	0	0.5
Vps28	Traf6	2	6	0	0	0.5
G.oalpha47A	Traf6	2	6	0	0	0.5
G.salpha60A	Traf6	2	6	0	0	0.5
dsf	Traf6	2	6	0	0	0.5
Khc	Traf6	2	6	1e-04	0	0.5
CG10641	Traf6	2	6	0	0	0.5
Alk	Traf6	2	6	0	0	0.5
ey	Traf6	2	6	4e-04	0	0.5
noc	Traf6	2	6	0	0	0.5
ix	Traf6	2	6	0	0	0.5
Optix	Traf6	2	6	4e-04	0	0.5
sdt	Traf6	2	6	0	0	0.5
Sxl	Traf6	2	6	1e-04	0	0.5
rib	Traf6	2	6	0	0	0.5
sas	Traf6	2	6	0	0	0.5
Scgdelta	Traf6	2	6	0	0	0.5
sw	Traf6	2	6	0	0	0.5
fal	Traf6	2	6	0	0	0.5
ea	Traf6	2	6	0	0	0.5
Ice	Traf6	2	6	0	0	0.5
cic	Traf6	2	6	0	0	0.5
Dok	Traf6	2	6	0	0	0.5
