Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Trl	2	6	2e-04	0	0.5
emp	Trl	2	6	0	0	0.5
CG2678	Trl	2	6	0	0	0.5
crc	Trl	2	6	0	0	0.5
pros	Trl	2	6	0	0	0.5
neur	Trl	2	6	0	0	0.5
Rab5	Trl	2	6	0	0	0.5
Rab7	Trl	2	6	8e-04	0	0.5
Mmp2	Trl	2	6	0	0	0.5
W	Trl	2	6	0	0	0.5
bowl	Trl	2	6	0	0	0.5
fd59A	Trl	2	6	4e-04	0	0.5
e	Trl	2	6	0	0	0.5
ben	Trl	2	6	0	0	0.5
rdo	Trl	2	6	0	0	0.5
lin	Trl	2	6	0	0	0.5
tra	Trl	2	6	0	0	0.5
tra2	Trl	2	6	0	0	0.5
cathD	Trl	2	6	0	0	0.5
d	Trl	2	6	7e-04	0	0.5
lva	Trl	2	6	0	0	0.5
pbl	Trl	2	6	0	0	0.5
CG33205	Trl	2	6	0	0	0.5
da	Trl	2	6	0	0	0.5
cactin	Trl	2	6	0	0	0.5
hpo	Trl	2	6	0	0	0.5
Sema.2a	Trl	2	6	0	0	0.5
Eip74EF	Trl	2	6	0	0	0.5
eg	Trl	2	6	1e-04	0	0.5
Arc42	Trl	2	6	5e-04	0	0.5
toy	Trl	2	6	0	0	0.5
Galpha73B	Trl	2	6	0	0	0.5
RhoGAPp190	Trl	2	6	0	0	0.5
MED11	Trl	2	6	0	0	0.5
cher	Trl	2	6	0	0	0.5
BicD	Trl	2	6	2e-04	0	0.5
MYPT.75D	Trl	2	6	0	0	0.5
mus304	Trl	2	6	1e-04	0	0.5
CdsA	Trl	2	6	1e-04	0	0.5
btl	Trl	2	6	0	0	0.5
Cyt.c.d	Trl	2	6	1e-04	0	0.5
tok	Trl	2	6	0	0	0.5
ttk	Trl	2	6	0	0	0.5
tamo	Trl	2	6	1e-04	0	0.5
CG6416	Trl	2	6	0	0	0.5
flfl	Trl	2	6	0	0	0.5
Pvr	Trl	2	6	2e-04	0	0.5
kay	Trl	2	6	0	0	0.5
Jra	Trl	2	6	1e-04	0	0.5
msk	Trl	2	6	6e-04	0	0.5
tll	Trl	2	6	1e-04	0	0.5
Tm1	Trl	2	6	2e-04	0	0.5
srp	Trl	2	6	0	0	0.5
Btk29A	Trl	2	6	1e-04	0	0.5
fred	Trl	2	6	2e-04	0	0.5
Src64B	Trl	2	6	0	0	0.5
Mmp1	Trl	2	6	1e-04	0	0.5
sll	Trl	2	6	4e-04	0	0.5
Hmgs	Trl	2	6	9e-04	0	0.5
caps	Trl	2	6	6e-04	0	0.5
Su.var.2.10	Trl	2	6	4e-04	0	0.5
CycB	Trl	2	6	1e-04	0	0.5
spir	Trl	2	6	0	0	0.5
spn.A	Trl	2	6	0	0	0.5
Ptpmeg	Trl	2	6	0	0	0.5
qua	Trl	2	6	0.0013	0	0.5
msn	Trl	2	6	0	0	0.5
ena	Trl	2	6	0	0	0.5
spen	Trl	2	6	0	0	0.5
emc	Trl	2	6	5e-04	0	0.5
tsh	Trl	2	6	5e-04	0	0.5
Dat	Trl	2	6	1e-04	0	0.5
Lac	Trl	2	6	1e-04	0	0.5
dup	Trl	2	6	0	0	0.5
CG3075	Trl	2	6	1e-04	0	0.5
Akap200	Trl	2	6	0	0	0.5
CG18369	Trl	2	6	0	0	0.5
bnl	Trl	2	6	2e-04	0	0.5
sec23	Trl	2	6	0	0	0.5
Pde8	Trl	2	6	0	0	0.5
Arp66B	Trl	2	6	2e-04	0	0.5
cos	Trl	2	6	0	0	0.5
Borr	Trl	2	6	0	0	0.5
X140up	Trl	2	6	1e-04	0	0.5
Dhc64C	Trl	2	6	0	0	0.5
Not1	Trl	2	6	0	0	0.5
CG9520	Trl	2	6	0	0	0.5
bib	Trl	2	6	7e-04	0	0.5
mib1	Trl	2	6	0	0	0.5
cas	Trl	2	6	2e-04	0	0.5
Abi	Trl	2	6	4e-04	0	0.5
betaTub56D	Trl	2	6	0	0	0.5
nej	Trl	2	6	0	0	0.5
dlg1	Trl	2	6	2e-04	0	0.5
Lcp65Ag1	Trl	2	6	0	0	0.5
Es2	Trl	2	6	0	0	0.5
MED24	Trl	2	6	0	0	0.5
Vhl	Trl	2	6	2e-04	0	0.5
tral	Trl	2	6	0	0	0.5
sns	Trl	2	6	1e-04	0	0.5
mbl	Trl	2	6	3e-04	0	0.5
sav	Trl	2	6	0	0	0.5
lola	Trl	2	6	1e-04	0	0.5
robo	Trl	2	6	0	0	0.5
CG32486	Trl	2	6	2e-04	0	0.5
santa.maria	Trl	2	6	0	0	0.5
stumps	Trl	2	6	0	0	0.5
abd.A	Trl	2	6	0	0	0.5
dock	Trl	2	6	2e-04	0	0.5
Lar	Trl	2	6	0	0	0.5
l.1.G0289	Trl	2	6	0	0	0.5
Abl	Trl	2	6	0	0	0.5
Syb	Trl	2	6	0	0	0.5
dome	Trl	2	6	4e-04	0	0.5
ofs	Trl	2	6	0	0	0.5
MED4	Trl	2	6	1e-04	0	0.5
scrib	Trl	2	6	0	0	0.5
siz	Trl	2	6	0	0	0.5
cbx	Trl	2	6	1e-04	0	0.5
dsx	Trl	2	6	0	0	0.5
Sb	Trl	2	6	9e-04	0	0.5
sax	Trl	2	6	2e-04	0	0.5
foxo	Trl	2	6	0	0	0.5
Cyp1	Trl	2	6	0	0	0.5
brm	Trl	2	6	0	0	0.5
rad50	Trl	2	6	2e-04	0	0.5
chico	Trl	2	6	0	0	0.5
cp309	Trl	2	6	4e-04	0	0.5
hdc	Trl	2	6	1e-04	0	0.5
Axn	Trl	2	6	1e-04	0	0.5
Apc2	Trl	2	6	4e-04	0	0.5
PhKgamma	Trl	2	6	0	0	0.5
eya	Trl	2	6	0	0	0.5
sktl	Trl	2	6	0	0	0.5
sqd	Trl	2	6	0	0	0.5
Akt1	Trl	2	6	0	0	0.5
scyl	Trl	2	6	1e-04	0	0.5
cnk	Trl	2	6	0	0	0.5
CG8149	Trl	2	6	1e-04	0	0.5
CG34379	Trl	2	6	1e-04	0	0.5
Yp1	Trl	2	6	2e-04	0	0.5
yrt	Trl	2	6	1e-04	0	0.5
bap	Trl	2	6	5e-04	0	0.5
tud	Trl	2	6	0	0	0.5
ct	Trl	2	6	0	0	0.5
tup	Trl	2	6	8e-04	0	0.5
G.ialpha65A	Trl	2	6	6e-04	0	0.5
knrl	Trl	2	6	0	0	0.5
Pkn	Trl	2	6	0	0	0.5
Sry.delta	Trl	2	6	0	0	0.5
Alh	Trl	2	6	6e-04	0	0.5
pnut	Trl	2	6	0	0	0.5
phyl	Trl	2	6	3e-04	0	0.5
CG17739	Trl	2	6	0	0	0.5
B4	Trl	2	6	1e-04	0	0.5
CG2681	Trl	2	6	2e-04	0	0.5
tow	Trl	2	6	0	0	0.5
hkl	Trl	2	6	0	0	0.5
sina	Trl	2	6	0	0	0.5
ry	Trl	2	6	0	0	0.5
rux	Trl	2	6	0	0	0.5
boss	Trl	2	6	0	0	0.5
Mkp3	Trl	2	6	1e-04	0	0.5
inaC	Trl	2	6	0	0	0.5
sno	Trl	2	6	0	0	0.5
jagn	Trl	2	6	1e-04	0	0.5
dpn	Trl	2	6	0	0	0.5
wrapper	Trl	2	6	0.0012	0	0.5
Ca.alpha1D	Trl	2	6	2e-04	0	0.5
E2f	Trl	2	6	0	0	0.5
Dp	Trl	2	6	0	0	0.5
l.2.efl	Trl	2	6	0	0	0.5
cnc	Trl	2	6	3e-04	0	0.5
Atg5	Trl	2	6	0	0	0.5
acj6	Trl	2	6	0	0	0.5
Trl	Trl	2	6	0	0	0.5
d4	Trl	2	6	0	0	0.5
CG16719	Trl	2	6	0	0	0.5
CadN	Trl	2	6	0	0	0.5
gro	Trl	2	6	0	0	0.5
sec13	Trl	2	6	0	0	0.5
klar	Trl	2	6	0	0	0.5
Rack1	Trl	2	6	0	0	0.5
Sobp	Trl	2	6	0	0	0.5
ash1	Trl	2	6	0	0	0.5
inv	Trl	2	6	7e-04	0	0.5
shot	Trl	2	6	0	0	0.5
Oseg1	Trl	2	6	4e-04	0	0.5
Spred	Trl	2	6	1e-04	0	0.5
puc	Trl	2	6	0	0	0.5
Atg6	Trl	2	6	3e-04	0	0.5
CG3829	Trl	2	6	0.9427	0.99845	0.5
sle	Trl	2	6	0	0	0.5
Cka	Trl	2	6	0	0	0.5
form3	Trl	2	6	1e-04	0	0.5
Pk61C	Trl	2	6	0	0	0.5
Pcaf	Trl	2	6	1e-04	0	0.5
sbb	Trl	2	6	0	0	0.5
Ef1gamma	Trl	2	6	0	0	0.5
FKBP59	Trl	2	6	0	0	0.5
Eip71CD	Trl	2	6	4e-04	0	0.5
xmas.2	Trl	2	6	0	0	0.5
ppan	Trl	2	6	1e-04	0	0.5
Iswi	Trl	2	6	0	0	0.5
ine	Trl	2	6	2e-04	0	0.5
Tina.1	Trl	2	6	0	0	0.5
bon	Trl	2	6	4e-04	0	0.5
pot	Trl	2	6	0	0	0.5
chic	Trl	2	6	3e-04	0	0.5
Hem	Trl	2	6	0	0	0.5
chif	Trl	2	6	0	0	0.5
S6kII	Trl	2	6	0	0	0.5
wal	Trl	2	6	3e-04	0	0.5
wls	Trl	2	6	0	0	0.5
Ddx1	Trl	2	6	0	0	0.5
Sulf1	Trl	2	6	0	0	0.5
CG3987	Trl	2	6	1e-04	0	0.5
Abd.B	Trl	2	6	3e-04	0	0.5
Uba1	Trl	2	6	0	0	0.5
bigmax	Trl	2	6	4e-04	0	0.5
NAT1	Trl	2	6	0	0	0.5
wupA	Trl	2	6	0	0	0.5
Vps28	Trl	2	6	0	0	0.5
G.oalpha47A	Trl	2	6	4e-04	0	0.5
G.salpha60A	Trl	2	6	2e-04	0	0.5
dsf	Trl	2	6	0.0014	0	0.5
Khc	Trl	2	6	2e-04	0	0.5
CG10641	Trl	2	6	0	0	0.5
Alk	Trl	2	6	0	0	0.5
ey	Trl	2	6	0	0	0.5
noc	Trl	2	6	0	0	0.5
ix	Trl	2	6	0	0	0.5
Optix	Trl	2	6	0	0	0.5
sdt	Trl	2	6	0	0	0.5
Sxl	Trl	2	6	0	0	0.5
rib	Trl	2	6	9e-04	0	0.5
sas	Trl	2	6	0	0	0.5
Scgdelta	Trl	2	6	1e-04	0	0.5
sw	Trl	2	6	0	0	0.5
fal	Trl	2	6	0	0	0.5
ea	Trl	2	6	5e-04	0	0.5
Ice	Trl	2	6	0	0	0.5
cic	Trl	2	6	0	0	0.5
Dok	Trl	2	6	0	0	0.5
rhea	Trl	2	6	0	0	0.5
Glycogenin	Trl	2	6	0	0	0.5
cin	Trl	2	6	0	0	0.5
chp	Trl	2	6	0	0	0.5
Dlic2	Trl	2	6	2e-04	0	0.5
Pk92B	Trl	2	6	0	0	0.5
Pak	Trl	2	6	0	0	0.5
Lim1	Trl	2	6	3e-04	0	0.5
CG34450	Trl	2	6	0	0	0.5
Su.H.	Trl	2	6	2e-04	0	0.5
CG12301	Trl	2	6	0	0	0.5
lilli	Trl	2	6	1e-04	0	0.5
toe	Trl	2	6	0	0	0.5
qkr58E.3	Trl	2	6	0	0	0.5
up	Trl	2	6	0	0	0.5
hep	Trl	2	6	0.0014	0	0.5
Dap160	Trl	2	6	7e-04	0	0.5
l.2.gd1	Trl	2	6	0	0	0.5
hkb	Trl	2	6	0	0	0.5
beta4GalNAcTA	Trl	2	6	0	0	0.5
Mer	Trl	2	6	9e-04	0	0.5
Mtl	Trl	2	6	0	0	0.5
spin	Trl	2	6	0	0	0.5
mfas	Trl	2	6	0	0	0.5
frc	Trl	2	6	0	0	0.5
Krn	Trl	2	6	0	0	0.5
mam	Trl	2	6	0	0	0.5
brk	Trl	2	6	0.0014	0	0.5
Ark	Trl	2	6	3e-04	0	0.5
mmy	Trl	2	6	0	0	0.5
mri	Trl	2	6	0	0	0.5
Crk	Trl	2	6	0	0	0.5
ssh	Trl	2	6	0	0	0.5
fs.1.K10	Trl	2	6	3e-04	0	0.5
Psn	Trl	2	6	0	0	0.5
CG9509	Trl	2	6	4e-04	0	0.5
CkIIalpha	Trl	2	6	0	0	0.5
car	Trl	2	6	1e-04	0	0.5
capu	Trl	2	6	1e-04	0	0.5
cact	Trl	2	6	0	0	0.5
Patj	Trl	2	6	0	0	0.5
dpp	Trl	2	6	1e-04	0	0.5
xl6	Trl	2	6	3e-04	0	0.5
dally	Trl	2	6	0	0	0.5
Pi3K92E	Trl	2	6	0	0	0.5
E.bx.	Trl	2	6	0	0	0.5
emb	Trl	2	6	4e-04	0	0.5
CtBP	Trl	2	6	0	0	0.5
Dad	Trl	2	6	0	0	0.5
amx	Trl	2	6	5e-04	0	0.5
Ank2	Trl	2	6	0	0	0.5
CG34417	Trl	2	6	2e-04	0	0.5
scra	Trl	2	6	0	0	0.5
dsd	Trl	2	6	2e-04	0	0.5
Ephrin	Trl	2	6	0	0	0.5
Appl	Trl	2	6	0	0	0.5
sty	Trl	2	6	4e-04	0	0.5
RhoL	Trl	2	6	1e-04	0	0.5
twi	Trl	2	6	2e-04	0	0.5
tub	Trl	2	6	0	0	0.5
ftz.f1	Trl	2	6	0	0	0.5
wg	Trl	2	6	0	0	0.5
LanB1	Trl	2	6	4e-04	0	0.5
LanA	Trl	2	6	2e-04	0	0.5
LanB2	Trl	2	6	0	0	0.5
Chi	Trl	2	6	0	0	0.5
nmo	Trl	2	6	0	0	0.5
ics	Trl	2	6	0	0	0.5
oaf	Trl	2	6	0	0	0.5
dco	Trl	2	6	0	0	0.5
Dys	Trl	2	6	0	0	0.5
drm	Trl	2	6	0	0	0.5
RpL30	Trl	2	6	0	0	0.5
how	Trl	2	6	4e-04	0	0.5
dei	Trl	2	6	0	0	0.5
CG1244	Trl	2	6	0	0	0.5
Chc	Trl	2	6	0	0	0.5
Orct	Trl	2	6	0	0	0.5
sgl	Trl	2	6	0	0	0.5
CG17221	Trl	2	6	0.0011	0	0.5
gkt	Trl	2	6	0	0	0.5
by	Trl	2	6	0	0	0.5
Pka.C3	Trl	2	6	0	0	0.5
vlc	Trl	2	6	0	0	0.5
fl.2.d	Trl	2	6	0	0	0.5
Nf1	Trl	2	6	6e-04	0	0.5
CG6372	Trl	2	6	5e-04	0	0.5
Rho1	Trl	2	6	0	0	0.5
kuk	Trl	2	6	4e-04	0	0.5
l.2.gl	Trl	2	6	0	0	0.5
Ald	Trl	2	6	3e-04	0	0.5
jumu	Trl	2	6	0	0	0.5
glu	Trl	2	6	0.0019	0	0.5
fs.2.ltoPP43	Trl	2	6	1e-04	0	0.5
CycE	Trl	2	6	0	0	0.5
CG8247	Trl	2	6	1e-04	0	0.5
CSN4	Trl	2	6	0	0	0.5
X18w	Trl	2	6	4e-04	0	0.5
bs	Trl	2	6	2e-04	0	0.5
Nrt	Trl	2	6	6e-04	0	0.5
mask	Trl	2	6	7e-04	0	0.5
gl	Trl	2	6	0	0	0.5
Cp1	Trl	2	6	6e-04	0	0.5
ex	Trl	2	6	0	0	0.5
jing	Trl	2	6	1e-04	0	0.5
shrb	Trl	2	6	0	0	0.5
raw	Trl	2	6	0	0	0.5
CG9445	Trl	2	6	0	0	0.5
gbb	Trl	2	6	0	0	0.5
Hs2st	Trl	2	6	0	0	0.5
sls	Trl	2	6	0	0	0.5
kis	Trl	2	6	1e-04	0	0.5
run	Trl	2	6	0	0	0.5
pnr	Trl	2	6	3e-04	0	0.5
pn	Trl	2	6	0	0	0.5
pnt	Trl	2	6	0	0	0.5
Fmr1	Trl	2	6	0	0	0.5
Myo31DF	Trl	2	6	0	0	0.5
ALiX	Trl	2	6	0	0	0.5
sgg	Trl	2	6	0	0	0.5
mbt	Trl	2	6	1e-04	0	0.5
Sin3A	Trl	2	6	0	0	0.5
dnc	Trl	2	6	0	0	0.5
morgue	Trl	2	6	7e-04	0	0.5
Set2	Trl	2	6	0	0	0.5
exu	Trl	2	6	5e-04	0	0.5
odd	Trl	2	6	0	0	0.5
esc	Trl	2	6	5e-04	0	0.5
dah	Trl	2	6	0	0	0.5
Taf4	Trl	2	6	1e-04	0	0.5
Jafrac2	Trl	2	6	0	0	0.5
Fas3	Trl	2	6	0	0	0.5
wus	Trl	2	6	2e-04	0	0.5
Wnt5	Trl	2	6	2e-04	0	0.5
sprt	Trl	2	6	0	0	0.5
jar	Trl	2	6	0	0	0.5
v	Trl	2	6	0	0	0.5
Snap	Trl	2	6	3e-04	0	0.5
vap	Trl	2	6	8e-04	0	0.5
Src42A	Trl	2	6	4e-04	0	0.5
esg	Trl	2	6	0	0	0.5
zfh1	Trl	2	6	0	0	0.5
alien	Trl	2	6	0	0	0.5
peb	Trl	2	6	0	0	0.5
par.1	Trl	2	6	0	0	0.5
hyd	Trl	2	6	2e-04	0	0.5
trc	Trl	2	6	0	0	0.5
Eip63E	Trl	2	6	0	0	0.5
ird5	Trl	2	6	0	0	0.5
bl	Trl	2	6	0	0	0.5
Syx1A	Trl	2	6	0	0	0.5
drl	Trl	2	6	0	0	0.5
rg	Trl	2	6	0	0	0.5
apt	Trl	2	6	2e-04	0	0.5
svr	Trl	2	6	0	0	0.5
sar1	Trl	2	6	6e-04	0	0.5
Tab2	Trl	2	6	0	0	0.5
zfh2	Trl	2	6	5e-04	0	0.5
dj	Trl	2	6	0	0	0.5
tum	Trl	2	6	5e-04	0	0.5
yellow.f	Trl	2	6	0	0	0.5
p53	Trl	2	6	2e-04	0	0.5
ImpE3	Trl	2	6	0	0	0.5
cbt	Trl	2	6	5e-04	0	0.5
dl	Trl	2	6	0	0	0.5
Dl	Trl	2	6	0	0	0.5
Sur	Trl	2	6	0	0	0.5
Rpd3	Trl	2	6	0	0	0.5
CG4945	Trl	2	6	0	0	0.5
eve	Trl	2	6	0	0	0.5
Stat92E	Trl	2	6	0	0	0.5
ken	Trl	2	6	0	0	0.5
dpld	Trl	2	6	0	0	0.5
CG1942	Trl	2	6	0	0	0.5
Dcp.1	Trl	2	6	2e-04	0	0.5
Tak1	Trl	2	6	0	0	0.5
cg	Trl	2	6	0	0	0.5
fw	Trl	2	6	4e-04	0	0.5
tutl	Trl	2	6	0	0	0.5
bhr	Trl	2	6	0	0	0.5
ash2	Trl	2	6	1e-04	0	0.5
mth	Trl	2	6	4e-04	0	0.5
numb	Trl	2	6	3e-04	0	0.5
X14.3.3zeta	Trl	2	6	0	0	0.5
