Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Vhl	2	6	3e-04	0	0.5
emp	Vhl	2	6	5e-04	0	0.5
CG2678	Vhl	2	6	7e-04	0	0.5
crc	Vhl	2	6	0	0	0.5
pros	Vhl	2	6	3e-04	0	0.5
neur	Vhl	2	6	1e-04	0	0.5
Rab5	Vhl	2	6	0	0	0.5
Rab7	Vhl	2	6	2e-04	0	0.5
Mmp2	Vhl	2	6	1e-04	0	0.5
W	Vhl	2	6	3e-04	0	0.5
bowl	Vhl	2	6	0.0019	0	0.5
fd59A	Vhl	2	6	0.0012	0	0.5
e	Vhl	2	6	0	0	0.5
ben	Vhl	2	6	2e-04	0	0.5
rdo	Vhl	2	6	2e-04	0	0.5
lin	Vhl	2	6	3e-04	0	0.5
tra	Vhl	2	6	1e-04	0	0.5
tra2	Vhl	2	6	0	0	0.5
cathD	Vhl	2	6	6e-04	0	0.5
d	Vhl	2	6	8e-04	0	0.5
lva	Vhl	2	6	2e-04	0	0.5
pbl	Vhl	2	6	1e-04	0	0.5
CG33205	Vhl	2	6	1e-04	0	0.5
da	Vhl	2	6	3e-04	0	0.5
cactin	Vhl	2	6	0.0011	0	0.5
hpo	Vhl	2	6	3e-04	0	0.5
Sema.2a	Vhl	2	6	1e-04	0	0.5
Eip74EF	Vhl	2	6	3e-04	0	0.5
eg	Vhl	2	6	6e-04	0	0.5
Arc42	Vhl	2	6	7e-04	0	0.5
toy	Vhl	2	6	2e-04	0	0.5
Galpha73B	Vhl	2	6	0.007	0	0.5
RhoGAPp190	Vhl	2	6	1e-04	0	0.5
MED11	Vhl	2	6	2e-04	0	0.5
cher	Vhl	2	6	3e-04	0	0.5
BicD	Vhl	2	6	7e-04	0	0.5
MYPT.75D	Vhl	2	6	1e-04	0	0.5
mus304	Vhl	2	6	2e-04	0	0.5
CdsA	Vhl	2	6	0.0033	0	0.5
btl	Vhl	2	6	0	0	0.5
Cyt.c.d	Vhl	2	6	0.0015	0	0.5
tok	Vhl	2	6	5e-04	0	0.5
ttk	Vhl	2	6	2e-04	0	0.5
tamo	Vhl	2	6	6e-04	0	0.5
CG6416	Vhl	2	6	1e-04	0	0.5
flfl	Vhl	2	6	4e-04	0	0.5
Pvr	Vhl	2	6	1e-04	0	0.5
kay	Vhl	2	6	1e-04	0	0.5
Jra	Vhl	2	6	2e-04	0	0.5
msk	Vhl	2	6	5e-04	0	0.5
tll	Vhl	2	6	1e-04	0	0.5
Tm1	Vhl	2	6	3e-04	0	0.5
srp	Vhl	2	6	2e-04	0	0.5
Btk29A	Vhl	2	6	0.0026	0	0.5
fred	Vhl	2	6	0.0015	0	0.5
Src64B	Vhl	2	6	2e-04	0	0.5
Mmp1	Vhl	2	6	3e-04	0	0.5
sll	Vhl	2	6	0.0011	0	0.5
Hmgs	Vhl	2	6	0.0025	0	0.5
caps	Vhl	2	6	1e-04	0	0.5
Su.var.2.10	Vhl	2	6	5e-04	0	0.5
CycB	Vhl	2	6	1e-04	0	0.5
spir	Vhl	2	6	1e-04	0	0.5
spn.A	Vhl	2	6	3e-04	0	0.5
Ptpmeg	Vhl	2	6	5e-04	0	0.5
qua	Vhl	2	6	0.0387	0	0.5
msn	Vhl	2	6	0.0011	0	0.5
ena	Vhl	2	6	1e-04	0	0.5
spen	Vhl	2	6	0.0016	0	0.5
emc	Vhl	2	6	9e-04	0	0.5
tsh	Vhl	2	6	4e-04	0	0.5
Dat	Vhl	2	6	1e-04	0	0.5
Lac	Vhl	2	6	2e-04	0	0.5
dup	Vhl	2	6	0	0	0.5
CG3075	Vhl	2	6	1e-04	0	0.5
Akap200	Vhl	2	6	4e-04	0	0.5
CG18369	Vhl	2	6	4e-04	0	0.5
bnl	Vhl	2	6	0	0	0.5
sec23	Vhl	2	6	9e-04	0	0.5
Pde8	Vhl	2	6	1e-04	0	0.5
Arp66B	Vhl	2	6	0.0012	0	0.5
cos	Vhl	2	6	7e-04	0	0.5
Borr	Vhl	2	6	2e-04	0	0.5
X140up	Vhl	2	6	0.0268	0	0.5
Dhc64C	Vhl	2	6	8e-04	0	0.5
Not1	Vhl	2	6	0.0059	0	0.5
CG9520	Vhl	2	6	3e-04	0	0.5
bib	Vhl	2	6	1e-04	0	0.5
mib1	Vhl	2	6	3e-04	0	0.5
cas	Vhl	2	6	5e-04	0	0.5
Abi	Vhl	2	6	3e-04	0	0.5
betaTub56D	Vhl	2	6	2e-04	0	0.5
nej	Vhl	2	6	3e-04	0	0.5
dlg1	Vhl	2	6	5e-04	0	0.5
Lcp65Ag1	Vhl	2	6	4e-04	0	0.5
Es2	Vhl	2	6	0	0	0.5
MED24	Vhl	2	6	6e-04	0	0.5
Vhl	Vhl	2	6	3e-04	0	0.5
tral	Vhl	2	6	1e-04	0	0.5
sns	Vhl	2	6	0	0	0.5
mbl	Vhl	2	6	2e-04	0	0.5
sav	Vhl	2	6	1e-04	0	0.5
lola	Vhl	2	6	4e-04	0	0.5
robo	Vhl	2	6	4e-04	0	0.5
CG32486	Vhl	2	6	3e-04	0	0.5
santa.maria	Vhl	2	6	1e-04	0	0.5
stumps	Vhl	2	6	6e-04	0	0.5
abd.A	Vhl	2	6	0.0011	0	0.5
dock	Vhl	2	6	9e-04	0	0.5
Lar	Vhl	2	6	2e-04	0	0.5
l.1.G0289	Vhl	2	6	6e-04	0	0.5
Abl	Vhl	2	6	6e-04	0	0.5
Syb	Vhl	2	6	1e-04	0	0.5
dome	Vhl	2	6	0.0011	0	0.5
ofs	Vhl	2	6	7e-04	0	0.5
MED4	Vhl	2	6	8e-04	0	0.5
scrib	Vhl	2	6	6e-04	0	0.5
siz	Vhl	2	6	0	0	0.5
cbx	Vhl	2	6	4e-04	0	0.5
dsx	Vhl	2	6	2e-04	0	0.5
Sb	Vhl	2	6	4e-04	0	0.5
sax	Vhl	2	6	2e-04	0	0.5
foxo	Vhl	2	6	0.0016	0	0.5
Cyp1	Vhl	2	6	4e-04	0	0.5
brm	Vhl	2	6	4e-04	0	0.5
rad50	Vhl	2	6	2e-04	0	0.5
chico	Vhl	2	6	0.0017	0	0.5
cp309	Vhl	2	6	0.001	0	0.5
hdc	Vhl	2	6	0.0013	0	0.5
Axn	Vhl	2	6	0	0	0.5
Apc2	Vhl	2	6	0.0011	0	0.5
PhKgamma	Vhl	2	6	4e-04	0	0.5
eya	Vhl	2	6	2e-04	0	0.5
sktl	Vhl	2	6	0.0026	0	0.5
sqd	Vhl	2	6	2e-04	0	0.5
Akt1	Vhl	2	6	2e-04	0	0.5
scyl	Vhl	2	6	2e-04	0	0.5
cnk	Vhl	2	6	5e-04	0	0.5
