Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Vps28	2	6	9e-04	0	0.5
emp	Vps28	2	6	0	0	0.5
CG2678	Vps28	2	6	6e-04	0	0.5
crc	Vps28	2	6	0.0011	0	0.5
pros	Vps28	2	6	0	0	0.5
neur	Vps28	2	6	0	0	0.5
Rab5	Vps28	2	6	8e-04	0	0.5
Rab7	Vps28	2	6	0	0	0.5
Mmp2	Vps28	2	6	9e-04	0	0.5
W	Vps28	2	6	2e-04	0	0.5
bowl	Vps28	2	6	1e-04	0	0.5
fd59A	Vps28	2	6	0.001	0	0.5
e	Vps28	2	6	0	0	0.5
ben	Vps28	2	6	1e-04	0	0.5
rdo	Vps28	2	6	0	0	0.5
lin	Vps28	2	6	0	0	0.5
tra	Vps28	2	6	1e-04	0	0.5
tra2	Vps28	2	6	0	0	0.5
cathD	Vps28	2	6	0	0	0.5
d	Vps28	2	6	0	0	0.5
lva	Vps28	2	6	1e-04	0	0.5
pbl	Vps28	2	6	2e-04	0	0.5
CG33205	Vps28	2	6	0.001	0	0.5
da	Vps28	2	6	6e-04	0	0.5
cactin	Vps28	2	6	0	0	0.5
hpo	Vps28	2	6	6e-04	0	0.5
Sema.2a	Vps28	2	6	0	0	0.5
Eip74EF	Vps28	2	6	0	0	0.5
eg	Vps28	2	6	2e-04	0	0.5
Arc42	Vps28	2	6	3e-04	0	0.5
toy	Vps28	2	6	4e-04	0	0.5
Galpha73B	Vps28	2	6	0	0	0.5
RhoGAPp190	Vps28	2	6	0	0	0.5
MED11	Vps28	2	6	0	0	0.5
cher	Vps28	2	6	5e-04	0	0.5
BicD	Vps28	2	6	0	0	0.5
MYPT.75D	Vps28	2	6	0.001	0	0.5
mus304	Vps28	2	6	0	0	0.5
CdsA	Vps28	2	6	3e-04	0	0.5
btl	Vps28	2	6	3e-04	0	0.5
Cyt.c.d	Vps28	2	6	0	0	0.5
tok	Vps28	2	6	1e-04	0	0.5
ttk	Vps28	2	6	2e-04	0	0.5
tamo	Vps28	2	6	0	0	0.5
CG6416	Vps28	2	6	0	0	0.5
flfl	Vps28	2	6	0	0	0.5
Pvr	Vps28	2	6	0	0	0.5
kay	Vps28	2	6	0	0	0.5
Jra	Vps28	2	6	0	0	0.5
msk	Vps28	2	6	1e-04	0	0.5
tll	Vps28	2	6	5e-04	0	0.5
Tm1	Vps28	2	6	0	0	0.5
srp	Vps28	2	6	0	0	0.5
Btk29A	Vps28	2	6	1e-04	0	0.5
fred	Vps28	2	6	3e-04	0	0.5
Src64B	Vps28	2	6	0	0	0.5
Mmp1	Vps28	2	6	2e-04	0	0.5
sll	Vps28	2	6	0.0016	0	0.5
Hmgs	Vps28	2	6	0	0	0.5
caps	Vps28	2	6	0	0	0.5
Su.var.2.10	Vps28	2	6	8e-04	0	0.5
CycB	Vps28	2	6	0	0	0.5
spir	Vps28	2	6	0	0	0.5
spn.A	Vps28	2	6	3e-04	0	0.5
Ptpmeg	Vps28	2	6	0	0	0.5
qua	Vps28	2	6	0	0	0.5
msn	Vps28	2	6	0	0	0.5
ena	Vps28	2	6	3e-04	0	0.5
spen	Vps28	2	6	4e-04	0	0.5
emc	Vps28	2	6	0	0	0.5
tsh	Vps28	2	6	0	0	0.5
Dat	Vps28	2	6	0	0	0.5
Lac	Vps28	2	6	3e-04	0	0.5
dup	Vps28	2	6	0	0	0.5
CG3075	Vps28	2	6	6e-04	0	0.5
Akap200	Vps28	2	6	4e-04	0	0.5
CG18369	Vps28	2	6	0.001	0	0.5
bnl	Vps28	2	6	0.0013	0	0.5
sec23	Vps28	2	6	7e-04	0	0.5
Pde8	Vps28	2	6	0	0	0.5
Arp66B	Vps28	2	6	0	0	0.5
cos	Vps28	2	6	0	0	0.5
Borr	Vps28	2	6	0.0016	0	0.5
X140up	Vps28	2	6	0	0	0.5
Dhc64C	Vps28	2	6	0	0	0.5
Not1	Vps28	2	6	0	0	0.5
CG9520	Vps28	2	6	9e-04	0	0.5
bib	Vps28	2	6	0	0	0.5
mib1	Vps28	2	6	0	0	0.5
cas	Vps28	2	6	2e-04	0	0.5
Abi	Vps28	2	6	1e-04	0	0.5
betaTub56D	Vps28	2	6	0	0	0.5
nej	Vps28	2	6	3e-04	0	0.5
dlg1	Vps28	2	6	1e-04	0	0.5
Lcp65Ag1	Vps28	2	6	1e-04	0	0.5
Es2	Vps28	2	6	0	0	0.5
MED24	Vps28	2	6	0.001	0	0.5
Vhl	Vps28	2	6	5e-04	0	0.5
tral	Vps28	2	6	7e-04	0	0.5
sns	Vps28	2	6	0	0	0.5
mbl	Vps28	2	6	0.001	0	0.5
sav	Vps28	2	6	8e-04	0	0.5
lola	Vps28	2	6	5e-04	0	0.5
robo	Vps28	2	6	0.0015	0	0.5
CG32486	Vps28	2	6	0.0016	0	0.5
santa.maria	Vps28	2	6	2e-04	0	0.5
stumps	Vps28	2	6	0	0	0.5
abd.A	Vps28	2	6	0	0	0.5
dock	Vps28	2	6	0	0	0.5
Lar	Vps28	2	6	2e-04	0	0.5
l.1.G0289	Vps28	2	6	0	0	0.5
Abl	Vps28	2	6	2e-04	0	0.5
Syb	Vps28	2	6	5e-04	0	0.5
dome	Vps28	2	6	4e-04	0	0.5
ofs	Vps28	2	6	0	0	0.5
MED4	Vps28	2	6	1e-04	0	0.5
scrib	Vps28	2	6	0	0	0.5
siz	Vps28	2	6	0	0	0.5
cbx	Vps28	2	6	0	0	0.5
dsx	Vps28	2	6	0	0	0.5
Sb	Vps28	2	6	1e-04	0	0.5
sax	Vps28	2	6	7e-04	0	0.5
foxo	Vps28	2	6	2e-04	0	0.5
Cyp1	Vps28	2	6	8e-04	0	0.5
brm	Vps28	2	6	0.0011	0	0.5
rad50	Vps28	2	6	9e-04	0	0.5
chico	Vps28	2	6	1e-04	0	0.5
cp309	Vps28	2	6	1e-04	0	0.5
hdc	Vps28	2	6	0	0	0.5
Axn	Vps28	2	6	0	0	0.5
Apc2	Vps28	2	6	0	0	0.5
PhKgamma	Vps28	2	6	6e-04	0	0.5
eya	Vps28	2	6	0	0	0.5
sktl	Vps28	2	6	0.0013	0	0.5
sqd	Vps28	2	6	0	0	0.5
Akt1	Vps28	2	6	0	0	0.5
scyl	Vps28	2	6	0	0	0.5
cnk	Vps28	2	6	0.0013	0	0.5
CG8149	Vps28	2	6	6e-04	0	0.5
CG34379	Vps28	2	6	7e-04	0	0.5
Yp1	Vps28	2	6	1e-04	0	0.5
yrt	Vps28	2	6	3e-04	0	0.5
bap	Vps28	2	6	7e-04	0	0.5
tud	Vps28	2	6	2e-04	0	0.5
ct	Vps28	2	6	8e-04	0	0.5
tup	Vps28	2	6	6e-04	0	0.5
G.ialpha65A	Vps28	2	6	1e-04	0	0.5
knrl	Vps28	2	6	0	0	0.5
Pkn	Vps28	2	6	0	0	0.5
Sry.delta	Vps28	2	6	0	0	0.5
Alh	Vps28	2	6	0	0	0.5
pnut	Vps28	2	6	2e-04	0	0.5
phyl	Vps28	2	6	1e-04	0	0.5
CG17739	Vps28	2	6	0	0	0.5
B4	Vps28	2	6	0	0	0.5
CG2681	Vps28	2	6	0	0	0.5
tow	Vps28	2	6	6e-04	0	0.5
hkl	Vps28	2	6	2e-04	0	0.5
sina	Vps28	2	6	3e-04	0	0.5
ry	Vps28	2	6	0	0	0.5
rux	Vps28	2	6	0	0	0.5
boss	Vps28	2	6	0	0	0.5
Mkp3	Vps28	2	6	4e-04	0	0.5
inaC	Vps28	2	6	1e-04	0	0.5
sno	Vps28	2	6	4e-04	0	0.5
jagn	Vps28	2	6	0	0	0.5
dpn	Vps28	2	6	4e-04	0	0.5
wrapper	Vps28	2	6	0	0	0.5
Ca.alpha1D	Vps28	2	6	0	0	0.5
E2f	Vps28	2	6	0	0	0.5
Dp	Vps28	2	6	0	0	0.5
l.2.efl	Vps28	2	6	4e-04	0	0.5
cnc	Vps28	2	6	1e-04	0	0.5
Atg5	Vps28	2	6	0	0	0.5
acj6	Vps28	2	6	0	0	0.5
Trl	Vps28	2	6	3e-04	0	0.5
d4	Vps28	2	6	0	0	0.5
CG16719	Vps28	2	6	0	0	0.5
CadN	Vps28	2	6	1e-04	0	0.5
gro	Vps28	2	6	2e-04	0	0.5
sec13	Vps28	2	6	0	0	0.5
klar	Vps28	2	6	1e-04	0	0.5
Rack1	Vps28	2	6	0	0	0.5
Sobp	Vps28	2	6	0	0	0.5
ash1	Vps28	2	6	2e-04	0	0.5
inv	Vps28	2	6	0	0	0.5
shot	Vps28	2	6	0	0	0.5
Oseg1	Vps28	2	6	3e-04	0	0.5
Spred	Vps28	2	6	0	0	0.5
puc	Vps28	2	6	0	0	0.5
Atg6	Vps28	2	6	0	0	0.5
CG3829	Vps28	2	6	0	0	0.5
sle	Vps28	2	6	0	0	0.5
Cka	Vps28	2	6	1e-04	0	0.5
form3	Vps28	2	6	8e-04	0	0.5
Pk61C	Vps28	2	6	2e-04	0	0.5
Pcaf	Vps28	2	6	0	0	0.5
sbb	Vps28	2	6	0	0	0.5
Ef1gamma	Vps28	2	6	4e-04	0	0.5
FKBP59	Vps28	2	6	0	0	0.5
Eip71CD	Vps28	2	6	3e-04	0	0.5
xmas.2	Vps28	2	6	0	0	0.5
ppan	Vps28	2	6	7e-04	0	0.5
Iswi	Vps28	2	6	2e-04	0	0.5
ine	Vps28	2	6	3e-04	0	0.5
Tina.1	Vps28	2	6	0	0	0.5
bon	Vps28	2	6	0	0	0.5
pot	Vps28	2	6	0	0	0.5
chic	Vps28	2	6	3e-04	0	0.5
Hem	Vps28	2	6	0	0	0.5
chif	Vps28	2	6	0	0	0.5
S6kII	Vps28	2	6	0	0	0.5
wal	Vps28	2	6	0	0	0.5
wls	Vps28	2	6	0	0	0.5
Ddx1	Vps28	2	6	0	0	0.5
Sulf1	Vps28	2	6	6e-04	0	0.5
CG3987	Vps28	2	6	3e-04	0	0.5
Abd.B	Vps28	2	6	0	0	0.5
Uba1	Vps28	2	6	0	0	0.5
bigmax	Vps28	2	6	2e-04	0	0.5
NAT1	Vps28	2	6	0	0	0.5
wupA	Vps28	2	6	2e-04	0	0.5
Vps28	Vps28	2	6	3e-04	0	0.5
G.oalpha47A	Vps28	2	6	1e-04	0	0.5
G.salpha60A	Vps28	2	6	0	0	0.5
dsf	Vps28	2	6	2e-04	0	0.5
Khc	Vps28	2	6	1e-04	0	0.5
CG10641	Vps28	2	6	0.0012	0	0.5
Alk	Vps28	2	6	2e-04	0	0.5
ey	Vps28	2	6	1e-04	0	0.5
noc	Vps28	2	6	0	0	0.5
ix	Vps28	2	6	1e-04	0	0.5
Optix	Vps28	2	6	0	0	0.5
sdt	Vps28	2	6	0	0	0.5
Sxl	Vps28	2	6	0	0	0.5
rib	Vps28	2	6	2e-04	0	0.5
sas	Vps28	2	6	0	0	0.5
Scgdelta	Vps28	2	6	1e-04	0	0.5
sw	Vps28	2	6	3e-04	0	0.5
fal	Vps28	2	6	0	0	0.5
ea	Vps28	2	6	2e-04	0	0.5
Ice	Vps28	2	6	0	0	0.5
cic	Vps28	2	6	0	0	0.5
Dok	Vps28	2	6	0	0	0.5
rhea	Vps28	2	6	5e-04	0	0.5
Glycogenin	Vps28	2	6	0	0	0.5
cin	Vps28	2	6	0	0	0.5
chp	Vps28	2	6	2e-04	0	0.5
Dlic2	Vps28	2	6	3e-04	0	0.5
Pk92B	Vps28	2	6	0	0	0.5
Pak	Vps28	2	6	6e-04	0	0.5
Lim1	Vps28	2	6	1e-04	0	0.5
CG34450	Vps28	2	6	0	0	0.5
Su.H.	Vps28	2	6	0	0	0.5
CG12301	Vps28	2	6	0	0	0.5
lilli	Vps28	2	6	5e-04	0	0.5
toe	Vps28	2	6	0	0	0.5
qkr58E.3	Vps28	2	6	0	0	0.5
up	Vps28	2	6	3e-04	0	0.5
hep	Vps28	2	6	4e-04	0	0.5
Dap160	Vps28	2	6	3e-04	0	0.5
l.2.gd1	Vps28	2	6	0	0	0.5
