Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	W	2	6	0	0	0.5
emp	W	2	6	0	0	0.5
CG2678	W	2	6	0	0	0.5
crc	W	2	6	0	0	0.5
pros	W	2	6	1e-04	0	0.5
neur	W	2	6	0	0	0.5
Rab5	W	2	6	0	0	0.5
Rab7	W	2	6	0	0	0.5
Mmp2	W	2	6	0	0	0.5
W	W	2	6	0	0	0.5
bowl	W	2	6	0	0	0.5
fd59A	W	2	6	1e-04	0	0.5
e	W	2	6	1e-04	0	0.5
ben	W	2	6	0	0	0.5
rdo	W	2	6	0	0	0.5
lin	W	2	6	1e-04	0	0.5
tra	W	2	6	0	0	0.5
tra2	W	2	6	3e-04	0	0.5
cathD	W	2	6	6e-04	0	0.5
d	W	2	6	1e-04	0	0.5
lva	W	2	6	0	0	0.5
pbl	W	2	6	6e-04	0	0.5
CG33205	W	2	6	5e-04	0	0.5
da	W	2	6	0	0	0.5
cactin	W	2	6	7e-04	0	0.5
hpo	W	2	6	0	0	0.5
Sema.2a	W	2	6	0	0	0.5
Eip74EF	W	2	6	0	0	0.5
eg	W	2	6	0	0	0.5
Arc42	W	2	6	0	0	0.5
toy	W	2	6	2e-04	0	0.5
Galpha73B	W	2	6	0	0	0.5
RhoGAPp190	W	2	6	1e-04	0	0.5
MED11	W	2	6	0	0	0.5
cher	W	2	6	4e-04	0	0.5
BicD	W	2	6	5e-04	0	0.5
MYPT.75D	W	2	6	0	0	0.5
mus304	W	2	6	4e-04	0	0.5
CdsA	W	2	6	0	0	0.5
btl	W	2	6	0	0	0.5
Cyt.c.d	W	2	6	0	0	0.5
tok	W	2	6	3e-04	0	0.5
ttk	W	2	6	6e-04	0	0.5
tamo	W	2	6	0	0	0.5
CG6416	W	2	6	4e-04	0	0.5
flfl	W	2	6	6e-04	0	0.5
Pvr	W	2	6	0	0	0.5
kay	W	2	6	2e-04	0	0.5
Jra	W	2	6	0	0	0.5
msk	W	2	6	3e-04	0	0.5
tll	W	2	6	0	0	0.5
Tm1	W	2	6	0	0	0.5
srp	W	2	6	4e-04	0	0.5
Btk29A	W	2	6	0	0	0.5
fred	W	2	6	5e-04	0	0.5
Src64B	W	2	6	7e-04	0	0.5
Mmp1	W	2	6	0	0	0.5
sll	W	2	6	0	0	0.5
Hmgs	W	2	6	0	0	0.5
caps	W	2	6	2e-04	0	0.5
Su.var.2.10	W	2	6	0.001	0	0.5
CycB	W	2	6	0	0	0.5
spir	W	2	6	0	0	0.5
spn.A	W	2	6	0	0	0.5
Ptpmeg	W	2	6	1e-04	0	0.5
qua	W	2	6	0	0	0.5
msn	W	2	6	0	0	0.5
ena	W	2	6	0	0	0.5
spen	W	2	6	0	0	0.5
emc	W	2	6	1e-04	0	0.5
tsh	W	2	6	0	0	0.5
Dat	W	2	6	0	0	0.5
Lac	W	2	6	0	0	0.5
dup	W	2	6	4e-04	0	0.5
CG3075	W	2	6	0	0	0.5
Akap200	W	2	6	0	0	0.5
CG18369	W	2	6	0	0	0.5
bnl	W	2	6	0	0	0.5
sec23	W	2	6	0	0	0.5
Pde8	W	2	6	2e-04	0	0.5
Arp66B	W	2	6	0	0	0.5
cos	W	2	6	0	0	0.5
Borr	W	2	6	0	0	0.5
X140up	W	2	6	0	0	0.5
Dhc64C	W	2	6	0	0	0.5
Not1	W	2	6	0	0	0.5
CG9520	W	2	6	2e-04	0	0.5
bib	W	2	6	0	0	0.5
mib1	W	2	6	0	0	0.5
cas	W	2	6	0	0	0.5
Abi	W	2	6	0	0	0.5
betaTub56D	W	2	6	3e-04	0	0.5
nej	W	2	6	0	0	0.5
dlg1	W	2	6	0	0	0.5
Lcp65Ag1	W	2	6	0	0	0.5
Es2	W	2	6	0	0	0.5
MED24	W	2	6	0	0	0.5
Vhl	W	2	6	0	0	0.5
tral	W	2	6	0	0	0.5
sns	W	2	6	4e-04	0	0.5
mbl	W	2	6	0	0	0.5
sav	W	2	6	6e-04	0	0.5
lola	W	2	6	0	0	0.5
robo	W	2	6	0	0	0.5
CG32486	W	2	6	1	-0.99914	0.5
santa.maria	W	2	6	0	0	0.5
stumps	W	2	6	0	0	0.5
abd.A	W	2	6	0	0	0.5
dock	W	2	6	0	0	0.5
Lar	W	2	6	0	0	0.5
l.1.G0289	W	2	6	0	0	0.5
Abl	W	2	6	0	0	0.5
Syb	W	2	6	4e-04	0	0.5
dome	W	2	6	2e-04	0	0.5
ofs	W	2	6	1e-04	0	0.5
MED4	W	2	6	2e-04	0	0.5
scrib	W	2	6	0	0	0.5
siz	W	2	6	0	0	0.5
cbx	W	2	6	0	0	0.5
dsx	W	2	6	0	0	0.5
Sb	W	2	6	0	0	0.5
sax	W	2	6	1e-04	0	0.5
foxo	W	2	6	0	0	0.5
Cyp1	W	2	6	0	0	0.5
brm	W	2	6	5e-04	0	0.5
rad50	W	2	6	9e-04	0	0.5
chico	W	2	6	3e-04	0	0.5
cp309	W	2	6	0.0021	0	0.5
hdc	W	2	6	2e-04	0	0.5
Axn	W	2	6	0	0	0.5
Apc2	W	2	6	0	0	0.5
PhKgamma	W	2	6	0	0	0.5
eya	W	2	6	0	0	0.5
sktl	W	2	6	0	0	0.5
sqd	W	2	6	3e-04	0	0.5
Akt1	W	2	6	0	0	0.5
scyl	W	2	6	0.0014	0	0.5
cnk	W	2	6	0	0	0.5
CG8149	W	2	6	0	0	0.5
CG34379	W	2	6	0	0	0.5
Yp1	W	2	6	0	0	0.5
yrt	W	2	6	0	0	0.5
bap	W	2	6	0	0	0.5
tud	W	2	6	5e-04	0	0.5
ct	W	2	6	0	0	0.5
tup	W	2	6	0	0	0.5
G.ialpha65A	W	2	6	0	0	0.5
knrl	W	2	6	3e-04	0	0.5
Pkn	W	2	6	5e-04	0	0.5
Sry.delta	W	2	6	0	0	0.5
Alh	W	2	6	0	0	0.5
pnut	W	2	6	1e-04	0	0.5
phyl	W	2	6	0	0	0.5
CG17739	W	2	6	0	0	0.5
B4	W	2	6	0	0	0.5
CG2681	W	2	6	0	0	0.5
tow	W	2	6	3e-04	0	0.5
hkl	W	2	6	0.0013	0	0.5
sina	W	2	6	0	0	0.5
ry	W	2	6	3e-04	0	0.5
rux	W	2	6	0	0	0.5
boss	W	2	6	0	0	0.5
Mkp3	W	2	6	0	0	0.5
inaC	W	2	6	0	0	0.5
sno	W	2	6	0	0	0.5
jagn	W	2	6	0	0	0.5
dpn	W	2	6	0	0	0.5
wrapper	W	2	6	0	0	0.5
Ca.alpha1D	W	2	6	0	0	0.5
E2f	W	2	6	1e-04	0	0.5
Dp	W	2	6	8e-04	0	0.5
l.2.efl	W	2	6	0	0	0.5
cnc	W	2	6	0	0	0.5
Atg5	W	2	6	2e-04	0	0.5
acj6	W	2	6	0	0	0.5
Trl	W	2	6	4e-04	0	0.5
d4	W	2	6	0	0	0.5
CG16719	W	2	6	0.0011	0	0.5
CadN	W	2	6	0	0	0.5
gro	W	2	6	0	0	0.5
sec13	W	2	6	0	0	0.5
klar	W	2	6	0	0	0.5
Rack1	W	2	6	1e-04	0	0.5
Sobp	W	2	6	2e-04	0	0.5
ash1	W	2	6	5e-04	0	0.5
inv	W	2	6	0	0	0.5
shot	W	2	6	0	0	0.5
Oseg1	W	2	6	4e-04	0	0.5
Spred	W	2	6	0	0	0.5
puc	W	2	6	0	0	0.5
Atg6	W	2	6	0	0	0.5
CG3829	W	2	6	2e-04	0	0.5
sle	W	2	6	1e-04	0	0.5
Cka	W	2	6	0	0	0.5
form3	W	2	6	0	0	0.5
Pk61C	W	2	6	7e-04	0	0.5
Pcaf	W	2	6	0	0	0.5
sbb	W	2	6	0	0	0.5
Ef1gamma	W	2	6	0	0	0.5
FKBP59	W	2	6	0	0	0.5
Eip71CD	W	2	6	0	0	0.5
xmas.2	W	2	6	0	0	0.5
ppan	W	2	6	0	0	0.5
Iswi	W	2	6	0	0	0.5
ine	W	2	6	0	0	0.5
Tina.1	W	2	6	2e-04	0	0.5
bon	W	2	6	0	0	0.5
pot	W	2	6	0	0	0.5
chic	W	2	6	2e-04	0	0.5
Hem	W	2	6	0	0	0.5
chif	W	2	6	2e-04	0	0.5
S6kII	W	2	6	0	0	0.5
wal	W	2	6	8e-04	0	0.5
wls	W	2	6	0	0	0.5
Ddx1	W	2	6	3e-04	0	0.5
Sulf1	W	2	6	0	0	0.5
CG3987	W	2	6	1e-04	0	0.5
Abd.B	W	2	6	0	0	0.5
Uba1	W	2	6	0	0	0.5
bigmax	W	2	6	0	0	0.5
NAT1	W	2	6	0	0	0.5
wupA	W	2	6	0	0	0.5
Vps28	W	2	6	1e-04	0	0.5
G.oalpha47A	W	2	6	0	0	0.5
G.salpha60A	W	2	6	6e-04	0	0.5
dsf	W	2	6	7e-04	0	0.5
Khc	W	2	6	0	0	0.5
CG10641	W	2	6	1e-04	0	0.5
Alk	W	2	6	0	0	0.5
ey	W	2	6	0	0	0.5
noc	W	2	6	0	0	0.5
ix	W	2	6	0	0	0.5
Optix	W	2	6	4e-04	0	0.5
sdt	W	2	6	0	0	0.5
Sxl	W	2	6	0	0	0.5
rib	W	2	6	0	0	0.5
sas	W	2	6	0	0	0.5
Scgdelta	W	2	6	0	0	0.5
sw	W	2	6	5e-04	0	0.5
fal	W	2	6	0	0	0.5
ea	W	2	6	0	0	0.5
Ice	W	2	6	0	0	0.5
cic	W	2	6	0	0	0.5
Dok	W	2	6	0	0	0.5
rhea	W	2	6	4e-04	0	0.5
Glycogenin	W	2	6	0	0	0.5
cin	W	2	6	0	0	0.5
