Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	Wnt5	2	6	2e-04	0	0.5
emp	Wnt5	2	6	0.001	0	0.5
CG2678	Wnt5	2	6	5e-04	0	0.5
crc	Wnt5	2	6	0.0045	0	0.5
pros	Wnt5	2	6	0.002	0	0.5
neur	Wnt5	2	6	0.0013	0	0.5
Rab5	Wnt5	2	6	8e-04	0	0.5
Rab7	Wnt5	2	6	0.0021	0	0.5
Mmp2	Wnt5	2	6	0	0	0.5
W	Wnt5	2	6	0.0353	0	0.5
bowl	Wnt5	2	6	9e-04	0	0.5
fd59A	Wnt5	2	6	0.0012	0	0.5
e	Wnt5	2	6	0.0012	0	0.5
ben	Wnt5	2	6	3e-04	0	0.5
rdo	Wnt5	2	6	2e-04	0	0.5
lin	Wnt5	2	6	4e-04	0	0.5
tra	Wnt5	2	6	4e-04	0	0.5
tra2	Wnt5	2	6	6e-04	0	0.5
cathD	Wnt5	2	6	4e-04	0	0.5
d	Wnt5	2	6	9e-04	0	0.5
lva	Wnt5	2	6	0	0	0.5
pbl	Wnt5	2	6	8e-04	0	0.5
CG33205	Wnt5	2	6	6e-04	0	0.5
da	Wnt5	2	6	0.002	0	0.5
cactin	Wnt5	2	6	0.0013	0	0.5
hpo	Wnt5	2	6	7e-04	0	0.5
Sema.2a	Wnt5	2	6	6e-04	0	0.5
Eip74EF	Wnt5	2	6	0.0012	0	0.5
eg	Wnt5	2	6	4e-04	0	0.5
Arc42	Wnt5	2	6	2e-04	0	0.5
toy	Wnt5	2	6	7e-04	0	0.5
Galpha73B	Wnt5	2	6	7e-04	0	0.5
RhoGAPp190	Wnt5	2	6	9e-04	0	0.5
MED11	Wnt5	2	6	4e-04	0	0.5
cher	Wnt5	2	6	4e-04	0	0.5
BicD	Wnt5	2	6	0.0015	0	0.5
MYPT.75D	Wnt5	2	6	5e-04	0	0.5
mus304	Wnt5	2	6	0.0019	0	0.5
CdsA	Wnt5	2	6	0.0012	0	0.5
btl	Wnt5	2	6	8e-04	0	0.5
Cyt.c.d	Wnt5	2	6	4e-04	0	0.5
tok	Wnt5	2	6	9e-04	0	0.5
ttk	Wnt5	2	6	3e-04	0	0.5
tamo	Wnt5	2	6	2e-04	0	0.5
CG6416	Wnt5	2	6	0	0	0.5
flfl	Wnt5	2	6	0.001	0	0.5
Pvr	Wnt5	2	6	0.0033	0	0.5
kay	Wnt5	2	6	6e-04	0	0.5
Jra	Wnt5	2	6	0.0015	0	0.5
msk	Wnt5	2	6	0.0072	0	0.5
tll	Wnt5	2	6	7e-04	0	0.5
Tm1	Wnt5	2	6	8e-04	0	0.5
srp	Wnt5	2	6	3e-04	0	0.5
Btk29A	Wnt5	2	6	6e-04	0	0.5
fred	Wnt5	2	6	4e-04	0	0.5
Src64B	Wnt5	2	6	5e-04	0	0.5
Mmp1	Wnt5	2	6	0	0	0.5
