Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	X14.3.3zeta	2	6	1e-04	0	0.5
emp	X14.3.3zeta	2	6	0	0	0.5
CG2678	X14.3.3zeta	2	6	0	0	0.5
crc	X14.3.3zeta	2	6	0	0	0.5
pros	X14.3.3zeta	2	6	0	0	0.5
neur	X14.3.3zeta	2	6	4e-04	0	0.5
Rab5	X14.3.3zeta	2	6	0	0	0.5
Rab7	X14.3.3zeta	2	6	0	0	0.5
Mmp2	X14.3.3zeta	2	6	1e-04	0	0.5
W	X14.3.3zeta	2	6	0	0	0.5
bowl	X14.3.3zeta	2	6	0	0	0.5
fd59A	X14.3.3zeta	2	6	8e-04	0	0.5
e	X14.3.3zeta	2	6	0	0	0.5
ben	X14.3.3zeta	2	6	0	0	0.5
rdo	X14.3.3zeta	2	6	3e-04	0	0.5
lin	X14.3.3zeta	2	6	0	0	0.5
tra	X14.3.3zeta	2	6	1e-04	0	0.5
tra2	X14.3.3zeta	2	6	0	0	0.5
cathD	X14.3.3zeta	2	6	1e-04	0	0.5
d	X14.3.3zeta	2	6	0	0	0.5
lva	X14.3.3zeta	2	6	0	0	0.5
pbl	X14.3.3zeta	2	6	4e-04	0	0.5
CG33205	X14.3.3zeta	2	6	0	0	0.5
da	X14.3.3zeta	2	6	0	0	0.5
cactin	X14.3.3zeta	2	6	0	0	0.5
hpo	X14.3.3zeta	2	6	0	0	0.5
Sema.2a	X14.3.3zeta	2	6	3e-04	0	0.5
Eip74EF	X14.3.3zeta	2	6	5e-04	0	0.5
eg	X14.3.3zeta	2	6	1e-04	0	0.5
Arc42	X14.3.3zeta	2	6	0	0	0.5
toy	X14.3.3zeta	2	6	0	0	0.5
Galpha73B	X14.3.3zeta	2	6	5e-04	0	0.5
RhoGAPp190	X14.3.3zeta	2	6	0	0	0.5
MED11	X14.3.3zeta	2	6	0.0019	0	0.5
cher	X14.3.3zeta	2	6	0	0	0.5
BicD	X14.3.3zeta	2	6	0.0011	0	0.5
MYPT.75D	X14.3.3zeta	2	6	0	0	0.5
mus304	X14.3.3zeta	2	6	4e-04	0	0.5
CdsA	X14.3.3zeta	2	6	3e-04	0	0.5
btl	X14.3.3zeta	2	6	1e-04	0	0.5
Cyt.c.d	X14.3.3zeta	2	6	0	0	0.5
tok	X14.3.3zeta	2	6	0	0	0.5
ttk	X14.3.3zeta	2	6	0	0	0.5
tamo	X14.3.3zeta	2	6	0	0	0.5
