Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	X140up	2	6	7e-04	0	0.5
emp	X140up	2	6	7e-04	0	0.5
CG2678	X140up	2	6	0.0012	0	0.5
crc	X140up	2	6	0.001	0	0.5
pros	X140up	2	6	2e-04	0	0.5
neur	X140up	2	6	2e-04	0	0.5
Rab5	X140up	2	6	0.0022	0	0.5
Rab7	X140up	2	6	4e-04	0	0.5
Mmp2	X140up	2	6	1e-04	0	0.5
W	X140up	2	6	2e-04	0	0.5
bowl	X140up	2	6	4e-04	0	0.5
fd59A	X140up	2	6	1e-04	0	0.5
e	X140up	2	6	3e-04	0	0.5
ben	X140up	2	6	7e-04	0	0.5
rdo	X140up	2	6	0	0	0.5
lin	X140up	2	6	0.0022	0	0.5
tra	X140up	2	6	0.0018	0	0.5
tra2	X140up	2	6	0.0024	0	0.5
cathD	X140up	2	6	6e-04	0	0.5
d	X140up	2	6	6e-04	0	0.5
lva	X140up	2	6	2e-04	0	0.5
pbl	X140up	2	6	1e-04	0	0.5
CG33205	X140up	2	6	0.0039	0	0.5
da	X140up	2	6	4e-04	0	0.5
cactin	X140up	2	6	0.0036	0	0.5
hpo	X140up	2	6	7e-04	0	0.5
Sema.2a	X140up	2	6	0.0022	0	0.5
Eip74EF	X140up	2	6	4e-04	0	0.5
eg	X140up	2	6	0.0035	0	0.5
Arc42	X140up	2	6	4e-04	0	0.5
toy	X140up	2	6	0	0	0.5
Galpha73B	X140up	2	6	7e-04	0	0.5
RhoGAPp190	X140up	2	6	0.0041	0	0.5
MED11	X140up	2	6	4e-04	0	0.5
cher	X140up	2	6	7e-04	0	0.5
BicD	X140up	2	6	0.0015	0	0.5
MYPT.75D	X140up	2	6	8e-04	0	0.5
mus304	X140up	2	6	1e-04	0	0.5
CdsA	X140up	2	6	0.0765	0	0.5
btl	X140up	2	6	7e-04	0	0.5
Cyt.c.d	X140up	2	6	5e-04	0	0.5
tok	X140up	2	6	4e-04	0	0.5
ttk	X140up	2	6	0.001	0	0.5
tamo	X140up	2	6	0.0023	0	0.5
CG6416	X140up	2	6	0.001	0	0.5
flfl	X140up	2	6	0.001	0	0.5
Pvr	X140up	2	6	0.0021	0	0.5
kay	X140up	2	6	4e-04	0	0.5
Jra	X140up	2	6	0.001	0	0.5
msk	X140up	2	6	6e-04	0	0.5
tll	X140up	2	6	5e-04	0	0.5
Tm1	X140up	2	6	2e-04	0	0.5
srp	X140up	2	6	2e-04	0	0.5
Btk29A	X140up	2	6	0	0	0.5
fred	X140up	2	6	0.0011	0	0.5
Src64B	X140up	2	6	9e-04	0	0.5
Mmp1	X140up	2	6	0.0012	0	0.5
sll	X140up	2	6	5e-04	0	0.5
Hmgs	X140up	2	6	0.0037	0	0.5
caps	X140up	2	6	4e-04	0	0.5
Su.var.2.10	X140up	2	6	5e-04	0	0.5
CycB	X140up	2	6	1e-04	0	0.5
spir	X140up	2	6	8e-04	0	0.5
spn.A	X140up	2	6	8e-04	0	0.5
Ptpmeg	X140up	2	6	7e-04	0	0.5
qua	X140up	2	6	4e-04	0	0.5
msn	X140up	2	6	2e-04	0	0.5
ena	X140up	2	6	3e-04	0	0.5
spen	X140up	2	6	6e-04	0	0.5
emc	X140up	2	6	3e-04	0	0.5
tsh	X140up	2	6	8e-04	0	0.5
Dat	X140up	2	6	1e-04	0	0.5
Lac	X140up	2	6	4e-04	0	0.5
dup	X140up	2	6	1e-04	0	0.5
CG3075	X140up	2	6	3e-04	0	0.5
Akap200	X140up	2	6	0.0083	0	0.5
CG18369	X140up	2	6	0.0027	0	0.5
bnl	X140up	2	6	5e-04	0	0.5
sec23	X140up	2	6	6e-04	0	0.5
Pde8	X140up	2	6	0.0012	0	0.5
Arp66B	X140up	2	6	2e-04	0	0.5
cos	X140up	2	6	4e-04	0	0.5
Borr	X140up	2	6	3e-04	0	0.5
X140up	X140up	2	6	6e-04	0	0.5
Dhc64C	X140up	2	6	0.0013	0	0.5
Not1	X140up	2	6	0.0012	0	0.5
CG9520	X140up	2	6	9e-04	0	0.5
bib	X140up	2	6	5e-04	0	0.5
mib1	X140up	2	6	6e-04	0	0.5
cas	X140up	2	6	1e-04	0	0.5
Abi	X140up	2	6	0.0027	0	0.5
betaTub56D	X140up	2	6	0.0032	0	0.5
nej	X140up	2	6	0.001	0	0.5
dlg1	X140up	2	6	0.0065	0	0.5
Lcp65Ag1	X140up	2	6	1e-04	0	0.5
Es2	X140up	2	6	0.0015	0	0.5
MED24	X140up	2	6	4e-04	0	0.5
Vhl	X140up	2	6	1e-04	0	0.5
tral	X140up	2	6	4e-04	0	0.5
sns	X140up	2	6	0.001	0	0.5
mbl	X140up	2	6	2e-04	0	0.5
sav	X140up	2	6	8e-04	0	0.5
lola	X140up	2	6	0.0015	0	0.5
robo	X140up	2	6	2e-04	0	0.5
CG32486	X140up	2	6	6e-04	0	0.5
santa.maria	X140up	2	6	4e-04	0	0.5
stumps	X140up	2	6	0.0012	0	0.5
abd.A	X140up	2	6	1e-04	0	0.5
dock	X140up	2	6	0.0018	0	0.5
Lar	X140up	2	6	6e-04	0	0.5
l.1.G0289	X140up	2	6	2e-04	0	0.5
Abl	X140up	2	6	4e-04	0	0.5
Syb	X140up	2	6	5e-04	0	0.5
dome	X140up	2	6	3e-04	0	0.5
ofs	X140up	2	6	4e-04	0	0.5
MED4	X140up	2	6	3e-04	0	0.5
scrib	X140up	2	6	4e-04	0	0.5
siz	X140up	2	6	7e-04	0	0.5
cbx	X140up	2	6	5e-04	0	0.5
dsx	X140up	2	6	8e-04	0	0.5
Sb	X140up	2	6	3e-04	0	0.5
sax	X140up	2	6	0.0011	0	0.5
foxo	X140up	2	6	0.0013	0	0.5
Cyp1	X140up	2	6	0.0028	0	0.5
brm	X140up	2	6	0.0011	0	0.5
rad50	X140up	2	6	8e-04	0	0.5
chico	X140up	2	6	8e-04	0	0.5
cp309	X140up	2	6	1e-04	0	0.5
hdc	X140up	2	6	8e-04	0	0.5
Axn	X140up	2	6	0.001	0	0.5
Apc2	X140up	2	6	4e-04	0	0.5
PhKgamma	X140up	2	6	5e-04	0	0.5
eya	X140up	2	6	0.0011	0	0.5
sktl	X140up	2	6	4e-04	0	0.5
sqd	X140up	2	6	2e-04	0	0.5
Akt1	X140up	2	6	8e-04	0	0.5
scyl	X140up	2	6	3e-04	0	0.5
cnk	X140up	2	6	7e-04	0	0.5
CG8149	X140up	2	6	2e-04	0	0.5
CG34379	X140up	2	6	0.0018	0	0.5
Yp1	X140up	2	6	4e-04	0	0.5
yrt	X140up	2	6	5e-04	0	0.5
bap	X140up	2	6	4e-04	0	0.5
tud	X140up	2	6	4e-04	0	0.5
ct	X140up	2	6	0.0011	0	0.5
tup	X140up	2	6	3e-04	0	0.5
G.ialpha65A	X140up	2	6	0.0015	0	0.5
knrl	X140up	2	6	5e-04	0	0.5
Pkn	X140up	2	6	5e-04	0	0.5
Sry.delta	X140up	2	6	0.001	0	0.5
Alh	X140up	2	6	6e-04	0	0.5
pnut	X140up	2	6	0	0	0.5
phyl	X140up	2	6	5e-04	0	0.5
CG17739	X140up	2	6	6e-04	0	0.5
B4	X140up	2	6	4e-04	0	0.5
CG2681	X140up	2	6	4e-04	0	0.5
tow	X140up	2	6	6e-04	0	0.5
hkl	X140up	2	6	8e-04	0	0.5
sina	X140up	2	6	3e-04	0	0.5
ry	X140up	2	6	0.0017	0	0.5
rux	X140up	2	6	0.0012	0	0.5
boss	X140up	2	6	4e-04	0	0.5
Mkp3	X140up	2	6	3e-04	0	0.5
inaC	X140up	2	6	3e-04	0	0.5
sno	X140up	2	6	0.0013	0	0.5
jagn	X140up	2	6	0.001	0	0.5
dpn	X140up	2	6	0.001	0	0.5
wrapper	X140up	2	6	0.0012	0	0.5
Ca.alpha1D	X140up	2	6	2e-04	0	0.5
E2f	X140up	2	6	4e-04	0	0.5
Dp	X140up	2	6	0.0012	0	0.5
l.2.efl	X140up	2	6	7e-04	0	0.5
cnc	X140up	2	6	4e-04	0	0.5
Atg5	X140up	2	6	0.0021	0	0.5
acj6	X140up	2	6	4e-04	0	0.5
Trl	X140up	2	6	0.0013	0	0.5
d4	X140up	2	6	6e-04	0	0.5
CG16719	X140up	2	6	2e-04	0	0.5
CadN	X140up	2	6	0.0499	0	0.5
gro	X140up	2	6	0.0042	0	0.5
sec13	X140up	2	6	0.0015	0	0.5
klar	X140up	2	6	0.0017	0	0.5
Rack1	X140up	2	6	2e-04	0	0.5
Sobp	X140up	2	6	9e-04	0	0.5
ash1	X140up	2	6	5e-04	0	0.5
inv	X140up	2	6	0.0048	0	0.5
shot	X140up	2	6	9e-04	0	0.5
Oseg1	X140up	2	6	0.0014	0	0.5
Spred	X140up	2	6	1e-04	0	0.5
puc	X140up	2	6	8e-04	0	0.5
Atg6	X140up	2	6	9e-04	0	0.5
CG3829	X140up	2	6	5e-04	0	0.5
sle	X140up	2	6	5e-04	0	0.5
Cka	X140up	2	6	5e-04	0	0.5
form3	X140up	2	6	8e-04	0	0.5
Pk61C	X140up	2	6	7e-04	0	0.5
Pcaf	X140up	2	6	0.001	0	0.5
sbb	X140up	2	6	0.0076	0	0.5
Ef1gamma	X140up	2	6	0.0015	0	0.5
FKBP59	X140up	2	6	4e-04	0	0.5
Eip71CD	X140up	2	6	2e-04	0	0.5
xmas.2	X140up	2	6	8e-04	0	0.5
ppan	X140up	2	6	0.0023	0	0.5
Iswi	X140up	2	6	2e-04	0	0.5
ine	X140up	2	6	0.0023	0	0.5
Tina.1	X140up	2	6	6e-04	0	0.5
bon	X140up	2	6	0.0027	0	0.5
pot	X140up	2	6	0.001	0	0.5
chic	X140up	2	6	0.0019	0	0.5
Hem	X140up	2	6	0.0014	0	0.5
chif	X140up	2	6	0.0017	0	0.5
S6kII	X140up	2	6	4e-04	0	0.5
wal	X140up	2	6	8e-04	0	0.5
wls	X140up	2	6	3e-04	0	0.5
Ddx1	X140up	2	6	7e-04	0	0.5
Sulf1	X140up	2	6	5e-04	0	0.5
CG3987	X140up	2	6	0.0033	0	0.5
Abd.B	X140up	2	6	8e-04	0	0.5
Uba1	X140up	2	6	0.0015	0	0.5
bigmax	X140up	2	6	0.001	0	0.5
NAT1	X140up	2	6	0	0	0.5
wupA	X140up	2	6	3e-04	0	0.5
Vps28	X140up	2	6	0.0014	0	0.5
G.oalpha47A	X140up	2	6	7e-04	0	0.5
G.salpha60A	X140up	2	6	1e-04	0	0.5
dsf	X140up	2	6	0.0013	0	0.5
Khc	X140up	2	6	1e-04	0	0.5
CG10641	X140up	2	6	1e-04	0	0.5
Alk	X140up	2	6	0.0045	0	0.5
ey	X140up	2	6	1e-04	0	0.5
noc	X140up	2	6	2e-04	0	0.5
ix	X140up	2	6	8e-04	0	0.5
Optix	X140up	2	6	8e-04	0	0.5
sdt	X140up	2	6	0	0	0.5
Sxl	X140up	2	6	4e-04	0	0.5
rib	X140up	2	6	0	0	0.5
sas	X140up	2	6	0.006	0	0.5
Scgdelta	X140up	2	6	6e-04	0	0.5
sw	X140up	2	6	5e-04	0	0.5
fal	X140up	2	6	7e-04	0	0.5
ea	X140up	2	6	1e-04	0	0.5
Ice	X140up	2	6	8e-04	0	0.5
cic	X140up	2	6	7e-04	0	0.5
Dok	X140up	2	6	5e-04	0	0.5
rhea	X140up	2	6	4e-04	0	0.5
Glycogenin	X140up	2	6	9e-04	0	0.5
cin	X140up	2	6	6e-04	0	0.5
chp	X140up	2	6	2e-04	0	0.5
Dlic2	X140up	2	6	0.002	0	0.5
Pk92B	X140up	2	6	1e-04	0	0.5
Pak	X140up	2	6	7e-04	0	0.5
Lim1	X140up	2	6	7e-04	0	0.5
CG34450	X140up	2	6	0.0029	0	0.5
Su.H.	X140up	2	6	0.001	0	0.5
CG12301	X140up	2	6	0.001	0	0.5
lilli	X140up	2	6	0.003	0	0.5
toe	X140up	2	6	0.0012	0	0.5
qkr58E.3	X140up	2	6	5e-04	0	0.5
up	X140up	2	6	4e-04	0	0.5
hep	X140up	2	6	7e-04	0	0.5
Dap160	X140up	2	6	0.0012	0	0.5
l.2.gd1	X140up	2	6	1e-04	0	0.5
hkb	X140up	2	6	9e-04	0	0.5
beta4GalNAcTA	X140up	2	6	0.0011	0	0.5
Mer	X140up	2	6	3e-04	0	0.5
Mtl	X140up	2	6	0.0015	0	0.5
spin	X140up	2	6	5e-04	0	0.5
mfas	X140up	2	6	1e-04	0	0.5
frc	X140up	2	6	7e-04	0	0.5
Krn	X140up	2	6	5e-04	0	0.5
mam	X140up	2	6	3e-04	0	0.5
brk	X140up	2	6	1e-04	0	0.5
Ark	X140up	2	6	3e-04	0	0.5
mmy	X140up	2	6	0.0066	0	0.5
mri	X140up	2	6	0.0048	0	0.5
Crk	X140up	2	6	1e-04	0	0.5
ssh	X140up	2	6	5e-04	0	0.5
fs.1.K10	X140up	2	6	7e-04	0	0.5
Psn	X140up	2	6	0.0011	0	0.5
CG9509	X140up	2	6	1e-04	0	0.5
CkIIalpha	X140up	2	6	0.0014	0	0.5
car	X140up	2	6	4e-04	0	0.5
capu	X140up	2	6	0.0012	0	0.5
cact	X140up	2	6	3e-04	0	0.5
Patj	X140up	2	6	0.0013	0	0.5
