Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	X18w	2	6	0	0	0.5
emp	X18w	2	6	2e-04	0	0.5
CG2678	X18w	2	6	1e-04	0	0.5
crc	X18w	2	6	4e-04	0	0.5
pros	X18w	2	6	9e-04	0	0.5
neur	X18w	2	6	2e-04	0	0.5
Rab5	X18w	2	6	1e-04	0	0.5
Rab7	X18w	2	6	5e-04	0	0.5
Mmp2	X18w	2	6	0	0	0.5
W	X18w	2	6	4e-04	0	0.5
bowl	X18w	2	6	1e-04	0	0.5
fd59A	X18w	2	6	0	0	0.5
e	X18w	2	6	2e-04	0	0.5
ben	X18w	2	6	4e-04	0	0.5
rdo	X18w	2	6	0	0	0.5
lin	X18w	2	6	0.001	0	0.5
tra	X18w	2	6	0	0	0.5
tra2	X18w	2	6	0.0024	0	0.5
cathD	X18w	2	6	7e-04	0	0.5
d	X18w	2	6	0.0031	0	0.5
lva	X18w	2	6	0	0	0.5
pbl	X18w	2	6	3e-04	0	0.5
CG33205	X18w	2	6	9e-04	0	0.5
da	X18w	2	6	2e-04	0	0.5
cactin	X18w	2	6	8e-04	0	0.5
hpo	X18w	2	6	0	0	0.5
Sema.2a	X18w	2	6	8e-04	0	0.5
Eip74EF	X18w	2	6	7e-04	0	0.5
eg	X18w	2	6	0	0	0.5
Arc42	X18w	2	6	0.0016	0	0.5
toy	X18w	2	6	8e-04	0	0.5
Galpha73B	X18w	2	6	0.0015	0	0.5
RhoGAPp190	X18w	2	6	4e-04	0	0.5
MED11	X18w	2	6	7e-04	0	0.5
cher	X18w	2	6	0.0019	0	0.5
BicD	X18w	2	6	0	0	0.5
MYPT.75D	X18w	2	6	1e-04	0	0.5
mus304	X18w	2	6	6e-04	0	0.5
CdsA	X18w	2	6	5e-04	0	0.5
btl	X18w	2	6	5e-04	0	0.5
Cyt.c.d	X18w	2	6	0	0	0.5
tok	X18w	2	6	3e-04	0	0.5
ttk	X18w	2	6	1e-04	0	0.5
tamo	X18w	2	6	1e-04	0	0.5
CG6416	X18w	2	6	1e-04	0	0.5
flfl	X18w	2	6	0	0	0.5
Pvr	X18w	2	6	5e-04	0	0.5
kay	X18w	2	6	6e-04	0	0.5
Jra	X18w	2	6	2e-04	0	0.5
msk	X18w	2	6	6e-04	0	0.5
tll	X18w	2	6	0.002	0	0.5
Tm1	X18w	2	6	1e-04	0	0.5
srp	X18w	2	6	1e-04	0	0.5
Btk29A	X18w	2	6	1e-04	0	0.5
fred	X18w	2	6	4e-04	0	0.5
Src64B	X18w	2	6	0	0	0.5
Mmp1	X18w	2	6	0	0	0.5
sll	X18w	2	6	3e-04	0	0.5
Hmgs	X18w	2	6	3e-04	0	0.5
caps	X18w	2	6	0	0	0.5
Su.var.2.10	X18w	2	6	2e-04	0	0.5
CycB	X18w	2	6	1e-04	0	0.5
spir	X18w	2	6	2e-04	0	0.5
spn.A	X18w	2	6	4e-04	0	0.5
Ptpmeg	X18w	2	6	9e-04	0	0.5
qua	X18w	2	6	2e-04	0	0.5
msn	X18w	2	6	1e-04	0	0.5
ena	X18w	2	6	3e-04	0	0.5
spen	X18w	2	6	8e-04	0	0.5
emc	X18w	2	6	0	0	0.5
tsh	X18w	2	6	0	0	0.5
Dat	X18w	2	6	0.0014	0	0.5
Lac	X18w	2	6	0.0063	0	0.5
dup	X18w	2	6	1e-04	0	0.5
CG3075	X18w	2	6	0	0	0.5
Akap200	X18w	2	6	0	0	0.5
CG18369	X18w	2	6	5e-04	0	0.5
bnl	X18w	2	6	0	0	0.5
sec23	X18w	2	6	5e-04	0	0.5
Pde8	X18w	2	6	3e-04	0	0.5
Arp66B	X18w	2	6	2e-04	0	0.5
cos	X18w	2	6	0	0	0.5
Borr	X18w	2	6	4e-04	0	0.5
X140up	X18w	2	6	0	0	0.5
Dhc64C	X18w	2	6	4e-04	0	0.5
Not1	X18w	2	6	4e-04	0	0.5
CG9520	X18w	2	6	0	0	0.5
bib	X18w	2	6	2e-04	0	0.5
mib1	X18w	2	6	0.0073	0	0.5
cas	X18w	2	6	0	0	0.5
Abi	X18w	2	6	2e-04	0	0.5
betaTub56D	X18w	2	6	9e-04	0	0.5
nej	X18w	2	6	3e-04	0	0.5
dlg1	X18w	2	6	4e-04	0	0.5
Lcp65Ag1	X18w	2	6	3e-04	0	0.5
Es2	X18w	2	6	5e-04	0	0.5
MED24	X18w	2	6	1e-04	0	0.5
Vhl	X18w	2	6	5e-04	0	0.5
tral	X18w	2	6	3e-04	0	0.5
sns	X18w	2	6	5e-04	0	0.5
mbl	X18w	2	6	5e-04	0	0.5
sav	X18w	2	6	1e-04	0	0.5
lola	X18w	2	6	0	0	0.5
robo	X18w	2	6	7e-04	0	0.5
CG32486	X18w	2	6	4e-04	0	0.5
santa.maria	X18w	2	6	0	0	0.5
stumps	X18w	2	6	4e-04	0	0.5
abd.A	X18w	2	6	0.001	0	0.5
dock	X18w	2	6	1e-04	0	0.5
Lar	X18w	2	6	0	0	0.5
l.1.G0289	X18w	2	6	0	0	0.5
Abl	X18w	2	6	2e-04	0	0.5
Syb	X18w	2	6	9e-04	0	0.5
dome	X18w	2	6	0	0	0.5
ofs	X18w	2	6	0	0	0.5
MED4	X18w	2	6	0	0	0.5
scrib	X18w	2	6	0	0	0.5
siz	X18w	2	6	1e-04	0	0.5
cbx	X18w	2	6	5e-04	0	0.5
dsx	X18w	2	6	1e-04	0	0.5
Sb	X18w	2	6	2e-04	0	0.5
sax	X18w	2	6	5e-04	0	0.5
foxo	X18w	2	6	2e-04	0	0.5
Cyp1	X18w	2	6	6e-04	0	0.5
brm	X18w	2	6	1e-04	0	0.5
rad50	X18w	2	6	3e-04	0	0.5
chico	X18w	2	6	0.0012	0	0.5
cp309	X18w	2	6	4e-04	0	0.5
hdc	X18w	2	6	9e-04	0	0.5
Axn	X18w	2	6	6e-04	0	0.5
Apc2	X18w	2	6	6e-04	0	0.5
PhKgamma	X18w	2	6	2e-04	0	0.5
eya	X18w	2	6	0	0	0.5
sktl	X18w	2	6	0	0	0.5
sqd	X18w	2	6	6e-04	0	0.5
Akt1	X18w	2	6	1e-04	0	0.5
scyl	X18w	2	6	2e-04	0	0.5
cnk	X18w	2	6	0	0	0.5
CG8149	X18w	2	6	0	0	0.5
CG34379	X18w	2	6	6e-04	0	0.5
Yp1	X18w	2	6	6e-04	0	0.5
yrt	X18w	2	6	1e-04	0	0.5
bap	X18w	2	6	0	0	0.5
tud	X18w	2	6	1e-04	0	0.5
ct	X18w	2	6	7e-04	0	0.5
tup	X18w	2	6	2e-04	0	0.5
G.ialpha65A	X18w	2	6	0.0015	0	0.5
knrl	X18w	2	6	0.0013	0	0.5
Pkn	X18w	2	6	0	0	0.5
Sry.delta	X18w	2	6	0.0235	0	0.5
Alh	X18w	2	6	7e-04	0	0.5
pnut	X18w	2	6	1e-04	0	0.5
phyl	X18w	2	6	5e-04	0	0.5
CG17739	X18w	2	6	1e-04	0	0.5
B4	X18w	2	6	4e-04	0	0.5
CG2681	X18w	2	6	0.001	0	0.5
tow	X18w	2	6	0	0	0.5
hkl	X18w	2	6	0.0014	0	0.5
sina	X18w	2	6	0	0	0.5
ry	X18w	2	6	6e-04	0	0.5
rux	X18w	2	6	4e-04	0	0.5
boss	X18w	2	6	1e-04	0	0.5
Mkp3	X18w	2	6	1e-04	0	0.5
inaC	X18w	2	6	7e-04	0	0.5
sno	X18w	2	6	2e-04	0	0.5
