Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	acj6	2	6	0	0	0.5
emp	acj6	2	6	2e-04	0	0.5
CG2678	acj6	2	6	0	0	0.5
crc	acj6	2	6	0	0	0.5
pros	acj6	2	6	0	0	0.5
neur	acj6	2	6	0	0	0.5
Rab5	acj6	2	6	3e-04	0	0.5
Rab7	acj6	2	6	0	0	0.5
Mmp2	acj6	2	6	1e-04	0	0.5
W	acj6	2	6	0	0	0.5
bowl	acj6	2	6	0	0	0.5
fd59A	acj6	2	6	1e-04	0	0.5
e	acj6	2	6	0	0	0.5
ben	acj6	2	6	6e-04	0	0.5
rdo	acj6	2	6	0	0	0.5
lin	acj6	2	6	0	0	0.5
tra	acj6	2	6	0	0	0.5
tra2	acj6	2	6	2e-04	0	0.5
cathD	acj6	2	6	0	0	0.5
d	acj6	2	6	2e-04	0	0.5
lva	acj6	2	6	4e-04	0	0.5
pbl	acj6	2	6	0	0	0.5
CG33205	acj6	2	6	1e-04	0	0.5
da	acj6	2	6	0	0	0.5
cactin	acj6	2	6	2e-04	0	0.5
hpo	acj6	2	6	1e-04	0	0.5
Sema.2a	acj6	2	6	2e-04	0	0.5
Eip74EF	acj6	2	6	0	0	0.5
eg	acj6	2	6	0	0	0.5
Arc42	acj6	2	6	0	0	0.5
toy	acj6	2	6	0	0	0.5
Galpha73B	acj6	2	6	0	0	0.5
RhoGAPp190	acj6	2	6	0	0	0.5
MED11	acj6	2	6	3e-04	0	0.5
cher	acj6	2	6	2e-04	0	0.5
BicD	acj6	2	6	0	0	0.5
MYPT.75D	acj6	2	6	1e-04	0	0.5
mus304	acj6	2	6	0	0	0.5
CdsA	acj6	2	6	0	0	0.5
btl	acj6	2	6	0	0	0.5
Cyt.c.d	acj6	2	6	0	0	0.5
tok	acj6	2	6	0	0	0.5
ttk	acj6	2	6	0	0	0.5
tamo	acj6	2	6	1e-04	0	0.5
CG6416	acj6	2	6	0	0	0.5
flfl	acj6	2	6	0	0	0.5
Pvr	acj6	2	6	0	0	0.5
kay	acj6	2	6	1e-04	0	0.5
Jra	acj6	2	6	0	0	0.5
msk	acj6	2	6	3e-04	0	0.5
tll	acj6	2	6	0	0	0.5
Tm1	acj6	2	6	0	0	0.5
srp	acj6	2	6	5e-04	0	0.5
Btk29A	acj6	2	6	0	0	0.5
fred	acj6	2	6	0	0	0.5
Src64B	acj6	2	6	0	0	0.5
Mmp1	acj6	2	6	0	0	0.5
sll	acj6	2	6	1e-04	0	0.5
Hmgs	acj6	2	6	0	0	0.5
caps	acj6	2	6	0	0	0.5
Su.var.2.10	acj6	2	6	0	0	0.5
CycB	acj6	2	6	4e-04	0	0.5
spir	acj6	2	6	0	0	0.5
spn.A	acj6	2	6	0	0	0.5
Ptpmeg	acj6	2	6	0	0	0.5
qua	acj6	2	6	0	0	0.5
msn	acj6	2	6	1e-04	0	0.5
ena	acj6	2	6	0	0	0.5
spen	acj6	2	6	0	0	0.5
emc	acj6	2	6	0	0	0.5
tsh	acj6	2	6	0	0	0.5
Dat	acj6	2	6	6e-04	0	0.5
Lac	acj6	2	6	0	0	0.5
dup	acj6	2	6	0	0	0.5
CG3075	acj6	2	6	0	0	0.5
Akap200	acj6	2	6	0	0	0.5
CG18369	acj6	2	6	6e-04	0	0.5
bnl	acj6	2	6	0	0	0.5
sec23	acj6	2	6	0	0	0.5
Pde8	acj6	2	6	0	0	0.5
Arp66B	acj6	2	6	0	0	0.5
cos	acj6	2	6	0	0	0.5
Borr	acj6	2	6	0	0	0.5
X140up	acj6	2	6	1e-04	0	0.5
Dhc64C	acj6	2	6	0	0	0.5
Not1	acj6	2	6	0	0	0.5
CG9520	acj6	2	6	0	0	0.5
bib	acj6	2	6	0	0	0.5
mib1	acj6	2	6	1e-04	0	0.5
cas	acj6	2	6	1e-04	0	0.5
Abi	acj6	2	6	1e-04	0	0.5
betaTub56D	acj6	2	6	0	0	0.5
nej	acj6	2	6	0	0	0.5
dlg1	acj6	2	6	0	0	0.5
Lcp65Ag1	acj6	2	6	0	0	0.5
Es2	acj6	2	6	5e-04	0	0.5
MED24	acj6	2	6	5e-04	0	0.5
Vhl	acj6	2	6	0	0	0.5
tral	acj6	2	6	1e-04	0	0.5
sns	acj6	2	6	1e-04	0	0.5
mbl	acj6	2	6	0	0	0.5
sav	acj6	2	6	0	0	0.5
lola	acj6	2	6	0	0	0.5
robo	acj6	2	6	0	0	0.5
CG32486	acj6	2	6	0	0	0.5
santa.maria	acj6	2	6	1	0.99961	0.5
stumps	acj6	2	6	0	0	0.5
abd.A	acj6	2	6	0	0	0.5
dock	acj6	2	6	1e-04	0	0.5
Lar	acj6	2	6	0	0	0.5
l.1.G0289	acj6	2	6	0	0	0.5
Abl	acj6	2	6	0	0	0.5
Syb	acj6	2	6	0	0	0.5
dome	acj6	2	6	0	0	0.5
ofs	acj6	2	6	0	0	0.5
MED4	acj6	2	6	2e-04	0	0.5
scrib	acj6	2	6	0	0	0.5
siz	acj6	2	6	0	0	0.5
cbx	acj6	2	6	0	0	0.5
dsx	acj6	2	6	1e-04	0	0.5
Sb	acj6	2	6	1e-04	0	0.5
sax	acj6	2	6	1e-04	0	0.5
foxo	acj6	2	6	0	0	0.5
Cyp1	acj6	2	6	1e-04	0	0.5
brm	acj6	2	6	0	0	0.5
rad50	acj6	2	6	0	0	0.5
chico	acj6	2	6	0	0	0.5
cp309	acj6	2	6	0	0	0.5
hdc	acj6	2	6	1e-04	0	0.5
Axn	acj6	2	6	0	0	0.5
Apc2	acj6	2	6	0	0	0.5
PhKgamma	acj6	2	6	1e-04	0	0.5
eya	acj6	2	6	0	0	0.5
sktl	acj6	2	6	0	0	0.5
sqd	acj6	2	6	0	0	0.5
Akt1	acj6	2	6	0	0	0.5
scyl	acj6	2	6	0	0	0.5
cnk	acj6	2	6	0	0	0.5
CG8149	acj6	2	6	0	0	0.5
CG34379	acj6	2	6	0	0	0.5
Yp1	acj6	2	6	2e-04	0	0.5
yrt	acj6	2	6	0	0	0.5
bap	acj6	2	6	0	0	0.5
tud	acj6	2	6	0	0	0.5
ct	acj6	2	6	0	0	0.5
tup	acj6	2	6	0	0	0.5
G.ialpha65A	acj6	2	6	0	0	0.5
knrl	acj6	2	6	0	0	0.5
Pkn	acj6	2	6	0	0	0.5
Sry.delta	acj6	2	6	0	0	0.5
Alh	acj6	2	6	0	0	0.5
pnut	acj6	2	6	0	0	0.5
phyl	acj6	2	6	0	0	0.5
CG17739	acj6	2	6	3e-04	0	0.5
B4	acj6	2	6	1e-04	0	0.5
CG2681	acj6	2	6	0	0	0.5
tow	acj6	2	6	0	0	0.5
hkl	acj6	2	6	0	0	0.5
sina	acj6	2	6	1e-04	0	0.5
ry	acj6	2	6	0	0	0.5
rux	acj6	2	6	1e-04	0	0.5
boss	acj6	2	6	0	0	0.5
Mkp3	acj6	2	6	2e-04	0	0.5
inaC	acj6	2	6	4e-04	0	0.5
sno	acj6	2	6	0	0	0.5
jagn	acj6	2	6	3e-04	0	0.5
dpn	acj6	2	6	0	0	0.5
wrapper	acj6	2	6	0	0	0.5
Ca.alpha1D	acj6	2	6	2e-04	0	0.5
E2f	acj6	2	6	2e-04	0	0.5
Dp	acj6	2	6	0	0	0.5
l.2.efl	acj6	2	6	0	0	0.5
cnc	acj6	2	6	0	0	0.5
Atg5	acj6	2	6	1e-04	0	0.5
acj6	acj6	2	6	0	0	0.5
Trl	acj6	2	6	1e-04	0	0.5
d4	acj6	2	6	0	0	0.5
CG16719	acj6	2	6	0	0	0.5
CadN	acj6	2	6	0	0	0.5
gro	acj6	2	6	0	0	0.5
sec13	acj6	2	6	0	0	0.5
klar	acj6	2	6	0	0	0.5
Rack1	acj6	2	6	1e-04	0	0.5
Sobp	acj6	2	6	0	0	0.5
ash1	acj6	2	6	2e-04	0	0.5
inv	acj6	2	6	1e-04	0	0.5
shot	acj6	2	6	0	0	0.5
Oseg1	acj6	2	6	6e-04	0	0.5
Spred	acj6	2	6	1e-04	0	0.5
puc	acj6	2	6	1e-04	0	0.5
Atg6	acj6	2	6	0	0	0.5
CG3829	acj6	2	6	1e-04	0	0.5
sle	acj6	2	6	0	0	0.5
Cka	acj6	2	6	0	0	0.5
form3	acj6	2	6	0	0	0.5
Pk61C	acj6	2	6	0	0	0.5
Pcaf	acj6	2	6	1e-04	0	0.5
sbb	acj6	2	6	0	0	0.5
Ef1gamma	acj6	2	6	0	0	0.5
FKBP59	acj6	2	6	0	0	0.5
Eip71CD	acj6	2	6	0	0	0.5
xmas.2	acj6	2	6	0	0	0.5
ppan	acj6	2	6	0	0	0.5
Iswi	acj6	2	6	1e-04	0	0.5
ine	acj6	2	6	0	0	0.5
Tina.1	acj6	2	6	0	0	0.5
bon	acj6	2	6	0	0	0.5
pot	acj6	2	6	0	0	0.5
chic	acj6	2	6	1e-04	0	0.5
Hem	acj6	2	6	0	0	0.5
chif	acj6	2	6	0	0	0.5
S6kII	acj6	2	6	0	0	0.5
wal	acj6	2	6	1e-04	0	0.5
wls	acj6	2	6	0	0	0.5
Ddx1	acj6	2	6	0	0	0.5
Sulf1	acj6	2	6	0	0	0.5
CG3987	acj6	2	6	0	0	0.5
Abd.B	acj6	2	6	0	0	0.5
Uba1	acj6	2	6	0	0	0.5
bigmax	acj6	2	6	0	0	0.5
NAT1	acj6	2	6	0	0	0.5
wupA	acj6	2	6	0	0	0.5
Vps28	acj6	2	6	0	0	0.5
G.oalpha47A	acj6	2	6	0	0	0.5
G.salpha60A	acj6	2	6	0	0	0.5
dsf	acj6	2	6	0	0	0.5
Khc	acj6	2	6	4e-04	0	0.5
CG10641	acj6	2	6	0	0	0.5
Alk	acj6	2	6	0	0	0.5
ey	acj6	2	6	0	0	0.5
noc	acj6	2	6	0	0	0.5
ix	acj6	2	6	7e-04	0	0.5
Optix	acj6	2	6	0	0	0.5
sdt	acj6	2	6	0	0	0.5
Sxl	acj6	2	6	0	0	0.5
rib	acj6	2	6	0	0	0.5
sas	acj6	2	6	0	0	0.5
Scgdelta	acj6	2	6	0	0	0.5
sw	acj6	2	6	3e-04	0	0.5
fal	acj6	2	6	0	0	0.5
ea	acj6	2	6	1e-04	0	0.5
Ice	acj6	2	6	0	0	0.5
cic	acj6	2	6	2e-04	0	0.5
Dok	acj6	2	6	0	0	0.5
rhea	acj6	2	6	0	0	0.5
Glycogenin	acj6	2	6	0	0	0.5
cin	acj6	2	6	0	0	0.5
chp	acj6	2	6	0	0	0.5
Dlic2	acj6	2	6	0	0	0.5
Pk92B	acj6	2	6	0	0	0.5
Pak	acj6	2	6	0	0	0.5
Lim1	acj6	2	6	0	0	0.5
CG34450	acj6	2	6	0	0	0.5
Su.H.	acj6	2	6	1e-04	0	0.5
CG12301	acj6	2	6	0	0	0.5
lilli	acj6	2	6	0	0	0.5
toe	acj6	2	6	0	0	0.5
qkr58E.3	acj6	2	6	1e-04	0	0.5
up	acj6	2	6	1e-04	0	0.5
hep	acj6	2	6	0	0	0.5
Dap160	acj6	2	6	0	0	0.5
l.2.gd1	acj6	2	6	0	0	0.5
hkb	acj6	2	6	0	0	0.5
beta4GalNAcTA	acj6	2	6	0	0	0.5
Mer	acj6	2	6	0	0	0.5
Mtl	acj6	2	6	0	0	0.5
spin	acj6	2	6	0	0	0.5
mfas	acj6	2	6	1e-04	0	0.5
frc	acj6	2	6	0	0	0.5
Krn	acj6	2	6	0	0	0.5
mam	acj6	2	6	1e-04	0	0.5
brk	acj6	2	6	0	0	0.5
Ark	acj6	2	6	0	0	0.5
mmy	acj6	2	6	0	0	0.5
mri	acj6	2	6	0	0	0.5
Crk	acj6	2	6	0	0	0.5
ssh	acj6	2	6	0	0	0.5
fs.1.K10	acj6	2	6	0	0	0.5
Psn	acj6	2	6	0	0	0.5
CG9509	acj6	2	6	0	0	0.5
CkIIalpha	acj6	2	6	0	0	0.5
car	acj6	2	6	0	0	0.5
capu	acj6	2	6	0	0	0.5
cact	acj6	2	6	1e-04	0	0.5
Patj	acj6	2	6	1e-04	0	0.5
dpp	acj6	2	6	3e-04	0	0.5
xl6	acj6	2	6	2e-04	0	0.5
dally	acj6	2	6	0	0	0.5
Pi3K92E	acj6	2	6	1e-04	0	0.5
E.bx.	acj6	2	6	4e-04	0	0.5
emb	acj6	2	6	0	0	0.5
CtBP	acj6	2	6	5e-04	0	0.5
Dad	acj6	2	6	1e-04	0	0.5
amx	acj6	2	6	0	0	0.5
Ank2	acj6	2	6	0	0	0.5
CG34417	acj6	2	6	1e-04	0	0.5
scra	acj6	2	6	0	0	0.5
dsd	acj6	2	6	1e-04	0	0.5
Ephrin	acj6	2	6	0	0	0.5
Appl	acj6	2	6	1e-04	0	0.5
sty	acj6	2	6	3e-04	0	0.5
RhoL	acj6	2	6	1e-04	0	0.5
twi	acj6	2	6	0	0	0.5
tub	acj6	2	6	0	0	0.5
ftz.f1	acj6	2	6	0	0	0.5
wg	acj6	2	6	0	0	0.5
LanB1	acj6	2	6	0	0	0.5
LanA	acj6	2	6	0	0	0.5
LanB2	acj6	2	6	1e-04	0	0.5
Chi	acj6	2	6	0	0	0.5
nmo	acj6	2	6	0	0	0.5
ics	acj6	2	6	0	0	0.5
oaf	acj6	2	6	1e-04	0	0.5
dco	acj6	2	6	0	0	0.5
Dys	acj6	2	6	2e-04	0	0.5
drm	acj6	2	6	0	0	0.5
RpL30	acj6	2	6	0	0	0.5
how	acj6	2	6	0	0	0.5
dei	acj6	2	6	0	0	0.5
CG1244	acj6	2	6	0	0	0.5
Chc	acj6	2	6	0	0	0.5
Orct	acj6	2	6	0	0	0.5
sgl	acj6	2	6	2e-04	0	0.5
CG17221	acj6	2	6	0	0	0.5
gkt	acj6	2	6	2e-04	0	0.5
by	acj6	2	6	0	0	0.5
Pka.C3	acj6	2	6	0	0	0.5
vlc	acj6	2	6	0	0	0.5
fl.2.d	acj6	2	6	0	0	0.5
Nf1	acj6	2	6	0	0	0.5
CG6372	acj6	2	6	0	0	0.5
Rho1	acj6	2	6	0	0	0.5
kuk	acj6	2	6	0	0	0.5
l.2.gl	acj6	2	6	4e-04	0	0.5
Ald	acj6	2	6	0	0	0.5
jumu	acj6	2	6	0	0	0.5
glu	acj6	2	6	0	0	0.5
fs.2.ltoPP43	acj6	2	6	0	0	0.5
CycE	acj6	2	6	3e-04	0	0.5
CG8247	acj6	2	6	1e-04	0	0.5
CSN4	acj6	2	6	0	0	0.5
X18w	acj6	2	6	1e-04	0	0.5
bs	acj6	2	6	0	0	0.5
Nrt	acj6	2	6	0	0	0.5
mask	acj6	2	6	0	0	0.5
gl	acj6	2	6	0	0	0.5
Cp1	acj6	2	6	0	0	0.5
ex	acj6	2	6	0	0	0.5
jing	acj6	2	6	0	0	0.5
shrb	acj6	2	6	1e-04	0	0.5
raw	acj6	2	6	0	0	0.5
CG9445	acj6	2	6	0	0	0.5
gbb	acj6	2	6	0	0	0.5
Hs2st	acj6	2	6	0	0	0.5
sls	acj6	2	6	0	0	0.5
kis	acj6	2	6	0	0	0.5
run	acj6	2	6	0	0	0.5
pnr	acj6	2	6	1e-04	0	0.5
pn	acj6	2	6	0	0	0.5
pnt	acj6	2	6	0	0	0.5
Fmr1	acj6	2	6	0	0	0.5
Myo31DF	acj6	2	6	0	0	0.5
ALiX	acj6	2	6	0	0	0.5
sgg	acj6	2	6	0	0	0.5
mbt	acj6	2	6	0	0	0.5
Sin3A	acj6	2	6	8e-04	0	0.5
dnc	acj6	2	6	0	0	0.5
morgue	acj6	2	6	0	0	0.5
Set2	acj6	2	6	0	0	0.5
exu	acj6	2	6	0	0	0.5
odd	acj6	2	6	0	0	0.5
esc	acj6	2	6	1e-04	0	0.5
dah	acj6	2	6	0	0	0.5
Taf4	acj6	2	6	2e-04	0	0.5
Jafrac2	acj6	2	6	1e-04	0	0.5
Fas3	acj6	2	6	0	0	0.5
wus	acj6	2	6	0	0	0.5
Wnt5	acj6	2	6	0	0	0.5
sprt	acj6	2	6	1e-04	0	0.5
jar	acj6	2	6	4e-04	0	0.5
v	acj6	2	6	0	0	0.5
Snap	acj6	2	6	2e-04	0	0.5
vap	acj6	2	6	4e-04	0	0.5
Src42A	acj6	2	6	0	0	0.5
esg	acj6	2	6	0	0	0.5
zfh1	acj6	2	6	0	0	0.5
alien	acj6	2	6	0	0	0.5
peb	acj6	2	6	0	0	0.5
par.1	acj6	2	6	0	0	0.5
hyd	acj6	2	6	0	0	0.5
trc	acj6	2	6	0	0	0.5
Eip63E	acj6	2	6	0	0	0.5
ird5	acj6	2	6	0	0	0.5
bl	acj6	2	6	0	0	0.5
Syx1A	acj6	2	6	4e-04	0	0.5
drl	acj6	2	6	0	0	0.5
rg	acj6	2	6	5e-04	0	0.5
apt	acj6	2	6	0	0	0.5
svr	acj6	2	6	6e-04	0	0.5
sar1	acj6	2	6	0	0	0.5
Tab2	acj6	2	6	2e-04	0	0.5
zfh2	acj6	2	6	1e-04	0	0.5
dj	acj6	2	6	0	0	0.5
tum	acj6	2	6	6e-04	0	0.5
