Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	alien	2	6	0	0	0.5
emp	alien	2	6	0	0	0.5
CG2678	alien	2	6	0	0	0.5
crc	alien	2	6	6e-04	0	0.5
pros	alien	2	6	0	0	0.5
neur	alien	2	6	0	0	0.5
Rab5	alien	2	6	0	0	0.5
Rab7	alien	2	6	0	0	0.5
Mmp2	alien	2	6	0	0	0.5
W	alien	2	6	0	0	0.5
bowl	alien	2	6	0	0	0.5
fd59A	alien	2	6	0	0	0.5
e	alien	2	6	0	0	0.5
ben	alien	2	6	0	0	0.5
rdo	alien	2	6	0	0	0.5
lin	alien	2	6	0	0	0.5
tra	alien	2	6	2e-04	0	0.5
tra2	alien	2	6	0	0	0.5
cathD	alien	2	6	0	0	0.5
d	alien	2	6	0	0	0.5
lva	alien	2	6	2e-04	0	0.5
pbl	alien	2	6	0	0	0.5
CG33205	alien	2	6	0	0	0.5
da	alien	2	6	0	0	0.5
cactin	alien	2	6	0	0	0.5
hpo	alien	2	6	0	0	0.5
Sema.2a	alien	2	6	0	0	0.5
Eip74EF	alien	2	6	0	0	0.5
eg	alien	2	6	1e-04	0	0.5
Arc42	alien	2	6	0	0	0.5
toy	alien	2	6	3e-04	0	0.5
Galpha73B	alien	2	6	0	0	0.5
RhoGAPp190	alien	2	6	0	0	0.5
MED11	alien	2	6	0	0	0.5
cher	alien	2	6	0	0	0.5
BicD	alien	2	6	0	0	0.5
MYPT.75D	alien	2	6	2e-04	0	0.5
mus304	alien	2	6	2e-04	0	0.5
CdsA	alien	2	6	5e-04	0	0.5
btl	alien	2	6	0	0	0.5
Cyt.c.d	alien	2	6	0	0	0.5
tok	alien	2	6	0	0	0.5
ttk	alien	2	6	0	0	0.5
tamo	alien	2	6	1e-04	0	0.5
CG6416	alien	2	6	0	0	0.5
flfl	alien	2	6	0	0	0.5
Pvr	alien	2	6	1e-04	0	0.5
kay	alien	2	6	0	0	0.5
Jra	alien	2	6	0	0	0.5
msk	alien	2	6	0	0	0.5
tll	alien	2	6	1e-04	0	0.5
Tm1	alien	2	6	0	0	0.5
srp	alien	2	6	0	0	0.5
Btk29A	alien	2	6	0	0	0.5
fred	alien	2	6	0	0	0.5
Src64B	alien	2	6	1e-04	0	0.5
Mmp1	alien	2	6	0	0	0.5
sll	alien	2	6	0	0	0.5
Hmgs	alien	2	6	0	0	0.5
caps	alien	2	6	0	0	0.5
Su.var.2.10	alien	2	6	0	0	0.5
CycB	alien	2	6	0	0	0.5
spir	alien	2	6	2e-04	0	0.5
spn.A	alien	2	6	0	0	0.5
Ptpmeg	alien	2	6	0	0	0.5
qua	alien	2	6	0	0	0.5
msn	alien	2	6	0	0	0.5
ena	alien	2	6	0	0	0.5
spen	alien	2	6	0	0	0.5
emc	alien	2	6	0	0	0.5
tsh	alien	2	6	0	0	0.5
Dat	alien	2	6	0	0	0.5
Lac	alien	2	6	0	0	0.5
dup	alien	2	6	0	0	0.5
CG3075	alien	2	6	0	0	0.5
Akap200	alien	2	6	0	0	0.5
CG18369	alien	2	6	0	0	0.5
bnl	alien	2	6	0	0	0.5
sec23	alien	2	6	0	0	0.5
Pde8	alien	2	6	0	0	0.5
Arp66B	alien	2	6	0	0	0.5
cos	alien	2	6	0	0	0.5
Borr	alien	2	6	0	0	0.5
X140up	alien	2	6	0	0	0.5
Dhc64C	alien	2	6	0	0	0.5
Not1	alien	2	6	0	0	0.5
CG9520	alien	2	6	0	0	0.5
bib	alien	2	6	0	0	0.5
mib1	alien	2	6	0	0	0.5
cas	alien	2	6	0	0	0.5
Abi	alien	2	6	0	0	0.5
betaTub56D	alien	2	6	0	0	0.5
nej	alien	2	6	0	0	0.5
dlg1	alien	2	6	0	0	0.5
Lcp65Ag1	alien	2	6	0	0	0.5
Es2	alien	2	6	0	0	0.5
MED24	alien	2	6	0	0	0.5
Vhl	alien	2	6	1e-04	0	0.5
tral	alien	2	6	0	0	0.5
sns	alien	2	6	1e-04	0	0.5
mbl	alien	2	6	3e-04	0	0.5
sav	alien	2	6	2e-04	0	0.5
lola	alien	2	6	3e-04	0	0.5
robo	alien	2	6	1e-04	0	0.5
CG32486	alien	2	6	3e-04	0	0.5
santa.maria	alien	2	6	0	0	0.5
stumps	alien	2	6	0	0	0.5
abd.A	alien	2	6	1e-04	0	0.5
dock	alien	2	6	1e-04	0	0.5
Lar	alien	2	6	0	0	0.5
l.1.G0289	alien	2	6	3e-04	0	0.5
Abl	alien	2	6	0	0	0.5
Syb	alien	2	6	0	0	0.5
dome	alien	2	6	0	0	0.5
ofs	alien	2	6	0	0	0.5
MED4	alien	2	6	0	0	0.5
scrib	alien	2	6	0	0	0.5
siz	alien	2	6	0	0	0.5
cbx	alien	2	6	0	0	0.5
dsx	alien	2	6	0	0	0.5
Sb	alien	2	6	0	0	0.5
sax	alien	2	6	0	0	0.5
foxo	alien	2	6	4e-04	0	0.5
Cyp1	alien	2	6	1e-04	0	0.5
brm	alien	2	6	0	0	0.5
rad50	alien	2	6	1e-04	0	0.5
chico	alien	2	6	1e-04	0	0.5
cp309	alien	2	6	0	0	0.5
hdc	alien	2	6	0	0	0.5
Axn	alien	2	6	0	0	0.5
Apc2	alien	2	6	1e-04	0	0.5
PhKgamma	alien	2	6	0	0	0.5
eya	alien	2	6	2e-04	0	0.5
sktl	alien	2	6	0	0	0.5
sqd	alien	2	6	0	0	0.5
Akt1	alien	2	6	1e-04	0	0.5
scyl	alien	2	6	0	0	0.5
cnk	alien	2	6	0	0	0.5
CG8149	alien	2	6	1e-04	0	0.5
CG34379	alien	2	6	1e-04	0	0.5
Yp1	alien	2	6	5e-04	0	0.5
yrt	alien	2	6	4e-04	0	0.5
bap	alien	2	6	0	0	0.5
tud	alien	2	6	1e-04	0	0.5
ct	alien	2	6	0	0	0.5
tup	alien	2	6	0	0	0.5
G.ialpha65A	alien	2	6	0	0	0.5
knrl	alien	2	6	0	0	0.5
Pkn	alien	2	6	1e-04	0	0.5
Sry.delta	alien	2	6	1e-04	0	0.5
Alh	alien	2	6	0	0	0.5
pnut	alien	2	6	1e-04	0	0.5
phyl	alien	2	6	0	0	0.5
CG17739	alien	2	6	7e-04	0	0.5
B4	alien	2	6	5e-04	0	0.5
CG2681	alien	2	6	3e-04	0	0.5
tow	alien	2	6	0	0	0.5
hkl	alien	2	6	0	0	0.5
sina	alien	2	6	0	0	0.5
ry	alien	2	6	0	0	0.5
rux	alien	2	6	0	0	0.5
boss	alien	2	6	0	0	0.5
Mkp3	alien	2	6	1e-04	0	0.5
inaC	alien	2	6	0	0	0.5
sno	alien	2	6	0	0	0.5
jagn	alien	2	6	5e-04	0	0.5
dpn	alien	2	6	2e-04	0	0.5
wrapper	alien	2	6	0	0	0.5
Ca.alpha1D	alien	2	6	0	0	0.5
E2f	alien	2	6	0	0	0.5
Dp	alien	2	6	3e-04	0	0.5
l.2.efl	alien	2	6	1e-04	0	0.5
cnc	alien	2	6	0	0	0.5
Atg5	alien	2	6	0	0	0.5
acj6	alien	2	6	4e-04	0	0.5
Trl	alien	2	6	0	0	0.5
d4	alien	2	6	0	0	0.5
CG16719	alien	2	6	0	0	0.5
CadN	alien	2	6	0	0	0.5
gro	alien	2	6	1e-04	0	0.5
sec13	alien	2	6	0	0	0.5
klar	alien	2	6	0	0	0.5
Rack1	alien	2	6	0	0	0.5
Sobp	alien	2	6	0	0	0.5
ash1	alien	2	6	1e-04	0	0.5
inv	alien	2	6	0	0	0.5
shot	alien	2	6	0	0	0.5
Oseg1	alien	2	6	0	0	0.5
Spred	alien	2	6	1e-04	0	0.5
puc	alien	2	6	3e-04	0	0.5
Atg6	alien	2	6	1e-04	0	0.5
CG3829	alien	2	6	0	0	0.5
sle	alien	2	6	1e-04	0	0.5
Cka	alien	2	6	0	0	0.5
form3	alien	2	6	0	0	0.5
Pk61C	alien	2	6	2e-04	0	0.5
Pcaf	alien	2	6	0	0	0.5
sbb	alien	2	6	0	0	0.5
Ef1gamma	alien	2	6	0	0	0.5
FKBP59	alien	2	6	0	0	0.5
Eip71CD	alien	2	6	2e-04	0	0.5
xmas.2	alien	2	6	0.0531	0	0.5
ppan	alien	2	6	2e-04	0	0.5
Iswi	alien	2	6	0	0	0.5
ine	alien	2	6	1e-04	0	0.5
Tina.1	alien	2	6	1e-04	0	0.5
bon	alien	2	6	2e-04	0	0.5
pot	alien	2	6	0	0	0.5
chic	alien	2	6	0	0	0.5
Hem	alien	2	6	0	0	0.5
chif	alien	2	6	3e-04	0	0.5
S6kII	alien	2	6	0	0	0.5
wal	alien	2	6	0	0	0.5
wls	alien	2	6	2e-04	0	0.5
Ddx1	alien	2	6	0	0	0.5
Sulf1	alien	2	6	0	0	0.5
CG3987	alien	2	6	5e-04	0	0.5
Abd.B	alien	2	6	0	0	0.5
Uba1	alien	2	6	0	0	0.5
bigmax	alien	2	6	0	0	0.5
NAT1	alien	2	6	1e-04	0	0.5
wupA	alien	2	6	0	0	0.5
Vps28	alien	2	6	4e-04	0	0.5
G.oalpha47A	alien	2	6	0	0	0.5
G.salpha60A	alien	2	6	0	0	0.5
dsf	alien	2	6	0	0	0.5
Khc	alien	2	6	1e-04	0	0.5
CG10641	alien	2	6	0	0	0.5
Alk	alien	2	6	3e-04	0	0.5
ey	alien	2	6	0	0	0.5
noc	alien	2	6	0	0	0.5
ix	alien	2	6	0	0	0.5
Optix	alien	2	6	0	0	0.5
sdt	alien	2	6	0	0	0.5
Sxl	alien	2	6	0	0	0.5
rib	alien	2	6	0	0	0.5
sas	alien	2	6	1e-04	0	0.5
Scgdelta	alien	2	6	0	0	0.5
sw	alien	2	6	0	0	0.5
fal	alien	2	6	1e-04	0	0.5
ea	alien	2	6	0	0	0.5
Ice	alien	2	6	0	0	0.5
cic	alien	2	6	0	0	0.5
Dok	alien	2	6	0	0	0.5
rhea	alien	2	6	1e-04	0	0.5
Glycogenin	alien	2	6	0.0017	0	0.5
cin	alien	2	6	3e-04	0	0.5
chp	alien	2	6	1e-04	0	0.5
Dlic2	alien	2	6	0	0	0.5
Pk92B	alien	2	6	0	0	0.5
Pak	alien	2	6	0	0	0.5
Lim1	alien	2	6	0	0	0.5
CG34450	alien	2	6	0	0	0.5
Su.H.	alien	2	6	0	0	0.5
CG12301	alien	2	6	0	0	0.5
lilli	alien	2	6	0	0	0.5
toe	alien	2	6	6e-04	0	0.5
qkr58E.3	alien	2	6	0	0	0.5
up	alien	2	6	0	0	0.5
hep	alien	2	6	0	0	0.5
Dap160	alien	2	6	0	0	0.5
l.2.gd1	alien	2	6	0	0	0.5
hkb	alien	2	6	0	0	0.5
beta4GalNAcTA	alien	2	6	0	0	0.5
Mer	alien	2	6	5e-04	0	0.5
Mtl	alien	2	6	0	0	0.5
spin	alien	2	6	0	0	0.5
mfas	alien	2	6	0	0	0.5
frc	alien	2	6	0	0	0.5
Krn	alien	2	6	1e-04	0	0.5
mam	alien	2	6	1e-04	0	0.5
brk	alien	2	6	0	0	0.5
Ark	alien	2	6	0	0	0.5
mmy	alien	2	6	0	0	0.5
mri	alien	2	6	2e-04	0	0.5
Crk	alien	2	6	0	0	0.5
ssh	alien	2	6	0	0	0.5
fs.1.K10	alien	2	6	1e-04	0	0.5
Psn	alien	2	6	0	0	0.5
CG9509	alien	2	6	0	0	0.5
CkIIalpha	alien	2	6	0	0	0.5
car	alien	2	6	0	0	0.5
capu	alien	2	6	0	0	0.5
cact	alien	2	6	0	0	0.5
Patj	alien	2	6	0	0	0.5
dpp	alien	2	6	0	0	0.5
xl6	alien	2	6	0	0	0.5
dally	alien	2	6	0	0	0.5
Pi3K92E	alien	2	6	0	0	0.5
E.bx.	alien	2	6	0	0	0.5
emb	alien	2	6	2e-04	0	0.5
CtBP	alien	2	6	0	0	0.5
Dad	alien	2	6	0	0	0.5
amx	alien	2	6	0	0	0.5
Ank2	alien	2	6	0	0	0.5
CG34417	alien	2	6	0	0	0.5
scra	alien	2	6	0	0	0.5
dsd	alien	2	6	0	0	0.5
Ephrin	alien	2	6	1e-04	0	0.5
Appl	alien	2	6	0	0	0.5
sty	alien	2	6	1e-04	0	0.5
RhoL	alien	2	6	0	0	0.5
twi	alien	2	6	0	0	0.5
tub	alien	2	6	0	0	0.5
ftz.f1	alien	2	6	0	0	0.5
wg	alien	2	6	0	0	0.5
LanB1	alien	2	6	0	0	0.5
LanA	alien	2	6	0	0	0.5
LanB2	alien	2	6	0	0	0.5
Chi	alien	2	6	0	0	0.5
nmo	alien	2	6	0	0	0.5
ics	alien	2	6	0	0	0.5
oaf	alien	2	6	0	0	0.5
dco	alien	2	6	0	0	0.5
Dys	alien	2	6	0	0	0.5
drm	alien	2	6	0	0	0.5
RpL30	alien	2	6	2e-04	0	0.5
how	alien	2	6	0	0	0.5
dei	alien	2	6	0	0	0.5
CG1244	alien	2	6	0	0	0.5
Chc	alien	2	6	0	0	0.5
Orct	alien	2	6	3e-04	0	0.5
sgl	alien	2	6	0	0	0.5
CG17221	alien	2	6	2e-04	0	0.5
gkt	alien	2	6	0	0	0.5
by	alien	2	6	0	0	0.5
Pka.C3	alien	2	6	0	0	0.5
vlc	alien	2	6	0	0	0.5
fl.2.d	alien	2	6	1e-04	0	0.5
Nf1	alien	2	6	0	0	0.5
CG6372	alien	2	6	0	0	0.5
Rho1	alien	2	6	0	0	0.5
kuk	alien	2	6	0	0	0.5
l.2.gl	alien	2	6	1e-04	0	0.5
Ald	alien	2	6	0	0	0.5
jumu	alien	2	6	3e-04	0	0.5
glu	alien	2	6	1e-04	0	0.5
fs.2.ltoPP43	alien	2	6	0	0	0.5
CycE	alien	2	6	0	0	0.5
CG8247	alien	2	6	0	0	0.5
CSN4	alien	2	6	0	0	0.5
X18w	alien	2	6	3e-04	0	0.5
bs	alien	2	6	0	0	0.5
Nrt	alien	2	6	3e-04	0	0.5
mask	alien	2	6	0	0	0.5
gl	alien	2	6	0	0	0.5
Cp1	alien	2	6	0	0	0.5
ex	alien	2	6	0	0	0.5
jing	alien	2	6	3e-04	0	0.5
shrb	alien	2	6	3e-04	0	0.5
raw	alien	2	6	0	0	0.5
CG9445	alien	2	6	0	0	0.5
gbb	alien	2	6	2e-04	0	0.5
Hs2st	alien	2	6	0	0	0.5
sls	alien	2	6	0	0	0.5
kis	alien	2	6	0	0	0.5
run	alien	2	6	0	0	0.5
pnr	alien	2	6	1e-04	0	0.5
pn	alien	2	6	1e-04	0	0.5
pnt	alien	2	6	0	0	0.5
Fmr1	alien	2	6	7e-04	0	0.5
Myo31DF	alien	2	6	0	0	0.5
ALiX	alien	2	6	0	0	0.5
sgg	alien	2	6	0	0	0.5
mbt	alien	2	6	1e-04	0	0.5
Sin3A	alien	2	6	3e-04	0	0.5
dnc	alien	2	6	2e-04	0	0.5
morgue	alien	2	6	0	0	0.5
Set2	alien	2	6	0	0	0.5
