Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	amx	2	6	0.0013	0	0.5
emp	amx	2	6	2e-04	0	0.5
CG2678	amx	2	6	7e-04	0	0.5
crc	amx	2	6	0	0	0.5
pros	amx	2	6	1e-04	0	0.5
neur	amx	2	6	3e-04	0	0.5
Rab5	amx	2	6	3e-04	0	0.5
Rab7	amx	2	6	4e-04	0	0.5
Mmp2	amx	2	6	7e-04	0	0.5
W	amx	2	6	5e-04	0	0.5
bowl	amx	2	6	0	0	0.5
fd59A	amx	2	6	0.0022	0	0.5
e	amx	2	6	1e-04	0	0.5
ben	amx	2	6	0	0	0.5
rdo	amx	2	6	0.0037	0	0.5
lin	amx	2	6	0	0	0.5
tra	amx	2	6	0.001	0	0.5
tra2	amx	2	6	0	0	0.5
cathD	amx	2	6	9e-04	0	0.5
d	amx	2	6	7e-04	0	0.5
lva	amx	2	6	0	0	0.5
pbl	amx	2	6	0.0073	0	0.5
CG33205	amx	2	6	1e-04	0	0.5
da	amx	2	6	0.0216	0	0.5
cactin	amx	2	6	0.0116	0	0.5
hpo	amx	2	6	0.0061	0	0.5
Sema.2a	amx	2	6	6e-04	0	0.5
Eip74EF	amx	2	6	2e-04	0	0.5
eg	amx	2	6	0	0	0.5
Arc42	amx	2	6	1e-04	0	0.5
toy	amx	2	6	0	0	0.5
Galpha73B	amx	2	6	0.0014	0	0.5
RhoGAPp190	amx	2	6	0	0	0.5
MED11	amx	2	6	0	0	0.5
cher	amx	2	6	2e-04	0	0.5
BicD	amx	2	6	0	0	0.5
MYPT.75D	amx	2	6	6e-04	0	0.5
mus304	amx	2	6	0.0018	0	0.5
CdsA	amx	2	6	0	0	0.5
btl	amx	2	6	6e-04	0	0.5
Cyt.c.d	amx	2	6	1e-04	0	0.5
tok	amx	2	6	0.0103	0	0.5
ttk	amx	2	6	0	0	0.5
tamo	amx	2	6	0.001	0	0.5
CG6416	amx	2	6	0.001	0	0.5
flfl	amx	2	6	1e-04	0	0.5
Pvr	amx	2	6	1e-04	0	0.5
kay	amx	2	6	0.0031	0	0.5
Jra	amx	2	6	0	0	0.5
msk	amx	2	6	2e-04	0	0.5
tll	amx	2	6	0.0029	0	0.5
Tm1	amx	2	6	1e-04	0	0.5
srp	amx	2	6	4e-04	0	0.5
Btk29A	amx	2	6	3e-04	0	0.5
fred	amx	2	6	8e-04	0	0.5
Src64B	amx	2	6	0.0016	0	0.5
Mmp1	amx	2	6	1e-04	0	0.5
sll	amx	2	6	4e-04	0	0.5
Hmgs	amx	2	6	2e-04	0	0.5
caps	amx	2	6	1e-04	0	0.5
Su.var.2.10	amx	2	6	3e-04	0	0.5
CycB	amx	2	6	5e-04	0	0.5
spir	amx	2	6	5e-04	0	0.5
spn.A	amx	2	6	0.0171	0	0.5
Ptpmeg	amx	2	6	3e-04	0	0.5
qua	amx	2	6	1e-04	0	0.5
msn	amx	2	6	7e-04	0	0.5
ena	amx	2	6	2e-04	0	0.5
spen	amx	2	6	0	0	0.5
emc	amx	2	6	4e-04	0	0.5
tsh	amx	2	6	0	0	0.5
Dat	amx	2	6	0.0025	0	0.5
Lac	amx	2	6	0	0	0.5
dup	amx	2	6	0.002	0	0.5
CG3075	amx	2	6	0.0018	0	0.5
Akap200	amx	2	6	0	0	0.5
CG18369	amx	2	6	0	0	0.5
bnl	amx	2	6	1e-04	0	0.5
sec23	amx	2	6	0.0118	0	0.5
Pde8	amx	2	6	4e-04	0	0.5
