Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	ap	2	6	0	0	0.5
emp	ap	2	6	0	0	0.5
CG2678	ap	2	6	0	0	0.5
crc	ap	2	6	0	0	0.5
pros	ap	2	6	0	0	0.5
neur	ap	2	6	1e-04	0	0.5
Rab5	ap	2	6	0	0	0.5
Rab7	ap	2	6	0	0	0.5
Mmp2	ap	2	6	8e-04	0	0.5
W	ap	2	6	6e-04	0	0.5
bowl	ap	2	6	0	0	0.5
fd59A	ap	2	6	0	0	0.5
e	ap	2	6	0	0	0.5
ben	ap	2	6	5e-04	0	0.5
rdo	ap	2	6	2e-04	0	0.5
lin	ap	2	6	0	0	0.5
tra	ap	2	6	2e-04	0	0.5
tra2	ap	2	6	1	0.99925	0.5
cathD	ap	2	6	2e-04	0	0.5
d	ap	2	6	0	0	0.5
lva	ap	2	6	0	0	0.5
pbl	ap	2	6	0	0	0.5
CG33205	ap	2	6	0	0	0.5
da	ap	2	6	0	0	0.5
cactin	ap	2	6	0	0	0.5
hpo	ap	2	6	8e-04	0	0.5
Sema.2a	ap	2	6	0	0	0.5
Eip74EF	ap	2	6	0	0	0.5
eg	ap	2	6	0	0	0.5
Arc42	ap	2	6	0	0	0.5
toy	ap	2	6	0	0	0.5
Galpha73B	ap	2	6	9e-04	0	0.5
RhoGAPp190	ap	2	6	0	0	0.5
MED11	ap	2	6	5e-04	0	0.5
cher	ap	2	6	0.0023	0	0.5
BicD	ap	2	6	2e-04	0	0.5
MYPT.75D	ap	2	6	0	0	0.5
mus304	ap	2	6	0	0	0.5
CdsA	ap	2	6	5e-04	0	0.5
btl	ap	2	6	6e-04	0	0.5
Cyt.c.d	ap	2	6	2e-04	0	0.5
tok	ap	2	6	0	0	0.5
ttk	ap	2	6	0	0	0.5
tamo	ap	2	6	0	0	0.5
CG6416	ap	2	6	0	0	0.5
flfl	ap	2	6	0	0	0.5
Pvr	ap	2	6	2e-04	0	0.5
kay	ap	2	6	0	0	0.5
Jra	ap	2	6	0	0	0.5
msk	ap	2	6	0	0	0.5
tll	ap	2	6	0	0	0.5
Tm1	ap	2	6	0	0	0.5
srp	ap	2	6	1e-04	0	0.5
Btk29A	ap	2	6	2e-04	0	0.5
fred	ap	2	6	2e-04	0	0.5
Src64B	ap	2	6	0	0	0.5
Mmp1	ap	2	6	0	0	0.5
sll	ap	2	6	0	0	0.5
Hmgs	ap	2	6	0	0	0.5
caps	ap	2	6	6e-04	0	0.5
Su.var.2.10	ap	2	6	3e-04	0	0.5
CycB	ap	2	6	0	0	0.5
spir	ap	2	6	0	0	0.5
spn.A	ap	2	6	0	0	0.5
Ptpmeg	ap	2	6	0	0	0.5
qua	ap	2	6	0	0	0.5
msn	ap	2	6	0	0	0.5
ena	ap	2	6	0	0	0.5
spen	ap	2	6	0	0	0.5
emc	ap	2	6	3e-04	0	0.5
tsh	ap	2	6	2e-04	0	0.5
Dat	ap	2	6	0	0	0.5
Lac	ap	2	6	0	0	0.5
dup	ap	2	6	1e-04	0	0.5
CG3075	ap	2	6	0	0	0.5
Akap200	ap	2	6	0	0	0.5
CG18369	ap	2	6	5e-04	0	0.5
bnl	ap	2	6	0	0	0.5
sec23	ap	2	6	0	0	0.5
Pde8	ap	2	6	1e-04	0	0.5
Arp66B	ap	2	6	6e-04	0	0.5
cos	ap	2	6	2e-04	0	0.5
Borr	ap	2	6	0	0	0.5
X140up	ap	2	6	0	0	0.5
Dhc64C	ap	2	6	0	0	0.5
Not1	ap	2	6	2e-04	0	0.5
CG9520	ap	2	6	0	0	0.5
bib	ap	2	6	0	0	0.5
mib1	ap	2	6	0	0	0.5
cas	ap	2	6	0	0	0.5
Abi	ap	2	6	5e-04	0	0.5
betaTub56D	ap	2	6	0	0	0.5
nej	ap	2	6	0	0	0.5
dlg1	ap	2	6	5e-04	0	0.5
Lcp65Ag1	ap	2	6	0	0	0.5
Es2	ap	2	6	0	0	0.5
MED24	ap	2	6	3e-04	0	0.5
Vhl	ap	2	6	3e-04	0	0.5
tral	ap	2	6	0	0	0.5
sns	ap	2	6	0	0	0.5
mbl	ap	2	6	0	0	0.5
sav	ap	2	6	0	0	0.5
lola	ap	2	6	0	0	0.5
robo	ap	2	6	0	0	0.5
CG32486	ap	2	6	0	0	0.5
santa.maria	ap	2	6	0	0	0.5
stumps	ap	2	6	0	0	0.5
