Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	apt	2	6	0	0	0.5
emp	apt	2	6	0	0	0.5
CG2678	apt	2	6	3e-04	0	0.5
crc	apt	2	6	0.0011	0	0.5
pros	apt	2	6	0	0	0.5
neur	apt	2	6	0	0	0.5
Rab5	apt	2	6	0	0	0.5
Rab7	apt	2	6	0	0	0.5
Mmp2	apt	2	6	0	0	0.5
W	apt	2	6	0	0	0.5
bowl	apt	2	6	0	0	0.5
fd59A	apt	2	6	0	0	0.5
e	apt	2	6	0	0	0.5
ben	apt	2	6	0	0	0.5
rdo	apt	2	6	0	0	0.5
lin	apt	2	6	0	0	0.5
tra	apt	2	6	0	0	0.5
tra2	apt	2	6	1e-04	0	0.5
cathD	apt	2	6	0	0	0.5
d	apt	2	6	0	0	0.5
lva	apt	2	6	2e-04	0	0.5
pbl	apt	2	6	4e-04	0	0.5
CG33205	apt	2	6	2e-04	0	0.5
da	apt	2	6	0	0	0.5
cactin	apt	2	6	1e-04	0	0.5
hpo	apt	2	6	0	0	0.5
Sema.2a	apt	2	6	8e-04	0	0.5
Eip74EF	apt	2	6	0	0	0.5
eg	apt	2	6	9e-04	0	0.5
Arc42	apt	2	6	0	0	0.5
toy	apt	2	6	2e-04	0	0.5
Galpha73B	apt	2	6	0	0	0.5
RhoGAPp190	apt	2	6	0	0	0.5
MED11	apt	2	6	0	0	0.5
cher	apt	2	6	0	0	0.5
BicD	apt	2	6	0	0	0.5
MYPT.75D	apt	2	6	0	0	0.5
mus304	apt	2	6	0	0	0.5
CdsA	apt	2	6	1e-04	0	0.5
btl	apt	2	6	0	0	0.5
Cyt.c.d	apt	2	6	0	0	0.5
tok	apt	2	6	0.0012	0	0.5
ttk	apt	2	6	3e-04	0	0.5
tamo	apt	2	6	0	0	0.5
CG6416	apt	2	6	0	0	0.5
flfl	apt	2	6	0	0	0.5
Pvr	apt	2	6	2e-04	0	0.5
kay	apt	2	6	0	0	0.5
Jra	apt	2	6	0	0	0.5
msk	apt	2	6	0	0	0.5
tll	apt	2	6	0	0	0.5
Tm1	apt	2	6	0	0	0.5
srp	apt	2	6	0	0	0.5
Btk29A	apt	2	6	0	0	0.5
fred	apt	2	6	0	0	0.5
Src64B	apt	2	6	1	0.9993	0.5
Mmp1	apt	2	6	4e-04	0	0.5
sll	apt	2	6	0	0	0.5
Hmgs	apt	2	6	0	0	0.5
caps	apt	2	6	5e-04	0	0.5
Su.var.2.10	apt	2	6	0	0	0.5
CycB	apt	2	6	2e-04	0	0.5
spir	apt	2	6	0	0	0.5
spn.A	apt	2	6	0	0	0.5
Ptpmeg	apt	2	6	3e-04	0	0.5
qua	apt	2	6	1e-04	0	0.5
msn	apt	2	6	0	0	0.5
ena	apt	2	6	5e-04	0	0.5
spen	apt	2	6	0	0	0.5
emc	apt	2	6	0	0	0.5
tsh	apt	2	6	0	0	0.5
Dat	apt	2	6	0	0	0.5
Lac	apt	2	6	0	0	0.5
dup	apt	2	6	0	0	0.5
CG3075	apt	2	6	0	0	0.5
Akap200	apt	2	6	0	0	0.5
CG18369	apt	2	6	0	0	0.5
bnl	apt	2	6	1e-04	0	0.5
sec23	apt	2	6	0	0	0.5
Pde8	apt	2	6	0	0	0.5
Arp66B	apt	2	6	0	0	0.5
cos	apt	2	6	5e-04	0	0.5
Borr	apt	2	6	0	0	0.5
X140up	apt	2	6	0	0	0.5
Dhc64C	apt	2	6	3e-04	0	0.5
Not1	apt	2	6	0	0	0.5
CG9520	apt	2	6	0	0	0.5
bib	apt	2	6	0	0	0.5
mib1	apt	2	6	0	0	0.5
cas	apt	2	6	0	0	0.5
Abi	apt	2	6	0	0	0.5
betaTub56D	apt	2	6	0	0	0.5
nej	apt	2	6	2e-04	0	0.5
dlg1	apt	2	6	0	0	0.5
Lcp65Ag1	apt	2	6	0	0	0.5
Es2	apt	2	6	0	0	0.5
MED24	apt	2	6	2e-04	0	0.5
Vhl	apt	2	6	0	0	0.5
tral	apt	2	6	0	0	0.5
sns	apt	2	6	0	0	0.5
mbl	apt	2	6	0	0	0.5
sav	apt	2	6	0	0	0.5
lola	apt	2	6	0	0	0.5
robo	apt	2	6	2e-04	0	0.5
CG32486	apt	2	6	0	0	0.5
santa.maria	apt	2	6	1e-04	0	0.5
stumps	apt	2	6	0	0	0.5
abd.A	apt	2	6	0	0	0.5
dock	apt	2	6	0	0	0.5
Lar	apt	2	6	0	0	0.5
l.1.G0289	apt	2	6	0	0	0.5
Abl	apt	2	6	3e-04	0	0.5
Syb	apt	2	6	0	0	0.5
dome	apt	2	6	0	0	0.5
ofs	apt	2	6	0	0	0.5
MED4	apt	2	6	0	0	0.5
scrib	apt	2	6	0.001	0	0.5
siz	apt	2	6	0	0	0.5
cbx	apt	2	6	6e-04	0	0.5
dsx	apt	2	6	0	0	0.5
Sb	apt	2	6	0	0	0.5
sax	apt	2	6	4e-04	0	0.5
foxo	apt	2	6	1e-04	0	0.5
Cyp1	apt	2	6	0	0	0.5
brm	apt	2	6	1e-04	0	0.5
rad50	apt	2	6	3e-04	0	0.5
chico	apt	2	6	0	0	0.5
cp309	apt	2	6	0	0	0.5
hdc	apt	2	6	0	0	0.5
Axn	apt	2	6	0	0	0.5
Apc2	apt	2	6	0	0	0.5
PhKgamma	apt	2	6	0	0	0.5
eya	apt	2	6	4e-04	0	0.5
sktl	apt	2	6	0	0	0.5
sqd	apt	2	6	0	0	0.5
Akt1	apt	2	6	3e-04	0	0.5
scyl	apt	2	6	6e-04	0	0.5
cnk	apt	2	6	0	0	0.5
CG8149	apt	2	6	0	0	0.5
CG34379	apt	2	6	0	0	0.5
Yp1	apt	2	6	0	0	0.5
yrt	apt	2	6	0	0	0.5
bap	apt	2	6	0	0	0.5
tud	apt	2	6	3e-04	0	0.5
ct	apt	2	6	0	0	0.5
tup	apt	2	6	0	0	0.5
G.ialpha65A	apt	2	6	0	0	0.5
knrl	apt	2	6	3e-04	0	0.5
Pkn	apt	2	6	0	0	0.5
Sry.delta	apt	2	6	7e-04	0	0.5
Alh	apt	2	6	1e-04	0	0.5
pnut	apt	2	6	0	0	0.5
phyl	apt	2	6	0	0	0.5
CG17739	apt	2	6	0	0	0.5
B4	apt	2	6	0	0	0.5
CG2681	apt	2	6	0	0	0.5
tow	apt	2	6	3e-04	0	0.5
hkl	apt	2	6	0	0	0.5
sina	apt	2	6	0	0	0.5
ry	apt	2	6	1e-04	0	0.5
rux	apt	2	6	0	0	0.5
boss	apt	2	6	0	0	0.5
Mkp3	apt	2	6	9e-04	0	0.5
inaC	apt	2	6	0	0	0.5
sno	apt	2	6	0	0	0.5
jagn	apt	2	6	0	0	0.5
dpn	apt	2	6	1e-04	0	0.5
wrapper	apt	2	6	1e-04	0	0.5
Ca.alpha1D	apt	2	6	0	0	0.5
E2f	apt	2	6	0	0	0.5
Dp	apt	2	6	0	0	0.5
l.2.efl	apt	2	6	0	0	0.5
cnc	apt	2	6	0	0	0.5
Atg5	apt	2	6	0	0	0.5
acj6	apt	2	6	0	0	0.5
Trl	apt	2	6	0	0	0.5
d4	apt	2	6	0	0	0.5
CG16719	apt	2	6	0	0	0.5
CadN	apt	2	6	2e-04	0	0.5
gro	apt	2	6	0	0	0.5
sec13	apt	2	6	1e-04	0	0.5
klar	apt	2	6	0	0	0.5
Rack1	apt	2	6	6e-04	0	0.5
Sobp	apt	2	6	0	0	0.5
ash1	apt	2	6	0	0	0.5
inv	apt	2	6	5e-04	0	0.5
shot	apt	2	6	1e-04	0	0.5
Oseg1	apt	2	6	0	0	0.5
Spred	apt	2	6	1	0.99934	0.5
puc	apt	2	6	0	0	0.5
Atg6	apt	2	6	0	0	0.5
CG3829	apt	2	6	0	0	0.5
sle	apt	2	6	0	0	0.5
Cka	apt	2	6	0	0	0.5
form3	apt	2	6	0	0	0.5
Pk61C	apt	2	6	0	0	0.5
Pcaf	apt	2	6	0	0	0.5
sbb	apt	2	6	0	0	0.5
Ef1gamma	apt	2	6	0	0	0.5
FKBP59	apt	2	6	1e-04	0	0.5
Eip71CD	apt	2	6	3e-04	0	0.5
xmas.2	apt	2	6	0	0	0.5
ppan	apt	2	6	0	0	0.5
Iswi	apt	2	6	0	0	0.5
ine	apt	2	6	0	0	0.5
Tina.1	apt	2	6	1e-04	0	0.5
bon	apt	2	6	0	0	0.5
pot	apt	2	6	0	0	0.5
chic	apt	2	6	0	0	0.5
Hem	apt	2	6	1e-04	0	0.5
chif	apt	2	6	0	0	0.5
S6kII	apt	2	6	0	0	0.5
wal	apt	2	6	0	0	0.5
wls	apt	2	6	0	0	0.5
Ddx1	apt	2	6	0	0	0.5
Sulf1	apt	2	6	7e-04	0	0.5
CG3987	apt	2	6	4e-04	0	0.5
Abd.B	apt	2	6	0	0	0.5
Uba1	apt	2	6	0	0	0.5
bigmax	apt	2	6	0	0	0.5
NAT1	apt	2	6	0	0	0.5
wupA	apt	2	6	0	0	0.5
Vps28	apt	2	6	0	0	0.5
G.oalpha47A	apt	2	6	0	0	0.5
G.salpha60A	apt	2	6	0	0	0.5
dsf	apt	2	6	0	0	0.5
Khc	apt	2	6	0	0	0.5
CG10641	apt	2	6	0	0	0.5
Alk	apt	2	6	6e-04	0	0.5
ey	apt	2	6	0.001	0	0.5
noc	apt	2	6	1e-04	0	0.5
ix	apt	2	6	0	0	0.5
Optix	apt	2	6	1e-04	0	0.5
sdt	apt	2	6	0	0	0.5
Sxl	apt	2	6	0	0	0.5
rib	apt	2	6	1e-04	0	0.5
sas	apt	2	6	5e-04	0	0.5
Scgdelta	apt	2	6	0	0	0.5
sw	apt	2	6	1e-04	0	0.5
fal	apt	2	6	0	0	0.5
ea	apt	2	6	0	0	0.5
Ice	apt	2	6	0	0	0.5
cic	apt	2	6	0	0	0.5
Dok	apt	2	6	0	0	0.5
rhea	apt	2	6	0	0	0.5
Glycogenin	apt	2	6	6e-04	0	0.5
cin	apt	2	6	4e-04	0	0.5
chp	apt	2	6	0	0	0.5
Dlic2	apt	2	6	0	0	0.5
Pk92B	apt	2	6	0	0	0.5
Pak	apt	2	6	0	0	0.5
Lim1	apt	2	6	5e-04	0	0.5
CG34450	apt	2	6	0	0	0.5
Su.H.	apt	2	6	0	0	0.5
CG12301	apt	2	6	0	0	0.5
lilli	apt	2	6	0	0	0.5
toe	apt	2	6	5e-04	0	0.5
qkr58E.3	apt	2	6	0	0	0.5
up	apt	2	6	2e-04	0	0.5
hep	apt	2	6	2e-04	0	0.5
Dap160	apt	2	6	0	0	0.5
l.2.gd1	apt	2	6	3e-04	0	0.5
hkb	apt	2	6	0	0	0.5
beta4GalNAcTA	apt	2	6	5e-04	0	0.5
Mer	apt	2	6	0	0	0.5
Mtl	apt	2	6	0	0	0.5
spin	apt	2	6	3e-04	0	0.5
mfas	apt	2	6	0	0	0.5
frc	apt	2	6	0	0	0.5
Krn	apt	2	6	0	0	0.5
mam	apt	2	6	7e-04	0	0.5
brk	apt	2	6	5e-04	0	0.5
Ark	apt	2	6	0	0	0.5
mmy	apt	2	6	3e-04	0	0.5
mri	apt	2	6	2e-04	0	0.5
Crk	apt	2	6	0	0	0.5
ssh	apt	2	6	0	0	0.5
fs.1.K10	apt	2	6	0	0	0.5
Psn	apt	2	6	0	0	0.5
CG9509	apt	2	6	3e-04	0	0.5
CkIIalpha	apt	2	6	5e-04	0	0.5
car	apt	2	6	1e-04	0	0.5
capu	apt	2	6	0	0	0.5
cact	apt	2	6	0	0	0.5
Patj	apt	2	6	0	0	0.5
dpp	apt	2	6	0	0	0.5
xl6	apt	2	6	0	0	0.5
dally	apt	2	6	0	0	0.5
Pi3K92E	apt	2	6	0	0	0.5
E.bx.	apt	2	6	0	0	0.5
emb	apt	2	6	5e-04	0	0.5
CtBP	apt	2	6	0	0	0.5
Dad	apt	2	6	0	0	0.5
amx	apt	2	6	0	0	0.5
Ank2	apt	2	6	2e-04	0	0.5
CG34417	apt	2	6	0	0	0.5
scra	apt	2	6	0	0	0.5
dsd	apt	2	6	0	0	0.5
Ephrin	apt	2	6	0	0	0.5
Appl	apt	2	6	0	0	0.5
sty	apt	2	6	0	0	0.5
RhoL	apt	2	6	4e-04	0	0.5
twi	apt	2	6	1e-04	0	0.5
tub	apt	2	6	0	0	0.5
ftz.f1	apt	2	6	1e-04	0	0.5
wg	apt	2	6	0	0	0.5
LanB1	apt	2	6	0	0	0.5
LanA	apt	2	6	1e-04	0	0.5
LanB2	apt	2	6	0	0	0.5
Chi	apt	2	6	1e-04	0	0.5
nmo	apt	2	6	0	0	0.5
ics	apt	2	6	0	0	0.5
oaf	apt	2	6	0	0	0.5
dco	apt	2	6	0	0	0.5
Dys	apt	2	6	0	0	0.5
drm	apt	2	6	0	0	0.5
RpL30	apt	2	6	0	0	0.5
how	apt	2	6	0	0	0.5
dei	apt	2	6	0	0	0.5
CG1244	apt	2	6	0	0	0.5
Chc	apt	2	6	0	0	0.5
Orct	apt	2	6	0	0	0.5
sgl	apt	2	6	0	0	0.5
CG17221	apt	2	6	0	0	0.5
gkt	apt	2	6	3e-04	0	0.5
by	apt	2	6	0	0	0.5
Pka.C3	apt	2	6	6e-04	0	0.5
vlc	apt	2	6	0	0	0.5
fl.2.d	apt	2	6	0	0	0.5
Nf1	apt	2	6	0	0	0.5
CG6372	apt	2	6	0	0	0.5
Rho1	apt	2	6	0	0	0.5
kuk	apt	2	6	0	0	0.5
l.2.gl	apt	2	6	0	0	0.5
Ald	apt	2	6	0	0	0.5
jumu	apt	2	6	0	0	0.5
glu	apt	2	6	2e-04	0	0.5
fs.2.ltoPP43	apt	2	6	0	0	0.5
CycE	apt	2	6	0	0	0.5
CG8247	apt	2	6	0	0	0.5
CSN4	apt	2	6	0	0	0.5
X18w	apt	2	6	0	0	0.5
bs	apt	2	6	0	0	0.5
Nrt	apt	2	6	0	0	0.5
mask	apt	2	6	0	0	0.5
gl	apt	2	6	0	0	0.5
Cp1	apt	2	6	0.0011	0	0.5
ex	apt	2	6	0	0	0.5
jing	apt	2	6	0	0	0.5
shrb	apt	2	6	1e-04	0	0.5
raw	apt	2	6	0	0	0.5
CG9445	apt	2	6	2e-04	0	0.5
gbb	apt	2	6	0	0	0.5
Hs2st	apt	2	6	1e-04	0	0.5
sls	apt	2	6	0	0	0.5
kis	apt	2	6	0	0	0.5
run	apt	2	6	0	0	0.5
pnr	apt	2	6	6e-04	0	0.5
