Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	ast	2	6	0	0	0.5
emp	ast	2	6	0	0	0.5
CG2678	ast	2	6	3e-04	0	0.5
crc	ast	2	6	2e-04	0	0.5
pros	ast	2	6	1e-04	0	0.5
neur	ast	2	6	3e-04	0	0.5
Rab5	ast	2	6	0	0	0.5
Rab7	ast	2	6	6e-04	0	0.5
Mmp2	ast	2	6	2e-04	0	0.5
W	ast	2	6	0	0	0.5
bowl	ast	2	6	0	0	0.5
fd59A	ast	2	6	6e-04	0	0.5
e	ast	2	6	1e-04	0	0.5
ben	ast	2	6	0	0	0.5
rdo	ast	2	6	0	0	0.5
lin	ast	2	6	0	0	0.5
tra	ast	2	6	0	0	0.5
tra2	ast	2	6	6e-04	0	0.5
cathD	ast	2	6	0	0	0.5
d	ast	2	6	5e-04	0	0.5
lva	ast	2	6	0	0	0.5
pbl	ast	2	6	6e-04	0	0.5
CG33205	ast	2	6	0	0	0.5
da	ast	2	6	0	0	0.5
cactin	ast	2	6	0	0	0.5
hpo	ast	2	6	0	0	0.5
Sema.2a	ast	2	6	2e-04	0	0.5
Eip74EF	ast	2	6	0	0	0.5
eg	ast	2	6	0	0	0.5
Arc42	ast	2	6	2e-04	0	0.5
toy	ast	2	6	4e-04	0	0.5
Galpha73B	ast	2	6	1e-04	0	0.5
RhoGAPp190	ast	2	6	0	0	0.5
MED11	ast	2	6	0	0	0.5
cher	ast	2	6	0	0	0.5
BicD	ast	2	6	0	0	0.5
MYPT.75D	ast	2	6	0	0	0.5
mus304	ast	2	6	0.0015	0	0.5
CdsA	ast	2	6	1e-04	0	0.5
btl	ast	2	6	0	0	0.5
Cyt.c.d	ast	2	6	0	0	0.5
tok	ast	2	6	0	0	0.5
ttk	ast	2	6	1e-04	0	0.5
tamo	ast	2	6	0	0	0.5
CG6416	ast	2	6	3e-04	0	0.5
flfl	ast	2	6	2e-04	0	0.5
Pvr	ast	2	6	4e-04	0	0.5
kay	ast	2	6	3e-04	0	0.5
Jra	ast	2	6	0	0	0.5
msk	ast	2	6	3e-04	0	0.5
tll	ast	2	6	2e-04	0	0.5
Tm1	ast	2	6	1e-04	0	0.5
srp	ast	2	6	0	0	0.5
Btk29A	ast	2	6	0	0	0.5
fred	ast	2	6	0	0	0.5
Src64B	ast	2	6	0	0	0.5
Mmp1	ast	2	6	0	0	0.5
sll	ast	2	6	7e-04	0	0.5
Hmgs	ast	2	6	0	0	0.5
caps	ast	2	6	2e-04	0	0.5
Su.var.2.10	ast	2	6	3e-04	0	0.5
CycB	ast	2	6	6e-04	0	0.5
spir	ast	2	6	0	0	0.5
spn.A	ast	2	6	0	0	0.5
Ptpmeg	ast	2	6	3e-04	0	0.5
qua	ast	2	6	4e-04	0	0.5
msn	ast	2	6	0	0	0.5
ena	ast	2	6	0	0	0.5
spen	ast	2	6	1e-04	0	0.5
emc	ast	2	6	0.0015	0	0.5
tsh	ast	2	6	0	0	0.5
Dat	ast	2	6	0	0	0.5
Lac	ast	2	6	1e-04	0	0.5
dup	ast	2	6	2e-04	0	0.5
CG3075	ast	2	6	0	0	0.5
Akap200	ast	2	6	1e-04	0	0.5
CG18369	ast	2	6	0	0	0.5
bnl	ast	2	6	0	0	0.5
sec23	ast	2	6	0	0	0.5
Pde8	ast	2	6	1e-04	0	0.5
Arp66B	ast	2	6	5e-04	0	0.5
cos	ast	2	6	3e-04	0	0.5
Borr	ast	2	6	0	0	0.5
X140up	ast	2	6	8e-04	0	0.5
Dhc64C	ast	2	6	6e-04	0	0.5
Not1	ast	2	6	0.001	0	0.5
CG9520	ast	2	6	0	0	0.5
bib	ast	2	6	0	0	0.5
mib1	ast	2	6	0	0	0.5
cas	ast	2	6	0	0	0.5
Abi	ast	2	6	0.0018	0	0.5
betaTub56D	ast	2	6	0	0	0.5
nej	ast	2	6	0.0024	0	0.5
dlg1	ast	2	6	8e-04	0	0.5
Lcp65Ag1	ast	2	6	0	0	0.5
Es2	ast	2	6	0	0	0.5
MED24	ast	2	6	0	0	0.5
Vhl	ast	2	6	0	0	0.5
tral	ast	2	6	0	0	0.5
sns	ast	2	6	0	0	0.5
mbl	ast	2	6	4e-04	0	0.5
sav	ast	2	6	3e-04	0	0.5
lola	ast	2	6	0	0	0.5
robo	ast	2	6	0	0	0.5
CG32486	ast	2	6	0	0	0.5
santa.maria	ast	2	6	0	0	0.5
stumps	ast	2	6	6e-04	0	0.5
abd.A	ast	2	6	0	0	0.5
dock	ast	2	6	0	0	0.5
Lar	ast	2	6	2e-04	0	0.5
